,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,1
1,1,2008-02-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,2
2,2,2008-03-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,3
3,3,2008-04-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,4
4,4,2008-05-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,5
5,5,2008-06-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,6
6,6,2008-07-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,7
7,7,2008-08-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,8
8,8,2008-09-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,9
9,9,2008-10-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,10
10,10,2008-11-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,11
11,11,2008-12-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2008,12
12,12,2009-01-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2009,1
13,13,2009-02-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2009,2
14,14,2009-03-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2009,3
15,15,2009-04-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2009,4
16,16,2009-05-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2009,5
17,17,2009-06-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2009,6
18,18,2009-07-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2009,7
19,19,2009-08-01,Karnataka,Anantapur,Maize,18.54199999999996,,,,2009,8
20,20,2009-09-01,Karnataka,Anantapur,Maize,8.0,840.0,850.0,845.0,2009,9
27,21,2009-10-01,Karnataka,Anantapur,Maize,7.0,760.0,820.0,800.0,2009,10
47,22,2009-11-01,Karnataka,Anantapur,Maize,7.5,755.0,820.0,790.0,2009,11
68,23,2009-12-01,Karnataka,Anantapur,Maize,7.0,700.0,780.0,750.0,2009,12
95,24,2010-01-01,Karnataka,Anantapur,Maize,8.0,760.0,820.0,800.0,2010,1
126,25,2010-02-01,Karnataka,Anantapur,Maize,8.0,750.0,820.0,800.0,2010,2
157,26,2010-03-01,Karnataka,Anantapur,Maize,80.0,750.0,820.0,780.0,2010,3
186,27,2010-04-01,Karnataka,Anantapur,Maize,100.0,750.0,810.0,800.0,2010,4
206,28,2010-05-01,Karnataka,Anantapur,Maize,100.0,800.0,840.0,820.0,2010,5
222,29,2010-06-01,Karnataka,Anantapur,Maize,100.0,800.0,900.0,850.0,2010,6
234,30,2010-07-01,Karnataka,Anantapur,Maize,100.0,800.0,870.0,850.0,2010,7
248,31,2010-08-01,Karnataka,Anantapur,Maize,100.0,800.0,950.0,850.0,2010,8
259,32,2010-09-01,Karnataka,Anantapur,Maize,1.0,800.0,950.0,850.0,2010,9
283,33,2010-10-01,Karnataka,Anantapur,Maize,5.0,890.0,950.0,920.0,2010,10
307,34,2010-11-01,Karnataka,Anantapur,Maize,20.0,890.0,920.0,910.0,2010,11
323,35,2010-12-01,Karnataka,Anantapur,Maize,20.0,850.0,950.0,900.0,2010,12
336,36,2011-01-01,Karnataka,Anantapur,Maize,200.0,880.0,900.0,880.0,2011,1
347,37,2011-02-01,Karnataka,Anantapur,Maize,200.0,930.0,980.0,950.0,2011,2
348,38,2011-03-01,Karnataka,Anantapur,Maize,50.0,900.0,950.0,930.0,2011,3
362,39,2011-04-01,Karnataka,Anantapur,Maize,60.0,1000.0,1100.0,1050.0,2011,4
364,40,2011-05-01,Karnataka,Anantapur,Maize,30.0,1000.0,1150.0,1100.0,2011,5
366,41,2011-06-01,Karnataka,Anantapur,Maize,22.7,983.3333333333334,1133.3333333333333,1066.6666666666667,2011,6
367,42,2011-07-01,Karnataka,Anantapur,Maize,15.4,966.6666666666666,1116.6666666666667,1033.3333333333333,2011,7
368,43,2011-08-01,Karnataka,Anantapur,Maize,8.1,950.0,1100.0,1000.0,2011,8
372,44,2011-09-01,Karnataka,Anantapur,Maize,5.0,1000.0,1100.0,1050.0,2011,9
378,45,2011-10-01,Karnataka,Anantapur,Maize,25.0,1000.0,1100.0,1050.0,2011,10
390,46,2011-11-01,Karnataka,Anantapur,Maize,30.0,900.0,1000.0,950.0,2011,11
408,47,2011-12-01,Karnataka,Anantapur,Maize,40.0,900.0,1000.0,950.0,2011,12
424,48,2012-01-01,Karnataka,Anantapur,Maize,80.0,950.0,1050.0,1000.0,2012,1
439,49,2012-02-01,Karnataka,Anantapur,Maize,23.0,1000.0,1100.0,1050.0,2012,2
448,50,2012-03-01,Karnataka,Anantapur,Maize,34.0,975.0,1075.0,1025.0,2012,3
449,51,2012-04-01,Karnataka,Anantapur,Maize,45.0,950.0,1050.0,1000.0,2012,4
455,52,2012-05-01,Karnataka,Anantapur,Maize,64.5,1000.0,1100.0,1050.0,2012,5
459,53,2012-06-01,Karnataka,Anantapur,Maize,32.3,1000.0,1200.0,1125.0,2012,6
460,54,2012-07-01,Karnataka,Anantapur,Maize,0.1,1000.0,1300.0,1200.0,2012,7
