,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,1
1,1,2008-02-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,2
2,2,2008-03-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,3
3,3,2008-04-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,4
4,4,2008-05-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,5
5,5,2008-06-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,6
6,6,2008-07-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,7
7,7,2008-08-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,8
8,8,2008-09-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,9
9,9,2008-10-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,10
10,10,2008-11-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,11
11,11,2008-12-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2008,12
12,12,2009-01-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,1
13,13,2009-02-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,2
14,14,2009-03-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,3
15,15,2009-04-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,4
16,16,2009-05-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,5
17,17,2009-06-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,6
18,18,2009-07-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,7
19,19,2009-08-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,8
20,20,2009-09-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,9
21,21,2009-10-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,10
22,22,2009-11-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,11
23,23,2009-12-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2009,12
24,24,2010-01-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2010,1
25,25,2010-02-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2010,2
26,26,2010-03-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2010,3
27,27,2010-04-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2010,4
28,28,2010-05-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2010,5
29,29,2010-06-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2010,6
30,30,2010-07-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2010,7
31,31,2010-08-01,Karnataka,Guntur,Maize,3.5068181818181956,,,,2010,8
32,32,2010-09-01,Karnataka,Guntur,Maize,1.0,840.0,1050.0,950.0,2010,9
60,33,2010-10-01,Karnataka,Guntur,Maize,1.0,840.0,1000.0,960.0,2010,10
91,34,2010-11-01,Karnataka,Guntur,Maize,1.0,920.0,1000.0,980.0,2010,11
104,35,2010-12-01,Karnataka,Guntur,Maize,1.0,913.3333333333334,993.3333333333334,966.6666666666666,2010,12
105,36,2011-01-01,Karnataka,Guntur,Maize,1.0,906.6666666666666,986.6666666666666,953.3333333333334,2011,1
106,37,2011-02-01,Karnataka,Guntur,Maize,1.0,900.0,980.0,940.0,2011,2
107,38,2011-03-01,Karnataka,Guntur,Maize,0.7,900.0,986.6666666666666,943.3333333333334,2011,3
108,39,2011-04-01,Karnataka,Guntur,Maize,0.4,900.0,993.3333333333334,946.6666666666666,2011,4
109,40,2011-05-01,Karnataka,Guntur,Maize,0.1,900.0,1000.0,950.0,2011,5
120,41,2011-06-01,Karnataka,Guntur,Maize,0.1,900.0,1000.0,950.0,2011,6
122,42,2011-07-01,Karnataka,Guntur,Maize,0.1,900.0,1000.0,950.0,2011,7
123,43,2011-08-01,Karnataka,Guntur,Maize,0.1,900.0,1000.0,950.0,2011,8
152,44,2011-09-01,Karnataka,Guntur,Maize,0.1,900.0,1000.0,950.0,2011,9
178,45,2011-10-01,Karnataka,Guntur,Maize,0.1,900.0,1100.0,1000.0,2011,10
208,46,2011-11-01,Karnataka,Guntur,Maize,0.1,1000.0,1050.0,1025.0,2011,11
230,47,2011-12-01,Karnataka,Guntur,Maize,0.1,900.0,1000.0,950.0,2011,12
261,48,2012-01-01,Karnataka,Guntur,Maize,0.1,950.0,1050.0,1000.0,2012,1
292,49,2012-02-01,Karnataka,Guntur,Maize,0.1,900.0,1000.0,950.0,2012,2
315,50,2012-03-01,Karnataka,Guntur,Maize,0.1,940.0,980.0,960.0,2012,3
326,51,2012-04-01,Karnataka,Guntur,Maize,0.1,1000.0,1100.0,1050.0,2012,4
347,52,2012-05-01,Karnataka,Guntur,Maize,0.1,980.0,1060.0,1020.0,2012,5
374,53,2012-06-01,Karnataka,Guntur,Maize,0.1,940.0,1000.0,970.0,2012,6
403,54,2012-07-01,Karnataka,Guntur,Maize,0.1,900.0,1000.0,950.0,2012,7
433,55,2012-08-01,Karnataka,Guntur,Maize,0.1,900.0,1000.0,950.0,2012,8
464,56,2012-09-01,Karnataka,Guntur,Maize,0.1,1000.0,1100.0,1050.0,2012,9
494,57,2012-10-01,Karnataka,Guntur,Maize,0.1,1150.0,1200.0,1175.0,2012,10
524,58,2012-11-01,Karnataka,Guntur,Maize,0.1,1150.0,1200.0,1175.0,2012,11
547,59,2012-12-01,Karnataka,Guntur,Maize,0.1,1175.0,1250.0,1212.0,2012,12
576,60,2013-01-01,Karnataka,Guntur,Maize,0.1,1200.0,1300.0,1250.0,2013,1
592,61,2013-02-01,Karnataka,Guntur,Maize,117.5,1175.0,1175.0,1175.0,2013,2
593,62,2013-03-01,Karnataka,Guntur,Maize,88.15,1218.75,1231.25,1225.0,2013,3
594,63,2013-04-01,Karnataka,Guntur,Maize,58.8,1262.5,1287.5,1275.0,2013,4
595,64,2013-05-01,Karnataka,Guntur,Maize,29.44999999999999,1306.25,1343.75,1325.0,2013,5
596,65,2013-06-01,Karnataka,Guntur,Maize,0.1,1350.0,1400.0,1375.0,2013,6
605,66,2013-07-01,Karnataka,Guntur,Maize,0.1,1250.0,1300.0,1275.0,2013,7
629,67,2013-08-01,Karnataka,Guntur,Maize,0.1,1200.0,1250.0,1225.0,2013,8
652,68,2013-09-01,Karnataka,Guntur,Maize,0.1,1200.0,1266.6666666666667,1233.3333333333333,2013,9
653,69,2013-10-01,Karnataka,Guntur,Maize,0.1,1200.0,1283.3333333333333,1241.6666666666667,2013,10
654,70,2013-11-01,Karnataka,Guntur,Maize,0.1,1200.0,1300.0,1250.0,2013,11
662,71,2013-12-01,Karnataka,Guntur,Maize,0.1,1200.0,1300.0,1250.0,2013,12
690,72,2014-01-01,Karnataka,Guntur,Maize,0.1,1200.0,1300.0,1250.0,2014,1
711,73,2014-02-01,Karnataka,Guntur,Maize,0.1,1200.0,1300.0,1250.0,2014,2
719,74,2014-03-01,Karnataka,Guntur,Maize,0.1,1236.25,1331.25,1285.0,2014,3
720,75,2014-04-01,Karnataka,Guntur,Maize,0.1,1272.5,1362.5,1320.0,2014,4
721,76,2014-05-01,Karnataka,Guntur,Maize,0.1,1308.75,1393.75,1355.0,2014,5
722,77,2014-06-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2014,6
728,78,2014-07-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2014,7
730,79,2014-08-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2014,8
731,80,2014-09-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2014,9
732,81,2014-10-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2014,10
733,82,2014-11-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2014,11
734,83,2014-12-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2014,12
735,84,2015-01-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,1
736,85,2015-02-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,2
737,86,2015-03-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,3
738,87,2015-04-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,4
739,88,2015-05-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,5
740,89,2015-06-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,6
741,90,2015-07-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,7
742,91,2015-08-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,8
743,92,2015-09-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,9
744,93,2015-10-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,10
745,94,2015-11-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,11
746,95,2015-12-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2015,12
747,96,2016-01-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,1
748,97,2016-02-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,2
749,98,2016-03-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,3
750,99,2016-04-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,4
751,100,2016-05-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,5
752,101,2016-06-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,6
753,102,2016-07-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,7
754,103,2016-08-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,8
755,104,2016-09-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,9
756,105,2016-10-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,10
757,106,2016-11-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,11
758,107,2016-12-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2016,12
759,108,2017-01-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,1
760,109,2017-02-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,2
761,110,2017-03-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,3
762,111,2017-04-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,4
763,112,2017-05-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,5
764,113,2017-06-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,6
765,114,2017-07-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,7
766,115,2017-08-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,8
767,116,2017-09-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,9
768,117,2017-10-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,10
769,118,2017-11-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,11
770,119,2017-12-01,Karnataka,Guntur,Maize,0.1,1345.0,1425.0,1390.0,2017,12
