,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Vijayanagaram,Maize,0.01,675.0,700.0,675.0,2008,1
2,1,2008-02-01,Karnataka,Vijayanagaram,Maize,0.01,707.5,725.0,712.5,2008,2
3,2,2008-03-01,Karnataka,Vijayanagaram,Maize,0.01,740.0,750.0,750.0,2008,3
11,3,2008-04-01,Karnataka,Vijayanagaram,Maize,0.01,750.0,770.0,760.0,2008,4
24,4,2008-05-01,Karnataka,Vijayanagaram,Maize,0.01,660.0,690.0,680.0,2008,5
34,5,2008-06-01,Karnataka,Vijayanagaram,Maize,0.01,710.0,730.0,720.0,2008,6
45,6,2008-07-01,Karnataka,Vijayanagaram,Maize,0.01,750.0,800.0,780.0,2008,7
49,7,2008-08-01,Karnataka,Vijayanagaram,Maize,0.01,900.0,1000.0,950.0,2008,8
52,8,2008-09-01,Karnataka,Vijayanagaram,Maize,0.01,850.0,900.0,880.0,2008,9
56,9,2008-10-01,Karnataka,Vijayanagaram,Maize,0.0175,850.0,900.0,877.5,2008,10
57,10,2008-11-01,Karnataka,Vijayanagaram,Maize,0.025,850.0,900.0,875.0,2008,11
58,11,2008-12-01,Karnataka,Vijayanagaram,Maize,0.0325,850.0,900.0,872.5,2008,12
59,12,2009-01-01,Karnataka,Vijayanagaram,Maize,0.04,850.0,900.0,870.0,2009,1
60,13,2009-02-01,Karnataka,Vijayanagaram,Maize,0.04750000000000001,850.0,900.0,867.5,2009,2
61,14,2009-03-01,Karnataka,Vijayanagaram,Maize,0.05500000000000001,850.0,900.0,865.0,2009,3
62,15,2009-04-01,Karnataka,Vijayanagaram,Maize,0.0625,850.0,900.0,862.5,2009,4
63,16,2009-05-01,Karnataka,Vijayanagaram,Maize,0.07,850.0,900.0,860.0,2009,5
64,17,2009-06-01,Karnataka,Vijayanagaram,Maize,0.0775,850.0,900.0,857.5,2009,6
65,18,2009-07-01,Karnataka,Vijayanagaram,Maize,0.085,850.0,900.0,855.0,2009,7
66,19,2009-08-01,Karnataka,Vijayanagaram,Maize,0.0925,850.0,900.0,852.5,2009,8
67,20,2009-09-01,Karnataka,Vijayanagaram,Maize,0.1,850.0,900.0,850.0,2009,9
84,21,2009-10-01,Karnataka,Vijayanagaram,Maize,0.1,850.0,900.0,850.0,2009,10
114,22,2009-11-01,Karnataka,Vijayanagaram,Maize,0.1,845.0,880.0,850.0,2009,11
115,23,2009-12-01,Karnataka,Vijayanagaram,Maize,0.1,840.0,860.0,850.0,2009,12
146,24,2010-01-01,Karnataka,Vijayanagaram,Maize,0.1,840.0,860.0,850.0,2010,1
166,25,2010-02-01,Karnataka,Vijayanagaram,Maize,1.0,840.0,860.0,850.0,2010,2
168,26,2010-03-01,Karnataka,Vijayanagaram,Maize,1.0,840.0,860.0,850.0,2010,3
182,27,2010-04-01,Karnataka,Vijayanagaram,Maize,1.0,850.0,900.0,850.0,2010,4
203,28,2010-05-01,Karnataka,Vijayanagaram,Maize,1.0,850.0,900.0,850.0,2010,5
225,29,2010-06-01,Karnataka,Vijayanagaram,Maize,1.0,850.0,900.0,850.0,2010,6
238,30,2010-07-01,Karnataka,Vijayanagaram,Maize,1.0,850.0,900.0,850.0,2010,7
246,31,2010-08-01,Karnataka,Vijayanagaram,Maize,1.0,850.0,900.0,850.0,2010,8
272,32,2010-09-01,Karnataka,Vijayanagaram,Maize,1.0,850.0,900.0,850.0,2010,9
349,33,2010-10-01,Karnataka,Vijayanagaram,Maize,1.0,850.0,900.0,850.0,2010,10
437,34,2010-11-01,Karnataka,Vijayanagaram,Maize,1.0,850.0,900.0,850.0,2010,11
526,35,2010-12-01,Karnataka,Vijayanagaram,Maize,1.0,900.0,950.0,900.0,2010,12
616,36,2011-01-01,Karnataka,Vijayanagaram,Maize,1.0,900.0,950.0,900.0,2011,1
700,37,2011-02-01,Karnataka,Vijayanagaram,Maize,1.0,900.0,950.0,900.0,2011,2
767,38,2011-03-01,Karnataka,Vijayanagaram,Maize,1.0,900.0,950.0,900.0,2011,3
857,39,2011-04-01,Karnataka,Vijayanagaram,Maize,1.0,900.0,950.0,900.0,2011,4
938,40,2011-05-01,Karnataka,Vijayanagaram,Maize,1.0,900.0,950.0,900.0,2011,5
1050,41,2011-06-01,Karnataka,Vijayanagaram,Maize,43.4,960.0,990.0,980.0,2011,6
1170,42,2011-07-01,Karnataka,Vijayanagaram,Maize,16.8,1000.0,1035.0,1025.0,2011,7
1269,43,2011-08-01,Karnataka,Vijayanagaram,Maize,0.1,900.0,950.0,900.0,2011,8
1364,44,2011-09-01,Karnataka,Vijayanagaram,Maize,0.1,900.0,950.0,950.0,2011,9
1453,45,2011-10-01,Karnataka,Vijayanagaram,Maize,3.0,900.0,1000.0,950.0,2011,10
1558,46,2011-11-01,Karnataka,Vijayanagaram,Maize,24.0,900.0,1000.0,950.0,2011,11
1658,47,2011-12-01,Karnataka,Vijayanagaram,Maize,17.1,1175.0,1237.0,1200.0,2011,12
1757,48,2012-01-01,Karnataka,Vijayanagaram,Maize,0.2,900.0,950.0,900.0,2012,1
1855,49,2012-02-01,Karnataka,Vijayanagaram,Maize,0.2,900.0,950.0,900.0,2012,2
1944,50,2012-03-01,Karnataka,Vijayanagaram,Maize,20.6,1000.0,1100.0,1000.0,2012,3
2064,51,2012-04-01,Karnataka,Vijayanagaram,Maize,0.1,900.0,950.0,900.0,2012,4
2190,52,2012-05-01,Karnataka,Vijayanagaram,Maize,17.0,950.0,1200.0,1100.0,2012,5
2357,53,2012-06-01,Karnataka,Vijayanagaram,Maize,0.1,900.0,950.0,900.0,2012,6
2502,54,2012-07-01,Karnataka,Vijayanagaram,Maize,0.1,1000.0,1100.0,1050.0,2012,7
2644,55,2012-08-01,Karnataka,Vijayanagaram,Maize,0.1,1100.0,1200.0,1150.0,2012,8
2788,56,2012-09-01,Karnataka,Vijayanagaram,Maize,0.5,950.0,1200.0,1100.0,2012,9
2895,57,2012-10-01,Karnataka,Vijayanagaram,Maize,0.1,1100.0,1200.0,1150.0,2012,10
2995,58,2012-11-01,Karnataka,Vijayanagaram,Maize,10.0,950.0,1100.0,1000.0,2012,11
3076,59,2012-12-01,Karnataka,Vijayanagaram,Maize,8.0,1000.0,1200.0,1100.0,2012,12
3195,60,2013-01-01,Karnataka,Vijayanagaram,Maize,0.6,1210.0,1250.0,1230.0,2013,1
3328,61,2013-02-01,Karnataka,Vijayanagaram,Maize,0.1,1100.0,1200.0,1150.0,2013,2
3449,62,2013-03-01,Karnataka,Vijayanagaram,Maize,0.1,1175.0,1275.0,1175.0,2013,3
3512,63,2013-04-01,Karnataka,Vijayanagaram,Maize,33.96666666666667,1200.0,1338.0,1202.3333333333333,2013,4
3513,64,2013-05-01,Karnataka,Vijayanagaram,Maize,67.83333333333333,1225.0,1401.0,1229.6666666666667,2013,5
3514,65,2013-06-01,Karnataka,Vijayanagaram,Maize,101.7,1250.0,1464.0,1257.0,2013,6
3613,66,2013-07-01,Karnataka,Vijayanagaram,Maize,27.4,1180.0,1180.0,1180.0,2013,7
3740,67,2013-08-01,Karnataka,Vijayanagaram,Maize,2.3,1400.0,1500.0,1450.0,2013,8
3865,68,2013-09-01,Karnataka,Vijayanagaram,Maize,0.1,1175.0,1275.0,1175.0,2013,9
3981,69,2013-10-01,Karnataka,Vijayanagaram,Maize,0.1,1175.0,1275.0,1175.0,2013,10
4082,70,2013-11-01,Karnataka,Vijayanagaram,Maize,0.7,1250.0,1280.0,1250.0,2013,11
4186,71,2013-12-01,Karnataka,Vijayanagaram,Maize,0.1,1310.0,1320.0,1310.0,2013,12
4295,72,2014-01-01,Karnataka,Vijayanagaram,Maize,0.1,1310.0,1320.0,1310.0,2014,1
4400,73,2014-02-01,Karnataka,Vijayanagaram,Maize,6.9,1310.0,1330.0,1320.0,2014,2
4504,74,2014-03-01,Karnataka,Vijayanagaram,Maize,0.1,1310.0,1320.0,1310.0,2014,3
4625,75,2014-04-01,Karnataka,Vijayanagaram,Maize,1.1,1310.0,1330.0,1320.0,2014,4
4763,76,2014-05-01,Karnataka,Vijayanagaram,Maize,15.6,1310.0,1310.0,1310.0,2014,5
4917,77,2014-06-01,Karnataka,Vijayanagaram,Maize,0.1,1310.0,1320.0,1310.0,2014,6
5018,78,2014-07-01,Karnataka,Vijayanagaram,Maize,0.1,1310.0,1320.0,1310.0,2014,7
