,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Visakhapatnam,Maize,11.930221238938051,,,,2008,1
1,1,2008-02-01,Karnataka,Visakhapatnam,Maize,11.930221238938051,,,,2008,2
2,2,2008-03-01,Karnataka,Visakhapatnam,Maize,11.930221238938051,,,,2008,3
3,3,2008-04-01,Karnataka,Visakhapatnam,Maize,11.930221238938051,,,,2008,4
4,4,2008-05-01,Karnataka,Visakhapatnam,Maize,11.930221238938051,,,,2008,5
5,5,2008-06-01,Karnataka,Visakhapatnam,Maize,11.930221238938051,,,,2008,6
6,6,2008-07-01,Karnataka,Visakhapatnam,Maize,11.930221238938051,,,,2008,7
7,7,2008-08-01,Karnataka,Visakhapatnam,Maize,0.01,2200.0,2500.0,2300.0,2008,8
9,8,2008-09-01,Karnataka,Visakhapatnam,Maize,0.01,3200.0,3600.0,3400.0,2008,9
11,9,2008-10-01,Karnataka,Visakhapatnam,Maize,0.189,3180.0,3560.0,3370.0,2008,10
12,10,2008-11-01,Karnataka,Visakhapatnam,Maize,0.368,3160.0,3520.0,3340.0,2008,11
13,11,2008-12-01,Karnataka,Visakhapatnam,Maize,0.5469999999999999,3140.0,3480.0,3310.0,2008,12
14,12,2009-01-01,Karnataka,Visakhapatnam,Maize,0.726,3120.0,3440.0,3280.0,2009,1
15,13,2009-02-01,Karnataka,Visakhapatnam,Maize,0.905,3100.0,3400.0,3250.0,2009,2
16,14,2009-03-01,Karnataka,Visakhapatnam,Maize,1.0839999999999999,3080.0,3360.0,3220.0,2009,3
17,15,2009-04-01,Karnataka,Visakhapatnam,Maize,1.263,3060.0,3320.0,3190.0,2009,4
18,16,2009-05-01,Karnataka,Visakhapatnam,Maize,1.442,3040.0,3280.0,3160.0,2009,5
19,17,2009-06-01,Karnataka,Visakhapatnam,Maize,1.621,3020.0,3240.0,3130.0,2009,6
20,18,2009-07-01,Karnataka,Visakhapatnam,Maize,1.8,3000.0,3200.0,3100.0,2009,7
22,19,2009-08-01,Karnataka,Visakhapatnam,Maize,2.1,2600.0,2800.0,2700.0,2009,8
28,20,2009-09-01,Karnataka,Visakhapatnam,Maize,10.0,700.0,800.0,750.0,2009,9
29,21,2009-10-01,Karnataka,Visakhapatnam,Maize,9.307692307692308,712.3076923076923,806.1538461538462,759.2307692307693,2009,10
30,22,2009-11-01,Karnataka,Visakhapatnam,Maize,8.615384615384615,724.6153846153846,812.3076923076923,768.4615384615385,2009,11
31,23,2009-12-01,Karnataka,Visakhapatnam,Maize,7.923076923076923,736.9230769230769,818.4615384615385,777.6923076923077,2009,12
32,24,2010-01-01,Karnataka,Visakhapatnam,Maize,7.230769230769231,749.2307692307693,824.6153846153846,786.9230769230769,2010,1
33,25,2010-02-01,Karnataka,Visakhapatnam,Maize,6.538461538461538,761.5384615384615,830.7692307692307,796.1538461538462,2010,2
34,26,2010-03-01,Karnataka,Visakhapatnam,Maize,5.846153846153847,773.8461538461538,836.9230769230769,805.3846153846154,2010,3
35,27,2010-04-01,Karnataka,Visakhapatnam,Maize,5.153846153846154,786.1538461538462,843.0769230769231,814.6153846153846,2010,4
36,28,2010-05-01,Karnataka,Visakhapatnam,Maize,4.461538461538462,798.4615384615385,849.2307692307693,823.8461538461538,2010,5
37,29,2010-06-01,Karnataka,Visakhapatnam,Maize,3.769230769230769,810.7692307692307,855.3846153846154,833.0769230769231,2010,6
38,30,2010-07-01,Karnataka,Visakhapatnam,Maize,3.0769230769230766,823.0769230769231,861.5384615384615,842.3076923076923,2010,7
39,31,2010-08-01,Karnataka,Visakhapatnam,Maize,2.384615384615385,835.3846153846154,867.6923076923077,851.5384615384615,2010,8
40,32,2010-09-01,Karnataka,Visakhapatnam,Maize,1.6923076923076934,847.6923076923077,873.8461538461538,860.7692307692307,2010,9
41,33,2010-10-01,Karnataka,Visakhapatnam,Maize,1.0,860.0,880.0,870.0,2010,10
69,34,2010-11-01,Karnataka,Visakhapatnam,Maize,1.0,860.0,880.0,870.0,2010,11
