,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,West Godavari,Maize,0.05,550.0,580.0,560.0,2008,1
23,1,2008-02-01,Karnataka,West Godavari,Maize,0.05,550.0,580.0,560.0,2008,2
42,2,2008-03-01,Karnataka,West Godavari,Maize,0.04,540.0,580.0,560.0,2008,3
47,3,2008-04-01,Karnataka,West Godavari,Maize,0.02,540.0,580.0,560.0,2008,4
62,4,2008-05-01,Karnataka,West Godavari,Maize,0.06,740.0,770.0,750.0,2008,5
69,5,2008-06-01,Karnataka,West Godavari,Maize,0.06,740.0,770.0,750.0,2008,6
70,6,2008-07-01,Karnataka,West Godavari,Maize,0.13,820.0,820.0,820.0,2008,7
71,7,2008-08-01,Karnataka,West Godavari,Maize,0.1,850.0,850.0,850.0,2008,8
72,8,2008-09-01,Karnataka,West Godavari,Maize,3.3363636363636364,849.0909090909091,852.9090909090909,850.9090909090909,2008,9
73,9,2008-10-01,Karnataka,West Godavari,Maize,6.572727272727272,848.1818181818181,855.8181818181819,851.8181818181819,2008,10
74,10,2008-11-01,Karnataka,West Godavari,Maize,9.809090909090909,847.2727272727273,858.7272727272727,852.7272727272727,2008,11
75,11,2008-12-01,Karnataka,West Godavari,Maize,13.045454545454545,846.3636363636364,861.6363636363636,853.6363636363636,2008,12
76,12,2009-01-01,Karnataka,West Godavari,Maize,16.28181818181818,845.4545454545455,864.5454545454545,854.5454545454545,2009,1
77,13,2009-02-01,Karnataka,West Godavari,Maize,19.51818181818182,844.5454545454545,867.4545454545455,855.4545454545455,2009,2
78,14,2009-03-01,Karnataka,West Godavari,Maize,22.754545454545458,843.6363636363636,870.3636363636364,856.3636363636364,2009,3
79,15,2009-04-01,Karnataka,West Godavari,Maize,25.990909090909092,842.7272727272727,873.2727272727273,857.2727272727273,2009,4
80,16,2009-05-01,Karnataka,West Godavari,Maize,29.227272727272727,841.8181818181819,876.1818181818181,858.1818181818181,2009,5
81,17,2009-06-01,Karnataka,West Godavari,Maize,32.46363636363636,840.9090909090909,879.0909090909091,859.0909090909091,2009,6
82,18,2009-07-01,Karnataka,West Godavari,Maize,35.7,840.0,882.0,860.0,2009,7
83,19,2009-08-01,Karnataka,West Godavari,Maize,213.0,830.0,840.0,830.0,2009,8
86,20,2009-09-01,Karnataka,West Godavari,Maize,54.6,900.0,900.0,900.0,2009,9
97,21,2009-10-01,Karnataka,West Godavari,Maize,17.0,880.0,880.0,880.0,2009,10
108,22,2009-11-01,Karnataka,West Godavari,Maize,72.125,875.0,875.0,875.0,2009,11
109,23,2009-12-01,Karnataka,West Godavari,Maize,127.25,870.0,870.0,870.0,2009,12
110,24,2010-01-01,Karnataka,West Godavari,Maize,182.375,865.0,865.0,865.0,2010,1
111,25,2010-02-01,Karnataka,West Godavari,Maize,237.5,860.0,860.0,860.0,2010,2
112,26,2010-03-01,Karnataka,West Godavari,Maize,292.625,855.0,855.0,855.0,2010,3
113,27,2010-04-01,Karnataka,West Godavari,Maize,347.75,850.0,850.0,850.0,2010,4
114,28,2010-05-01,Karnataka,West Godavari,Maize,402.875,845.0,845.0,845.0,2010,5
115,29,2010-06-01,Karnataka,West Godavari,Maize,458.0,840.0,840.0,840.0,2010,6
116,30,2010-07-01,Karnataka,West Godavari,Maize,549.0,860.0,860.0,860.0,2010,7
117,31,2010-08-01,Karnataka,West Godavari,Maize,640.0,880.0,880.0,880.0,2010,8
127,32,2010-09-01,Karnataka,West Godavari,Maize,315.0,950.0,950.0,950.0,2010,9
224,33,2010-10-01,Karnataka,West Godavari,Maize,1.0,1000.0,1000.0,1000.0,2010,10
351,34,2010-11-01,Karnataka,West Godavari,Maize,1.0,1000.0,1050.0,1030.0,2010,11
471,35,2010-12-01,Karnataka,West Godavari,Maize,1.0,1040.0,1100.0,1050.0,2010,12
539,36,2011-01-01,Karnataka,West Godavari,Maize,1.0,840.0,880.0,860.0,2011,1
591,37,2011-02-01,Karnataka,West Godavari,Maize,1.0,840.0,880.0,860.0,2011,2
624,38,2011-03-01,Karnataka,West Godavari,Maize,1.0,840.0,880.0,860.0,2011,3
714,39,2011-04-01,Karnataka,West Godavari,Maize,1.0,840.0,880.0,860.0,2011,4
793,40,2011-05-01,Karnataka,West Godavari,Maize,1.0,840.0,860.0,840.0,2011,5
869,41,2011-06-01,Karnataka,West Godavari,Maize,0.1,840.0,880.0,860.0,2011,6
896,42,2011-07-01,Karnataka,West Godavari,Maize,0.1,880.0,880.0,880.0,2011,7
901,43,2011-08-01,Karnataka,West Godavari,Maize,0.1,840.0,860.0,850.0,2011,8
938,44,2011-09-01,Karnataka,West Godavari,Maize,46.1,1100.0,1140.0,1120.0,2011,9
1006,45,2011-10-01,Karnataka,West Godavari,Maize,0.1,860.0,880.0,870.0,2011,10
1072,46,2011-11-01,Karnataka,West Godavari,Maize,15.9,1050.0,1100.0,1070.0,2011,11
1104,47,2011-12-01,Karnataka,West Godavari,Maize,0.1,860.0,880.0,870.0,2011,12
1136,48,2012-01-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,1
1200,49,2012-02-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,2
1261,50,2012-03-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,3
1313,51,2012-04-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,4
1386,52,2012-05-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,5
1432,53,2012-06-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,6
1492,54,2012-07-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,7
1561,55,2012-08-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,8
1625,56,2012-09-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,9
1680,57,2012-10-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,10
1742,58,2012-11-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,11
1798,59,2012-12-01,Karnataka,West Godavari,Maize,0.1,940.0,1000.0,980.0,2012,12
1837,60,2013-01-01,Karnataka,West Godavari,Maize,0.1,1150.0,1200.0,1175.0,2013,1
1899,61,2013-02-01,Karnataka,West Godavari,Maize,0.1,1150.0,1200.0,1175.0,2013,2
1954,62,2013-03-01,Karnataka,West Godavari,Maize,0.1,1150.0,1200.0,1175.0,2013,3
2009,63,2013-04-01,Karnataka,West Godavari,Maize,0.1,1015.0,1100.0,1077.5,2013,4
2010,64,2013-05-01,Karnataka,West Godavari,Maize,0.1,880.0,1000.0,980.0,2013,5
2022,65,2013-06-01,Karnataka,West Godavari,Maize,0.1,880.0,1000.0,980.0,2013,6
2075,66,2013-07-01,Karnataka,West Godavari,Maize,0.1,1150.0,1200.0,1175.0,2013,7
2134,67,2013-08-01,Karnataka,West Godavari,Maize,0.1,1150.0,1200.0,1175.0,2013,8
2207,68,2013-09-01,Karnataka,West Godavari,Maize,0.1,1150.0,1200.0,1175.0,2013,9
2275,69,2013-10-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2013,10
2337,70,2013-11-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2013,11
2396,71,2013-12-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2013,12
2461,72,2014-01-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2014,1
2523,73,2014-02-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2014,2
2580,74,2014-03-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2014,3
2649,75,2014-04-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2014,4
2729,76,2014-05-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2014,5
2771,77,2014-06-01,Karnataka,West Godavari,Maize,0.1,1250.0,1310.0,1300.0,2014,6
2830,78,2014-07-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2014,7
2898,79,2014-08-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2014,8
2974,80,2014-09-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2014,9
3056,81,2014-10-01,Karnataka,West Godavari,Maize,0.1,1250.0,1310.0,1300.0,2014,10
3135,82,2014-11-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2014,11
3187,83,2014-12-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2014,12
3233,84,2015-01-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2015,1
3256,85,2015-02-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2015,2
3285,86,2015-03-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2015,3
3316,87,2015-04-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2015,4
3356,88,2015-05-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2015,5
3383,89,2015-06-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2015,6
3411,90,2015-07-01,Karnataka,West Godavari,Maize,0.1,1280.0,1310.0,1300.0,2015,7
