,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Chattisgarh,Bastar,Maize,112.7,540.0,560.0,550.0,2008,1
79,1,2008-02-01,Chattisgarh,Bastar,Maize,186.7,550.0,580.0,570.0,2008,2
148,2,2008-03-01,Chattisgarh,Bastar,Maize,84.6,630.0,655.0,640.0,2008,3
229,3,2008-04-01,Chattisgarh,Bastar,Maize,31.5,600.0,650.0,625.0,2008,4
290,4,2008-05-01,Chattisgarh,Bastar,Maize,63.2,600.0,615.0,610.0,2008,5
396,5,2008-06-01,Chattisgarh,Bastar,Maize,10.5,600.0,650.0,600.0,2008,6
487,6,2008-07-01,Chattisgarh,Bastar,Maize,26.6,650.0,670.0,660.0,2008,7
551,7,2008-08-01,Chattisgarh,Bastar,Maize,2.1,700.0,750.0,725.0,2008,8
577,8,2008-09-01,Chattisgarh,Bastar,Maize,0.6,600.0,600.0,600.0,2008,9
586,9,2008-10-01,Chattisgarh,Bastar,Maize,8.0,750.0,0.0,0.0,2008,10
634,10,2008-11-01,Chattisgarh,Bastar,Maize,8.5,600.0,700.0,650.0,2008,11
719,11,2008-12-01,Chattisgarh,Bastar,Maize,45.0,650.0,0.0,0.0,2008,12
822,12,2009-01-01,Chattisgarh,Bastar,Maize,16.2,710.0,720.0,715.0,2009,1
923,13,2009-02-01,Chattisgarh,Bastar,Maize,860.0,700.0,750.0,700.0,2009,2
1004,14,2009-03-01,Chattisgarh,Bastar,Maize,250.0,650.0,750.0,650.0,2009,3
1098,15,2009-04-01,Chattisgarh,Bastar,Maize,80.9,730.0,740.0,735.0,2009,4
1180,16,2009-05-01,Chattisgarh,Bastar,Maize,30.0,750.0,800.0,750.0,2009,5
1269,17,2009-06-01,Chattisgarh,Bastar,Maize,90.0,700.0,750.0,700.0,2009,6
1355,18,2009-07-01,Chattisgarh,Bastar,Maize,100.0,700.0,750.0,700.0,2009,7
1421,19,2009-08-01,Chattisgarh,Bastar,Maize,95.0,700.0,750.0,700.0,2009,8
1482,20,2009-09-01,Chattisgarh,Bastar,Maize,1.0,800.0,850.0,825.0,2009,9
1549,21,2009-10-01,Chattisgarh,Bastar,Maize,1.6,800.0,820.0,810.0,2009,10
1625,22,2009-11-01,Chattisgarh,Bastar,Maize,390.0,700.0,750.0,700.0,2009,11
1725,23,2009-12-01,Chattisgarh,Bastar,Maize,12.0,770.0,800.0,785.0,2009,12
1865,24,2010-01-01,Chattisgarh,Bastar,Maize,20.0,750.0,750.0,750.0,2010,1
1991,25,2010-02-01,Chattisgarh,Bastar,Maize,47.0,850.0,850.0,850.0,2010,2
2100,26,2010-03-01,Chattisgarh,Bastar,Maize,10.0,600.0,700.0,625.0,2010,3
2197,27,2010-04-01,Chattisgarh,Bastar,Maize,10.2,750.0,760.0,755.0,2010,4
2297,28,2010-05-01,Chattisgarh,Bastar,Maize,260.0,750.0,800.0,765.0,2010,5
2396,29,2010-06-01,Chattisgarh,Bastar,Maize,10.0,800.0,800.0,800.0,2010,6
2508,30,2010-07-01,Chattisgarh,Bastar,Maize,300.0,800.0,850.0,850.0,2010,7
2611,31,2010-08-01,Chattisgarh,Bastar,Maize,0.5,700.0,800.0,750.0,2010,8
2719,32,2010-09-01,Chattisgarh,Bastar,Maize,5.0,750.0,750.0,750.0,2010,9
2819,33,2010-10-01,Chattisgarh,Bastar,Maize,3.0,900.0,950.0,925.0,2010,10
2913,34,2010-11-01,Chattisgarh,Bastar,Maize,3.1,800.0,810.0,805.0,2010,11
3041,35,2010-12-01,Chattisgarh,Bastar,Maize,110.0,800.0,850.0,825.0,2010,12
3177,36,2011-01-01,Chattisgarh,Bastar,Maize,30.6,940.0,950.0,945.0,2011,1
3286,37,2011-02-01,Chattisgarh,Bastar,Maize,9.0,870.0,900.0,885.0,2011,2
3384,38,2011-03-01,Chattisgarh,Bastar,Maize,8.1,745.0,755.0,750.0,2011,3
3476,39,2011-04-01,Chattisgarh,Bastar,Maize,5.0,800.0,800.0,800.0,2011,4
3559,40,2011-05-01,Chattisgarh,Bastar,Maize,1.1,850.0,860.0,855.0,2011,5
3658,41,2011-06-01,Chattisgarh,Bastar,Maize,36.0,1000.0,1100.0,0.0,2011,6
3793,42,2011-07-01,Chattisgarh,Bastar,Maize,36.0,850.0,1000.0,950.0,2011,7
3934,43,2011-08-01,Chattisgarh,Bastar,Maize,184.4,900.0,1050.0,975.0,2011,8
4066,44,2011-09-01,Chattisgarh,Bastar,Maize,2.0,700.0,800.0,750.0,2011,9
4168,45,2011-10-01,Chattisgarh,Bastar,Maize,32.0,800.0,900.0,850.0,2011,10
4261,46,2011-11-01,Chattisgarh,Bastar,Maize,124.6,800.0,900.0,850.0,2011,11
4398,47,2011-12-01,Chattisgarh,Bastar,Maize,7.0,900.0,900.0,900.0,2011,12
4563,48,2012-01-01,Chattisgarh,Bastar,Maize,9.0,1000.0,1000.0,1000.0,2012,1
4708,49,2012-02-01,Chattisgarh,Bastar,Maize,29.7,900.0,1120.0,1010.0,2012,2
4829,50,2012-03-01,Chattisgarh,Bastar,Maize,22.2,900.0,1000.0,985.0,2012,3
4942,51,2012-04-01,Chattisgarh,Bastar,Maize,1.4,985.0,985.0,985.0,2012,4
5050,52,2012-05-01,Chattisgarh,Bastar,Maize,19.8,800.0,800.0,800.0,2012,5
5192,53,2012-06-01,Chattisgarh,Bastar,Maize,52.5,900.0,950.0,900.0,2012,6
5333,54,2012-07-01,Chattisgarh,Bastar,Maize,14.0,850.0,850.0,850.0,2012,7
5469,55,2012-08-01,Chattisgarh,Bastar,Maize,22.2,1250.0,1300.0,1275.0,2012,8
5606,56,2012-09-01,Chattisgarh,Bastar,Maize,16.2,1250.0,1300.0,1275.0,2012,9
5736,57,2012-10-01,Chattisgarh,Bastar,Maize,0.5,800.0,900.0,850.0,2012,10
5850,58,2012-11-01,Chattisgarh,Bastar,Maize,1.0,1300.0,1400.0,1350.0,2012,11
5984,59,2012-12-01,Chattisgarh,Bastar,Maize,395.2,950.0,1330.0,1145.0,2012,12
6143,60,2013-01-01,Chattisgarh,Bastar,Maize,108.7,1100.0,1150.0,1125.0,2013,1
6319,61,2013-02-01,Chattisgarh,Bastar,Maize,33.0,1100.0,1200.0,1150.0,2013,2
6482,62,2013-03-01,Chattisgarh,Bastar,Maize,18.4,1200.0,1200.0,1200.0,2013,3
6624,63,2013-04-01,Chattisgarh,Bastar,Maize,19.2,1100.0,1200.0,1150.0,2013,4
6746,64,2013-05-01,Chattisgarh,Bastar,Maize,8.8,925.0,950.0,938.0,2013,5
6919,65,2013-06-01,Chattisgarh,Bastar,Maize,20.0,1100.0,1200.0,1150.0,2013,6
7121,66,2013-07-01,Chattisgarh,Bastar,Maize,16.0,1175.0,1175.0,1175.0,2013,7
7310,67,2013-08-01,Chattisgarh,Bastar,Maize,10.0,1000.0,1100.0,1050.0,2013,8
7478,68,2013-09-01,Chattisgarh,Bastar,Maize,20.0,1100.0,1200.0,1150.0,2013,9
7608,69,2013-10-01,Chattisgarh,Bastar,Maize,6.0,1200.0,1200.0,1200.0,2013,10
7726,70,2013-11-01,Chattisgarh,Bastar,Maize,8.3,900.0,950.0,925.0,2013,11
7867,71,2013-12-01,Chattisgarh,Bastar,Maize,40.0,1000.0,1100.0,1050.0,2013,12
8024,72,2014-01-01,Chattisgarh,Bastar,Maize,4.6,865.0,865.0,865.0,2014,1
8246,73,2014-02-01,Chattisgarh,Bastar,Maize,100.0,1000.0,1100.0,1050.0,2014,2
8463,74,2014-03-01,Chattisgarh,Bastar,Maize,85.0,1000.0,1000.0,1000.0,2014,3
8638,75,2014-04-01,Chattisgarh,Bastar,Maize,12.0,1000.0,1100.0,1050.0,2014,4
8782,76,2014-05-01,Chattisgarh,Bastar,Maize,100.0,900.0,1000.0,950.0,2014,5
8945,77,2014-06-01,Chattisgarh,Bastar,Maize,15.0,1100.0,1200.0,1150.0,2014,6
9090,78,2014-07-01,Chattisgarh,Bastar,Maize,25.0,1000.0,1200.0,1150.0,2014,7
9232,79,2014-08-01,Chattisgarh,Bastar,Maize,20.3,1100.0,1150.0,1125.0,2014,8
9348,80,2014-09-01,Chattisgarh,Bastar,Maize,15.6,1100.0,1150.0,1125.0,2014,9
9470,81,2014-10-01,Chattisgarh,Bastar,Maize,15.0,1000.0,1100.0,1050.0,2014,10
9559,82,2014-11-01,Chattisgarh,Bastar,Maize,15.1,1000.0,1000.0,1000.0,2014,11
9716,83,2014-12-01,Chattisgarh,Bastar,Maize,18.0,1000.0,1010.0,1005.0,2014,12
9904,84,2015-01-01,Chattisgarh,Bastar,Maize,40.0,1065.0,1115.0,1090.0,2015,1
10112,85,2015-02-01,Chattisgarh,Bastar,Maize,38.0,1000.0,1050.0,1000.0,2015,2
10258,86,2015-03-01,Chattisgarh,Bastar,Maize,6.0,1100.0,1100.0,1100.0,2015,3
10404,87,2015-04-01,Chattisgarh,Bastar,Maize,584.5,1050.0,1100.0,1050.0,2015,4
10541,88,2015-05-01,Chattisgarh,Bastar,Maize,20.0,1100.0,1100.0,1100.0,2015,5
10671,89,2015-06-01,Chattisgarh,Bastar,Maize,366.1,1000.0,1100.0,1050.0,2015,6
