,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Chattisgarh,Rajnandgaon,Maize,0.51,530.0,530.0,530.0,2008,1
13,1,2008-02-01,Chattisgarh,Rajnandgaon,Maize,0.06,591.0,591.0,591.0,2008,2
22,2,2008-03-01,Chattisgarh,Rajnandgaon,Maize,0.81,611.0,631.0,620.0,2008,3
33,3,2008-04-01,Chattisgarh,Rajnandgaon,Maize,0.42,535.0,535.0,535.0,2008,4
38,4,2008-05-01,Chattisgarh,Rajnandgaon,Maize,726.3,600.0,600.0,600.0,2008,5
61,5,2008-06-01,Chattisgarh,Rajnandgaon,Maize,68.8,600.0,600.0,600.0,2008,6
76,6,2008-07-01,Chattisgarh,Rajnandgaon,Maize,0.1,580.0,580.0,580.0,2008,7
83,7,2008-08-01,Chattisgarh,Rajnandgaon,Maize,0.48,600.0,600.0,600.0,2008,8
85,8,2008-09-01,Chattisgarh,Rajnandgaon,Maize,0.04,740.0,740.0,740.0,2008,9
92,9,2008-10-01,Chattisgarh,Rajnandgaon,Maize,1.32,650.0,709.0,680.0,2008,10
107,10,2008-11-01,Chattisgarh,Rajnandgaon,Maize,1.74,576.0,617.0,600.0,2008,11
126,11,2008-12-01,Chattisgarh,Rajnandgaon,Maize,0.94,650.0,700.0,660.0,2008,12
149,12,2009-01-01,Chattisgarh,Rajnandgaon,Maize,0.55,638.0,670.0,638.0,2009,1
175,13,2009-02-01,Chattisgarh,Rajnandgaon,Maize,0.33,709.0,733.0,709.0,2009,2
207,14,2009-03-01,Chattisgarh,Rajnandgaon,Maize,37.0,600.0,700.0,650.0,2009,3
248,15,2009-04-01,Chattisgarh,Rajnandgaon,Maize,12.5,600.0,700.0,650.0,2009,4
275,16,2009-05-01,Chattisgarh,Rajnandgaon,Maize,0.68,810.0,810.0,810.0,2009,5
302,17,2009-06-01,Chattisgarh,Rajnandgaon,Maize,49.0,600.0,700.0,650.0,2009,6
325,18,2009-07-01,Chattisgarh,Rajnandgaon,Maize,0.25,1950.0,1951.0,1950.0,2009,7
332,19,2009-08-01,Chattisgarh,Rajnandgaon,Maize,0.12,829.0,829.0,829.0,2009,8
338,20,2009-09-01,Chattisgarh,Rajnandgaon,Maize,0.41,774.0,870.0,870.0,2009,9
351,21,2009-10-01,Chattisgarh,Rajnandgaon,Maize,1.01,790.0,828.0,818.0,2009,10
366,22,2009-11-01,Chattisgarh,Rajnandgaon,Maize,4.7,800.0,800.0,800.0,2009,11
391,23,2009-12-01,Chattisgarh,Rajnandgaon,Maize,9.0,800.0,800.0,800.0,2009,12
416,24,2010-01-01,Chattisgarh,Rajnandgaon,Maize,1.14,846.0,862.0,846.0,2010,1
443,25,2010-02-01,Chattisgarh,Rajnandgaon,Maize,28.0,800.0,800.0,800.0,2010,2
475,26,2010-03-01,Chattisgarh,Rajnandgaon,Maize,48.4,800.0,800.0,800.0,2010,3
503,27,2010-04-01,Chattisgarh,Rajnandgaon,Maize,66.0,800.0,800.0,800.0,2010,4
530,28,2010-05-01,Chattisgarh,Rajnandgaon,Maize,0.3,801.0,801.0,801.0,2010,5
560,29,2010-06-01,Chattisgarh,Rajnandgaon,Maize,60.5,800.0,800.0,800.0,2010,6
582,30,2010-07-01,Chattisgarh,Rajnandgaon,Maize,1.5,811.0,811.0,811.0,2010,7
587,31,2010-08-01,Chattisgarh,Rajnandgaon,Maize,1.5,875.0,880.0,875.0,2010,8
592,32,2010-09-01,Chattisgarh,Rajnandgaon,Maize,0.5,843.0,843.0,843.0,2010,9
597,33,2010-10-01,Chattisgarh,Rajnandgaon,Maize,1.0,800.0,825.0,810.0,2010,10
608,34,2010-11-01,Chattisgarh,Rajnandgaon,Maize,2.5,760.0,766.0,760.0,2010,11
625,35,2010-12-01,Chattisgarh,Rajnandgaon,Maize,15.0,880.0,880.0,880.0,2010,12
653,36,2011-01-01,Chattisgarh,Rajnandgaon,Maize,0.5,800.0,800.0,800.0,2011,1
675,37,2011-02-01,Chattisgarh,Rajnandgaon,Maize,25.0,880.0,880.0,880.0,2011,2
706,38,2011-03-01,Chattisgarh,Rajnandgaon,Maize,15.0,880.0,880.0,880.0,2011,3
735,39,2011-04-01,Chattisgarh,Rajnandgaon,Maize,93.9,880.0,880.0,880.0,2011,4
769,40,2011-05-01,Chattisgarh,Rajnandgaon,Maize,9.0,900.0,900.0,900.0,2011,5
797,41,2011-06-01,Chattisgarh,Rajnandgaon,Maize,50.6,900.0,900.0,900.0,2011,6
831,42,2011-07-01,Chattisgarh,Rajnandgaon,Maize,14.0,900.0,900.0,900.0,2011,7
851,43,2011-08-01,Chattisgarh,Rajnandgaon,Maize,15.0,900.0,900.0,900.0,2011,8
858,44,2011-09-01,Chattisgarh,Rajnandgaon,Maize,6.0,900.0,900.0,900.0,2011,9
868,45,2011-10-01,Chattisgarh,Rajnandgaon,Maize,10.0,900.0,900.0,900.0,2011,10
885,46,2011-11-01,Chattisgarh,Rajnandgaon,Maize,0.8,735.0,810.0,760.0,2011,11
921,47,2011-12-01,Chattisgarh,Rajnandgaon,Maize,70.8,900.0,900.0,900.0,2011,12
962,48,2012-01-01,Chattisgarh,Rajnandgaon,Maize,16.0,900.0,900.0,900.0,2012,1
998,49,2012-02-01,Chattisgarh,Rajnandgaon,Maize,29.5,900.0,900.0,900.0,2012,2
1028,50,2012-03-01,Chattisgarh,Rajnandgaon,Maize,16.8,900.0,900.0,900.0,2012,3
1055,51,2012-04-01,Chattisgarh,Rajnandgaon,Maize,83.0,900.0,900.0,900.0,2012,4
1085,52,2012-05-01,Chattisgarh,Rajnandgaon,Maize,100.5,900.0,900.0,900.0,2012,5
1115,53,2012-06-01,Chattisgarh,Rajnandgaon,Maize,52.3,900.0,900.0,900.0,2012,6
1147,54,2012-07-01,Chattisgarh,Rajnandgaon,Maize,6.5,900.0,900.0,900.0,2012,7
1163,55,2012-08-01,Chattisgarh,Rajnandgaon,Maize,11.0,1000.0,1000.0,1000.0,2012,8
1172,56,2012-09-01,Chattisgarh,Rajnandgaon,Maize,14.0,1000.0,1000.0,1000.0,2012,9
1177,57,2012-10-01,Chattisgarh,Rajnandgaon,Maize,0.5,926.0,990.0,926.0,2012,10
1188,58,2012-11-01,Chattisgarh,Rajnandgaon,Maize,0.8,1121.0,1150.0,1134.0,2012,11
1214,59,2012-12-01,Chattisgarh,Rajnandgaon,Maize,27.0,1000.0,1000.0,1000.0,2012,12
1255,60,2013-01-01,Chattisgarh,Rajnandgaon,Maize,27.0,1000.0,1000.0,1000.0,2013,1
1295,61,2013-02-01,Chattisgarh,Rajnandgaon,Maize,20.0,1000.0,1000.0,1000.0,2013,2
1333,62,2013-03-01,Chattisgarh,Rajnandgaon,Maize,16.0,1000.0,1000.0,1000.0,2013,3
1383,63,2013-04-01,Chattisgarh,Rajnandgaon,Maize,30.9,1200.0,1200.0,1200.0,2013,4
1422,64,2013-05-01,Chattisgarh,Rajnandgaon,Maize,55.2,1200.0,1200.0,1200.0,2013,5
1469,65,2013-06-01,Chattisgarh,Rajnandgaon,Maize,49.5,1200.0,1200.0,1200.0,2013,6
1494,66,2013-07-01,Chattisgarh,Rajnandgaon,Maize,23.6,1200.0,1200.0,1200.0,2013,7
1509,67,2013-08-01,Chattisgarh,Rajnandgaon,Maize,6.0,1200.0,1200.0,1200.0,2013,8
1516,68,2013-09-01,Chattisgarh,Rajnandgaon,Maize,14.5,1200.0,1200.0,1200.0,2013,9
1517,69,2013-10-01,Chattisgarh,Rajnandgaon,Maize,20.0,1200.0,1200.0,1200.0,2013,10
1518,70,2013-11-01,Chattisgarh,Rajnandgaon,Maize,3.0,1200.0,1200.0,1200.0,2013,11
1523,71,2013-12-01,Chattisgarh,Rajnandgaon,Maize,2.5,1081.0,1081.0,1081.0,2013,12
1534,72,2014-01-01,Chattisgarh,Rajnandgaon,Maize,13.0,1200.0,1200.0,1200.0,2014,1
1561,73,2014-02-01,Chattisgarh,Rajnandgaon,Maize,18.0,1200.0,1200.0,1200.0,2014,2
1598,74,2014-03-01,Chattisgarh,Rajnandgaon,Maize,64.5,1200.0,1200.0,1200.0,2014,3
1628,75,2014-04-01,Chattisgarh,Rajnandgaon,Maize,26.0,1200.0,1200.0,1200.0,2014,4
1661,76,2014-05-01,Chattisgarh,Rajnandgaon,Maize,147.0,1200.0,1200.0,1200.0,2014,5
1697,77,2014-06-01,Chattisgarh,Rajnandgaon,Maize,99.6,1200.0,1200.0,1200.0,2014,6
1728,78,2014-07-01,Chattisgarh,Rajnandgaon,Maize,14.5,1200.0,1200.0,1200.0,2014,7
1751,79,2014-08-01,Chattisgarh,Rajnandgaon,Maize,2.5,1131.0,1131.0,1131.0,2014,8
1768,80,2014-09-01,Chattisgarh,Rajnandgaon,Maize,20.0,1200.0,1200.0,1200.0,2014,9
1776,81,2014-10-01,Chattisgarh,Rajnandgaon,Maize,6.0,1200.0,1200.0,1200.0,2014,10
1780,82,2014-11-01,Chattisgarh,Rajnandgaon,Maize,8.0,1200.0,1200.0,1200.0,2014,11
1799,83,2014-12-01,Chattisgarh,Rajnandgaon,Maize,1.1,960.0,960.0,960.0,2014,12
1819,84,2015-01-01,Chattisgarh,Rajnandgaon,Maize,20.0,1200.0,1200.0,1200.0,2015,1
1838,85,2015-02-01,Chattisgarh,Rajnandgaon,Maize,35.0,1200.0,1200.0,1200.0,2015,2
1863,86,2015-03-01,Chattisgarh,Rajnandgaon,Maize,52.0,1200.0,1200.0,1200.0,2015,3
1881,87,2015-04-01,Chattisgarh,Rajnandgaon,Maize,26.0,1200.0,1200.0,1200.0,2015,4
1909,88,2015-05-01,Chattisgarh,Rajnandgaon,Maize,48.0,1200.0,1200.0,1200.0,2015,5
1941,89,2015-06-01,Chattisgarh,Rajnandgaon,Maize,78.0,1200.0,1200.0,1200.0,2015,6
1967,90,2015-07-01,Chattisgarh,Rajnandgaon,Maize,4.0,1200.0,1200.0,1200.0,2015,7
1982,91,2015-08-01,Chattisgarh,Rajnandgaon,Maize,6.0,1200.0,1200.0,1200.0,2015,8
1992,92,2015-09-01,Chattisgarh,Rajnandgaon,Maize,31.0,1200.0,1200.0,1200.0,2015,9
1995,93,2015-10-01,Chattisgarh,Rajnandgaon,Maize,4.0,1325.0,1325.0,1325.0,2015,10
1998,94,2015-11-01,Chattisgarh,Rajnandgaon,Maize,7.5,1200.0,1200.0,1200.0,2015,11
2011,95,2015-12-01,Chattisgarh,Rajnandgaon,Maize,0.8,1232.0,1232.0,1232.0,2015,12
2026,96,2016-01-01,Chattisgarh,Rajnandgaon,Maize,28.0,1440.0,1440.0,1440.0,2016,1
2047,97,2016-02-01,Chattisgarh,Rajnandgaon,Maize,10.8,1400.0,1430.0,1422.0,2016,2
2061,98,2016-03-01,Chattisgarh,Rajnandgaon,Maize,19.0,1400.0,1400.0,1400.0,2016,3
2086,99,2016-04-01,Chattisgarh,Rajnandgaon,Maize,248.1,1310.0,1430.0,1375.0,2016,4
2109,100,2016-05-01,Chattisgarh,Rajnandgaon,Maize,24.0,1400.0,1400.0,1400.0,2016,5
2159,101,2016-06-01,Chattisgarh,Rajnandgaon,Maize,5.6,1400.0,1400.0,1400.0,2016,6
2186,102,2016-07-01,Chattisgarh,Rajnandgaon,Maize,142.5,1440.0,1679.0,1679.0,2016,7
2213,103,2016-08-01,Chattisgarh,Rajnandgaon,Maize,19.7,1645.0,1647.0,1647.0,2016,8
2230,104,2016-09-01,Chattisgarh,Rajnandgaon,Maize,157.5,1684.0,1728.0,1728.0,2016,9
2244,105,2016-10-01,Chattisgarh,Rajnandgaon,Maize,10.1,1815.0,1817.0,1817.0,2016,10
2251,106,2016-11-01,Chattisgarh,Rajnandgaon,Maize,143.4,1316.0,1393.0,1353.0,2016,11
2265,107,2016-12-01,Chattisgarh,Rajnandgaon,Maize,85.6,1403.0,1428.0,1419.0,2016,12
2286,108,2017-01-01,Chattisgarh,Rajnandgaon,Maize,50.0,1300.0,1375.0,1375.0,2017,1
2334,109,2017-02-01,Chattisgarh,Rajnandgaon,Maize,62.8,1284.0,1324.0,1310.0,2017,2
2374,110,2017-03-01,Chattisgarh,Rajnandgaon,Maize,12.0,1400.0,1400.0,1400.0,2017,3
2409,111,2017-04-01,Chattisgarh,Rajnandgaon,Maize,9.3,1440.0,1440.0,1440.0,2017,4
2439,112,2017-05-01,Chattisgarh,Rajnandgaon,Maize,38.9,1440.0,1440.0,1440.0,2017,5
2468,113,2017-06-01,Chattisgarh,Rajnandgaon,Maize,5.5,1440.0,1440.0,1440.0,2017,6
2484,114,2017-07-01,Chattisgarh,Rajnandgaon,Maize,34.08254385964912,1027.078947368421,1040.5438596491229,1035.1754385964912,2017,7
2485,115,2017-08-01,Chattisgarh,Rajnandgaon,Maize,34.08254385964912,1027.078947368421,1040.5438596491229,1035.1754385964912,2017,8
2486,116,2017-09-01,Chattisgarh,Rajnandgaon,Maize,34.08254385964912,1027.078947368421,1040.5438596491229,1035.1754385964912,2017,9
2487,117,2017-10-01,Chattisgarh,Rajnandgaon,Maize,34.08254385964912,1027.078947368421,1040.5438596491229,1035.1754385964912,2017,10
2488,118,2017-11-01,Chattisgarh,Rajnandgaon,Maize,34.08254385964912,1027.078947368421,1040.5438596491229,1035.1754385964912,2017,11
2489,119,2017-12-01,Chattisgarh,Rajnandgaon,Maize,34.08254385964912,1027.078947368421,1040.5438596491229,1035.1754385964912,2017,12
