,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2008,1
1,1,2008-02-01,Gujarat,Jamnagar,Maize,1.0,500.0,730.0,620.0,2008,2
4,2,2008-03-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2008,3
5,3,2008-04-01,Gujarat,Jamnagar,Maize,1.0,500.0,750.0,625.0,2008,4
7,4,2008-05-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2008,5
8,5,2008-06-01,Gujarat,Jamnagar,Maize,1.0,625.0,710.0,668.0,2008,6
9,6,2008-07-01,Gujarat,Jamnagar,Maize,1.0,500.0,700.0,600.0,2008,7
14,7,2008-08-01,Gujarat,Jamnagar,Maize,2.0,500.0,880.0,690.0,2008,8
15,8,2008-09-01,Gujarat,Jamnagar,Maize,0.4,755.0,850.0,803.0,2008,9
22,9,2008-10-01,Gujarat,Jamnagar,Maize,0.2,2160.0,2650.0,2405.0,2008,10
29,10,2008-11-01,Gujarat,Jamnagar,Maize,0.2,725.0,825.0,775.0,2008,11
31,11,2008-12-01,Gujarat,Jamnagar,Maize,1.0,750.0,770.0,760.0,2008,12
33,12,2009-01-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2009,1
34,13,2009-02-01,Gujarat,Jamnagar,Maize,1.0,625.0,755.0,690.0,2009,2
36,14,2009-03-01,Gujarat,Jamnagar,Maize,6.0,700.0,855.0,778.0,2009,3
37,15,2009-04-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2009,4
38,16,2009-05-01,Gujarat,Jamnagar,Maize,0.1,500.0,750.0,625.0,2009,5
40,17,2009-06-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2009,6
41,18,2009-07-01,Gujarat,Jamnagar,Maize,2.0,500.0,725.0,613.0,2009,7
42,19,2009-08-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2009,8
43,20,2009-09-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2009,9
44,21,2009-10-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2009,10
45,22,2009-11-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2009,11
46,23,2009-12-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2009,12
47,24,2010-01-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2010,1
48,25,2010-02-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2010,2
49,26,2010-03-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2010,3
50,27,2010-04-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2010,4
51,28,2010-05-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2010,5
52,29,2010-06-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2010,6
53,30,2010-07-01,Gujarat,Jamnagar,Maize,54.0,875.0,1035.0,955.0,2010,7
55,31,2010-08-01,Gujarat,Jamnagar,Maize,1.0,950.0,1100.0,1025.0,2010,8
57,32,2010-09-01,Gujarat,Jamnagar,Maize,1.0,750.0,955.0,880.0,2010,9
58,33,2010-10-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2010,10
59,34,2010-11-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2010,11
60,35,2010-12-01,Gujarat,Jamnagar,Maize,1.0,700.0,800.0,750.0,2010,12
63,36,2011-01-01,Gujarat,Jamnagar,Maize,1.0,750.0,900.0,825.0,2011,1
65,37,2011-02-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2011,2
66,38,2011-03-01,Gujarat,Jamnagar,Maize,1.0,650.0,750.0,700.0,2011,3
67,39,2011-04-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2011,4
68,40,2011-05-01,Gujarat,Jamnagar,Maize,3.0,750.0,1015.0,883.0,2011,5
72,41,2011-06-01,Gujarat,Jamnagar,Maize,1.0,750.0,880.0,815.0,2011,6
80,42,2011-07-01,Gujarat,Jamnagar,Maize,1.0,750.0,880.0,815.0,2011,7
86,43,2011-08-01,Gujarat,Jamnagar,Maize,1.0,1250.0,1380.0,1315.0,2011,8
87,44,2011-09-01,Gujarat,Jamnagar,Maize,1.0,1000.0,1095.0,1050.0,2011,9
89,45,2011-10-01,Gujarat,Jamnagar,Maize,2.0,1000.0,1230.0,1115.0,2011,10
92,46,2011-11-01,Gujarat,Jamnagar,Maize,2.0,1000.0,1150.0,1075.0,2011,11
94,47,2011-12-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2011,12
95,48,2012-01-01,Gujarat,Jamnagar,Maize,2.0,1020.0,1080.0,1050.0,2012,1
96,49,2012-02-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2012,2
97,50,2012-03-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2012,3
98,51,2012-04-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2012,4
99,52,2012-05-01,Gujarat,Jamnagar,Maize,0.1,680.0,730.0,700.0,2012,5
104,53,2012-06-01,Gujarat,Jamnagar,Maize,0.1,1005.0,1055.0,1035.0,2012,6
112,54,2012-07-01,Gujarat,Jamnagar,Maize,21.0,1140.0,1310.0,1225.0,2012,7
114,55,2012-08-01,Gujarat,Jamnagar,Maize,0.1,1150.0,1170.0,1160.0,2012,8
115,56,2012-09-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2012,9
116,57,2012-10-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2012,10
117,58,2012-11-01,Gujarat,Jamnagar,Maize,0.1,700.0,750.0,730.0,2012,11
119,59,2012-12-01,Gujarat,Jamnagar,Maize,1.0,1000.0,1375.0,1188.0,2012,12
121,60,2013-01-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2013,1
122,61,2013-02-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2013,2
123,62,2013-03-01,Gujarat,Jamnagar,Maize,3.0,1125.0,1440.0,1300.0,2013,3
125,63,2013-04-01,Gujarat,Jamnagar,Maize,2.0,1250.0,1350.0,1300.0,2013,4
129,64,2013-05-01,Gujarat,Jamnagar,Maize,1.0,1000.0,1200.0,1100.0,2013,5
135,65,2013-06-01,Gujarat,Jamnagar,Maize,1.0,1150.0,1240.0,1200.0,2013,6
141,66,2013-07-01,Gujarat,Jamnagar,Maize,1.0,1200.0,1330.0,1265.0,2013,7
142,67,2013-08-01,Gujarat,Jamnagar,Maize,2.344155844155843,1048.1168831168832,1238.7662337662337,1146.3636363636363,2013,8
143,68,2013-09-01,Gujarat,Jamnagar,Maize,0.6,1205.0,1535.0,1370.0,2013,9
164,69,2013-10-01,Gujarat,Jamnagar,Maize,0.1,1405.0,1405.0,1405.0,2013,10
175,70,2013-11-01,Gujarat,Jamnagar,Maize,0.4,1200.0,1510.0,1355.0,2013,11
182,71,2013-12-01,Gujarat,Jamnagar,Maize,0.8,1250.0,1445.0,1348.0,2013,12
201,72,2014-01-01,Gujarat,Jamnagar,Maize,0.2,810.0,1000.0,905.0,2014,1
223,73,2014-02-01,Gujarat,Jamnagar,Maize,0.2,1045.0,1045.0,1045.0,2014,2
