,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Gujarat,Panchmahals,Maize,2.0,700.0,710.0,705.0,2008,1
94,1,2008-02-01,Gujarat,Panchmahals,Maize,7.8,760.0,800.0,780.0,2008,2
159,2,2008-03-01,Gujarat,Panchmahals,Maize,2.7,740.0,750.0,745.0,2008,3
222,3,2008-04-01,Gujarat,Panchmahals,Maize,2.9,745.0,765.0,750.0,2008,4
293,4,2008-05-01,Gujarat,Panchmahals,Maize,26.0,780.0,810.0,790.0,2008,5
370,5,2008-06-01,Gujarat,Panchmahals,Maize,2.0,750.0,780.0,760.0,2008,6
425,6,2008-07-01,Gujarat,Panchmahals,Maize,1.0,850.0,870.0,860.0,2008,7
462,7,2008-08-01,Gujarat,Panchmahals,Maize,1.0,800.0,850.0,825.0,2008,8
492,8,2008-09-01,Gujarat,Panchmahals,Maize,10.6,800.0,805.0,805.0,2008,9
520,9,2008-10-01,Gujarat,Panchmahals,Maize,12.0,750.0,775.0,762.0,2008,10
531,10,2008-11-01,Gujarat,Panchmahals,Maize,3.0,740.0,775.0,757.0,2008,11
552,11,2008-12-01,Gujarat,Panchmahals,Maize,0.4,725.0,750.0,737.0,2008,12
583,12,2009-01-01,Gujarat,Panchmahals,Maize,16.0,750.0,775.0,760.0,2009,1
608,13,2009-02-01,Gujarat,Panchmahals,Maize,22.0,750.0,800.0,775.0,2009,2
611,14,2009-03-01,Gujarat,Panchmahals,Maize,0.5,800.0,820.0,810.0,2009,3
624,15,2009-04-01,Gujarat,Panchmahals,Maize,6.846601941747576,1173.7378640776699,1262.378640776699,1222.495145631068,2009,4
625,16,2009-05-01,Gujarat,Panchmahals,Maize,32.0,900.0,935.0,915.0,2009,5
626,17,2009-06-01,Gujarat,Panchmahals,Maize,6.846601941747576,1173.7378640776699,1262.378640776699,1222.495145631068,2009,6
627,18,2009-07-01,Gujarat,Panchmahals,Maize,6.846601941747576,1173.7378640776699,1262.378640776699,1222.495145631068,2009,7
628,19,2009-08-01,Gujarat,Panchmahals,Maize,6.846601941747576,1173.7378640776699,1262.378640776699,1222.495145631068,2009,8
629,20,2009-09-01,Gujarat,Panchmahals,Maize,6.846601941747576,1173.7378640776699,1262.378640776699,1222.495145631068,2009,9
630,21,2009-10-01,Gujarat,Panchmahals,Maize,2.5,950.0,1000.0,975.0,2009,10
637,22,2009-11-01,Gujarat,Panchmahals,Maize,6.2,930.0,1010.0,970.0,2009,11
664,23,2009-12-01,Gujarat,Panchmahals,Maize,1.5,1050.0,1100.0,1075.0,2009,12
688,24,2010-01-01,Gujarat,Panchmahals,Maize,1.2,910.0,1070.0,990.0,2010,1
705,25,2010-02-01,Gujarat,Panchmahals,Maize,1.1,925.0,1050.0,987.0,2010,2
713,26,2010-03-01,Gujarat,Panchmahals,Maize,6.846601941747576,1173.7378640776699,1262.378640776699,1222.495145631068,2010,3
714,27,2010-04-01,Gujarat,Panchmahals,Maize,4.0,875.0,1025.0,950.0,2010,4
719,28,2010-05-01,Gujarat,Panchmahals,Maize,12.0,850.0,1010.0,930.0,2010,5
744,29,2010-06-01,Gujarat,Panchmahals,Maize,5.2,945.0,1100.0,1022.0,2010,6
