,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Gujarat,Surat,Maize,0.6,750.0,780.0,775.0,2008,1
23,1,2008-02-01,Gujarat,Surat,Maize,0.3,830.0,850.0,840.0,2008,2
40,2,2008-03-01,Gujarat,Surat,Maize,0.1,800.0,800.0,800.0,2008,3
54,3,2008-04-01,Gujarat,Surat,Maize,0.4,800.0,825.0,810.0,2008,4
68,4,2008-05-01,Gujarat,Surat,Maize,0.2,750.0,780.0,765.0,2008,5
100,5,2008-06-01,Gujarat,Surat,Maize,10.0,695.0,695.0,695.0,2008,6
102,6,2008-07-01,Gujarat,Surat,Maize,0.3,900.0,910.0,905.0,2008,7
118,7,2008-08-01,Gujarat,Surat,Maize,0.1,910.0,910.0,910.0,2008,8
126,8,2008-09-01,Gujarat,Surat,Maize,0.2,650.0,815.0,735.0,2008,9
131,9,2008-10-01,Gujarat,Surat,Maize,4.0,725.0,810.0,775.0,2008,10
143,10,2008-11-01,Gujarat,Surat,Maize,1.1,790.0,815.0,805.0,2008,11
167,11,2008-12-01,Gujarat,Surat,Maize,0.2,800.0,800.0,800.0,2008,12
190,12,2009-01-01,Gujarat,Surat,Maize,10.4,750.0,780.0,765.0,2009,1
212,13,2009-02-01,Gujarat,Surat,Maize,0.4,800.0,850.0,0.0,2009,2
227,14,2009-03-01,Gujarat,Surat,Maize,4.4,602.0,602.0,602.0,2009,3
228,15,2009-04-01,Gujarat,Surat,Maize,0.2,780.0,880.0,830.0,2009,4
246,16,2009-05-01,Gujarat,Surat,Maize,0.7,810.0,810.0,810.0,2009,5
262,17,2009-06-01,Gujarat,Surat,Maize,0.8,705.0,845.0,775.0,2009,6
277,18,2009-07-01,Gujarat,Surat,Maize,0.2,610.0,1105.0,860.0,2009,7
280,19,2009-08-01,Gujarat,Surat,Maize,0.1,1055.0,1055.0,1055.0,2009,8
283,20,2009-09-01,Gujarat,Surat,Maize,0.2,495.0,910.0,705.0,2009,9
294,21,2009-10-01,Gujarat,Surat,Maize,6.6,980.0,1035.0,1010.0,2009,10
313,22,2009-11-01,Gujarat,Surat,Maize,0.3,1100.0,1100.0,1100.0,2009,11
339,23,2009-12-01,Gujarat,Surat,Maize,3.9,930.0,990.0,960.0,2009,12
373,24,2010-01-01,Gujarat,Surat,Maize,1.5,975.0,1040.0,1010.0,2010,1
406,25,2010-02-01,Gujarat,Surat,Maize,1.4,845.0,990.0,920.0,2010,2
428,26,2010-03-01,Gujarat,Surat,Maize,1.2,940.0,950.0,945.0,2010,3
449,27,2010-04-01,Gujarat,Surat,Maize,0.4,935.0,950.0,945.0,2010,4
473,28,2010-05-01,Gujarat,Surat,Maize,2.6,860.0,1070.0,965.0,2010,5
498,29,2010-06-01,Gujarat,Surat,Maize,1.0,970.0,1085.0,1000.0,2010,6
511,30,2010-07-01,Gujarat,Surat,Maize,0.2,895.0,1110.0,1005.0,2010,7
523,31,2010-08-01,Gujarat,Surat,Maize,0.5,955.0,1095.0,1025.0,2010,8
537,32,2010-09-01,Gujarat,Surat,Maize,0.2,750.0,1115.0,935.0,2010,9
555,33,2010-10-01,Gujarat,Surat,Maize,1.0,815.0,1115.0,965.0,2010,10
574,34,2010-11-01,Gujarat,Surat,Maize,3.2,955.0,1050.0,1005.0,2010,11
602,35,2010-12-01,Gujarat,Surat,Maize,1.7,875.0,1090.0,985.0,2010,12
623,36,2011-01-01,Gujarat,Surat,Maize,21.5,900.0,1060.0,980.0,2011,1
646,37,2011-02-01,Gujarat,Surat,Maize,0.7,930.0,1035.0,985.0,2011,2
660,38,2011-03-01,Gujarat,Surat,Maize,1.5,900.0,1055.0,980.0,2011,3
676,39,2011-04-01,Gujarat,Surat,Maize,0.9,1075.0,1135.0,1105.0,2011,4
695,40,2011-05-01,Gujarat,Surat,Maize,0.2,1150.0,1150.0,1150.0,2011,5
709,41,2011-06-01,Gujarat,Surat,Maize,0.4,1065.0,1165.0,1115.0,2011,6
