,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Gujarat,Vadodara(Baroda),Maize,12.1,775.0,800.0,800.0,2008,1
76,1,2008-02-01,Gujarat,Vadodara(Baroda),Maize,2.2,625.0,725.0,660.0,2008,2
190,2,2008-03-01,Gujarat,Vadodara(Baroda),Maize,3.4,700.0,750.0,720.0,2008,3
291,3,2008-04-01,Gujarat,Vadodara(Baroda),Maize,3.75,815.0,820.0,820.0,2008,4
342,4,2008-05-01,Gujarat,Vadodara(Baroda),Maize,6.1,825.0,825.0,825.0,2008,5
416,5,2008-06-01,Gujarat,Vadodara(Baroda),Maize,5.9,860.0,870.0,870.0,2008,6
466,6,2008-07-01,Gujarat,Vadodara(Baroda),Maize,2.1,980.0,990.0,990.0,2008,7
526,7,2008-08-01,Gujarat,Vadodara(Baroda),Maize,2.85,1020.0,1040.0,1040.0,2008,8
577,8,2008-09-01,Gujarat,Vadodara(Baroda),Maize,7.86,930.0,940.0,935.0,2008,9
643,9,2008-10-01,Gujarat,Vadodara(Baroda),Maize,7.85,930.0,940.0,935.0,2008,10
709,10,2008-11-01,Gujarat,Vadodara(Baroda),Maize,20.5,900.0,900.0,900.0,2008,11
782,11,2008-12-01,Gujarat,Vadodara(Baroda),Maize,5.6,820.0,820.0,820.0,2008,12
858,12,2009-01-01,Gujarat,Vadodara(Baroda),Maize,6.15,830.0,835.0,835.0,2009,1
949,13,2009-02-01,Gujarat,Vadodara(Baroda),Maize,3.8,660.0,750.0,700.0,2009,2
1054,14,2009-03-01,Gujarat,Vadodara(Baroda),Maize,3.8,675.0,785.0,725.0,2009,3
1168,15,2009-04-01,Gujarat,Vadodara(Baroda),Maize,9.0,700.0,815.0,745.0,2009,4
1300,16,2009-05-01,Gujarat,Vadodara(Baroda),Maize,5.4,710.0,815.0,765.0,2009,5
1386,17,2009-06-01,Gujarat,Vadodara(Baroda),Maize,8.55,940.0,940.0,940.0,2009,6
1468,18,2009-07-01,Gujarat,Vadodara(Baroda),Maize,7.8,760.0,925.0,835.0,2009,7
1550,19,2009-08-01,Gujarat,Vadodara(Baroda),Maize,37.5,1000.0,1050.0,1040.0,2009,8
1601,20,2009-09-01,Gujarat,Vadodara(Baroda),Maize,9.5,1071.0,1071.0,1071.0,2009,9
1674,21,2009-10-01,Gujarat,Vadodara(Baroda),Maize,0.85,950.0,1000.0,1000.0,2009,10
1736,22,2009-11-01,Gujarat,Vadodara(Baroda),Maize,10.0,940.0,960.0,950.0,2009,11
1809,23,2009-12-01,Gujarat,Vadodara(Baroda),Maize,2.0,1000.0,1000.0,1000.0,2009,12
1888,24,2010-01-01,Gujarat,Vadodara(Baroda),Maize,3.5,920.0,1085.0,970.0,2010,1
1950,25,2010-02-01,Gujarat,Vadodara(Baroda),Maize,3.0,875.0,985.0,890.0,2010,2
2035,26,2010-03-01,Gujarat,Vadodara(Baroda),Maize,51.87,980.0,980.0,980.0,2010,3
2106,27,2010-04-01,Gujarat,Vadodara(Baroda),Maize,17.91,980.0,980.0,980.0,2010,4
2184,28,2010-05-01,Gujarat,Vadodara(Baroda),Maize,22.62,980.0,980.0,980.0,2010,5
2253,29,2010-06-01,Gujarat,Vadodara(Baroda),Maize,6.94,1025.0,1030.0,1030.0,2010,6
2322,30,2010-07-01,Gujarat,Vadodara(Baroda),Maize,1.35,1025.0,1030.0,1030.0,2010,7
2399,31,2010-08-01,Gujarat,Vadodara(Baroda),Maize,5.75,1101.0,1101.0,1101.0,2010,8
2462,32,2010-09-01,Gujarat,Vadodara(Baroda),Maize,31.0,1045.0,1100.0,1075.0,2010,9
2525,33,2010-10-01,Gujarat,Vadodara(Baroda),Maize,1.0,1200.0,1200.0,1200.0,2010,10
2603,34,2010-11-01,Gujarat,Vadodara(Baroda),Maize,10.0,1011.0,1021.0,1021.0,2010,11
2684,35,2010-12-01,Gujarat,Vadodara(Baroda),Maize,11.0,750.0,900.0,830.0,2010,12
2786,36,2011-01-01,Gujarat,Vadodara(Baroda),Maize,26.0,940.0,1100.0,985.0,2011,1
2867,37,2011-02-01,Gujarat,Vadodara(Baroda),Maize,16.0,1050.0,1090.0,1090.0,2011,2
2937,38,2011-03-01,Gujarat,Vadodara(Baroda),Maize,9.8,1075.0,1100.0,1100.0,2011,3
2997,39,2011-04-01,Gujarat,Vadodara(Baroda),Maize,58.57,1200.0,1225.0,1225.0,2011,4
3070,40,2011-05-01,Gujarat,Vadodara(Baroda),Maize,4.25,1260.0,1275.0,1275.0,2011,5
3137,41,2011-06-01,Gujarat,Vadodara(Baroda),Maize,4.65,1225.0,1225.0,1225.0,2011,6
3203,42,2011-07-01,Gujarat,Vadodara(Baroda),Maize,4.0,1315.0,1325.0,1325.0,2011,7
3254,43,2011-08-01,Gujarat,Vadodara(Baroda),Maize,18.3,1290.0,1325.0,1325.0,2011,8
3314,44,2011-09-01,Gujarat,Vadodara(Baroda),Maize,2.9,1290.0,1325.0,1325.0,2011,9
3382,45,2011-10-01,Gujarat,Vadodara(Baroda),Maize,5.2,1200.0,1225.0,1225.0,2011,10
3442,46,2011-11-01,Gujarat,Vadodara(Baroda),Maize,19.5,1175.0,1225.0,1225.0,2011,11
3511,47,2011-12-01,Gujarat,Vadodara(Baroda),Maize,31.15,1100.0,1200.0,1200.0,2011,12
3580,48,2012-01-01,Gujarat,Vadodara(Baroda),Maize,0.7,100.0,1200.0,1100.0,2012,1
3653,49,2012-02-01,Gujarat,Vadodara(Baroda),Maize,77.9,1325.0,1350.0,1350.0,2012,2
3722,50,2012-03-01,Gujarat,Vadodara(Baroda),Maize,4.0,1355.0,1375.0,1375.0,2012,3
3789,51,2012-04-01,Gujarat,Vadodara(Baroda),Maize,5.0,1310.0,1325.0,1325.0,2012,4
3853,52,2012-05-01,Gujarat,Vadodara(Baroda),Maize,7.0,1340.0,1350.0,1350.0,2012,5
3916,53,2012-06-01,Gujarat,Vadodara(Baroda),Maize,6.25,1150.0,1200.0,1200.0,2012,6
3983,54,2012-07-01,Gujarat,Vadodara(Baroda),Maize,84.38,1175.0,1200.0,1200.0,2012,7
4055,55,2012-08-01,Gujarat,Vadodara(Baroda),Maize,1.0,1475.0,1500.0,1500.0,2012,8
4121,56,2012-09-01,Gujarat,Vadodara(Baroda),Maize,3.75,1600.0,1650.0,1650.0,2012,9
4184,57,2012-10-01,Gujarat,Vadodara(Baroda),Maize,3.63,1525.0,1550.0,1550.0,2012,10
4256,58,2012-11-01,Gujarat,Vadodara(Baroda),Maize,19.77,1325.0,1331.0,1331.0,2012,11
4315,59,2012-12-01,Gujarat,Vadodara(Baroda),Maize,6.7,1450.0,1475.0,1475.0,2012,12
4381,60,2013-01-01,Gujarat,Vadodara(Baroda),Maize,126.48,1500.0,1525.0,1525.0,2013,1
4456,61,2013-02-01,Gujarat,Vadodara(Baroda),Maize,1.75,1521.0,1550.0,1550.0,2013,2
4517,62,2013-03-01,Gujarat,Vadodara(Baroda),Maize,1.5,1000.0,1200.0,1100.0,2013,3
4576,63,2013-04-01,Gujarat,Vadodara(Baroda),Maize,2.35,1450.0,1475.0,1475.0,2013,4
4645,64,2013-05-01,Gujarat,Vadodara(Baroda),Maize,36.18,1411.0,1425.0,1425.0,2013,5
4720,65,2013-06-01,Gujarat,Vadodara(Baroda),Maize,9.9,1400.0,1450.0,1450.0,2013,6
4783,66,2013-07-01,Gujarat,Vadodara(Baroda),Maize,29.2,1470.0,1480.0,1480.0,2013,7
4834,67,2013-08-01,Gujarat,Vadodara(Baroda),Maize,3.9,1560.0,1575.0,1575.0,2013,8
4903,68,2013-09-01,Gujarat,Vadodara(Baroda),Maize,7.85,1600.0,1625.0,1625.0,2013,9
4963,69,2013-10-01,Gujarat,Vadodara(Baroda),Maize,6.0,1600.0,1625.0,1625.0,2013,10
5041,70,2013-11-01,Gujarat,Vadodara(Baroda),Maize,34.08,1600.0,1625.0,1625.0,2013,11
5096,71,2013-12-01,Gujarat,Vadodara(Baroda),Maize,8.13,1250.0,1300.0,1300.0,2013,12
5161,72,2014-01-01,Gujarat,Vadodara(Baroda),Maize,17.75,1250.0,1300.0,1300.0,2014,1
5227,73,2014-02-01,Gujarat,Vadodara(Baroda),Maize,2.0,1250.0,1300.0,1300.0,2014,2
5283,74,2014-03-01,Gujarat,Vadodara(Baroda),Maize,7.0,1350.0,1450.0,1450.0,2014,3
5352,75,2014-04-01,Gujarat,Vadodara(Baroda),Maize,3.2,1350.0,1450.0,1450.0,2014,4
5429,76,2014-05-01,Gujarat,Vadodara(Baroda),Maize,1.8,1250.0,1350.0,1350.0,2014,5
5532,77,2014-06-01,Gujarat,Vadodara(Baroda),Maize,3.0,1250.0,1300.0,1300.0,2014,6
5600,78,2014-07-01,Gujarat,Vadodara(Baroda),Maize,16.0,950.0,1160.0,1040.0,2014,7
5658,79,2014-08-01,Gujarat,Vadodara(Baroda),Maize,8.6,1450.0,1475.0,1475.0,2014,8
5715,80,2014-09-01,Gujarat,Vadodara(Baroda),Maize,3.8,1400.0,1450.0,1450.0,2014,9
5772,81,2014-10-01,Gujarat,Vadodara(Baroda),Maize,16.1,1400.0,1450.0,1450.0,2014,10
5839,82,2014-11-01,Gujarat,Vadodara(Baroda),Maize,9.7,1400.0,1450.0,1450.0,2014,11
5909,83,2014-12-01,Gujarat,Vadodara(Baroda),Maize,8.0,1250.0,1300.0,1300.0,2014,12
5985,84,2015-01-01,Gujarat,Vadodara(Baroda),Maize,25.44,1250.0,1300.0,1300.0,2015,1
6046,85,2015-02-01,Gujarat,Vadodara(Baroda),Maize,18.96,1250.0,1300.0,1300.0,2015,2
6084,86,2015-03-01,Gujarat,Vadodara(Baroda),Maize,17.363893805309736,1220.4424778761063,1270.345132743363,1258.7079646017698,2015,3
6085,87,2015-04-01,Gujarat,Vadodara(Baroda),Maize,4.0,1250.0,1450.0,1350.0,2015,4
6092,88,2015-05-01,Gujarat,Vadodara(Baroda),Maize,5.7,1250.0,1300.0,1270.0,2015,5
6126,89,2015-06-01,Gujarat,Vadodara(Baroda),Maize,42.5,1300.0,1350.0,1350.0,2015,6
6181,90,2015-07-01,Gujarat,Vadodara(Baroda),Maize,128.5,1300.0,1350.0,1350.0,2015,7
6241,91,2015-08-01,Gujarat,Vadodara(Baroda),Maize,139.0,1300.0,1350.0,1350.0,2015,8
6307,92,2015-09-01,Gujarat,Vadodara(Baroda),Maize,57.75,1300.0,1350.0,1350.0,2015,9
6364,93,2015-10-01,Gujarat,Vadodara(Baroda),Maize,80.0,1625.0,1650.0,1650.0,2015,10
6424,94,2015-11-01,Gujarat,Vadodara(Baroda),Maize,126.0,1450.0,1500.0,1500.0,2015,11
6478,95,2015-12-01,Gujarat,Vadodara(Baroda),Maize,15.9,1600.0,1650.0,1650.0,2015,12
6538,96,2016-01-01,Gujarat,Vadodara(Baroda),Maize,13.98,1575.0,1600.0,1600.0,2016,1
6580,97,2016-02-01,Gujarat,Vadodara(Baroda),Maize,34.64,1575.0,1600.0,1600.0,2016,2
6642,98,2016-03-01,Gujarat,Vadodara(Baroda),Maize,3.0,1700.0,1725.0,1725.0,2016,3
6678,99,2016-04-01,Gujarat,Vadodara(Baroda),Maize,20.0,1750.0,1800.0,1800.0,2016,4
6706,100,2016-05-01,Gujarat,Vadodara(Baroda),Maize,3.0,1750.0,1800.0,1800.0,2016,5
6783,101,2016-06-01,Gujarat,Vadodara(Baroda),Maize,4.38,1555.0,1560.0,1560.0,2016,6
6837,102,2016-07-01,Gujarat,Vadodara(Baroda),Maize,1.25,1555.0,1560.0,1560.0,2016,7
6882,103,2016-08-01,Gujarat,Vadodara(Baroda),Maize,13.69,1555.0,1560.0,1560.0,2016,8
6921,104,2016-09-01,Gujarat,Vadodara(Baroda),Maize,7.6,1555.0,1560.0,1560.0,2016,9
6975,105,2016-10-01,Gujarat,Vadodara(Baroda),Maize,6.6,1555.0,1560.0,1560.0,2016,10
7026,106,2016-11-01,Gujarat,Vadodara(Baroda),Maize,19.04,1555.0,1560.0,1560.0,2016,11
7086,107,2016-12-01,Gujarat,Vadodara(Baroda),Maize,4.65,1555.0,1560.0,1560.0,2016,12
7153,108,2017-01-01,Gujarat,Vadodara(Baroda),Maize,2.0,1555.0,1560.0,1560.0,2017,1
7210,109,2017-02-01,Gujarat,Vadodara(Baroda),Maize,24.85,1555.0,1560.0,1560.0,2017,2
7255,110,2017-03-01,Gujarat,Vadodara(Baroda),Maize,6.0,1555.0,1560.0,1560.0,2017,3
7299,111,2017-04-01,Gujarat,Vadodara(Baroda),Maize,10.52,1555.0,1560.0,1560.0,2017,4
7323,112,2017-05-01,Gujarat,Vadodara(Baroda),Maize,3.0,1555.0,1560.0,1560.0,2017,5
7386,113,2017-06-01,Gujarat,Vadodara(Baroda),Maize,5.0,1555.0,1560.0,1560.0,2017,6
7425,114,2017-07-01,Gujarat,Vadodara(Baroda),Maize,17.363893805309736,1220.4424778761063,1270.345132743363,1258.7079646017698,2017,7
7426,115,2017-08-01,Gujarat,Vadodara(Baroda),Maize,17.363893805309736,1220.4424778761063,1270.345132743363,1258.7079646017698,2017,8
7427,116,2017-09-01,Gujarat,Vadodara(Baroda),Maize,17.363893805309736,1220.4424778761063,1270.345132743363,1258.7079646017698,2017,9
7428,117,2017-10-01,Gujarat,Vadodara(Baroda),Maize,17.363893805309736,1220.4424778761063,1270.345132743363,1258.7079646017698,2017,10
7429,118,2017-11-01,Gujarat,Vadodara(Baroda),Maize,17.363893805309736,1220.4424778761063,1270.345132743363,1258.7079646017698,2017,11
7430,119,2017-12-01,Gujarat,Vadodara(Baroda),Maize,17.363893805309736,1220.4424778761063,1270.345132743363,1258.7079646017698,2017,12
