,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Bagalkot,Maize,10.0,600.0,600.0,600.0,2008,1
42,1,2008-02-01,Karnataka,Bagalkot,Maize,60.0,600.0,630.0,630.0,2008,2
85,2,2008-03-01,Karnataka,Bagalkot,Maize,21.0,656.0,682.0,675.0,2008,3
130,3,2008-04-01,Karnataka,Bagalkot,Maize,18.0,600.0,635.0,620.0,2008,4
177,4,2008-05-01,Karnataka,Bagalkot,Maize,47.0,600.0,690.0,640.0,2008,5
218,5,2008-06-01,Karnataka,Bagalkot,Maize,1.0,600.0,700.0,640.0,2008,6
251,6,2008-07-01,Karnataka,Bagalkot,Maize,1.0,880.0,880.0,880.0,2008,7
270,7,2008-08-01,Karnataka,Bagalkot,Maize,11.0,825.0,950.0,875.0,2008,8
286,8,2008-09-01,Karnataka,Bagalkot,Maize,10.0,775.0,860.0,820.0,2008,9
293,9,2008-10-01,Karnataka,Bagalkot,Maize,17.0,651.0,651.0,651.0,2008,10
333,10,2008-11-01,Karnataka,Bagalkot,Maize,20.0,750.0,750.0,750.0,2008,11
383,11,2008-12-01,Karnataka,Bagalkot,Maize,402.0,631.0,780.0,762.0,2008,12
404,12,2009-01-01,Karnataka,Bagalkot,Maize,337.0,675.0,747.0,728.0,2009,1
430,13,2009-02-01,Karnataka,Bagalkot,Maize,165.0,700.0,750.0,750.0,2009,2
468,14,2009-03-01,Karnataka,Bagalkot,Maize,99.0,718.0,752.0,747.0,2009,3
503,15,2009-04-01,Karnataka,Bagalkot,Maize,54.0,682.0,734.0,727.0,2009,4
535,16,2009-05-01,Karnataka,Bagalkot,Maize,30.0,750.0,750.0,750.0,2009,5
555,17,2009-06-01,Karnataka,Bagalkot,Maize,4.0,777.0,783.0,778.0,2009,6
573,18,2009-07-01,Karnataka,Bagalkot,Maize,9.0,750.0,750.0,750.0,2009,7
583,19,2009-08-01,Karnataka,Bagalkot,Maize,7.0,601.0,827.0,827.0,2009,8
593,20,2009-09-01,Karnataka,Bagalkot,Maize,1.0,766.0,766.0,766.0,2009,9
600,21,2009-10-01,Karnataka,Bagalkot,Maize,8.0,700.0,700.0,700.0,2009,10
638,22,2009-11-01,Karnataka,Bagalkot,Maize,17.0,770.0,770.0,770.0,2009,11
681,23,2009-12-01,Karnataka,Bagalkot,Maize,268.0,750.0,750.0,750.0,2009,12
730,24,2010-01-01,Karnataka,Bagalkot,Maize,57.0,780.0,800.0,790.0,2010,1
793,25,2010-02-01,Karnataka,Bagalkot,Maize,275.0,741.0,812.0,806.0,2010,2
836,26,2010-03-01,Karnataka,Bagalkot,Maize,20.0,750.0,825.0,800.0,2010,3
880,27,2010-04-01,Karnataka,Bagalkot,Maize,17.0,725.0,816.0,731.0,2010,4
917,28,2010-05-01,Karnataka,Bagalkot,Maize,31.0,760.0,822.0,806.0,2010,5
949,29,2010-06-01,Karnataka,Bagalkot,Maize,15.0,800.0,800.0,800.0,2010,6
985,30,2010-07-01,Karnataka,Bagalkot,Maize,19.0,910.0,920.0,915.0,2010,7
1015,31,2010-08-01,Karnataka,Bagalkot,Maize,100.0,850.0,900.0,870.0,2010,8
1029,32,2010-09-01,Karnataka,Bagalkot,Maize,1.0,981.0,981.0,981.0,2010,9
1034,33,2010-10-01,Karnataka,Bagalkot,Maize,46.0,901.0,975.0,955.0,2010,10
1071,34,2010-11-01,Karnataka,Bagalkot,Maize,669.0,816.0,895.0,872.0,2010,11
1088,35,2010-12-01,Karnataka,Bagalkot,Maize,14.0,870.0,870.0,870.0,2010,12
1144,36,2011-01-01,Karnataka,Bagalkot,Maize,114.0,839.0,925.0,902.0,2011,1
1175,37,2011-02-01,Karnataka,Bagalkot,Maize,134.0,912.0,952.0,942.0,2011,2
1228,38,2011-03-01,Karnataka,Bagalkot,Maize,14.0,961.0,1000.0,1000.0,2011,3
1254,39,2011-04-01,Karnataka,Bagalkot,Maize,45.0,1120.0,1120.0,1120.0,2011,4
1287,40,2011-05-01,Karnataka,Bagalkot,Maize,50.0,920.0,920.0,920.0,2011,5
1311,41,2011-06-01,Karnataka,Bagalkot,Maize,10.0,920.0,950.0,920.0,2011,6
