,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Belgaum,Maize,14.0,600.0,600.0,600.0,2008,1
60,1,2008-02-01,Karnataka,Belgaum,Maize,14.0,600.0,625.0,620.0,2008,2
126,2,2008-03-01,Karnataka,Belgaum,Maize,260.0,630.0,690.0,680.0,2008,3
190,3,2008-04-01,Karnataka,Belgaum,Maize,12.0,650.0,720.0,700.0,2008,4
256,4,2008-05-01,Karnataka,Belgaum,Maize,12.0,650.0,650.0,650.0,2008,5
336,5,2008-06-01,Karnataka,Belgaum,Maize,10.0,550.0,650.0,610.0,2008,6
414,6,2008-07-01,Karnataka,Belgaum,Maize,4.0,900.0,900.0,900.0,2008,7
482,7,2008-08-01,Karnataka,Belgaum,Maize,15.0,1000.0,1020.0,1020.0,2008,8
527,8,2008-09-01,Karnataka,Belgaum,Maize,50.0,1010.0,1010.0,1010.0,2008,9
539,9,2008-10-01,Karnataka,Belgaum,Maize,15.0,900.0,1100.0,1050.0,2008,10
578,10,2008-11-01,Karnataka,Belgaum,Maize,10.0,800.0,1000.0,900.0,2008,11
633,11,2008-12-01,Karnataka,Belgaum,Maize,34.0,750.0,840.0,820.0,2008,12
657,12,2009-01-01,Karnataka,Belgaum,Maize,60.0,800.0,800.0,800.0,2009,1
717,13,2009-02-01,Karnataka,Belgaum,Maize,100.0,700.0,780.0,760.0,2009,2
808,14,2009-03-01,Karnataka,Belgaum,Maize,10.0,650.0,800.0,755.0,2009,3
887,15,2009-04-01,Karnataka,Belgaum,Maize,5.0,720.0,750.0,730.0,2009,4
938,16,2009-05-01,Karnataka,Belgaum,Maize,15.0,750.0,800.0,775.0,2009,5
967,17,2009-06-01,Karnataka,Belgaum,Maize,15.0,700.0,800.0,750.0,2009,6
991,18,2009-07-01,Karnataka,Belgaum,Maize,50.0,814.0,814.0,814.0,2009,7
1016,19,2009-08-01,Karnataka,Belgaum,Maize,14.0,760.0,825.0,800.0,2009,8
1020,20,2009-09-01,Karnataka,Belgaum,Maize,12.0,780.0,845.0,815.0,2009,9
1039,21,2009-10-01,Karnataka,Belgaum,Maize,5.0,860.0,925.0,900.0,2009,10
1100,22,2009-11-01,Karnataka,Belgaum,Maize,10.0,800.0,850.0,830.0,2009,11
1177,23,2009-12-01,Karnataka,Belgaum,Maize,13.0,760.0,800.0,780.0,2009,12
1253,24,2010-01-01,Karnataka,Belgaum,Maize,17.0,840.0,840.0,840.0,2010,1
1342,25,2010-02-01,Karnataka,Belgaum,Maize,4.0,770.0,820.0,800.0,2010,2
1398,26,2010-03-01,Karnataka,Belgaum,Maize,10.0,750.0,850.0,800.0,2010,3
1472,27,2010-04-01,Karnataka,Belgaum,Maize,10.0,780.0,860.0,820.0,2010,4
1521,28,2010-05-01,Karnataka,Belgaum,Maize,302.0,770.0,830.0,800.0,2010,5
1580,29,2010-06-01,Karnataka,Belgaum,Maize,15.0,800.0,800.0,800.0,2010,6
1650,30,2010-07-01,Karnataka,Belgaum,Maize,14.0,940.0,960.0,950.0,2010,7
1709,31,2010-08-01,Karnataka,Belgaum,Maize,47.0,850.0,1000.0,970.0,2010,8
1767,32,2010-09-01,Karnataka,Belgaum,Maize,8.0,800.0,800.0,800.0,2010,9
1792,33,2010-10-01,Karnataka,Belgaum,Maize,7.0,840.0,840.0,840.0,2010,10
1829,34,2010-11-01,Karnataka,Belgaum,Maize,10.0,900.0,900.0,900.0,2010,11
1864,35,2010-12-01,Karnataka,Belgaum,Maize,73.0,900.0,900.0,900.0,2010,12
1920,36,2011-01-01,Karnataka,Belgaum,Maize,2.0,850.0,870.0,860.0,2011,1
1941,37,2011-02-01,Karnataka,Belgaum,Maize,11.0,850.0,950.0,900.0,2011,2
1990,38,2011-03-01,Karnataka,Belgaum,Maize,8.0,900.0,1000.0,975.0,2011,3
2017,39,2011-04-01,Karnataka,Belgaum,Maize,135.0,980.0,1100.0,1010.0,2011,4
2082,40,2011-05-01,Karnataka,Belgaum,Maize,18.0,1200.0,1250.0,1240.0,2011,5
2147,41,2011-06-01,Karnataka,Belgaum,Maize,18.0,1075.0,1100.0,1085.0,2011,6
2200,42,2011-07-01,Karnataka,Belgaum,Maize,14.0,1150.0,1213.0,1175.0,2011,7
2259,43,2011-08-01,Karnataka,Belgaum,Maize,7.0,1180.0,1225.0,1200.0,2011,8
2306,44,2011-09-01,Karnataka,Belgaum,Maize,16.0,1100.0,1200.0,1150.0,2011,9
2354,45,2011-10-01,Karnataka,Belgaum,Maize,4.0,1000.0,1100.0,1050.0,2011,10
2410,46,2011-11-01,Karnataka,Belgaum,Maize,3.0,920.0,1000.0,950.0,2011,11
2480,47,2011-12-01,Karnataka,Belgaum,Maize,12.0,1020.0,1040.0,1030.0,2011,12
2555,48,2012-01-01,Karnataka,Belgaum,Maize,694.0,980.0,1080.0,1050.0,2012,1
2634,49,2012-02-01,Karnataka,Belgaum,Maize,10.0,1030.0,1070.0,1050.0,2012,2
2694,50,2012-03-01,Karnataka,Belgaum,Maize,5.0,1020.0,1050.0,1040.0,2012,3
2764,51,2012-04-01,Karnataka,Belgaum,Maize,124.0,985.0,1100.0,1050.0,2012,4
2827,52,2012-05-01,Karnataka,Belgaum,Maize,20.0,1050.0,1150.0,1100.0,2012,5
2890,53,2012-06-01,Karnataka,Belgaum,Maize,7.0,1030.0,1135.0,1100.0,2012,6
2925,54,2012-07-01,Karnataka,Belgaum,Maize,19.0,1000.0,1350.0,1100.0,2012,7
2976,55,2012-08-01,Karnataka,Belgaum,Maize,1.0,1190.0,1220.0,1200.0,2012,8
3015,56,2012-09-01,Karnataka,Belgaum,Maize,7.0,1190.0,1230.0,1200.0,2012,9
3070,57,2012-10-01,Karnataka,Belgaum,Maize,5.0,1350.0,1450.0,1400.0,2012,10
3124,58,2012-11-01,Karnataka,Belgaum,Maize,9.0,1150.0,1250.0,1200.0,2012,11
3189,59,2012-12-01,Karnataka,Belgaum,Maize,36.0,1175.0,1370.0,1250.0,2012,12
3274,60,2013-01-01,Karnataka,Belgaum,Maize,14.0,1200.0,1300.0,1250.0,2013,1
3346,61,2013-02-01,Karnataka,Belgaum,Maize,42.0,1200.0,1400.0,1321.0,2013,2
3402,62,2013-03-01,Karnataka,Belgaum,Maize,13.0,1000.0,1000.0,1000.0,2013,3
3461,63,2013-04-01,Karnataka,Belgaum,Maize,19.0,1250.0,1350.0,1300.0,2013,4
3505,64,2013-05-01,Karnataka,Belgaum,Maize,25.0,1200.0,1300.0,1250.0,2013,5
3547,65,2013-06-01,Karnataka,Belgaum,Maize,5.0,1200.0,1350.0,1250.0,2013,6
3594,66,2013-07-01,Karnataka,Belgaum,Maize,10.0,1250.0,1350.0,1300.0,2013,7
3641,67,2013-08-01,Karnataka,Belgaum,Maize,13.0,1300.0,1450.0,1390.0,2013,8
3646,68,2013-09-01,Karnataka,Belgaum,Maize,102.0,1380.0,1500.0,1400.0,2013,9
3663,69,2013-10-01,Karnataka,Belgaum,Maize,15.0,1450.0,1550.0,1500.0,2013,10
3672,70,2013-11-01,Karnataka,Belgaum,Maize,383.0,1169.0,1251.0,1240.0,2013,11
3675,71,2013-12-01,Karnataka,Belgaum,Maize,90.0,850.0,1081.0,1025.0,2013,12
3677,72,2014-01-01,Karnataka,Belgaum,Maize,10.0,1100.0,1100.0,1100.0,2014,1
3763,73,2014-02-01,Karnataka,Belgaum,Maize,1.0,1150.0,1250.0,1200.0,2014,2
3831,74,2014-03-01,Karnataka,Belgaum,Maize,4.0,1100.0,1250.0,1195.0,2014,3
3905,75,2014-04-01,Karnataka,Belgaum,Maize,4.0,1150.0,1260.0,1200.0,2014,4
3965,76,2014-05-01,Karnataka,Belgaum,Maize,12.0,1152.0,1290.0,1240.0,2014,5
4041,77,2014-06-01,Karnataka,Belgaum,Maize,5.0,1200.0,1250.0,1230.0,2014,6
4119,78,2014-07-01,Karnataka,Belgaum,Maize,7.0,1230.0,1300.0,1280.0,2014,7
4196,79,2014-08-01,Karnataka,Belgaum,Maize,2.0,1250.0,1350.0,1300.0,2014,8
4245,80,2014-09-01,Karnataka,Belgaum,Maize,3.0,1300.0,1400.0,1350.0,2014,9
4317,81,2014-10-01,Karnataka,Belgaum,Maize,23.0,1100.0,1200.0,1160.0,2014,10
4382,82,2014-11-01,Karnataka,Belgaum,Maize,6.0,1100.0,1100.0,1100.0,2014,11
4482,83,2014-12-01,Karnataka,Belgaum,Maize,21.0,1100.0,1150.0,1140.0,2014,12
4596,84,2015-01-01,Karnataka,Belgaum,Maize,49.0,1140.0,1180.0,1155.0,2015,1
4716,85,2015-02-01,Karnataka,Belgaum,Maize,127.0,1150.0,1200.0,1180.0,2015,2
4802,86,2015-03-01,Karnataka,Belgaum,Maize,1.0,1160.0,1200.0,1190.0,2015,3
4899,87,2015-04-01,Karnataka,Belgaum,Maize,1.0,1100.0,1250.0,1150.0,2015,4
4984,88,2015-05-01,Karnataka,Belgaum,Maize,10.0,1200.0,1300.0,1280.0,2015,5
5064,89,2015-06-01,Karnataka,Belgaum,Maize,2.0,1200.0,1350.0,1300.0,2015,6
5141,90,2015-07-01,Karnataka,Belgaum,Maize,46.0,1250.0,1400.0,1300.0,2015,7
5206,91,2015-08-01,Karnataka,Belgaum,Maize,7.0,1250.0,1400.0,1300.0,2015,8
5266,92,2015-09-01,Karnataka,Belgaum,Maize,13.0,1350.0,1500.0,1400.0,2015,9
5343,93,2015-10-01,Karnataka,Belgaum,Maize,15.0,1300.0,1460.0,1450.0,2015,10
5417,94,2015-11-01,Karnataka,Belgaum,Maize,41.0,1300.0,1353.0,1338.0,2015,11
5510,95,2015-12-01,Karnataka,Belgaum,Maize,15.0,1350.0,1500.0,1485.0,2015,12
5612,96,2016-01-01,Karnataka,Belgaum,Maize,6.0,1300.0,1500.0,1400.0,2016,1
5682,97,2016-02-01,Karnataka,Belgaum,Maize,4.0,1320.0,1510.0,1400.0,2016,2
5731,98,2016-03-01,Karnataka,Belgaum,Maize,54.0,1400.0,1400.0,1400.0,2016,3
5819,99,2016-04-01,Karnataka,Belgaum,Maize,7.0,1300.0,1500.0,1400.0,2016,4
5891,100,2016-05-01,Karnataka,Belgaum,Maize,5.0,1450.0,1450.0,1450.0,2016,5
5955,101,2016-06-01,Karnataka,Belgaum,Maize,16.0,1400.0,1450.0,1425.0,2016,6
6025,102,2016-07-01,Karnataka,Belgaum,Maize,10.0,1700.0,1700.0,1700.0,2016,7
6094,103,2016-08-01,Karnataka,Belgaum,Maize,8.0,1650.0,1750.0,1700.0,2016,8
