,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Bellary,Maize,34.0,580.0,658.0,630.0,2008,1
56,1,2008-02-01,Karnataka,Bellary,Maize,56.0,630.0,650.0,640.0,2008,2
124,2,2008-03-01,Karnataka,Bellary,Maize,28.0,521.0,660.0,600.0,2008,3
191,3,2008-04-01,Karnataka,Bellary,Maize,39.0,569.0,698.0,670.0,2008,4
256,4,2008-05-01,Karnataka,Bellary,Maize,16.0,600.0,695.0,660.0,2008,5
306,5,2008-06-01,Karnataka,Bellary,Maize,4.0,601.0,850.0,725.0,2008,6
346,6,2008-07-01,Karnataka,Bellary,Maize,5.0,610.0,610.0,610.0,2008,7
363,7,2008-08-01,Karnataka,Bellary,Maize,20.0,1050.0,1050.0,1050.0,2008,8
382,8,2008-09-01,Karnataka,Bellary,Maize,7.0,880.0,960.0,925.0,2008,9
408,9,2008-10-01,Karnataka,Bellary,Maize,25.0,668.0,808.0,785.0,2008,10
468,10,2008-11-01,Karnataka,Bellary,Maize,74.0,716.0,853.0,816.0,2008,11
537,11,2008-12-01,Karnataka,Bellary,Maize,71.0,663.0,792.0,741.0,2008,12
578,12,2009-01-01,Karnataka,Bellary,Maize,5.0,680.0,737.0,692.0,2009,1
620,13,2009-02-01,Karnataka,Bellary,Maize,64.0,795.0,800.0,800.0,2009,2
676,14,2009-03-01,Karnataka,Bellary,Maize,125.0,760.0,865.0,800.0,2009,3
745,15,2009-04-01,Karnataka,Bellary,Maize,6.0,671.0,733.0,720.0,2009,4
801,16,2009-05-01,Karnataka,Bellary,Maize,23.0,718.0,766.0,748.0,2009,5
830,17,2009-06-01,Karnataka,Bellary,Maize,12.0,750.0,790.0,760.0,2009,6
876,18,2009-07-01,Karnataka,Bellary,Maize,3.0,758.0,793.0,770.0,2009,7
892,19,2009-08-01,Karnataka,Bellary,Maize,3.0,850.0,850.0,850.0,2009,8
904,20,2009-09-01,Karnataka,Bellary,Maize,6.0,750.0,750.0,750.0,2009,9
920,21,2009-10-01,Karnataka,Bellary,Maize,8.0,616.0,657.0,634.0,2009,10
1012,22,2009-11-01,Karnataka,Bellary,Maize,53.0,735.0,802.0,782.0,2009,11
