,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Bidar,Maize,3.618181818181818,,,,2008,1
1,1,2008-02-01,Karnataka,Bidar,Maize,3.618181818181818,,,,2008,2
2,2,2008-03-01,Karnataka,Bidar,Maize,3.618181818181818,,,,2008,3
3,3,2008-04-01,Karnataka,Bidar,Maize,3.618181818181818,,,,2008,4
4,4,2008-05-01,Karnataka,Bidar,Maize,3.618181818181818,,,,2008,5
5,5,2008-06-01,Karnataka,Bidar,Maize,3.618181818181818,,,,2008,6
6,6,2008-07-01,Karnataka,Bidar,Maize,3.618181818181818,,,,2008,7
7,7,2008-08-01,Karnataka,Bidar,Maize,3.618181818181818,,,,2008,8
8,8,2008-09-01,Karnataka,Bidar,Maize,3.618181818181818,,,,2008,9
9,9,2008-10-01,Karnataka,Bidar,Maize,3.618181818181818,,,,2008,10
10,10,2008-11-01,Karnataka,Bidar,Maize,3.0,800.0,800.0,800.0,2008,11
16,11,2008-12-01,Karnataka,Bidar,Maize,2.75,793.125,793.125,793.125,2008,12
17,12,2009-01-01,Karnataka,Bidar,Maize,2.5,786.25,786.25,786.25,2009,1
18,13,2009-02-01,Karnataka,Bidar,Maize,2.25,779.375,779.375,779.375,2009,2
19,14,2009-03-01,Karnataka,Bidar,Maize,2.0,772.5,772.5,772.5,2009,3
20,15,2009-04-01,Karnataka,Bidar,Maize,1.75,765.625,765.625,765.625,2009,4
21,16,2009-05-01,Karnataka,Bidar,Maize,1.5,758.75,758.75,758.75,2009,5
22,17,2009-06-01,Karnataka,Bidar,Maize,1.25,751.875,751.875,751.875,2009,6
23,18,2009-07-01,Karnataka,Bidar,Maize,1.0,745.0,745.0,745.0,2009,7
24,19,2009-08-01,Karnataka,Bidar,Maize,1.3333333333333333,713.3333333333334,738.3333333333334,730.0,2009,8
25,20,2009-09-01,Karnataka,Bidar,Maize,1.6666666666666665,681.6666666666666,731.6666666666666,715.0,2009,9
26,21,2009-10-01,Karnataka,Bidar,Maize,2.0,650.0,725.0,700.0,2009,10
27,22,2009-11-01,Karnataka,Bidar,Maize,1.5,728.0,837.5,753.0,2009,11
28,23,2009-12-01,Karnataka,Bidar,Maize,1.0,806.0,950.0,806.0,2009,12
29,24,2010-01-01,Karnataka,Bidar,Maize,1.0,850.0,850.0,850.0,2010,1
30,25,2010-02-01,Karnataka,Bidar,Maize,1.3333333333333333,853.6666666666666,853.6666666666666,853.6666666666666,2010,2
31,26,2010-03-01,Karnataka,Bidar,Maize,1.6666666666666665,857.3333333333334,857.3333333333334,857.3333333333334,2010,3
32,27,2010-04-01,Karnataka,Bidar,Maize,2.0,861.0,861.0,861.0,2010,4
34,28,2010-05-01,Karnataka,Bidar,Maize,1.5,898.5,898.5,898.5,2010,5
35,29,2010-06-01,Karnataka,Bidar,Maize,1.0,936.0,936.0,936.0,2010,6
36,30,2010-07-01,Karnataka,Bidar,Maize,1.0,952.0,952.0,952.0,2010,7
37,31,2010-08-01,Karnataka,Bidar,Maize,1.0,968.0,968.0,968.0,2010,8
38,32,2010-09-01,Karnataka,Bidar,Maize,1.0,984.0,984.0,984.0,2010,9
39,33,2010-10-01,Karnataka,Bidar,Maize,1.0,1000.0,1000.0,1000.0,2010,10
40,34,2010-11-01,Karnataka,Bidar,Maize,3.0,907.5,930.0,907.5,2010,11
41,35,2010-12-01,Karnataka,Bidar,Maize,5.0,815.0,860.0,815.0,2010,12
42,36,2011-01-01,Karnataka,Bidar,Maize,3.5,898.0,970.0,898.0,2011,1
43,37,2011-02-01,Karnataka,Bidar,Maize,2.0,981.0,1080.0,981.0,2011,2
44,38,2011-03-01,Karnataka,Bidar,Maize,2.5,940.5,1090.0,990.5,2011,3
45,39,2011-04-01,Karnataka,Bidar,Maize,3.0,900.0,1100.0,1000.0,2011,4
47,40,2011-05-01,Karnataka,Bidar,Maize,2.5,895.0,1078.0,975.25,2011,5
48,41,2011-06-01,Karnataka,Bidar,Maize,2.0,890.0,1056.0,950.5,2011,6
49,42,2011-07-01,Karnataka,Bidar,Maize,1.5,885.0,1034.0,925.75,2011,7
50,43,2011-08-01,Karnataka,Bidar,Maize,1.0,880.0,1012.0,901.0,2011,8
51,44,2011-09-01,Karnataka,Bidar,Maize,11.0,2000.0,3540.0,3000.0,2011,9
52,45,2011-10-01,Karnataka,Bidar,Maize,1.0,951.0,951.0,951.0,2011,10
54,46,2011-11-01,Karnataka,Bidar,Maize,1.0,955.0,955.0,955.0,2011,11
69,47,2011-12-01,Karnataka,Bidar,Maize,1.0,945.0,1014.0,945.0,2011,12
71,48,2012-01-01,Karnataka,Bidar,Maize,1.6666666666666665,1002.0,1048.0,1002.0,2012,1
72,49,2012-02-01,Karnataka,Bidar,Maize,2.333333333333333,1059.0,1082.0,1059.0,2012,2
73,50,2012-03-01,Karnataka,Bidar,Maize,3.0,1116.0,1116.0,1116.0,2012,3
76,51,2012-04-01,Karnataka,Bidar,Maize,1.0,900.0,1000.0,950.0,2012,4
80,52,2012-05-01,Karnataka,Bidar,Maize,2.0,1000.0,1125.0,1050.0,2012,5
88,53,2012-06-01,Karnataka,Bidar,Maize,1.0,1020.0,1020.0,1020.0,2012,6
90,54,2012-07-01,Karnataka,Bidar,Maize,3.3333333333333335,1096.6666666666667,1122.0,1100.0,2012,7
91,55,2012-08-01,Karnataka,Bidar,Maize,5.666666666666667,1173.3333333333333,1224.0,1180.0,2012,8
92,56,2012-09-01,Karnataka,Bidar,Maize,8.0,1250.0,1326.0,1260.0,2012,9
93,57,2012-10-01,Karnataka,Bidar,Maize,4.0,1050.0,1050.0,1050.0,2012,10
94,58,2012-11-01,Karnataka,Bidar,Maize,2.0,1050.0,1050.0,1050.0,2012,11
98,59,2012-12-01,Karnataka,Bidar,Maize,1.0,1200.0,1200.0,1200.0,2012,12
100,60,2013-01-01,Karnataka,Bidar,Maize,1.0,1166.6666666666667,1166.6666666666667,1166.6666666666667,2013,1
101,61,2013-02-01,Karnataka,Bidar,Maize,1.0,1133.3333333333333,1133.3333333333333,1133.3333333333333,2013,2
102,62,2013-03-01,Karnataka,Bidar,Maize,1.0,1100.0,1100.0,1100.0,2013,3
103,63,2013-04-01,Karnataka,Bidar,Maize,2.4,1099.1,1109.0,1101.0,2013,4
104,64,2013-05-01,Karnataka,Bidar,Maize,3.8,1098.2,1118.0,1102.0,2013,5
105,65,2013-06-01,Karnataka,Bidar,Maize,5.199999999999999,1097.3,1127.0,1103.0,2013,6
106,66,2013-07-01,Karnataka,Bidar,Maize,6.6,1096.4,1136.0,1104.0,2013,7
107,67,2013-08-01,Karnataka,Bidar,Maize,8.0,1095.5,1145.0,1105.0,2013,8
108,68,2013-09-01,Karnataka,Bidar,Maize,9.399999999999999,1094.6,1154.0,1106.0,2013,9
