,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Chikmagalur,Maize,1.0,550.0,700.0,660.0,2008,1
14,1,2008-02-01,Karnataka,Chikmagalur,Maize,10.0,400.0,600.0,500.0,2008,2
31,2,2008-03-01,Karnataka,Chikmagalur,Maize,10.0,450.0,550.0,500.0,2008,3
50,3,2008-04-01,Karnataka,Chikmagalur,Maize,7.0,500.0,600.0,550.0,2008,4
54,4,2008-05-01,Karnataka,Chikmagalur,Maize,1.0,550.0,650.0,600.0,2008,5
56,5,2008-06-01,Karnataka,Chikmagalur,Maize,13.0,650.0,800.0,700.0,2008,6
58,6,2008-07-01,Karnataka,Chikmagalur,Maize,21.0,600.0,700.0,650.0,2008,7
60,7,2008-08-01,Karnataka,Chikmagalur,Maize,9.0,580.0,700.0,622.0,2008,8
61,8,2008-09-01,Karnataka,Chikmagalur,Maize,10.0,550.0,650.0,600.0,2008,9
62,9,2008-10-01,Karnataka,Chikmagalur,Maize,5.5,600.0,675.0,637.5,2008,10
63,10,2008-11-01,Karnataka,Chikmagalur,Maize,1.0,650.0,700.0,675.0,2008,11
82,11,2008-12-01,Karnataka,Chikmagalur,Maize,16.0,800.0,875.0,840.0,2008,12
92,12,2009-01-01,Karnataka,Chikmagalur,Maize,16.0,780.0,840.0,800.0,2009,1
105,13,2009-02-01,Karnataka,Chikmagalur,Maize,74.0,820.0,850.0,825.0,2009,2
123,14,2009-03-01,Karnataka,Chikmagalur,Maize,10.0,650.0,750.0,710.0,2009,3
133,15,2009-04-01,Karnataka,Chikmagalur,Maize,330.0,725.0,765.0,745.0,2009,4
134,16,2009-05-01,Karnataka,Chikmagalur,Maize,186.5,732.5,762.5,750.0,2009,5
135,17,2009-06-01,Karnataka,Chikmagalur,Maize,43.0,740.0,760.0,755.0,2009,6
138,18,2009-07-01,Karnataka,Chikmagalur,Maize,42.0,797.0,897.0,847.0,2009,7
139,19,2009-08-01,Karnataka,Chikmagalur,Maize,33.333333333333336,531.3333333333333,891.3333333333334,841.3333333333334,2009,8
140,20,2009-09-01,Karnataka,Chikmagalur,Maize,24.666666666666668,265.66666666666663,885.6666666666666,835.6666666666666,2009,9
141,21,2009-10-01,Karnataka,Chikmagalur,Maize,16.0,0.0,880.0,830.0,2009,10
154,22,2009-11-01,Karnataka,Chikmagalur,Maize,37.0,700.0,800.0,762.0,2009,11
193,23,2009-12-01,Karnataka,Chikmagalur,Maize,26.0,784.0,902.0,902.0,2009,12
243,24,2010-01-01,Karnataka,Chikmagalur,Maize,49.0,840.0,905.0,860.0,2010,1
274,25,2010-02-01,Karnataka,Chikmagalur,Maize,180.0,770.0,806.0,806.0,2010,2
280,26,2010-03-01,Karnataka,Chikmagalur,Maize,5.0,0.0,0.0,820.0,2010,3
286,27,2010-04-01,Karnataka,Chikmagalur,Maize,20.0,800.0,800.0,800.0,2010,4
290,28,2010-05-01,Karnataka,Chikmagalur,Maize,8.0,800.0,800.0,800.0,2010,5
295,29,2010-06-01,Karnataka,Chikmagalur,Maize,7.0,800.0,800.0,800.0,2010,6
297,30,2010-07-01,Karnataka,Chikmagalur,Maize,10.5,940.0,940.0,940.0,2010,7
298,31,2010-08-01,Karnataka,Chikmagalur,Maize,14.0,1080.0,1080.0,1080.0,2010,8
299,32,2010-09-01,Karnataka,Chikmagalur,Maize,10.0,700.0,700.0,700.0,2010,9
302,33,2010-10-01,Karnataka,Chikmagalur,Maize,46.0,1020.0,1124.0,1091.0,2010,10
306,34,2010-11-01,Karnataka,Chikmagalur,Maize,128.0,800.0,1000.0,900.0,2010,11
325,35,2010-12-01,Karnataka,Chikmagalur,Maize,28.0,0.0,0.0,1040.0,2010,12
390,36,2011-01-01,Karnataka,Chikmagalur,Maize,36.0,960.0,960.0,960.0,2011,1
434,37,2011-02-01,Karnataka,Chikmagalur,Maize,100.0,0.0,0.0,800.0,2011,2
457,38,2011-03-01,Karnataka,Chikmagalur,Maize,15.0,900.0,1070.0,1000.0,2011,3
469,39,2011-04-01,Karnataka,Chikmagalur,Maize,20.0,0.0,0.0,1100.0,2011,4
480,40,2011-05-01,Karnataka,Chikmagalur,Maize,12.0,800.0,800.0,800.0,2011,5
484,41,2011-06-01,Karnataka,Chikmagalur,Maize,10.0,1100.0,1100.0,1100.0,2011,6
490,42,2011-07-01,Karnataka,Chikmagalur,Maize,20.0,950.0,1078.0,1000.0,2011,7
497,43,2011-08-01,Karnataka,Chikmagalur,Maize,7.0,1000.0,1000.0,1000.0,2011,8
498,44,2011-09-01,Karnataka,Chikmagalur,Maize,76.0,875.0,875.0,875.0,2011,9
500,45,2011-10-01,Karnataka,Chikmagalur,Maize,7.0,840.0,840.0,840.0,2011,10
528,46,2011-11-01,Karnataka,Chikmagalur,Maize,95.0,725.0,1000.0,825.0,2011,11
595,47,2011-12-01,Karnataka,Chikmagalur,Maize,8.0,950.0,1200.0,1000.0,2011,12
690,48,2012-01-01,Karnataka,Chikmagalur,Maize,434.0,1000.0,1110.0,1075.0,2012,1
762,49,2012-02-01,Karnataka,Chikmagalur,Maize,637.0,1100.0,1120.0,1100.0,2012,2
812,50,2012-03-01,Karnataka,Chikmagalur,Maize,10.0,980.0,1100.0,1000.0,2012,3
847,51,2012-04-01,Karnataka,Chikmagalur,Maize,17.0,1000.0,1100.0,1000.0,2012,4
868,52,2012-05-01,Karnataka,Chikmagalur,Maize,15.0,980.0,1100.0,1000.0,2012,5
883,53,2012-06-01,Karnataka,Chikmagalur,Maize,23.0,980.0,1100.0,1000.0,2012,6
896,54,2012-07-01,Karnataka,Chikmagalur,Maize,26.0,1000.0,1150.0,1043.0,2012,7
905,55,2012-08-01,Karnataka,Chikmagalur,Maize,43.0,1200.0,1600.0,1530.0,2012,8
915,56,2012-09-01,Karnataka,Chikmagalur,Maize,20.0,1000.0,1400.0,1200.0,2012,9
937,57,2012-10-01,Karnataka,Chikmagalur,Maize,27.0,1100.0,1300.0,1250.0,2012,10
966,58,2012-11-01,Karnataka,Chikmagalur,Maize,54.0,1100.0,1400.0,1200.0,2012,11
1012,59,2012-12-01,Karnataka,Chikmagalur,Maize,141.0,1200.0,1370.0,1300.0,2012,12
1079,60,2013-01-01,Karnataka,Chikmagalur,Maize,19.0,1050.0,1400.0,1050.0,2013,1
1134,61,2013-02-01,Karnataka,Chikmagalur,Maize,523.0,1250.0,1385.0,1318.0,2013,2
1172,62,2013-03-01,Karnataka,Chikmagalur,Maize,15.0,1200.0,1200.0,1200.0,2013,3
1186,63,2013-04-01,Karnataka,Chikmagalur,Maize,2.0,1400.0,1400.0,1400.0,2013,4
1193,64,2013-05-01,Karnataka,Chikmagalur,Maize,104.0,1218.0,1418.0,1318.0,2013,5
1203,65,2013-06-01,Karnataka,Chikmagalur,Maize,4.0,1325.0,1325.0,1325.0,2013,6
1211,66,2013-07-01,Karnataka,Chikmagalur,Maize,255.0,1200.0,1420.0,1300.0,2013,7
1215,67,2013-08-01,Karnataka,Chikmagalur,Maize,132.5,1200.0,1310.0,1250.0,2013,8
1216,68,2013-09-01,Karnataka,Chikmagalur,Maize,10.0,1200.0,1200.0,1200.0,2013,9
1218,69,2013-10-01,Karnataka,Chikmagalur,Maize,12.5,1200.0,1200.0,1200.0,2013,10
1219,70,2013-11-01,Karnataka,Chikmagalur,Maize,15.0,1200.0,1200.0,1200.0,2013,11
1220,71,2013-12-01,Karnataka,Chikmagalur,Maize,17.5,1200.0,1200.0,1200.0,2013,12
1221,72,2014-01-01,Karnataka,Chikmagalur,Maize,20.0,1200.0,1200.0,1200.0,2014,1
1275,73,2014-02-01,Karnataka,Chikmagalur,Maize,153.0,1225.0,1250.0,1235.0,2014,2
1307,74,2014-03-01,Karnataka,Chikmagalur,Maize,216.0,1150.0,1460.0,1210.0,2014,3
1330,75,2014-04-01,Karnataka,Chikmagalur,Maize,17.0,1275.0,1275.0,1275.0,2014,4
1342,76,2014-05-01,Karnataka,Chikmagalur,Maize,45.0,1200.0,1342.0,1294.0,2014,5
1352,77,2014-06-01,Karnataka,Chikmagalur,Maize,81.0,1460.0,1466.0,1462.0,2014,6
1357,78,2014-07-01,Karnataka,Chikmagalur,Maize,8.0,880.0,1080.0,980.0,2014,7
1358,79,2014-08-01,Karnataka,Chikmagalur,Maize,6.0,960.0,1160.0,1060.0,2014,8
1359,80,2014-09-01,Karnataka,Chikmagalur,Maize,6.0,900.0,1200.0,1040.0,2014,9
1361,81,2014-10-01,Karnataka,Chikmagalur,Maize,18.0,800.0,1200.0,1000.0,2014,10
1363,82,2014-11-01,Karnataka,Chikmagalur,Maize,7.0,700.0,1200.0,900.0,2014,11
1370,83,2014-12-01,Karnataka,Chikmagalur,Maize,15.0,800.0,1200.0,1000.0,2014,12
1381,84,2015-01-01,Karnataka,Chikmagalur,Maize,150.0,1200.0,1400.0,1310.0,2015,1
1461,85,2015-02-01,Karnataka,Chikmagalur,Maize,180.0,1150.0,1150.0,1150.0,2015,2
1497,86,2015-03-01,Karnataka,Chikmagalur,Maize,3.0,1100.0,1300.0,1110.0,2015,3
1525,87,2015-04-01,Karnataka,Chikmagalur,Maize,43.0,1100.0,1500.0,1400.0,2015,4
1552,88,2015-05-01,Karnataka,Chikmagalur,Maize,97.0,1100.0,1400.0,1110.0,2015,5
1565,89,2015-06-01,Karnataka,Chikmagalur,Maize,20.0,1100.0,1600.0,1510.0,2015,6
1572,90,2015-07-01,Karnataka,Chikmagalur,Maize,130.0,1100.0,1550.0,1500.0,2015,7
1584,91,2015-08-01,Karnataka,Chikmagalur,Maize,16.0,1400.0,1400.0,1400.0,2015,8
1596,92,2015-09-01,Karnataka,Chikmagalur,Maize,11.0,1325.0,1600.0,1325.0,2015,9
1611,93,2015-10-01,Karnataka,Chikmagalur,Maize,5.0,1325.0,1600.0,1325.0,2015,10
