,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Davangere,Maize,130.0,600.0,700.0,650.0,2008,1
71,1,2008-02-01,Karnataka,Davangere,Maize,62.0,600.0,700.0,650.0,2008,2
140,2,2008-03-01,Karnataka,Davangere,Maize,130.0,600.0,700.0,650.0,2008,3
236,3,2008-04-01,Karnataka,Davangere,Maize,42.0,600.0,680.0,640.0,2008,4
335,4,2008-05-01,Karnataka,Davangere,Maize,20.0,700.0,800.0,750.0,2008,5
413,5,2008-06-01,Karnataka,Davangere,Maize,121.0,660.0,720.0,700.0,2008,6
464,6,2008-07-01,Karnataka,Davangere,Maize,38.0,800.0,800.0,800.0,2008,7
507,7,2008-08-01,Karnataka,Davangere,Maize,215.0,730.0,1000.0,850.0,2008,8
551,8,2008-09-01,Karnataka,Davangere,Maize,36.0,0.0,970.0,970.0,2008,9
574,9,2008-10-01,Karnataka,Davangere,Maize,381.0,692.0,830.0,780.0,2008,10
629,10,2008-11-01,Karnataka,Davangere,Maize,15.0,650.0,710.0,680.0,2008,11
695,11,2008-12-01,Karnataka,Davangere,Maize,100.0,760.0,790.0,775.0,2008,12
737,12,2009-01-01,Karnataka,Davangere,Maize,59.0,750.0,850.0,800.0,2009,1
798,13,2009-02-01,Karnataka,Davangere,Maize,103.0,700.0,800.0,750.0,2009,2
908,14,2009-03-01,Karnataka,Davangere,Maize,805.0,840.0,840.0,840.0,2009,3
991,15,2009-04-01,Karnataka,Davangere,Maize,114.0,750.0,850.0,800.0,2009,4
1059,16,2009-05-01,Karnataka,Davangere,Maize,500.0,720.0,760.0,740.0,2009,5
1101,17,2009-06-01,Karnataka,Davangere,Maize,70.0,740.0,790.0,760.0,2009,6
1161,18,2009-07-01,Karnataka,Davangere,Maize,16.0,700.0,835.0,765.0,2009,7
1223,19,2009-08-01,Karnataka,Davangere,Maize,20.0,700.0,830.0,745.0,2009,8
1230,20,2009-09-01,Karnataka,Davangere,Maize,57.0,700.0,820.0,760.0,2009,9
1241,21,2009-10-01,Karnataka,Davangere,Maize,5.0,650.0,820.0,730.0,2009,10
1291,22,2009-11-01,Karnataka,Davangere,Maize,1200.0,650.0,785.0,700.0,2009,11
1362,23,2009-12-01,Karnataka,Davangere,Maize,210.0,785.0,815.0,800.0,2009,12
1454,24,2010-01-01,Karnataka,Davangere,Maize,44.0,800.0,900.0,850.0,2010,1
1570,25,2010-02-01,Karnataka,Davangere,Maize,199.0,800.0,850.0,820.0,2010,2
1645,26,2010-03-01,Karnataka,Davangere,Maize,244.0,800.0,900.0,850.0,2010,3
1744,27,2010-04-01,Karnataka,Davangere,Maize,51.0,800.0,900.0,850.0,2010,4
1841,28,2010-05-01,Karnataka,Davangere,Maize,420.0,800.0,850.0,820.0,2010,5
1917,29,2010-06-01,Karnataka,Davangere,Maize,30.0,800.0,880.0,850.0,2010,6
1993,30,2010-07-01,Karnataka,Davangere,Maize,20.0,880.0,950.0,915.0,2010,7
2069,31,2010-08-01,Karnataka,Davangere,Maize,20.0,1095.0,1120.0,1108.0,2010,8
2110,32,2010-09-01,Karnataka,Davangere,Maize,4.0,1000.0,1000.0,1000.0,2010,9
