,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Haveri,Maize,245.0,605.0,700.0,695.0,2008,1
27,1,2008-02-01,Karnataka,Haveri,Maize,30.0,640.0,640.0,640.0,2008,2
56,2,2008-03-01,Karnataka,Haveri,Maize,9400.0,660.0,728.0,675.0,2008,3
87,3,2008-04-01,Karnataka,Haveri,Maize,4.0,710.0,710.0,710.0,2008,4
106,4,2008-05-01,Karnataka,Haveri,Maize,294.0,625.0,755.0,727.0,2008,5
130,5,2008-06-01,Karnataka,Haveri,Maize,1.0,805.0,826.0,815.0,2008,6
143,6,2008-07-01,Karnataka,Haveri,Maize,2389.0,700.0,784.0,780.0,2008,7
156,7,2008-08-01,Karnataka,Haveri,Maize,690.0,1000.0,1100.0,1050.0,2008,8
165,8,2008-09-01,Karnataka,Haveri,Maize,67.0,1160.0,1160.0,1160.0,2008,9
172,9,2008-10-01,Karnataka,Haveri,Maize,1801.0,800.0,1100.0,900.0,2008,10
185,10,2008-11-01,Karnataka,Haveri,Maize,66.0,800.0,800.0,800.0,2008,11
208,11,2008-12-01,Karnataka,Haveri,Maize,147.0,650.0,700.0,650.0,2008,12
222,12,2009-01-01,Karnataka,Haveri,Maize,413.0,840.0,840.0,840.0,2009,1
254,13,2009-02-01,Karnataka,Haveri,Maize,281.0,650.0,750.0,750.0,2009,2
288,14,2009-03-01,Karnataka,Haveri,Maize,13.0,780.0,780.0,780.0,2009,3
316,15,2009-04-01,Karnataka,Haveri,Maize,53.0,756.0,760.0,756.0,2009,4
324,16,2009-05-01,Karnataka,Haveri,Maize,5.0,730.0,736.0,733.0,2009,5
330,17,2009-06-01,Karnataka,Haveri,Maize,1700.0,750.0,800.0,780.0,2009,6
339,18,2009-07-01,Karnataka,Haveri,Maize,4120.0,840.0,840.0,840.0,2009,7
342,19,2009-08-01,Karnataka,Haveri,Maize,76.0,820.0,850.0,820.0,2009,8
345,20,2009-09-01,Karnataka,Haveri,Maize,50.0,810.0,920.0,840.0,2009,9
346,21,2009-10-01,Karnataka,Haveri,Maize,738.0,800.0,865.0,860.0,2009,10
357,22,2009-11-01,Karnataka,Haveri,Maize,14.0,800.0,800.0,800.0,2009,11
375,23,2009-12-01,Karnataka,Haveri,Maize,10.0,770.0,770.0,770.0,2009,12
415,24,2010-01-01,Karnataka,Haveri,Maize,15.0,750.0,750.0,750.0,2010,1
455,25,2010-02-01,Karnataka,Haveri,Maize,843.0,800.0,850.0,825.0,2010,2
468,26,2010-03-01,Karnataka,Haveri,Maize,6.0,780.0,780.0,780.0,2010,3
493,27,2010-04-01,Karnataka,Haveri,Maize,40.0,775.0,800.0,780.0,2010,4
509,28,2010-05-01,Karnataka,Haveri,Maize,62.0,785.0,802.0,785.0,2010,5
524,29,2010-06-01,Karnataka,Haveri,Maize,603.0,752.0,854.0,827.0,2010,6
534,30,2010-07-01,Karnataka,Haveri,Maize,588.0,985.0,985.0,985.0,2010,7
544,31,2010-08-01,Karnataka,Haveri,Maize,150.0,900.0,1100.0,1100.0,2010,8
559,32,2010-09-01,Karnataka,Haveri,Maize,223.0,840.0,1080.0,1050.0,2010,9
565,33,2010-10-01,Karnataka,Haveri,Maize,573.0,950.0,1225.0,1020.0,2010,10
583,34,2010-11-01,Karnataka,Haveri,Maize,362.0,800.0,850.0,800.0,2010,11
599,35,2010-12-01,Karnataka,Haveri,Maize,12.0,850.0,850.0,850.0,2010,12
638,36,2011-01-01,Karnataka,Haveri,Maize,281.0,850.0,880.0,865.0,2011,1
671,37,2011-02-01,Karnataka,Haveri,Maize,209.0,840.0,920.0,900.0,2011,2
726,38,2011-03-01,Karnataka,Haveri,Maize,4826.0,900.0,960.0,955.0,2011,3
771,39,2011-04-01,Karnataka,Haveri,Maize,157.0,1000.0,1080.0,1000.0,2011,4
797,40,2011-05-01,Karnataka,Haveri,Maize,240.0,1100.0,1100.0,1100.0,2011,5
823,41,2011-06-01,Karnataka,Haveri,Maize,810.0,1100.0,1300.0,1200.0,2011,6
844,42,2011-07-01,Karnataka,Haveri,Maize,1968.0,1000.0,1185.0,1080.0,2011,7
871,43,2011-08-01,Karnataka,Haveri,Maize,433.0,1120.0,1173.0,1173.0,2011,8
893,44,2011-09-01,Karnataka,Haveri,Maize,1061.0,875.0,1290.0,1150.0,2011,9
915,45,2011-10-01,Karnataka,Haveri,Maize,121.0,1080.0,1120.0,1090.0,2011,10
932,46,2011-11-01,Karnataka,Haveri,Maize,18.0,1010.0,1010.0,1010.0,2011,11
980,47,2011-12-01,Karnataka,Haveri,Maize,438.0,920.0,1042.0,1035.0,2011,12
1030,48,2012-01-01,Karnataka,Haveri,Maize,52.0,980.0,1020.0,1000.0,2012,1
1067,49,2012-02-01,Karnataka,Haveri,Maize,47.0,920.0,1121.0,920.0,2012,2
1100,50,2012-03-01,Karnataka,Haveri,Maize,1787.0,1050.0,1169.0,1120.0,2012,3
1147,51,2012-04-01,Karnataka,Haveri,Maize,71.0,1000.0,1000.0,1000.0,2012,4
1178,52,2012-05-01,Karnataka,Haveri,Maize,1062.0,1000.0,1108.0,1060.0,2012,5
1207,53,2012-06-01,Karnataka,Haveri,Maize,283.0,950.0,1050.0,980.0,2012,6
1234,54,2012-07-01,Karnataka,Haveri,Maize,1419.0,1000.0,1178.0,1075.0,2012,7
1262,55,2012-08-01,Karnataka,Haveri,Maize,109.0,1330.0,1500.0,1425.0,2012,8
1298,56,2012-09-01,Karnataka,Haveri,Maize,37.0,1450.0,1500.0,1481.0,2012,9
1331,57,2012-10-01,Karnataka,Haveri,Maize,35.0,1225.0,1225.0,1225.0,2012,10
1356,58,2012-11-01,Karnataka,Haveri,Maize,9.0,1300.0,1300.0,1300.0,2012,11
1413,59,2012-12-01,Karnataka,Haveri,Maize,478.0,1300.0,1410.0,1360.0,2012,12
1488,60,2013-01-01,Karnataka,Haveri,Maize,98.0,1200.0,1330.0,1310.0,2013,1
1552,61,2013-02-01,Karnataka,Haveri,Maize,567.0,1170.0,1465.0,1395.0,2013,2
1615,62,2013-03-01,Karnataka,Haveri,Maize,1245.0,1250.0,1395.0,1340.0,2013,3
1670,63,2013-04-01,Karnataka,Haveri,Maize,480.0,1150.0,1360.0,1300.0,2013,4
1729,64,2013-05-01,Karnataka,Haveri,Maize,357.0,1240.0,1300.0,1280.0,2013,5
1784,65,2013-06-01,Karnataka,Haveri,Maize,95.0,1380.0,1390.0,1385.0,2013,6
1837,66,2013-07-01,Karnataka,Haveri,Maize,43.0,1490.0,1530.0,1490.0,2013,7
1889,67,2013-08-01,Karnataka,Haveri,Maize,30.0,1420.0,1450.0,1445.0,2013,8
1922,68,2013-09-01,Karnataka,Haveri,Maize,20.0,1150.0,1150.0,1150.0,2013,9
1947,69,2013-10-01,Karnataka,Haveri,Maize,175.0,1440.0,1528.0,1475.0,2013,10
1978,70,2013-11-01,Karnataka,Haveri,Maize,18.0,1230.0,1230.0,1230.0,2013,11
2018,71,2013-12-01,Karnataka,Haveri,Maize,394.0,1100.0,1140.0,1130.0,2013,12
2070,72,2014-01-01,Karnataka,Haveri,Maize,12.0,1130.0,1130.0,1130.0,2014,1
2145,73,2014-02-01,Karnataka,Haveri,Maize,217.0,1100.0,1140.0,1135.0,2014,2
2210,74,2014-03-01,Karnataka,Haveri,Maize,2236.0,1120.0,1170.0,1160.0,2014,3
2281,75,2014-04-01,Karnataka,Haveri,Maize,81.0,1120.0,1180.0,1160.0,2014,4
2353,76,2014-05-01,Karnataka,Haveri,Maize,142.0,1200.0,1300.0,1240.0,2014,5
2422,77,2014-06-01,Karnataka,Haveri,Maize,50.0,1290.0,1290.0,1290.0,2014,6
2483,78,2014-07-01,Karnataka,Haveri,Maize,70.0,1200.0,1300.0,1250.0,2014,7
2540,79,2014-08-01,Karnataka,Haveri,Maize,30.0,1200.0,1200.0,1200.0,2014,8
2572,80,2014-09-01,Karnataka,Haveri,Maize,140.0,1370.0,1370.0,1370.0,2014,9
2598,81,2014-10-01,Karnataka,Haveri,Maize,212.0,1075.0,1186.0,1140.0,2014,10
2634,82,2014-11-01,Karnataka,Haveri,Maize,59.0,1050.0,1080.0,1050.0,2014,11
2696,83,2014-12-01,Karnataka,Haveri,Maize,50.0,1000.0,1070.0,1050.0,2014,12
2763,84,2015-01-01,Karnataka,Haveri,Maize,4144.0,1000.0,1140.0,1050.0,2015,1
2841,85,2015-02-01,Karnataka,Haveri,Maize,3409.0,1050.0,1110.0,1100.0,2015,2
2918,86,2015-03-01,Karnataka,Haveri,Maize,153.0,1010.0,1130.0,1100.0,2015,3
2993,87,2015-04-01,Karnataka,Haveri,Maize,157.0,1150.0,1200.0,1180.0,2015,4
3053,88,2015-05-01,Karnataka,Haveri,Maize,430.0,1200.0,1240.0,1200.0,2015,5
3117,89,2015-06-01,Karnataka,Haveri,Maize,86.0,1200.0,1350.0,1250.0,2015,6
3173,90,2015-07-01,Karnataka,Haveri,Maize,29.0,1100.0,1320.0,1300.0,2015,7
3217,91,2015-08-01,Karnataka,Haveri,Maize,42.0,1400.0,1400.0,1400.0,2015,8
3262,92,2015-09-01,Karnataka,Haveri,Maize,182.0,1450.0,1450.0,1450.0,2015,9
3299,93,2015-10-01,Karnataka,Haveri,Maize,50.0,1400.0,1400.0,1400.0,2015,10
3348,94,2015-11-01,Karnataka,Haveri,Maize,381.0,1135.0,1350.0,1290.0,2015,11
3420,95,2015-12-01,Karnataka,Haveri,Maize,273.0,1100.0,1400.0,1370.0,2015,12
3508,96,2016-01-01,Karnataka,Haveri,Maize,191.0,1250.0,1400.0,1340.0,2016,1
3564,97,2016-02-01,Karnataka,Haveri,Maize,1552.0,1350.0,1450.0,1400.0,2016,2
3621,98,2016-03-01,Karnataka,Haveri,Maize,341.0,1300.0,1340.0,1320.0,2016,3
3703,99,2016-04-01,Karnataka,Haveri,Maize,15.0,1340.0,1350.0,1340.0,2016,4
3798,100,2016-05-01,Karnataka,Haveri,Maize,10.0,1250.0,1250.0,1250.0,2016,5
