,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Koppal,Maize,10.0,621.0,621.0,621.0,2008,1
13,1,2008-02-01,Karnataka,Koppal,Maize,247.0,551.0,687.0,682.0,2008,2
31,2,2008-03-01,Karnataka,Koppal,Maize,16.0,650.0,650.0,650.0,2008,3
58,3,2008-04-01,Karnataka,Koppal,Maize,51.0,620.0,682.0,681.0,2008,4
78,4,2008-05-01,Karnataka,Koppal,Maize,18.0,630.0,670.0,662.0,2008,5
93,5,2008-06-01,Karnataka,Koppal,Maize,1.0,750.0,750.0,750.0,2008,6
107,6,2008-07-01,Karnataka,Koppal,Maize,3.0,779.0,901.0,806.0,2008,7
113,7,2008-08-01,Karnataka,Koppal,Maize,1.0,801.0,1000.0,957.0,2008,8
122,8,2008-09-01,Karnataka,Koppal,Maize,5.0,828.0,979.0,878.0,2008,9
127,9,2008-10-01,Karnataka,Koppal,Maize,178.0,720.0,929.0,780.0,2008,10
142,10,2008-11-01,Karnataka,Koppal,Maize,455.0,675.0,815.0,740.0,2008,11
171,11,2008-12-01,Karnataka,Koppal,Maize,594.0,663.0,781.0,760.0,2008,12
186,12,2009-01-01,Karnataka,Koppal,Maize,386.0,601.0,767.0,700.0,2009,1
202,13,2009-02-01,Karnataka,Koppal,Maize,1.0,762.0,762.0,762.0,2009,2
229,14,2009-03-01,Karnataka,Koppal,Maize,405.0,602.0,768.0,700.0,2009,3
247,15,2009-04-01,Karnataka,Koppal,Maize,187.0,616.0,753.0,700.0,2009,4
258,16,2009-05-01,Karnataka,Koppal,Maize,66.0,727.0,772.0,740.0,2009,5
265,17,2009-06-01,Karnataka,Koppal,Maize,9.0,771.0,796.0,780.0,2009,6
276,18,2009-07-01,Karnataka,Koppal,Maize,9.0,809.0,840.0,820.0,2009,7
283,19,2009-08-01,Karnataka,Koppal,Maize,48.0,770.0,770.0,770.0,2009,8
287,20,2009-09-01,Karnataka,Koppal,Maize,5.0,556.0,832.0,690.0,2009,9
299,21,2009-10-01,Karnataka,Koppal,Maize,8.0,736.0,797.0,760.0,2009,10
325,22,2009-11-01,Karnataka,Koppal,Maize,1.0,766.0,766.0,766.0,2009,11
365,23,2009-12-01,Karnataka,Koppal,Maize,12.0,780.0,820.0,790.0,2009,12
392,24,2010-01-01,Karnataka,Koppal,Maize,200.0,602.0,853.0,720.0,2010,1
415,25,2010-02-01,Karnataka,Koppal,Maize,341.0,752.0,837.0,790.0,2010,2
444,26,2010-03-01,Karnataka,Koppal,Maize,37.0,760.0,801.0,785.0,2010,3
469,27,2010-04-01,Karnataka,Koppal,Maize,18.0,840.0,840.0,840.0,2010,4
484,28,2010-05-01,Karnataka,Koppal,Maize,7.0,790.0,790.0,790.0,2010,5
501,29,2010-06-01,Karnataka,Koppal,Maize,50.0,750.0,750.0,750.0,2010,6
525,30,2010-07-01,Karnataka,Koppal,Maize,14.0,880.0,900.0,880.0,2010,7
