,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Madhya Pradesh,Guna,Maize,2.0,669.0,678.0,678.0,2008,1
13,1,2008-02-01,Madhya Pradesh,Guna,Maize,2.0,685.0,700.0,685.0,2008,2
23,2,2008-03-01,Madhya Pradesh,Guna,Maize,8.502600000000001,1080.62,1070.69,1039.22,2008,3
24,3,2008-04-01,Madhya Pradesh,Guna,Maize,8.502600000000001,1080.62,1070.69,1039.22,2008,4
25,4,2008-05-01,Madhya Pradesh,Guna,Maize,8.502600000000001,1080.62,1070.69,1039.22,2008,5
26,5,2008-06-01,Madhya Pradesh,Guna,Maize,9.0,1900.0,1900.0,1900.0,2008,6
34,6,2008-07-01,Madhya Pradesh,Guna,Maize,9.0,650.0,660.0,660.0,2008,7
54,7,2008-08-01,Madhya Pradesh,Guna,Maize,10.0,300.0,300.0,300.0,2008,8
61,8,2008-09-01,Madhya Pradesh,Guna,Maize,2.0,662.0,662.0,662.0,2008,9
62,9,2008-10-01,Madhya Pradesh,Guna,Maize,2.0,635.0,670.0,669.0,2008,10
63,10,2008-11-01,Madhya Pradesh,Guna,Maize,2.0,660.0,680.0,660.0,2008,11
67,11,2008-12-01,Madhya Pradesh,Guna,Maize,2.0,700.0,715.0,710.0,2008,12
68,12,2009-01-01,Madhya Pradesh,Guna,Maize,8.502600000000001,1080.62,1070.69,1039.22,2009,1
69,13,2009-02-01,Madhya Pradesh,Guna,Maize,8.502600000000001,1080.62,1070.69,1039.22,2009,2
70,14,2009-03-01,Madhya Pradesh,Guna,Maize,8.502600000000001,1080.62,1070.69,1039.22,2009,3
71,15,2009-04-01,Madhya Pradesh,Guna,Maize,8.502600000000001,1080.62,1070.69,1039.22,2009,4
72,16,2009-05-01,Madhya Pradesh,Guna,Maize,8.502600000000001,1080.62,1070.69,1039.22,2009,5
73,17,2009-06-01,Madhya Pradesh,Guna,Maize,8.502600000000001,1080.62,1070.69,1039.22,2009,6
74,18,2009-07-01,Madhya Pradesh,Guna,Maize,0.3,700.0,800.0,750.0,2009,7
78,19,2009-08-01,Madhya Pradesh,Guna,Maize,6.0,1150.0,1150.0,1150.0,2009,8
79,20,2009-09-01,Madhya Pradesh,Guna,Maize,0.04,825.0,890.0,850.0,2009,9
95,21,2009-10-01,Madhya Pradesh,Guna,Maize,0.05,785.0,785.0,785.0,2009,10
141,22,2009-11-01,Madhya Pradesh,Guna,Maize,13.84,875.0,955.0,880.0,2009,11
183,23,2009-12-01,Madhya Pradesh,Guna,Maize,16.72,850.0,925.0,900.0,2009,12
231,24,2010-01-01,Madhya Pradesh,Guna,Maize,16.69,900.0,935.0,915.0,2010,1
293,25,2010-02-01,Madhya Pradesh,Guna,Maize,11.5,910.0,933.0,925.0,2010,2
352,26,2010-03-01,Madhya Pradesh,Guna,Maize,0.19,840.0,840.0,840.0,2010,3
396,27,2010-04-01,Madhya Pradesh,Guna,Maize,2.83,800.0,800.0,800.0,2010,4
411,28,2010-05-01,Madhya Pradesh,Guna,Maize,0.1,815.0,825.0,815.0,2010,5
418,29,2010-06-01,Madhya Pradesh,Guna,Maize,0.24,850.0,905.0,850.0,2010,6
