,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Madhya Pradesh,Harda,Maize,2.0,745.0,745.0,745.0,2008,1
4,1,2008-02-01,Madhya Pradesh,Harda,Maize,2.0,580.0,640.0,640.0,2008,2
6,2,2008-03-01,Madhya Pradesh,Harda,Maize,2.0,600.0,600.0,600.0,2008,3
7,3,2008-04-01,Madhya Pradesh,Harda,Maize,2.0,635.0,702.0,701.0,2008,4
9,4,2008-05-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2008,5
10,5,2008-06-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2008,6
11,6,2008-07-01,Madhya Pradesh,Harda,Maize,2.0,680.0,704.0,680.0,2008,7
12,7,2008-08-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2008,8
13,8,2008-09-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2008,9
14,9,2008-10-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2008,10
15,10,2008-11-01,Madhya Pradesh,Harda,Maize,2.0,600.0,690.0,690.0,2008,11
16,11,2008-12-01,Madhya Pradesh,Harda,Maize,2.0,590.0,650.0,650.0,2008,12
20,12,2009-01-01,Madhya Pradesh,Harda,Maize,2.0,690.0,713.0,700.0,2009,1
24,13,2009-02-01,Madhya Pradesh,Harda,Maize,2.0,721.0,736.0,736.0,2009,2
26,14,2009-03-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2009,3
27,15,2009-04-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2009,4
28,16,2009-05-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2009,5
29,17,2009-06-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2009,6
30,18,2009-07-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2009,7
31,19,2009-08-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2009,8
32,20,2009-09-01,Madhya Pradesh,Harda,Maize,0.1,778.0,778.0,778.0,2009,9
33,21,2009-10-01,Madhya Pradesh,Harda,Maize,0.2,650.0,771.0,771.0,2009,10
36,22,2009-11-01,Madhya Pradesh,Harda,Maize,3.2,787.0,787.0,787.0,2009,11
38,23,2009-12-01,Madhya Pradesh,Harda,Maize,1.3,850.0,850.0,850.0,2009,12
39,24,2010-01-01,Madhya Pradesh,Harda,Maize,0.1,910.0,910.0,910.0,2010,1
42,25,2010-02-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2010,2
43,26,2010-03-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2010,3
44,27,2010-04-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2010,4
45,28,2010-05-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2010,5
46,29,2010-06-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2010,6
47,30,2010-07-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2010,7
48,31,2010-08-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2010,8
49,32,2010-09-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2010,9
50,33,2010-10-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2010,10
51,34,2010-11-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2010,11
52,35,2010-12-01,Madhya Pradesh,Harda,Maize,4.0,791.0,800.0,800.0,2010,12
58,36,2011-01-01,Madhya Pradesh,Harda,Maize,0.4,901.0,901.0,901.0,2011,1
60,37,2011-02-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2011,2
61,38,2011-03-01,Madhya Pradesh,Harda,Maize,0.2,3200.0,3200.0,3200.0,2011,3
62,39,2011-04-01,Madhya Pradesh,Harda,Maize,3.7,4071.0,4231.0,4231.0,2011,4
66,40,2011-05-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2011,5
67,41,2011-06-01,Madhya Pradesh,Harda,Maize,169.8,2500.0,4040.0,3800.0,2011,6
78,42,2011-07-01,Madhya Pradesh,Harda,Maize,66.5,1500.0,3990.0,3825.0,2011,7
99,43,2011-08-01,Madhya Pradesh,Harda,Maize,3.0,2701.0,4054.0,3751.0,2011,8
111,44,2011-09-01,Madhya Pradesh,Harda,Maize,2.0,2501.0,3001.0,3001.0,2011,9
119,45,2011-10-01,Madhya Pradesh,Harda,Maize,25.0,841.0,841.0,841.0,2011,10
122,46,2011-11-01,Madhya Pradesh,Harda,Maize,2.0,900.0,1001.0,1001.0,2011,11
131,47,2011-12-01,Madhya Pradesh,Harda,Maize,2.0,800.0,800.0,800.0,2011,12
145,48,2012-01-01,Madhya Pradesh,Harda,Maize,0.4,1070.0,1070.0,1070.0,2012,1
151,49,2012-02-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2012,2
152,50,2012-03-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2012,3
153,51,2012-04-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2012,4
154,52,2012-05-01,Madhya Pradesh,Harda,Maize,15.3,0.0,1251.0,1246.0,2012,5
155,53,2012-06-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2012,6
156,54,2012-07-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2012,7
157,55,2012-08-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2012,8
158,56,2012-09-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2012,9
159,57,2012-10-01,Madhya Pradesh,Harda,Maize,0.4,1201.0,1201.0,1201.0,2012,10
164,58,2012-11-01,Madhya Pradesh,Harda,Maize,5.0,1089.0,1181.0,1150.0,2012,11
192,59,2012-12-01,Madhya Pradesh,Harda,Maize,1.6,1191.0,1231.0,1231.0,2012,12
224,60,2013-01-01,Madhya Pradesh,Harda,Maize,3.0,1290.0,1290.0,1290.0,2013,1
247,61,2013-02-01,Madhya Pradesh,Harda,Maize,2.5,1219.0,1219.0,1219.0,2013,2
260,62,2013-03-01,Madhya Pradesh,Harda,Maize,2.1,1150.0,1339.0,1339.0,2013,3
268,63,2013-04-01,Madhya Pradesh,Harda,Maize,0.1,1113.0,1113.0,1113.0,2013,4
275,64,2013-05-01,Madhya Pradesh,Harda,Maize,0.5,1129.0,1129.0,1129.0,2013,5
277,65,2013-06-01,Madhya Pradesh,Harda,Maize,3.5,801.0,801.0,801.0,2013,6
282,66,2013-07-01,Madhya Pradesh,Harda,Maize,16.989473684210527,1146.171052631579,1308.592105263158,1285.092105263158,2013,7
