,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Madhya Pradesh,Khargone,Maize,2.0,643.0,691.0,691.0,2008,1
12,1,2008-02-01,Madhya Pradesh,Khargone,Maize,2.0,625.0,735.0,710.0,2008,2
40,2,2008-03-01,Madhya Pradesh,Khargone,Maize,2.0,693.0,731.0,731.0,2008,3
45,3,2008-04-01,Madhya Pradesh,Khargone,Maize,2.0,676.0,676.0,676.0,2008,4
47,4,2008-05-01,Madhya Pradesh,Khargone,Maize,2.0,650.0,660.0,660.0,2008,5
51,5,2008-06-01,Madhya Pradesh,Khargone,Maize,2.0,694.0,694.0,694.0,2008,6
62,6,2008-07-01,Madhya Pradesh,Khargone,Maize,2.0,685.0,685.0,685.0,2008,7
91,7,2008-08-01,Madhya Pradesh,Khargone,Maize,2.0,841.0,860.0,860.0,2008,8
98,8,2008-09-01,Madhya Pradesh,Khargone,Maize,2.0,751.0,796.0,796.0,2008,9
102,9,2008-10-01,Madhya Pradesh,Khargone,Maize,2.0,589.0,692.0,692.0,2008,10
123,10,2008-11-01,Madhya Pradesh,Khargone,Maize,2.0,611.0,1158.0,746.0,2008,11
137,11,2008-12-01,Madhya Pradesh,Khargone,Maize,2.0,700.0,715.0,715.0,2008,12
148,12,2009-01-01,Madhya Pradesh,Khargone,Maize,2.0,671.0,840.0,840.0,2009,1
156,13,2009-02-01,Madhya Pradesh,Khargone,Maize,2.0,711.0,736.0,725.0,2009,2
165,14,2009-03-01,Madhya Pradesh,Khargone,Maize,2.0,726.0,739.0,739.0,2009,3
174,15,2009-04-01,Madhya Pradesh,Khargone,Maize,15.0,600.0,730.0,621.0,2009,4
189,16,2009-05-01,Madhya Pradesh,Khargone,Maize,2.0,750.0,769.0,764.0,2009,5
214,17,2009-06-01,Madhya Pradesh,Khargone,Maize,4.0,819.0,875.0,849.0,2009,6
236,18,2009-07-01,Madhya Pradesh,Khargone,Maize,2.0,860.0,924.0,875.0,2009,7
257,19,2009-08-01,Madhya Pradesh,Khargone,Maize,3.4,876.0,884.0,878.0,2009,8
310,20,2009-09-01,Madhya Pradesh,Khargone,Maize,3.0,875.0,908.0,908.0,2009,9
371,21,2009-10-01,Madhya Pradesh,Khargone,Maize,0.3,789.0,789.0,789.0,2009,10
478,22,2009-11-01,Madhya Pradesh,Khargone,Maize,3.0,750.0,870.0,810.0,2009,11
602,23,2009-12-01,Madhya Pradesh,Khargone,Maize,16.5,860.0,875.0,865.0,2009,12
693,24,2010-01-01,Madhya Pradesh,Khargone,Maize,0.1,850.0,850.0,850.0,2010,1
743,25,2010-02-01,Madhya Pradesh,Khargone,Maize,0.1,874.0,874.0,874.0,2010,2
777,26,2010-03-01,Madhya Pradesh,Khargone,Maize,4.8,850.0,860.0,855.0,2010,3
798,27,2010-04-01,Madhya Pradesh,Khargone,Maize,0.1,800.0,880.0,800.0,2010,4
810,28,2010-05-01,Madhya Pradesh,Khargone,Maize,0.1,811.0,811.0,811.0,2010,5
820,29,2010-06-01,Madhya Pradesh,Khargone,Maize,14.9,835.0,845.0,840.0,2010,6
831,30,2010-07-01,Madhya Pradesh,Khargone,Maize,4.0,989.0,1048.0,1004.0,2010,7
842,31,2010-08-01,Madhya Pradesh,Khargone,Maize,4.0,989.0,1048.0,1004.0,2010,8
866,32,2010-09-01,Madhya Pradesh,Khargone,Maize,3.2,830.0,850.0,840.0,2010,9
909,33,2010-10-01,Madhya Pradesh,Khargone,Maize,7.0,800.0,850.0,840.0,2010,10
1001,34,2010-11-01,Madhya Pradesh,Khargone,Maize,9.4,716.0,886.0,850.0,2010,11
1083,35,2010-12-01,Madhya Pradesh,Khargone,Maize,3.6,856.0,856.0,856.0,2010,12
1166,36,2011-01-01,Madhya Pradesh,Khargone,Maize,11.3,800.0,851.0,826.0,2011,1
1242,37,2011-02-01,Madhya Pradesh,Khargone,Maize,27.0,900.0,986.0,954.0,2011,2
