,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Madhya Pradesh,Mandsaur,Maize,184.8,709.0,727.0,719.0,2008,1
7,1,2008-02-01,Madhya Pradesh,Mandsaur,Maize,2.0,700.0,731.0,731.0,2008,2
21,2,2008-03-01,Madhya Pradesh,Mandsaur,Maize,2.0,740.0,856.0,765.0,2008,3
34,3,2008-04-01,Madhya Pradesh,Mandsaur,Maize,2.0,640.0,739.0,725.0,2008,4
37,4,2008-05-01,Madhya Pradesh,Mandsaur,Maize,2.0,550.0,655.0,655.0,2008,5
47,5,2008-06-01,Madhya Pradesh,Mandsaur,Maize,2.0,690.0,690.0,690.0,2008,6
53,6,2008-07-01,Madhya Pradesh,Mandsaur,Maize,2.0,750.0,779.0,776.0,2008,7
72,7,2008-08-01,Madhya Pradesh,Mandsaur,Maize,2.0,800.0,885.0,846.0,2008,8
85,8,2008-09-01,Madhya Pradesh,Mandsaur,Maize,2.0,650.0,650.0,650.0,2008,9
88,9,2008-10-01,Madhya Pradesh,Mandsaur,Maize,2.0,500.0,769.0,700.0,2008,10
102,10,2008-11-01,Madhya Pradesh,Mandsaur,Maize,2.0,651.0,680.0,672.0,2008,11
116,11,2008-12-01,Madhya Pradesh,Mandsaur,Maize,2.0,705.0,748.0,746.0,2008,12
128,12,2009-01-01,Madhya Pradesh,Mandsaur,Maize,2.0,690.0,721.0,715.0,2009,1
136,13,2009-02-01,Madhya Pradesh,Mandsaur,Maize,2.0,759.0,907.0,797.0,2009,2
157,14,2009-03-01,Madhya Pradesh,Mandsaur,Maize,2.0,730.0,764.0,755.0,2009,3
165,15,2009-04-01,Madhya Pradesh,Mandsaur,Maize,62.33081818181819,1077.709090909091,1209.790909090909,1140.490909090909,2009,4
166,16,2009-05-01,Madhya Pradesh,Mandsaur,Maize,62.33081818181819,1077.709090909091,1209.790909090909,1140.490909090909,2009,5
167,17,2009-06-01,Madhya Pradesh,Mandsaur,Maize,62.33081818181819,1077.709090909091,1209.790909090909,1140.490909090909,2009,6
168,18,2009-07-01,Madhya Pradesh,Mandsaur,Maize,62.33081818181819,1077.709090909091,1209.790909090909,1140.490909090909,2009,7
169,19,2009-08-01,Madhya Pradesh,Mandsaur,Maize,1.5,925.0,967.0,950.0,2009,8
193,20,2009-09-01,Madhya Pradesh,Mandsaur,Maize,3.8,916.0,970.0,960.0,2009,9
241,21,2009-10-01,Madhya Pradesh,Mandsaur,Maize,47.1,750.0,911.0,860.0,2009,10
321,22,2009-11-01,Madhya Pradesh,Mandsaur,Maize,37.89,930.0,951.0,950.0,2009,11
415,23,2009-12-01,Madhya Pradesh,Mandsaur,Maize,155.0,850.0,1089.0,910.0,2009,12
501,24,2010-01-01,Madhya Pradesh,Mandsaur,Maize,1.3,900.0,954.0,930.0,2010,1
574,25,2010-02-01,Madhya Pradesh,Mandsaur,Maize,5.3,880.0,932.0,920.0,2010,2
609,26,2010-03-01,Madhya Pradesh,Mandsaur,Maize,0.4,860.0,880.0,870.0,2010,3
631,27,2010-04-01,Madhya Pradesh,Mandsaur,Maize,1.4,880.0,913.0,895.0,2010,4
669,28,2010-05-01,Madhya Pradesh,Mandsaur,Maize,1.5,801.0,876.0,830.0,2010,5
693,29,2010-06-01,Madhya Pradesh,Mandsaur,Maize,13.0,895.0,1152.0,915.0,2010,6
703,30,2010-07-01,Madhya Pradesh,Mandsaur,Maize,1.0,875.0,875.0,875.0,2010,7
706,31,2010-08-01,Madhya Pradesh,Mandsaur,Maize,0.9,950.0,950.0,950.0,2010,8
708,32,2010-09-01,Madhya Pradesh,Mandsaur,Maize,0.7,950.0,973.0,960.0,2010,9
728,33,2010-10-01,Madhya Pradesh,Mandsaur,Maize,5.6,675.0,992.0,820.0,2010,10
762,34,2010-11-01,Madhya Pradesh,Mandsaur,Maize,370.0,680.0,874.0,850.0,2010,11
805,35,2010-12-01,Madhya Pradesh,Mandsaur,Maize,2700.0,800.0,890.0,875.0,2010,12
864,36,2011-01-01,Madhya Pradesh,Mandsaur,Maize,19.07,800.0,900.0,850.0,2011,1
902,37,2011-02-01,Madhya Pradesh,Mandsaur,Maize,54.0,920.0,1000.0,951.0,2011,2
952,38,2011-03-01,Madhya Pradesh,Mandsaur,Maize,407.0,950.0,1052.0,1000.0,2011,3
1001,39,2011-04-01,Madhya Pradesh,Mandsaur,Maize,8.25,1000.0,1050.0,1025.0,2011,4
1021,40,2011-05-01,Madhya Pradesh,Mandsaur,Maize,6.0,1070.0,1101.0,1080.0,2011,5
1027,41,2011-06-01,Madhya Pradesh,Mandsaur,Maize,29.0,1040.0,1120.0,1055.0,2011,6
1044,42,2011-07-01,Madhya Pradesh,Mandsaur,Maize,350.0,1030.0,1145.0,1090.0,2011,7
1098,43,2011-08-01,Madhya Pradesh,Mandsaur,Maize,270.0,1050.0,1110.0,1085.0,2011,8
1162,44,2011-09-01,Madhya Pradesh,Mandsaur,Maize,206.0,1040.0,1160.0,1100.0,2011,9
1221,45,2011-10-01,Madhya Pradesh,Mandsaur,Maize,208.0,850.0,1127.0,1000.0,2011,10
1269,46,2011-11-01,Madhya Pradesh,Mandsaur,Maize,441.77,800.0,950.0,900.0,2011,11
1351,47,2011-12-01,Madhya Pradesh,Mandsaur,Maize,0.3,1000.0,1000.0,1000.0,2011,12
1433,48,2012-01-01,Madhya Pradesh,Mandsaur,Maize,0.7,1100.0,1132.0,1120.0,2012,1
1507,49,2012-02-01,Madhya Pradesh,Mandsaur,Maize,0.7,1120.0,1200.0,1200.0,2012,2
1557,50,2012-03-01,Madhya Pradesh,Mandsaur,Maize,172.0,1180.0,1305.0,1230.0,2012,3
1608,51,2012-04-01,Madhya Pradesh,Mandsaur,Maize,137.0,1240.0,1413.0,1280.0,2012,4
1646,52,2012-05-01,Madhya Pradesh,Mandsaur,Maize,65.0,1045.0,1135.0,1100.0,2012,5
1710,53,2012-06-01,Madhya Pradesh,Mandsaur,Maize,7.0,980.0,1150.0,1050.0,2012,6
1772,54,2012-07-01,Madhya Pradesh,Mandsaur,Maize,7.5,1100.0,1350.0,1170.0,2012,7
1825,55,2012-08-01,Madhya Pradesh,Mandsaur,Maize,6.0,1288.0,1520.0,1330.0,2012,8
1872,56,2012-09-01,Madhya Pradesh,Mandsaur,Maize,0.3,1311.0,1340.0,1325.0,2012,9
1917,57,2012-10-01,Madhya Pradesh,Mandsaur,Maize,10.0,1132.0,1411.0,1260.0,2012,10
1965,58,2012-11-01,Madhya Pradesh,Mandsaur,Maize,17.05,1050.0,1260.0,1155.0,2012,11
2023,59,2012-12-01,Madhya Pradesh,Mandsaur,Maize,100.0,1340.0,1400.0,1370.0,2012,12
2069,60,2013-01-01,Madhya Pradesh,Mandsaur,Maize,33.1,1220.0,1400.0,1320.0,2013,1
2112,61,2013-02-01,Madhya Pradesh,Mandsaur,Maize,27.8,1290.0,1400.0,1345.0,2013,2
2145,62,2013-03-01,Madhya Pradesh,Mandsaur,Maize,10.0,1242.0,1311.0,1250.0,2013,3
2188,63,2013-04-01,Madhya Pradesh,Mandsaur,Maize,9.0,1300.0,1310.0,1305.0,2013,4
2234,64,2013-05-01,Madhya Pradesh,Mandsaur,Maize,6.0,1200.0,1240.0,1220.0,2013,5
2303,65,2013-06-01,Madhya Pradesh,Mandsaur,Maize,11.5,1250.0,1360.0,1302.0,2013,6
2360,66,2013-07-01,Madhya Pradesh,Mandsaur,Maize,44.2,1310.0,1408.0,1359.0,2013,7
2423,67,2013-08-01,Madhya Pradesh,Mandsaur,Maize,5.3,1238.0,1470.0,1354.0,2013,8
2464,68,2013-09-01,Madhya Pradesh,Mandsaur,Maize,20.0,1250.0,1420.0,1335.0,2013,9
2510,69,2013-10-01,Madhya Pradesh,Mandsaur,Maize,3.0,1250.0,1390.0,1320.0,2013,10
2540,70,2013-11-01,Madhya Pradesh,Mandsaur,Maize,26.0,1150.0,1450.0,1300.0,2013,11
2572,71,2013-12-01,Madhya Pradesh,Mandsaur,Maize,56.6,1150.0,1540.0,1340.0,2013,12
2618,72,2014-01-01,Madhya Pradesh,Mandsaur,Maize,10.0,1155.0,1515.0,1325.0,2014,1
2683,73,2014-02-01,Madhya Pradesh,Mandsaur,Maize,15.0,1140.0,1520.0,1330.0,2014,2
2738,74,2014-03-01,Madhya Pradesh,Mandsaur,Maize,2.9,1020.0,1354.0,1200.0,2014,3
2779,75,2014-04-01,Madhya Pradesh,Mandsaur,Maize,0.3,1001.0,1111.0,1050.0,2014,4
2807,76,2014-05-01,Madhya Pradesh,Mandsaur,Maize,0.3,1012.0,1081.0,1025.0,2014,5
2851,77,2014-06-01,Madhya Pradesh,Mandsaur,Maize,3.66,1200.0,1250.0,1225.0,2014,6
2913,78,2014-07-01,Madhya Pradesh,Mandsaur,Maize,5.3,1110.0,1300.0,1205.0,2014,7
2948,79,2014-08-01,Madhya Pradesh,Mandsaur,Maize,6.0,1180.0,1471.0,1325.0,2014,8
2979,80,2014-09-01,Madhya Pradesh,Mandsaur,Maize,1.0,1052.0,1321.0,1185.0,2014,9
3011,81,2014-10-01,Madhya Pradesh,Mandsaur,Maize,2.5,1030.0,1150.0,1090.0,2014,10
3033,82,2014-11-01,Madhya Pradesh,Mandsaur,Maize,28.4,981.0,1600.0,1210.0,2014,11
3104,83,2014-12-01,Madhya Pradesh,Mandsaur,Maize,90.0,1030.0,1600.0,1150.0,2014,12
3161,84,2015-01-01,Madhya Pradesh,Mandsaur,Maize,17.3,1321.0,1426.0,1350.0,2015,1
3204,85,2015-02-01,Madhya Pradesh,Mandsaur,Maize,17.4,1206.0,1411.0,1305.0,2015,2
3243,86,2015-03-01,Madhya Pradesh,Mandsaur,Maize,20.0,1290.0,1331.0,1310.0,2015,3
3272,87,2015-04-01,Madhya Pradesh,Mandsaur,Maize,4.4,1261.0,1280.0,1270.0,2015,4
3297,88,2015-05-01,Madhya Pradesh,Mandsaur,Maize,8.0,1052.0,1194.0,1140.0,2015,5
3326,89,2015-06-01,Madhya Pradesh,Mandsaur,Maize,0.2,1180.0,1180.0,1180.0,2015,6
3354,90,2015-07-01,Madhya Pradesh,Mandsaur,Maize,7.0,1090.0,1275.0,1170.0,2015,7
3385,91,2015-08-01,Madhya Pradesh,Mandsaur,Maize,9.4,1270.0,1339.0,1304.0,2015,8
3414,92,2015-09-01,Madhya Pradesh,Mandsaur,Maize,9.9,1370.0,1534.0,1450.0,2015,9
3438,93,2015-10-01,Madhya Pradesh,Mandsaur,Maize,15.7,1417.0,1528.0,1472.0,2015,10
3476,94,2015-11-01,Madhya Pradesh,Mandsaur,Maize,80.0,1350.0,1415.0,1375.0,2015,11
3519,95,2015-12-01,Madhya Pradesh,Mandsaur,Maize,40.0,1470.0,1532.0,1500.0,2015,12
3554,96,2016-01-01,Madhya Pradesh,Mandsaur,Maize,15.0,1491.0,1531.0,1510.0,2016,1
3579,97,2016-02-01,Madhya Pradesh,Mandsaur,Maize,2.0,1400.0,1400.0,1400.0,2016,2
3599,98,2016-03-01,Madhya Pradesh,Mandsaur,Maize,3.3,1456.0,1535.0,1510.0,2016,3
3619,99,2016-04-01,Madhya Pradesh,Mandsaur,Maize,2.5,1420.0,1560.0,1490.0,2016,4
3630,100,2016-05-01,Madhya Pradesh,Mandsaur,Maize,5.0,1321.0,1459.0,1390.0,2016,5
3650,101,2016-06-01,Madhya Pradesh,Mandsaur,Maize,4.0,1370.0,1631.0,1500.0,2016,6
3672,102,2016-07-01,Madhya Pradesh,Mandsaur,Maize,8.0,1561.0,1819.0,1690.0,2016,7
3692,103,2016-08-01,Madhya Pradesh,Mandsaur,Maize,3.0,1620.0,1728.0,1675.0,2016,8
3710,104,2016-09-01,Madhya Pradesh,Mandsaur,Maize,4.0,1580.0,1732.0,1655.0,2016,9
3732,105,2016-10-01,Madhya Pradesh,Mandsaur,Maize,1.0,1540.0,1668.0,1600.0,2016,10
3769,106,2016-11-01,Madhya Pradesh,Mandsaur,Maize,9.0,1200.0,1401.0,1300.0,2016,11
3805,107,2016-12-01,Madhya Pradesh,Mandsaur,Maize,33.7,1150.0,1530.0,1340.0,2016,12
3864,108,2017-01-01,Madhya Pradesh,Mandsaur,Maize,18.6,1340.0,1500.0,1420.0,2017,1
3912,109,2017-02-01,Madhya Pradesh,Mandsaur,Maize,8.5,1390.0,1511.0,1450.0,2017,2
3947,110,2017-03-01,Madhya Pradesh,Mandsaur,Maize,4.0,1377.0,1548.0,1460.0,2017,3
3968,111,2017-04-01,Madhya Pradesh,Mandsaur,Maize,1.6,1397.0,1405.0,1400.0,2017,4
3990,112,2017-05-01,Madhya Pradesh,Mandsaur,Maize,0.8,1320.0,1400.0,1360.0,2017,5
4013,113,2017-06-01,Madhya Pradesh,Mandsaur,Maize,3.4,1360.0,1521.0,1420.0,2017,6
4017,114,2017-07-01,Madhya Pradesh,Mandsaur,Maize,62.33081818181819,1077.709090909091,1209.790909090909,1140.490909090909,2017,7
4018,115,2017-08-01,Madhya Pradesh,Mandsaur,Maize,62.33081818181819,1077.709090909091,1209.790909090909,1140.490909090909,2017,8
4019,116,2017-09-01,Madhya Pradesh,Mandsaur,Maize,62.33081818181819,1077.709090909091,1209.790909090909,1140.490909090909,2017,9
4020,117,2017-10-01,Madhya Pradesh,Mandsaur,Maize,62.33081818181819,1077.709090909091,1209.790909090909,1140.490909090909,2017,10
4021,118,2017-11-01,Madhya Pradesh,Mandsaur,Maize,62.33081818181819,1077.709090909091,1209.790909090909,1140.490909090909,2017,11
4022,119,2017-12-01,Madhya Pradesh,Mandsaur,Maize,62.33081818181819,1077.709090909091,1209.790909090909,1140.490909090909,2017,12
