,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2008,1
1,1,2008-02-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2008,2
2,2,2008-03-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2008,3
3,3,2008-04-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2008,4
4,4,2008-05-01,Madhya Pradesh,Rajgarh,Maize,34.0,650.0,661.0,661.0,2008,5
5,5,2008-06-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2008,6
6,6,2008-07-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2008,7
7,7,2008-08-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2008,8
8,8,2008-09-01,Madhya Pradesh,Rajgarh,Maize,0.82,802.0,805.0,805.0,2008,9
15,9,2008-10-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2008,10
16,10,2008-11-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2008,11
17,11,2008-12-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2008,12
18,12,2009-01-01,Madhya Pradesh,Rajgarh,Maize,16.56,690.0,713.0,700.0,2009,1
39,13,2009-02-01,Madhya Pradesh,Rajgarh,Maize,2.0,725.0,725.0,725.0,2009,2
51,14,2009-03-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2009,3
52,15,2009-04-01,Madhya Pradesh,Rajgarh,Maize,7.21,670.0,801.0,800.0,2009,4
64,16,2009-05-01,Madhya Pradesh,Rajgarh,Maize,11.880990099009901,1118.4455445544554,1170.4950495049504,1144.7920792079208,2009,5
65,17,2009-06-01,Madhya Pradesh,Rajgarh,Maize,0.69,800.0,820.0,810.0,2009,6
72,18,2009-07-01,Madhya Pradesh,Rajgarh,Maize,0.46,825.0,825.0,825.0,2009,7
95,19,2009-08-01,Madhya Pradesh,Rajgarh,Maize,20.0,880.0,890.0,885.0,2009,8
191,20,2009-09-01,Madhya Pradesh,Rajgarh,Maize,53.0,930.0,945.0,937.0,2009,9
282,21,2009-10-01,Madhya Pradesh,Rajgarh,Maize,12.0,860.0,873.0,868.0,2009,10
412,22,2009-11-01,Madhya Pradesh,Rajgarh,Maize,63.0,840.0,886.0,860.0,2009,11
612,23,2009-12-01,Madhya Pradesh,Rajgarh,Maize,211.0,900.0,940.0,920.0,2009,12
771,24,2010-01-01,Madhya Pradesh,Rajgarh,Maize,64.0,900.0,971.0,935.0,2010,1
912,25,2010-02-01,Madhya Pradesh,Rajgarh,Maize,2.9,897.0,909.0,903.0,2010,2
1029,26,2010-03-01,Madhya Pradesh,Rajgarh,Maize,5.0,860.0,868.0,864.0,2010,3
1114,27,2010-04-01,Madhya Pradesh,Rajgarh,Maize,42.0,825.0,847.0,835.0,2010,4
1182,28,2010-05-01,Madhya Pradesh,Rajgarh,Maize,12.0,844.0,871.0,860.0,2010,5
1259,29,2010-06-01,Madhya Pradesh,Rajgarh,Maize,26.0,860.0,900.0,880.0,2010,6
1342,30,2010-07-01,Madhya Pradesh,Rajgarh,Maize,17.0,1022.0,1032.0,1026.0,2010,7
1441,31,2010-08-01,Madhya Pradesh,Rajgarh,Maize,17.0,1022.0,1032.0,1028.0,2010,8
