,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Madhya Pradesh,Shehdol,Maize,5.0,600.0,600.0,600.0,2008,1
3,1,2008-02-01,Madhya Pradesh,Shehdol,Maize,296.0,630.0,630.0,630.0,2008,2
4,2,2008-03-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2008,3
5,3,2008-04-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2008,4
6,4,2008-05-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2008,5
7,5,2008-06-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2008,6
8,6,2008-07-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2008,7
9,7,2008-08-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2008,8
10,8,2008-09-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2008,9
11,9,2008-10-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2008,10
12,10,2008-11-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2008,11
13,11,2008-12-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2008,12
14,12,2009-01-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2009,1
15,13,2009-02-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2009,2
16,14,2009-03-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2009,3
17,15,2009-04-01,Madhya Pradesh,Shehdol,Maize,14.983793103448276,1198.448275862069,1163.3103448275863,1158.6206896551723,2009,4
