,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Madhya Pradesh,Ujjain,Maize,2.0,630.0,727.0,727.0,2008,1
31,1,2008-02-01,Madhya Pradesh,Ujjain,Maize,2.0,685.0,765.0,736.0,2008,2
63,2,2008-03-01,Madhya Pradesh,Ujjain,Maize,2.0,676.0,725.0,725.0,2008,3
73,3,2008-04-01,Madhya Pradesh,Ujjain,Maize,2.0,500.0,676.0,676.0,2008,4
84,4,2008-05-01,Madhya Pradesh,Ujjain,Maize,2.0,695.0,719.0,719.0,2008,5
94,5,2008-06-01,Madhya Pradesh,Ujjain,Maize,2.0,760.0,806.0,785.0,2008,6
103,6,2008-07-01,Madhya Pradesh,Ujjain,Maize,2.0,750.0,779.0,776.0,2008,7
132,7,2008-08-01,Madhya Pradesh,Ujjain,Maize,2.0,800.0,885.0,846.0,2008,8
150,8,2008-09-01,Madhya Pradesh,Ujjain,Maize,2.0,720.0,784.0,760.0,2008,9
157,9,2008-10-01,Madhya Pradesh,Ujjain,Maize,2.0,680.0,769.0,739.0,2008,10
182,10,2008-11-01,Madhya Pradesh,Ujjain,Maize,2.0,651.0,680.0,672.0,2008,11
231,11,2008-12-01,Madhya Pradesh,Ujjain,Maize,2.0,705.0,748.0,746.0,2008,12
275,12,2009-01-01,Madhya Pradesh,Ujjain,Maize,2.0,660.0,724.0,717.0,2009,1
324,13,2009-02-01,Madhya Pradesh,Ujjain,Maize,15.0,759.0,907.0,797.0,2009,2
357,14,2009-03-01,Madhya Pradesh,Ujjain,Maize,2.0,730.0,764.0,755.0,2009,3
379,15,2009-04-01,Madhya Pradesh,Ujjain,Maize,2.0,754.0,754.0,754.0,2009,4
395,16,2009-05-01,Madhya Pradesh,Ujjain,Maize,0.3,831.0,845.0,845.0,2009,5
415,17,2009-06-01,Madhya Pradesh,Ujjain,Maize,0.6,800.0,840.0,840.0,2009,6
424,18,2009-07-01,Madhya Pradesh,Ujjain,Maize,0.1,800.0,800.0,800.0,2009,7
437,19,2009-08-01,Madhya Pradesh,Ujjain,Maize,0.1,840.0,840.0,840.0,2009,8
472,20,2009-09-01,Madhya Pradesh,Ujjain,Maize,0.1,825.0,825.0,825.0,2009,9
525,21,2009-10-01,Madhya Pradesh,Ujjain,Maize,8.0,800.0,851.0,851.0,2009,10
592,22,2009-11-01,Madhya Pradesh,Ujjain,Maize,17.0,811.0,860.0,860.0,2009,11
719,23,2009-12-01,Madhya Pradesh,Ujjain,Maize,4.0,861.0,965.0,910.0,2009,12
846,24,2010-01-01,Madhya Pradesh,Ujjain,Maize,7.0,925.0,966.0,945.0,2010,1
963,25,2010-02-01,Madhya Pradesh,Ujjain,Maize,3.1,851.0,980.0,920.0,2010,2
1053,26,2010-03-01,Madhya Pradesh,Ujjain,Maize,0.2,920.0,920.0,920.0,2010,3
1111,27,2010-04-01,Madhya Pradesh,Ujjain,Maize,4.4,890.0,890.0,890.0,2010,4
1193,28,2010-05-01,Madhya Pradesh,Ujjain,Maize,0.3,871.0,871.0,871.0,2010,5
1269,29,2010-06-01,Madhya Pradesh,Ujjain,Maize,0.66,851.0,911.0,865.0,2010,6
1356,30,2010-07-01,Madhya Pradesh,Ujjain,Maize,3.0,911.0,951.0,931.0,2010,7
1414,31,2010-08-01,Madhya Pradesh,Ujjain,Maize,0.05,1000.0,1000.0,1000.0,2010,8
1464,32,2010-09-01,Madhya Pradesh,Ujjain,Maize,6.75,900.0,950.0,900.0,2010,9
1506,33,2010-10-01,Madhya Pradesh,Ujjain,Maize,1.2,950.0,996.0,950.0,2010,10
1545,34,2010-11-01,Madhya Pradesh,Ujjain,Maize,0.5,800.0,800.0,800.0,2010,11
