,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Madhya Pradesh,Vidisha,Maize,2.0,664.0,664.0,664.0,2008,1
2,1,2008-02-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2008,2
3,2,2008-03-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2008,3
4,3,2008-04-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2008,4
5,4,2008-05-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2008,5
6,5,2008-06-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2008,6
7,6,2008-07-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2008,7
8,7,2008-08-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2008,8
9,8,2008-09-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2008,9
10,9,2008-10-01,Madhya Pradesh,Vidisha,Maize,2.0,725.0,812.0,725.0,2008,10
11,10,2008-11-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2008,11
12,11,2008-12-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2008,12
13,12,2009-01-01,Madhya Pradesh,Vidisha,Maize,2.0,700.0,700.0,700.0,2009,1
14,13,2009-02-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2009,2
15,14,2009-03-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2009,3
16,15,2009-04-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2009,4
17,16,2009-05-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2009,5
18,17,2009-06-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2009,6
19,18,2009-07-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2009,7
20,19,2009-08-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2009,8
21,20,2009-09-01,Madhya Pradesh,Vidisha,Maize,0.4,700.0,742.0,741.0,2009,9
24,21,2009-10-01,Madhya Pradesh,Vidisha,Maize,0.2,805.0,805.0,805.0,2009,10
52,22,2009-11-01,Madhya Pradesh,Vidisha,Maize,1.3,750.0,800.0,790.0,2009,11
75,23,2009-12-01,Madhya Pradesh,Vidisha,Maize,0.4,800.0,800.0,800.0,2009,12
96,24,2010-01-01,Madhya Pradesh,Vidisha,Maize,0.2,850.0,850.0,850.0,2010,1
113,25,2010-02-01,Madhya Pradesh,Vidisha,Maize,0.4,860.0,860.0,860.0,2010,2
122,26,2010-03-01,Madhya Pradesh,Vidisha,Maize,0.1,700.0,700.0,700.0,2010,3
123,27,2010-04-01,Madhya Pradesh,Vidisha,Maize,0.1,605.0,605.0,605.0,2010,4
124,28,2010-05-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2010,5
125,29,2010-06-01,Madhya Pradesh,Vidisha,Maize,0.2,705.0,705.0,705.0,2010,6
129,30,2010-07-01,Madhya Pradesh,Vidisha,Maize,0.2,805.0,805.0,805.0,2010,7
132,31,2010-08-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2010,8
133,32,2010-09-01,Madhya Pradesh,Vidisha,Maize,0.2,855.0,855.0,855.0,2010,9
137,33,2010-10-01,Madhya Pradesh,Vidisha,Maize,2.9,740.0,890.0,850.0,2010,10
159,34,2010-11-01,Madhya Pradesh,Vidisha,Maize,0.6,650.0,670.0,670.0,2010,11
184,35,2010-12-01,Madhya Pradesh,Vidisha,Maize,0.8,705.0,785.0,775.0,2010,12
219,36,2011-01-01,Madhya Pradesh,Vidisha,Maize,2.8,815.0,830.0,820.0,2011,1
242,37,2011-02-01,Madhya Pradesh,Vidisha,Maize,0.1,865.0,865.0,865.0,2011,2
263,38,2011-03-01,Madhya Pradesh,Vidisha,Maize,3.0,840.0,840.0,840.0,2011,3
269,39,2011-04-01,Madhya Pradesh,Vidisha,Maize,0.1,1050.0,1050.0,1050.0,2011,4
276,40,2011-05-01,Madhya Pradesh,Vidisha,Maize,0.2,980.0,980.0,980.0,2011,5
281,41,2011-06-01,Madhya Pradesh,Vidisha,Maize,0.2,995.0,995.0,995.0,2011,6
285,42,2011-07-01,Madhya Pradesh,Vidisha,Maize,0.1,950.0,950.0,950.0,2011,7
289,43,2011-08-01,Madhya Pradesh,Vidisha,Maize,0.1,800.0,800.0,800.0,2011,8
291,44,2011-09-01,Madhya Pradesh,Vidisha,Maize,0.1,885.0,885.0,885.0,2011,9
293,45,2011-10-01,Madhya Pradesh,Vidisha,Maize,0.1,885.0,885.0,885.0,2011,10
300,46,2011-11-01,Madhya Pradesh,Vidisha,Maize,0.1,800.0,800.0,800.0,2011,11
306,47,2011-12-01,Madhya Pradesh,Vidisha,Maize,0.2,935.0,935.0,935.0,2011,12
309,48,2012-01-01,Madhya Pradesh,Vidisha,Maize,0.4,1040.0,1040.0,1040.0,2012,1
310,49,2012-02-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2012,2
311,50,2012-03-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2012,3
312,51,2012-04-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2012,4
313,52,2012-05-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2012,5
314,53,2012-06-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2012,6
315,54,2012-07-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2012,7
316,55,2012-08-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2012,8
317,56,2012-09-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2012,9
318,57,2012-10-01,Madhya Pradesh,Vidisha,Maize,0.7,1100.0,1125.0,1120.0,2012,10
324,58,2012-11-01,Madhya Pradesh,Vidisha,Maize,0.2,1105.0,1105.0,1105.0,2012,11
325,59,2012-12-01,Madhya Pradesh,Vidisha,Maize,0.1,1250.0,1250.0,1250.0,2012,12
327,60,2013-01-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2013,1
328,61,2013-02-01,Madhya Pradesh,Vidisha,Maize,0.1,1105.0,1105.0,1105.0,2013,2
329,62,2013-03-01,Madhya Pradesh,Vidisha,Maize,0.1,1200.0,1200.0,1200.0,2013,3
331,63,2013-04-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2013,4
332,64,2013-05-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2013,5
333,65,2013-06-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2013,6
334,66,2013-07-01,Madhya Pradesh,Vidisha,Maize,0.1,1100.0,1100.0,1100.0,2013,7
335,67,2013-08-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2013,8
336,68,2013-09-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2013,9
337,69,2013-10-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2013,10
338,70,2013-11-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2013,11
339,71,2013-12-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2013,12
340,72,2014-01-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2014,1
341,73,2014-02-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2014,2
342,74,2014-03-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2014,3
343,75,2014-04-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2014,4
344,76,2014-05-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2014,5
345,77,2014-06-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2014,6
346,78,2014-07-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2014,7
347,79,2014-08-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2014,8
348,80,2014-09-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2014,9
349,81,2014-10-01,Madhya Pradesh,Vidisha,Maize,1.1767441860465118,916.0930232558139,931.4186046511628,924.7674418604652,2014,10
