,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Maharashtra,Amarawati,Maize,3.2,600.0,900.0,750.0,2008,1
11,1,2008-02-01,Maharashtra,Amarawati,Maize,1.5,650.0,950.0,800.0,2008,2
20,2,2008-03-01,Maharashtra,Amarawati,Maize,0.1,800.0,800.0,800.0,2008,3
23,3,2008-04-01,Maharashtra,Amarawati,Maize,3.3,600.0,800.0,700.0,2008,4
25,4,2008-05-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2008,5
26,5,2008-06-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2008,6
27,6,2008-07-01,Maharashtra,Amarawati,Maize,0.5,700.0,900.0,800.0,2008,7
30,7,2008-08-01,Maharashtra,Amarawati,Maize,0.2,700.0,900.0,800.0,2008,8
31,8,2008-09-01,Maharashtra,Amarawati,Maize,0.2,750.0,900.0,825.0,2008,9
34,9,2008-10-01,Maharashtra,Amarawati,Maize,1.0,750.0,750.0,750.0,2008,10
41,10,2008-11-01,Maharashtra,Amarawati,Maize,6.1,600.0,1050.0,825.0,2008,11
53,11,2008-12-01,Maharashtra,Amarawati,Maize,1.1,700.0,950.0,850.0,2008,12
74,12,2009-01-01,Maharashtra,Amarawati,Maize,2.0,600.0,900.0,750.0,2009,1
93,13,2009-02-01,Maharashtra,Amarawati,Maize,0.7,700.0,900.0,800.0,2009,2
104,14,2009-03-01,Maharashtra,Amarawati,Maize,0.6,700.0,800.0,750.0,2009,3
111,15,2009-04-01,Maharashtra,Amarawati,Maize,1.2,800.0,900.0,850.0,2009,4
118,16,2009-05-01,Maharashtra,Amarawati,Maize,6.6,900.0,950.0,925.0,2009,5
122,17,2009-06-01,Maharashtra,Amarawati,Maize,0.5,960.0,960.0,960.0,2009,6
125,18,2009-07-01,Maharashtra,Amarawati,Maize,0.1,850.0,1000.0,925.0,2009,7
129,19,2009-08-01,Maharashtra,Amarawati,Maize,0.2,900.0,900.0,900.0,2009,8
130,20,2009-09-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2009,9
131,21,2009-10-01,Maharashtra,Amarawati,Maize,0.6,900.0,1000.0,900.0,2009,10
132,22,2009-11-01,Maharashtra,Amarawati,Maize,0.2,900.0,900.0,900.0,2009,11
139,23,2009-12-01,Maharashtra,Amarawati,Maize,3.9,900.0,1100.0,1000.0,2009,12
145,24,2010-01-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2010,1
146,25,2010-02-01,Maharashtra,Amarawati,Maize,14.3,900.0,1100.0,1000.0,2010,2
147,26,2010-03-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2010,3
148,27,2010-04-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2010,4
149,28,2010-05-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2010,5
150,29,2010-06-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2010,6
151,30,2010-07-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2010,7
152,31,2010-08-01,Maharashtra,Amarawati,Maize,0.2,900.0,1000.0,950.0,2010,8
153,32,2010-09-01,Maharashtra,Amarawati,Maize,1.8,900.0,950.0,925.0,2010,9
154,33,2010-10-01,Maharashtra,Amarawati,Maize,0.8,900.0,950.0,925.0,2010,10
156,34,2010-11-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2010,11
157,35,2010-12-01,Maharashtra,Amarawati,Maize,0.1,900.0,900.0,900.0,2010,12
158,36,2011-01-01,Maharashtra,Amarawati,Maize,2.7,900.0,1050.0,975.0,2011,1
164,37,2011-02-01,Maharashtra,Amarawati,Maize,4.4,950.0,1200.0,1075.0,2011,2
177,38,2011-03-01,Maharashtra,Amarawati,Maize,0.6,900.0,1000.0,950.0,2011,3
184,39,2011-04-01,Maharashtra,Amarawati,Maize,0.1,1000.0,1000.0,1000.0,2011,4
188,40,2011-05-01,Maharashtra,Amarawati,Maize,4.5,900.0,1200.0,1050.0,2011,5
192,41,2011-06-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2011,6
193,42,2011-07-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2011,7
194,43,2011-08-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2011,8
195,44,2011-09-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2011,9
196,45,2011-10-01,Maharashtra,Amarawati,Maize,0.2,850.0,900.0,875.0,2011,10
205,46,2011-11-01,Maharashtra,Amarawati,Maize,2.9,900.0,1100.0,1000.0,2011,11
210,47,2011-12-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2011,12
211,48,2012-01-01,Maharashtra,Amarawati,Maize,4.98875,1088.875,1208.375,1148.0625,2012,1
212,49,2012-02-01,Maharashtra,Amarawati,Maize,0.5,900.0,1300.0,1100.0,2012,2
229,50,2012-03-01,Maharashtra,Amarawati,Maize,21.6,1500.0,1550.0,1525.0,2012,3
236,51,2012-04-01,Maharashtra,Amarawati,Maize,0.2,1100.0,1200.0,1150.0,2012,4
240,52,2012-05-01,Maharashtra,Amarawati,Maize,0.3,1060.0,1480.0,1270.0,2012,5
241,53,2012-06-01,Maharashtra,Amarawati,Maize,0.1,1000.0,1100.0,1050.0,2012,6
247,54,2012-07-01,Maharashtra,Amarawati,Maize,0.4,1150.0,1350.0,1250.0,2012,7
