,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Maharashtra,Aurangabad,Maize,15.0,600.0,660.0,640.0,2008,1
54,1,2008-02-01,Maharashtra,Aurangabad,Maize,3.0,665.0,705.0,690.0,2008,2
116,2,2008-03-01,Maharashtra,Aurangabad,Maize,0.5,724.0,730.0,725.0,2008,3
175,3,2008-04-01,Maharashtra,Aurangabad,Maize,74.0,700.0,715.0,710.0,2008,4
213,4,2008-05-01,Maharashtra,Aurangabad,Maize,82.0,710.0,725.0,710.0,2008,5
264,5,2008-06-01,Maharashtra,Aurangabad,Maize,11.5,719.0,767.0,750.0,2008,6
314,6,2008-07-01,Maharashtra,Aurangabad,Maize,2.0,950.0,950.0,950.0,2008,7
351,7,2008-08-01,Maharashtra,Aurangabad,Maize,0.2,974.0,974.0,974.0,2008,8
377,8,2008-09-01,Maharashtra,Aurangabad,Maize,0.4,900.0,900.0,900.0,2008,9
400,9,2008-10-01,Maharashtra,Aurangabad,Maize,2.5,700.0,700.0,700.0,2008,10
429,10,2008-11-01,Maharashtra,Aurangabad,Maize,4.5,640.0,690.0,670.0,2008,11
498,11,2008-12-01,Maharashtra,Aurangabad,Maize,120.9,600.0,777.0,725.0,2008,12
575,12,2009-01-01,Maharashtra,Aurangabad,Maize,13.5,570.0,681.0,640.0,2009,1
629,13,2009-02-01,Maharashtra,Aurangabad,Maize,100.5,711.0,775.0,755.0,2009,2
701,14,2009-03-01,Maharashtra,Aurangabad,Maize,2.0,670.0,670.0,670.0,2009,3
782,15,2009-04-01,Maharashtra,Aurangabad,Maize,57.0,755.0,780.0,761.0,2009,4
835,16,2009-05-01,Maharashtra,Aurangabad,Maize,35.0,745.0,800.0,772.0,2009,5
867,17,2009-06-01,Maharashtra,Aurangabad,Maize,25.5,840.0,840.0,840.0,2009,6
906,18,2009-07-01,Maharashtra,Aurangabad,Maize,31.3,875.0,900.0,887.0,2009,7
971,19,2009-08-01,Maharashtra,Aurangabad,Maize,3.0,875.0,911.0,893.0,2009,8
1027,20,2009-09-01,Maharashtra,Aurangabad,Maize,1.8,925.0,925.0,925.0,2009,9
1075,21,2009-10-01,Maharashtra,Aurangabad,Maize,0.6,840.0,875.0,850.0,2009,10
1094,22,2009-11-01,Maharashtra,Aurangabad,Maize,232.7,840.0,901.0,840.0,2009,11
1114,23,2009-12-01,Maharashtra,Aurangabad,Maize,45.0,850.0,875.0,865.0,2009,12
1127,24,2010-01-01,Maharashtra,Aurangabad,Maize,55.0,840.0,860.0,850.0,2010,1
1140,25,2010-02-01,Maharashtra,Aurangabad,Maize,70.6,840.0,845.0,843.0,2010,2
1154,26,2010-03-01,Maharashtra,Aurangabad,Maize,25.0,840.0,850.0,845.0,2010,3
1174,27,2010-04-01,Maharashtra,Aurangabad,Maize,11.1,840.0,850.0,845.0,2010,4
1198,28,2010-05-01,Maharashtra,Aurangabad,Maize,29.5,840.0,840.0,840.0,2010,5
1214,29,2010-06-01,Maharashtra,Aurangabad,Maize,19.0,850.0,920.0,885.0,2010,6
1310,30,2010-07-01,Maharashtra,Aurangabad,Maize,1.8,851.0,915.0,900.0,2010,7
1366,31,2010-08-01,Maharashtra,Aurangabad,Maize,6.8,1050.0,1050.0,1050.0,2010,8
1431,32,2010-09-01,Maharashtra,Aurangabad,Maize,2.8,1000.0,1000.0,1000.0,2010,9
1481,33,2010-10-01,Maharashtra,Aurangabad,Maize,5.4,840.0,1060.0,892.0,2010,10
1507,34,2010-11-01,Maharashtra,Aurangabad,Maize,0.1,845.0,845.0,845.0,2010,11
1511,35,2010-12-01,Maharashtra,Aurangabad,Maize,28.47227722772277,1113.6435643564357,1182.7623762376238,1143.7821782178219,2010,12
1512,36,2011-01-01,Maharashtra,Aurangabad,Maize,24.0,850.0,875.0,863.0,2011,1
1535,37,2011-02-01,Maharashtra,Aurangabad,Maize,68.9,880.0,950.0,915.0,2011,2
1597,38,2011-03-01,Maharashtra,Aurangabad,Maize,78.8,900.0,981.0,940.0,2011,3
1672,39,2011-04-01,Maharashtra,Aurangabad,Maize,40.0,1000.0,1100.0,1050.0,2011,4
1771,40,2011-05-01,Maharashtra,Aurangabad,Maize,2.2,950.0,1000.0,975.0,2011,5
1849,41,2011-06-01,Maharashtra,Aurangabad,Maize,16.3,890.0,1125.0,1025.0,2011,6
1931,42,2011-07-01,Maharashtra,Aurangabad,Maize,15.0,1050.0,1150.0,1100.0,2011,7
2001,43,2011-08-01,Maharashtra,Aurangabad,Maize,1.1,975.0,1226.0,1000.0,2011,8
2042,44,2011-09-01,Maharashtra,Aurangabad,Maize,0.6,1100.0,1125.0,1125.0,2011,9
2070,45,2011-10-01,Maharashtra,Aurangabad,Maize,1.9,880.0,950.0,925.0,2011,10
2072,46,2011-11-01,Maharashtra,Aurangabad,Maize,136.8,840.0,975.0,907.0,2011,11
2128,47,2011-12-01,Maharashtra,Aurangabad,Maize,12.7,850.0,911.0,880.0,2011,12
2274,48,2012-01-01,Maharashtra,Aurangabad,Maize,0.8,966.0,966.0,966.0,2012,1
2382,49,2012-02-01,Maharashtra,Aurangabad,Maize,2.0,1086.0,1111.0,1095.0,2012,2
2458,50,2012-03-01,Maharashtra,Aurangabad,Maize,13.1,1090.0,1125.0,1107.0,2012,3
2503,51,2012-04-01,Maharashtra,Aurangabad,Maize,15.6,1100.0,1130.0,1120.0,2012,4
2557,52,2012-05-01,Maharashtra,Aurangabad,Maize,15.6,1050.0,1120.0,1100.0,2012,5
2662,53,2012-06-01,Maharashtra,Aurangabad,Maize,7.9,1020.0,1050.0,1040.0,2012,6
2731,54,2012-07-01,Maharashtra,Aurangabad,Maize,3.5,1225.0,1225.0,1225.0,2012,7
2780,55,2012-08-01,Maharashtra,Aurangabad,Maize,0.9,1300.0,1476.0,1430.0,2012,8
2818,56,2012-09-01,Maharashtra,Aurangabad,Maize,0.2,5100.0,5100.0,5100.0,2012,9
2863,57,2012-10-01,Maharashtra,Aurangabad,Maize,0.4,1300.0,1375.0,1350.0,2012,10
2943,58,2012-11-01,Maharashtra,Aurangabad,Maize,28.8,1175.0,1175.0,1175.0,2012,11
3025,59,2012-12-01,Maharashtra,Aurangabad,Maize,192.7,1175.0,1350.0,1260.0,2012,12
3100,60,2013-01-01,Maharashtra,Aurangabad,Maize,108.6,1260.0,1350.0,1305.0,2013,1
3156,61,2013-02-01,Maharashtra,Aurangabad,Maize,196.1,1280.0,1330.0,1310.0,2013,2
3209,62,2013-03-01,Maharashtra,Aurangabad,Maize,21.9,1275.0,1325.0,1310.0,2013,3
3258,63,2013-04-01,Maharashtra,Aurangabad,Maize,6.8,1275.0,1315.0,1295.0,2013,4
3293,64,2013-05-01,Maharashtra,Aurangabad,Maize,17.1,1175.0,1200.0,1200.0,2013,5
3343,65,2013-06-01,Maharashtra,Aurangabad,Maize,5.5,1200.0,1350.0,1275.0,2013,6
