,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Maharashtra,Dhule,Maize,42.7,601.0,761.0,698.0,2008,1
30,1,2008-02-01,Maharashtra,Dhule,Maize,12.2,700.0,801.0,714.0,2008,2
69,2,2008-03-01,Maharashtra,Dhule,Maize,0.2,591.0,591.0,591.0,2008,3
111,3,2008-04-01,Maharashtra,Dhule,Maize,0.7,705.0,717.0,717.0,2008,4
137,4,2008-05-01,Maharashtra,Dhule,Maize,23.9,650.0,716.0,710.0,2008,5
181,5,2008-06-01,Maharashtra,Dhule,Maize,16.7,781.0,814.0,801.0,2008,6
221,6,2008-07-01,Maharashtra,Dhule,Maize,1.0,900.0,922.0,919.0,2008,7
243,7,2008-08-01,Maharashtra,Dhule,Maize,0.5,940.0,961.0,956.0,2008,8
270,8,2008-09-01,Maharashtra,Dhule,Maize,0.2,811.0,811.0,811.0,2008,9
297,9,2008-10-01,Maharashtra,Dhule,Maize,5.1,810.0,850.0,825.0,2008,10
321,10,2008-11-01,Maharashtra,Dhule,Maize,2.0,659.0,659.0,659.0,2008,11
375,11,2008-12-01,Maharashtra,Dhule,Maize,49.4,635.0,816.0,771.0,2008,12
414,12,2009-01-01,Maharashtra,Dhule,Maize,49.3,675.0,905.0,731.0,2009,1
454,13,2009-02-01,Maharashtra,Dhule,Maize,79.6,671.0,724.0,720.0,2009,2
511,14,2009-03-01,Maharashtra,Dhule,Maize,21.0,740.0,840.0,775.0,2009,3
555,15,2009-04-01,Maharashtra,Dhule,Maize,15.1,651.0,775.0,702.0,2009,4
580,16,2009-05-01,Maharashtra,Dhule,Maize,0.2,728.0,738.0,730.0,2009,5
590,17,2009-06-01,Maharashtra,Dhule,Maize,47.2,840.0,841.0,840.0,2009,6
613,18,2009-07-01,Maharashtra,Dhule,Maize,0.7,840.0,862.0,840.0,2009,7
654,19,2009-08-01,Maharashtra,Dhule,Maize,4.2,876.0,885.0,885.0,2009,8
678,20,2009-09-01,Maharashtra,Dhule,Maize,1.6,971.0,971.0,971.0,2009,9
700,21,2009-10-01,Maharashtra,Dhule,Maize,0.1,841.0,841.0,841.0,2009,10
707,22,2009-11-01,Maharashtra,Dhule,Maize,321.2,841.0,1151.0,851.0,2009,11
720,23,2009-12-01,Maharashtra,Dhule,Maize,170.3,840.0,1299.0,1025.0,2009,12
747,24,2010-01-01,Maharashtra,Dhule,Maize,60.1,841.0,901.0,871.0,2010,1
782,25,2010-02-01,Maharashtra,Dhule,Maize,27.8,840.0,905.0,876.0,2010,2
825,26,2010-03-01,Maharashtra,Dhule,Maize,5.2,840.0,862.0,840.0,2010,3
858,27,2010-04-01,Maharashtra,Dhule,Maize,53.0,840.0,871.0,841.0,2010,4
898,28,2010-05-01,Maharashtra,Dhule,Maize,139.8,840.0,845.0,840.0,2010,5
936,29,2010-06-01,Maharashtra,Dhule,Maize,127.4,840.0,924.0,885.0,2010,6
997,30,2010-07-01,Maharashtra,Dhule,Maize,8.2,921.0,975.0,925.0,2010,7
1037,31,2010-08-01,Maharashtra,Dhule,Maize,0.2,996.0,996.0,996.0,2010,8
1069,32,2010-09-01,Maharashtra,Dhule,Maize,3.1,1060.0,1065.0,1065.0,2010,9
1109,33,2010-10-01,Maharashtra,Dhule,Maize,3.0,840.0,1275.0,1150.0,2010,10
1133,34,2010-11-01,Maharashtra,Dhule,Maize,356.9,881.0,901.0,881.0,2010,11
1154,35,2010-12-01,Maharashtra,Dhule,Maize,230.5,840.0,881.0,840.0,2010,12
1164,36,2011-01-01,Maharashtra,Dhule,Maize,237.9,840.0,922.0,861.0,2011,1
1212,37,2011-02-01,Maharashtra,Dhule,Maize,238.7,850.0,1025.0,990.0,2011,2
1269,38,2011-03-01,Maharashtra,Dhule,Maize,111.6,900.0,1047.0,1000.0,2011,3
1326,39,2011-04-01,Maharashtra,Dhule,Maize,5.5,1000.0,1213.0,1125.0,2011,4
1370,40,2011-05-01,Maharashtra,Dhule,Maize,26.1,925.0,1235.0,1190.0,2011,5
1406,41,2011-06-01,Maharashtra,Dhule,Maize,7.8,1041.0,1100.0,1081.0,2011,6
1452,42,2011-07-01,Maharashtra,Dhule,Maize,5.4,1055.0,1257.0,1215.0,2011,7
1480,43,2011-08-01,Maharashtra,Dhule,Maize,0.3,1062.0,1062.0,1062.0,2011,8
1515,44,2011-09-01,Maharashtra,Dhule,Maize,1.1,925.0,1162.0,1000.0,2011,9
1548,45,2011-10-01,Maharashtra,Dhule,Maize,3.1,900.0,911.0,911.0,2011,10
1571,46,2011-11-01,Maharashtra,Dhule,Maize,143.3,840.0,1052.0,960.0,2011,11
1625,47,2011-12-01,Maharashtra,Dhule,Maize,8.9,975.0,981.0,980.0,2011,12
1688,48,2012-01-01,Maharashtra,Dhule,Maize,172.8,1051.0,1164.0,1140.0,2012,1
1740,49,2012-02-01,Maharashtra,Dhule,Maize,68.3,1050.0,1170.0,1155.0,2012,2
1768,50,2012-03-01,Maharashtra,Dhule,Maize,16.9,1051.0,1188.0,1151.0,2012,3
1795,51,2012-04-01,Maharashtra,Dhule,Maize,73.0,1100.0,1196.0,1150.0,2012,4
1821,52,2012-05-01,Maharashtra,Dhule,Maize,93.4,1011.0,1162.0,1100.0,2012,5
1861,53,2012-06-01,Maharashtra,Dhule,Maize,114.5,934.0,1060.0,1025.0,2012,6
1905,54,2012-07-01,Maharashtra,Dhule,Maize,2.3,1191.0,1225.0,1200.0,2012,7
1948,55,2012-08-01,Maharashtra,Dhule,Maize,2.7,1315.0,1441.0,1413.0,2012,8
1983,56,2012-09-01,Maharashtra,Dhule,Maize,1.6,1323.0,1560.0,1555.0,2012,9
2026,57,2012-10-01,Maharashtra,Dhule,Maize,22.3,956.0,1198.0,1050.0,2012,10
2088,58,2012-11-01,Maharashtra,Dhule,Maize,165.3,1300.0,1351.0,1351.0,2012,11
2146,59,2012-12-01,Maharashtra,Dhule,Maize,1.5,1140.0,1291.0,1280.0,2012,12
2219,60,2013-01-01,Maharashtra,Dhule,Maize,25.7,1200.0,1326.0,1315.0,2013,1
2269,61,2013-02-01,Maharashtra,Dhule,Maize,5.9,1161.0,1339.0,1301.0,2013,2
2311,62,2013-03-01,Maharashtra,Dhule,Maize,4.7,1185.0,1310.0,1271.0,2013,3
2374,63,2013-04-01,Maharashtra,Dhule,Maize,94.0,1150.0,1340.0,1280.0,2013,4
2430,64,2013-05-01,Maharashtra,Dhule,Maize,157.7,1030.0,1230.0,1190.0,2013,5
2489,65,2013-06-01,Maharashtra,Dhule,Maize,64.0,1409.0,1463.0,1440.0,2013,6
2546,66,2013-07-01,Maharashtra,Dhule,Maize,1.1,1450.0,1550.0,1460.0,2013,7
2606,67,2013-08-01,Maharashtra,Dhule,Maize,0.2,1416.0,1451.0,1445.0,2013,8
2620,68,2013-09-01,Maharashtra,Dhule,Maize,1.7,1430.0,1681.0,1516.0,2013,9
2631,69,2013-10-01,Maharashtra,Dhule,Maize,0.3,1313.0,1313.0,1313.0,2013,10
2632,70,2013-11-01,Maharashtra,Dhule,Maize,33.1,1364.0,1651.0,1451.0,2013,11
2634,71,2013-12-01,Maharashtra,Dhule,Maize,16.8,1687.0,1731.0,1731.0,2013,12
2644,72,2014-01-01,Maharashtra,Dhule,Maize,3.0,1551.0,1551.0,1551.0,2014,1
2651,73,2014-02-01,Maharashtra,Dhule,Maize,1.9,1741.0,1828.0,1828.0,2014,2
2652,74,2014-03-01,Maharashtra,Dhule,Maize,48.24905660377359,1114.9433962264152,1214.245283018868,1177.801886792453,2014,3
2653,75,2014-04-01,Maharashtra,Dhule,Maize,2.2,1999.0,1999.0,1999.0,2014,4
2654,76,2014-05-01,Maharashtra,Dhule,Maize,48.24905660377359,1114.9433962264152,1214.245283018868,1177.801886792453,2014,5
2655,77,2014-06-01,Maharashtra,Dhule,Maize,48.24905660377359,1114.9433962264152,1214.245283018868,1177.801886792453,2014,6
2656,78,2014-07-01,Maharashtra,Dhule,Maize,6.5,1360.0,1415.0,1400.0,2014,7
2659,79,2014-08-01,Maharashtra,Dhule,Maize,0.1,1451.0,1451.0,1451.0,2014,8
2663,80,2014-09-01,Maharashtra,Dhule,Maize,0.1,1358.0,1358.0,1358.0,2014,9
2664,81,2014-10-01,Maharashtra,Dhule,Maize,48.24905660377359,1114.9433962264152,1214.245283018868,1177.801886792453,2014,10
2665,82,2014-11-01,Maharashtra,Dhule,Maize,6.0,1742.0,1986.0,1986.0,2014,11
2675,83,2014-12-01,Maharashtra,Dhule,Maize,10.5,1551.0,1899.0,1826.0,2014,12
2692,84,2015-01-01,Maharashtra,Dhule,Maize,2.3,1375.0,1751.0,1751.0,2015,1
2697,85,2015-02-01,Maharashtra,Dhule,Maize,2.0,1585.0,1585.0,1585.0,2015,2
2698,86,2015-03-01,Maharashtra,Dhule,Maize,48.24905660377359,1114.9433962264152,1214.245283018868,1177.801886792453,2015,3
2699,87,2015-04-01,Maharashtra,Dhule,Maize,48.24905660377359,1114.9433962264152,1214.245283018868,1177.801886792453,2015,4
2700,88,2015-05-01,Maharashtra,Dhule,Maize,3.0,1311.0,1311.0,1311.0,2015,5
2701,89,2015-06-01,Maharashtra,Dhule,Maize,48.24905660377359,1114.9433962264152,1214.245283018868,1177.801886792453,2015,6
2702,90,2015-07-01,Maharashtra,Dhule,Maize,23.0,1335.0,1343.0,1342.0,2015,7
2709,91,2015-08-01,Maharashtra,Dhule,Maize,10.0,1345.0,1378.0,1350.0,2015,8
2725,92,2015-09-01,Maharashtra,Dhule,Maize,2.0,1585.0,1610.0,1600.0,2015,9
2744,93,2015-10-01,Maharashtra,Dhule,Maize,48.24905660377359,1114.9433962264152,1214.245283018868,1177.801886792453,2015,10
2745,94,2015-11-01,Maharashtra,Dhule,Maize,6.0,1411.0,1411.0,1411.0,2015,11
2754,95,2015-12-01,Maharashtra,Dhule,Maize,230.0,1331.0,1471.0,1440.0,2015,12
2799,96,2016-01-01,Maharashtra,Dhule,Maize,32.0,1395.0,1456.0,1420.0,2016,1
2834,97,2016-02-01,Maharashtra,Dhule,Maize,8.0,1361.0,1414.0,1361.0,2016,2
2845,98,2016-03-01,Maharashtra,Dhule,Maize,6.0,1500.0,1500.0,1500.0,2016,3
2847,99,2016-04-01,Maharashtra,Dhule,Maize,3.0,1340.0,1345.0,1342.0,2016,4
2855,100,2016-05-01,Maharashtra,Dhule,Maize,2.0,1350.0,1400.0,1375.0,2016,5
2875,101,2016-06-01,Maharashtra,Dhule,Maize,20.0,1485.0,1533.0,1486.0,2016,6
2951,102,2016-07-01,Maharashtra,Dhule,Maize,7.0,1776.0,1811.0,1811.0,2016,7
2967,103,2016-08-01,Maharashtra,Dhule,Maize,7.0,1670.0,1700.0,1670.0,2016,8
