,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Maharashtra,Gadchiroli,Maize,2.1,700.0,700.0,700.0,2008,1
1,1,2008-02-01,Maharashtra,Gadchiroli,Maize,5.5,650.0,650.0,650.0,2008,2
3,2,2008-03-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2008,3
4,3,2008-04-01,Maharashtra,Gadchiroli,Maize,4.5,650.0,650.0,650.0,2008,4
17,4,2008-05-01,Maharashtra,Gadchiroli,Maize,6.0,600.0,600.0,600.0,2008,5
27,5,2008-06-01,Maharashtra,Gadchiroli,Maize,23.0,580.0,650.0,630.0,2008,6
39,6,2008-07-01,Maharashtra,Gadchiroli,Maize,13.0,650.0,750.0,700.0,2008,7
40,7,2008-08-01,Maharashtra,Gadchiroli,Maize,20.9,700.0,700.0,700.0,2008,8
41,8,2008-09-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2008,9
42,9,2008-10-01,Maharashtra,Gadchiroli,Maize,4.5,750.0,800.0,775.0,2008,10
44,10,2008-11-01,Maharashtra,Gadchiroli,Maize,2.0,700.0,700.0,700.0,2008,11
48,11,2008-12-01,Maharashtra,Gadchiroli,Maize,2.0,800.0,800.0,800.0,2008,12
53,12,2009-01-01,Maharashtra,Gadchiroli,Maize,0.5,850.0,850.0,850.0,2009,1
55,13,2009-02-01,Maharashtra,Gadchiroli,Maize,10.0,850.0,850.0,850.0,2009,2
56,14,2009-03-01,Maharashtra,Gadchiroli,Maize,34.5,900.0,900.0,900.0,2009,3
69,15,2009-04-01,Maharashtra,Gadchiroli,Maize,12.0,800.0,800.0,800.0,2009,4
81,16,2009-05-01,Maharashtra,Gadchiroli,Maize,23.4,800.0,850.0,825.0,2009,5
90,17,2009-06-01,Maharashtra,Gadchiroli,Maize,23.0,850.0,850.0,850.0,2009,6
101,18,2009-07-01,Maharashtra,Gadchiroli,Maize,15.6,850.0,850.0,850.0,2009,7
110,19,2009-08-01,Maharashtra,Gadchiroli,Maize,0.8,850.0,850.0,850.0,2009,8
113,20,2009-09-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2009,9
114,21,2009-10-01,Maharashtra,Gadchiroli,Maize,22.0,850.0,850.0,850.0,2009,10
115,22,2009-11-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2009,11
116,23,2009-12-01,Maharashtra,Gadchiroli,Maize,1.8,850.0,850.0,850.0,2009,12
117,24,2010-01-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2010,1
118,25,2010-02-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2010,2
119,26,2010-03-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2010,3
120,27,2010-04-01,Maharashtra,Gadchiroli,Maize,1.5,850.0,850.0,850.0,2010,4
121,28,2010-05-01,Maharashtra,Gadchiroli,Maize,1.0,850.0,850.0,850.0,2010,5
124,29,2010-06-01,Maharashtra,Gadchiroli,Maize,1.0,900.0,900.0,900.0,2010,6
128,30,2010-07-01,Maharashtra,Gadchiroli,Maize,1.2,900.0,900.0,900.0,2010,7
129,31,2010-08-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2010,8
130,32,2010-09-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2010,9
131,33,2010-10-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2010,10
132,34,2010-11-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2010,11
133,35,2010-12-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2010,12
134,36,2011-01-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2011,1
135,37,2011-02-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2011,2
136,38,2011-03-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2011,3
137,39,2011-04-01,Maharashtra,Gadchiroli,Maize,50.0,950.0,950.0,950.0,2011,4
139,40,2011-05-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2011,5
140,41,2011-06-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2011,6
141,42,2011-07-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2011,7
142,43,2011-08-01,Maharashtra,Gadchiroli,Maize,0.8,950.0,950.0,950.0,2011,8
143,44,2011-09-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2011,9
144,45,2011-10-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2011,10
145,46,2011-11-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2011,11
146,47,2011-12-01,Maharashtra,Gadchiroli,Maize,12.0,900.0,950.0,925.0,2011,12
147,48,2012-01-01,Maharashtra,Gadchiroli,Maize,2.0,950.0,950.0,950.0,2012,1
148,49,2012-02-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2012,2
149,50,2012-03-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2012,3
150,51,2012-04-01,Maharashtra,Gadchiroli,Maize,12.0,950.0,1000.0,975.0,2012,4
154,52,2012-05-01,Maharashtra,Gadchiroli,Maize,12.0,950.0,1050.0,1000.0,2012,5
155,53,2012-06-01,Maharashtra,Gadchiroli,Maize,32.0,1000.0,1000.0,1000.0,2012,6
158,54,2012-07-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2012,7
159,55,2012-08-01,Maharashtra,Gadchiroli,Maize,20.0,1100.0,1100.0,1100.0,2012,8
160,56,2012-09-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2012,9
161,57,2012-10-01,Maharashtra,Gadchiroli,Maize,2.0,1000.0,1000.0,1000.0,2012,10
162,58,2012-11-01,Maharashtra,Gadchiroli,Maize,3.1,1051.0,1051.0,1051.0,2012,11
168,59,2012-12-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2012,12
169,60,2013-01-01,Maharashtra,Gadchiroli,Maize,17.0,1100.0,1150.0,1125.0,2013,1
170,61,2013-02-01,Maharashtra,Gadchiroli,Maize,2.0,1150.0,1150.0,1150.0,2013,2
171,62,2013-03-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2013,3
172,63,2013-04-01,Maharashtra,Gadchiroli,Maize,17.9,1100.0,1100.0,1100.0,2013,4
176,64,2013-05-01,Maharashtra,Gadchiroli,Maize,13.0,1000.0,1000.0,1000.0,2013,5
177,65,2013-06-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2013,6
178,66,2013-07-01,Maharashtra,Gadchiroli,Maize,7.0,1000.0,1100.0,1050.0,2013,7
180,67,2013-08-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2013,8
181,68,2013-09-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2013,9
182,69,2013-10-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2013,10
183,70,2013-11-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2013,11
184,71,2013-12-01,Maharashtra,Gadchiroli,Maize,0.8,1335.0,1335.0,1335.0,2013,12
185,72,2014-01-01,Maharashtra,Gadchiroli,Maize,1.2,1310.0,1310.0,1310.0,2014,1
186,73,2014-02-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2014,2
187,74,2014-03-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2014,3
188,75,2014-04-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2014,4
189,76,2014-05-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2014,5
190,77,2014-06-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2014,6
191,78,2014-07-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2014,7
192,79,2014-08-01,Maharashtra,Gadchiroli,Maize,10.256140350877194,1030.280701754386,1041.157894736842,1035.982456140351,2014,8
