,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Maharashtra,Jalana,Maize,1.0,570.0,630.0,627.0,2008,1
66,1,2008-02-01,Maharashtra,Jalana,Maize,44.5,675.0,700.0,675.0,2008,2
123,2,2008-03-01,Maharashtra,Jalana,Maize,37.0,690.0,710.0,700.0,2008,3
166,3,2008-04-01,Maharashtra,Jalana,Maize,7.0,650.0,700.0,670.0,2008,4
210,4,2008-05-01,Maharashtra,Jalana,Maize,12.5,660.0,700.0,680.0,2008,5
262,5,2008-06-01,Maharashtra,Jalana,Maize,21.0,750.0,775.0,760.0,2008,6
314,6,2008-07-01,Maharashtra,Jalana,Maize,5.1,900.0,975.0,950.0,2008,7
343,7,2008-08-01,Maharashtra,Jalana,Maize,4.5,850.0,1022.0,925.0,2008,8
361,8,2008-09-01,Maharashtra,Jalana,Maize,0.3,850.0,890.0,890.0,2008,9
380,9,2008-10-01,Maharashtra,Jalana,Maize,4.8,625.0,800.0,700.0,2008,10
408,10,2008-11-01,Maharashtra,Jalana,Maize,4.0,800.0,850.0,825.0,2008,11
457,11,2008-12-01,Maharashtra,Jalana,Maize,382.4,540.0,766.0,730.0,2008,12
495,12,2009-01-01,Maharashtra,Jalana,Maize,327.5,600.0,714.0,699.0,2009,1
535,13,2009-02-01,Maharashtra,Jalana,Maize,400.1,700.0,801.0,765.0,2009,2
597,14,2009-03-01,Maharashtra,Jalana,Maize,17.0,700.0,725.0,710.0,2009,3
659,15,2009-04-01,Maharashtra,Jalana,Maize,5.9,705.0,800.0,775.0,2009,4
720,16,2009-05-01,Maharashtra,Jalana,Maize,0.3,721.0,750.0,721.0,2009,5
742,17,2009-06-01,Maharashtra,Jalana,Maize,39.7,848.0,877.0,870.0,2009,6
763,18,2009-07-01,Maharashtra,Jalana,Maize,14.2,840.0,908.0,875.0,2009,7
790,19,2009-08-01,Maharashtra,Jalana,Maize,4.0,850.0,900.0,875.0,2009,8
815,20,2009-09-01,Maharashtra,Jalana,Maize,0.1,890.0,890.0,890.0,2009,9
840,21,2009-10-01,Maharashtra,Jalana,Maize,27.5,850.0,917.0,904.0,2009,10
843,22,2009-11-01,Maharashtra,Jalana,Maize,20.0,840.0,840.0,840.0,2009,11
872,23,2009-12-01,Maharashtra,Jalana,Maize,14.0,840.0,840.0,840.0,2009,12
926,24,2010-01-01,Maharashtra,Jalana,Maize,6.0,840.0,840.0,840.0,2010,1
961,25,2010-02-01,Maharashtra,Jalana,Maize,267.5,840.0,875.0,855.0,2010,2
983,26,2010-03-01,Maharashtra,Jalana,Maize,163.3,840.0,900.0,844.0,2010,3
984,27,2010-04-01,Maharashtra,Jalana,Maize,109.2,840.0,871.0,850.0,2010,4
991,28,2010-05-01,Maharashtra,Jalana,Maize,21.0,840.0,840.0,840.0,2010,5
995,29,2010-06-01,Maharashtra,Jalana,Maize,84.4,865.0,936.0,900.0,2010,6
1025,30,2010-07-01,Maharashtra,Jalana,Maize,4.1,911.0,990.0,950.0,2010,7
1060,31,2010-08-01,Maharashtra,Jalana,Maize,2.8,1000.0,1070.0,1050.0,2010,8
1087,32,2010-09-01,Maharashtra,Jalana,Maize,0.4,950.0,1025.0,950.0,2010,9
1103,33,2010-10-01,Maharashtra,Jalana,Maize,194.5,891.0,1000.0,900.0,2010,10
1105,34,2010-11-01,Maharashtra,Jalana,Maize,13.5,840.0,840.0,840.0,2010,11
1122,35,2010-12-01,Maharashtra,Jalana,Maize,10.5,850.0,850.0,850.0,2010,12
1138,36,2011-01-01,Maharashtra,Jalana,Maize,3.5,850.0,860.0,850.0,2011,1
1164,37,2011-02-01,Maharashtra,Jalana,Maize,1.5,1071.0,1201.0,1071.0,2011,2
