,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Maharashtra,Jalgaon,Maize,24.2,650.0,685.0,666.0,2008,1
83,1,2008-02-01,Maharashtra,Jalgaon,Maize,17.4,665.0,715.0,688.0,2008,2
155,2,2008-03-01,Maharashtra,Jalgaon,Maize,0.2,500.0,500.0,500.0,2008,3
202,3,2008-04-01,Maharashtra,Jalgaon,Maize,70.0,650.0,750.0,715.0,2008,4
232,4,2008-05-01,Maharashtra,Jalgaon,Maize,20.0,600.0,800.0,725.0,2008,5
306,5,2008-06-01,Maharashtra,Jalgaon,Maize,75.0,650.0,700.0,675.0,2008,6
367,6,2008-07-01,Maharashtra,Jalgaon,Maize,2.5,900.0,950.0,925.0,2008,7
390,7,2008-08-01,Maharashtra,Jalgaon,Maize,1.6,985.0,986.0,986.0,2008,8
415,8,2008-09-01,Maharashtra,Jalgaon,Maize,0.1,825.0,831.0,830.0,2008,9
453,9,2008-10-01,Maharashtra,Jalgaon,Maize,0.2,791.0,815.0,805.0,2008,10
472,10,2008-11-01,Maharashtra,Jalgaon,Maize,1.9,675.0,675.0,675.0,2008,11
541,11,2008-12-01,Maharashtra,Jalgaon,Maize,6.2,661.0,706.0,675.0,2008,12
607,12,2009-01-01,Maharashtra,Jalgaon,Maize,65.0,660.0,725.0,705.0,2009,1
651,13,2009-02-01,Maharashtra,Jalgaon,Maize,85.0,750.0,780.0,760.0,2009,2
699,14,2009-03-01,Maharashtra,Jalgaon,Maize,80.0,750.0,810.0,780.0,2009,3
735,15,2009-04-01,Maharashtra,Jalgaon,Maize,80.0,700.0,780.0,750.0,2009,4
788,16,2009-05-01,Maharashtra,Jalgaon,Maize,0.7,575.0,675.0,675.0,2009,5
830,17,2009-06-01,Maharashtra,Jalgaon,Maize,9.7,865.0,875.0,870.0,2009,6
869,18,2009-07-01,Maharashtra,Jalgaon,Maize,2.5,850.0,900.0,875.0,2009,7
921,19,2009-08-01,Maharashtra,Jalgaon,Maize,3.0,860.0,906.0,880.0,2009,8
953,20,2009-09-01,Maharashtra,Jalgaon,Maize,3.0,850.0,920.0,920.0,2009,9
1022,21,2009-10-01,Maharashtra,Jalgaon,Maize,2.0,950.0,951.0,950.0,2009,10
1052,22,2009-11-01,Maharashtra,Jalgaon,Maize,44.7,840.0,861.0,851.0,2009,11
1101,23,2009-12-01,Maharashtra,Jalgaon,Maize,5.0,840.0,900.0,890.0,2009,12
1172,24,2010-01-01,Maharashtra,Jalgaon,Maize,18.1,768.0,869.0,818.0,2010,1
1244,25,2010-02-01,Maharashtra,Jalgaon,Maize,10.8,840.0,840.0,840.0,2010,2
1312,26,2010-03-01,Maharashtra,Jalgaon,Maize,2.0,840.0,840.0,840.0,2010,3
1386,27,2010-04-01,Maharashtra,Jalgaon,Maize,1.9,840.0,875.0,861.0,2010,4
1445,28,2010-05-01,Maharashtra,Jalgaon,Maize,48.4,705.0,829.0,801.0,2010,5
1510,29,2010-06-01,Maharashtra,Jalgaon,Maize,0.3,850.0,850.0,850.0,2010,6
1596,30,2010-07-01,Maharashtra,Jalgaon,Maize,2.8,905.0,950.0,920.0,2010,7
1684,31,2010-08-01,Maharashtra,Jalgaon,Maize,3.2,1050.0,1060.0,1060.0,2010,8
1739,32,2010-09-01,Maharashtra,Jalgaon,Maize,0.1,850.0,850.0,850.0,2010,9
1796,33,2010-10-01,Maharashtra,Jalgaon,Maize,4.4,1051.0,1051.0,1051.0,2010,10
1885,34,2010-11-01,Maharashtra,Jalgaon,Maize,166.7,700.0,861.0,780.0,2010,11
1967,35,2010-12-01,Maharashtra,Jalgaon,Maize,113.3,681.0,879.0,780.0,2010,12
2075,36,2011-01-01,Maharashtra,Jalgaon,Maize,3.0,882.0,882.0,882.0,2011,1
2198,37,2011-02-01,Maharashtra,Jalgaon,Maize,48.8,855.0,1035.0,945.0,2011,2
2303,38,2011-03-01,Maharashtra,Jalgaon,Maize,2.5,921.0,921.0,921.0,2011,3
2410,39,2011-04-01,Maharashtra,Jalgaon,Maize,2.5,1000.0,1100.0,1050.0,2011,4
2491,40,2011-05-01,Maharashtra,Jalgaon,Maize,16.8,1006.0,1207.0,1111.0,2011,5
2563,41,2011-06-01,Maharashtra,Jalgaon,Maize,25.0,951.0,1153.0,1095.0,2011,6
2637,42,2011-07-01,Maharashtra,Jalgaon,Maize,36.0,1100.0,1240.0,1180.0,2011,7
2687,43,2011-08-01,Maharashtra,Jalgaon,Maize,7.0,1050.0,1220.0,1140.0,2011,8
2720,44,2011-09-01,Maharashtra,Jalgaon,Maize,0.1,971.0,971.0,971.0,2011,9
2751,45,2011-10-01,Maharashtra,Jalgaon,Maize,0.2,1100.0,1100.0,1100.0,2011,10
2779,46,2011-11-01,Maharashtra,Jalgaon,Maize,70.0,850.0,1070.0,960.0,2011,11
2847,47,2011-12-01,Maharashtra,Jalgaon,Maize,200.0,900.0,1005.0,950.0,2011,12
2968,48,2012-01-01,Maharashtra,Jalgaon,Maize,53.4,1100.0,1178.0,1155.0,2012,1
3081,49,2012-02-01,Maharashtra,Jalgaon,Maize,7.6,1024.0,1192.0,1108.0,2012,2
3150,50,2012-03-01,Maharashtra,Jalgaon,Maize,40.0,1050.0,1160.0,1100.0,2012,3
3243,51,2012-04-01,Maharashtra,Jalgaon,Maize,20.0,1000.0,1157.0,1045.0,2012,4
3339,52,2012-05-01,Maharashtra,Jalgaon,Maize,0.3,1050.0,1050.0,1050.0,2012,5
3473,53,2012-06-01,Maharashtra,Jalgaon,Maize,107.5,919.0,1065.0,995.0,2012,6
3572,54,2012-07-01,Maharashtra,Jalgaon,Maize,1.0,960.0,1025.0,980.0,2012,7
3610,55,2012-08-01,Maharashtra,Jalgaon,Maize,9.0,1275.0,1431.0,1353.0,2012,8
3657,56,2012-09-01,Maharashtra,Jalgaon,Maize,0.2,1390.0,1392.0,1392.0,2012,9
