,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Maharashtra,Sangli,Maize,227.2,660.0,685.0,675.0,2008,1
35,1,2008-02-01,Maharashtra,Sangli,Maize,44.0,700.0,720.0,710.0,2008,2
75,2,2008-03-01,Maharashtra,Sangli,Maize,345.0,740.0,750.0,745.0,2008,3
112,3,2008-04-01,Maharashtra,Sangli,Maize,18.0,700.0,740.0,720.0,2008,4
158,4,2008-05-01,Maharashtra,Sangli,Maize,137.3,740.0,750.0,745.0,2008,5
188,5,2008-06-01,Maharashtra,Sangli,Maize,27.0,730.0,810.0,770.0,2008,6
212,6,2008-07-01,Maharashtra,Sangli,Maize,94.5,940.0,1000.0,970.0,2008,7
231,7,2008-08-01,Maharashtra,Sangli,Maize,71.0,1100.0,1600.0,1130.0,2008,8
242,8,2008-09-01,Maharashtra,Sangli,Maize,35.0,950.0,1070.0,1010.0,2008,9
257,9,2008-10-01,Maharashtra,Sangli,Maize,52.0,780.0,850.0,815.0,2008,10
282,10,2008-11-01,Maharashtra,Sangli,Maize,279.0,840.0,845.0,842.0,2008,11
308,11,2008-12-01,Maharashtra,Sangli,Maize,367.0,840.0,850.0,842.0,2008,12
333,12,2009-01-01,Maharashtra,Sangli,Maize,215.0,800.0,840.0,820.0,2009,1
339,13,2009-02-01,Maharashtra,Sangli,Maize,200.4,790.0,810.0,805.0,2009,2
398,14,2009-03-01,Maharashtra,Sangli,Maize,120.5,800.0,815.0,807.0,2009,3
461,15,2009-04-01,Maharashtra,Sangli,Maize,24.5,800.0,850.0,825.0,2009,4
522,16,2009-05-01,Maharashtra,Sangli,Maize,28.4,800.0,810.0,805.0,2009,5
547,17,2009-06-01,Maharashtra,Sangli,Maize,401.0,840.0,860.0,850.0,2009,6
601,18,2009-07-01,Maharashtra,Sangli,Maize,217.2,900.0,930.0,915.0,2009,7
655,19,2009-08-01,Maharashtra,Sangli,Maize,194.6,880.0,905.0,892.0,2009,8
701,20,2009-09-01,Maharashtra,Sangli,Maize,281.7,900.0,940.0,920.0,2009,9
741,21,2009-10-01,Maharashtra,Sangli,Maize,111.5,870.0,900.0,880.0,2009,10
780,22,2009-11-01,Maharashtra,Sangli,Maize,45.7,850.0,910.0,880.0,2009,11
813,23,2009-12-01,Maharashtra,Sangli,Maize,172.8,840.0,900.0,870.0,2009,12
869,24,2010-01-01,Maharashtra,Sangli,Maize,154.0,840.0,900.0,870.0,2010,1
926,25,2010-02-01,Maharashtra,Sangli,Maize,167.6,850.0,895.0,872.0,2010,2
971,26,2010-03-01,Maharashtra,Sangli,Maize,188.0,850.0,880.0,865.0,2010,3
1015,27,2010-04-01,Maharashtra,Sangli,Maize,154.4,860.0,905.0,882.0,2010,4
1063,28,2010-05-01,Maharashtra,Sangli,Maize,9.3,850.0,870.0,860.0,2010,5
1114,29,2010-06-01,Maharashtra,Sangli,Maize,166.0,1000.0,1005.0,1002.0,2010,6
1169,30,2010-07-01,Maharashtra,Sangli,Maize,11.0,1020.0,1070.0,1045.0,2010,7
1225,31,2010-08-01,Maharashtra,Sangli,Maize,37.0,1080.0,1150.0,1115.0,2010,8
1254,32,2010-09-01,Maharashtra,Sangli,Maize,75.8,1125.0,1150.0,1137.0,2010,9
1280,33,2010-10-01,Maharashtra,Sangli,Maize,34.0,1100.0,1300.0,1200.0,2010,10
1313,34,2010-11-01,Maharashtra,Sangli,Maize,191.3,850.0,940.0,895.0,2010,11
1342,35,2010-12-01,Maharashtra,Sangli,Maize,338.6,850.0,950.0,900.0,2010,12
1389,36,2011-01-01,Maharashtra,Sangli,Maize,2.0,900.0,940.0,920.0,2011,1
1420,37,2011-02-01,Maharashtra,Sangli,Maize,251.4,980.0,1015.0,997.0,2011,2
1450,38,2011-03-01,Maharashtra,Sangli,Maize,148.5,1025.0,1075.0,1050.0,2011,3
1481,39,2011-04-01,Maharashtra,Sangli,Maize,3.9,1200.0,1275.0,1237.0,2011,4
1520,40,2011-05-01,Maharashtra,Sangli,Maize,149.7,1250.0,1285.0,1267.0,2011,5
1546,41,2011-06-01,Maharashtra,Sangli,Maize,231.6,1180.0,1210.0,1195.0,2011,6
1566,42,2011-07-01,Maharashtra,Sangli,Maize,0.6,1100.0,1200.0,1150.0,2011,7
1594,43,2011-08-01,Maharashtra,Sangli,Maize,114.2,1200.0,1280.0,1240.0,2011,8
1620,44,2011-09-01,Maharashtra,Sangli,Maize,127.0,1200.0,1260.0,1230.0,2011,9
1646,45,2011-10-01,Maharashtra,Sangli,Maize,197.5,1050.0,1150.0,1100.0,2011,10
1671,46,2011-11-01,Maharashtra,Sangli,Maize,168.9,1050.0,1115.0,1082.0,2011,11
