,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Maharashtra,Sholapur,Maize,115.2,665.0,680.0,678.0,2008,1
89,1,2008-02-01,Maharashtra,Sholapur,Maize,2.0,625.0,691.0,690.0,2008,2
149,2,2008-03-01,Maharashtra,Sholapur,Maize,7.0,700.0,718.0,710.0,2008,3
198,3,2008-04-01,Maharashtra,Sholapur,Maize,5.0,710.0,733.0,720.0,2008,4
234,4,2008-05-01,Maharashtra,Sholapur,Maize,123.0,737.0,740.0,740.0,2008,5
298,5,2008-06-01,Maharashtra,Sholapur,Maize,1.3,800.0,861.0,849.0,2008,6
359,6,2008-07-01,Maharashtra,Sholapur,Maize,21.3,930.0,962.0,961.0,2008,7
389,7,2008-08-01,Maharashtra,Sholapur,Maize,0.9,1040.0,1050.0,1050.0,2008,8
421,8,2008-09-01,Maharashtra,Sholapur,Maize,1.4,830.0,902.0,876.0,2008,9
460,9,2008-10-01,Maharashtra,Sholapur,Maize,0.3,929.0,929.0,929.0,2008,10
511,10,2008-11-01,Maharashtra,Sholapur,Maize,13.3,651.0,829.0,825.0,2008,11
559,11,2008-12-01,Maharashtra,Sholapur,Maize,7.4,710.0,753.0,740.0,2008,12
594,12,2009-01-01,Maharashtra,Sholapur,Maize,13.2,700.0,731.0,721.0,2009,1
666,13,2009-02-01,Maharashtra,Sholapur,Maize,0.6,650.0,810.0,800.0,2009,2
741,14,2009-03-01,Maharashtra,Sholapur,Maize,0.4,750.0,750.0,750.0,2009,3
798,15,2009-04-01,Maharashtra,Sholapur,Maize,27.0,710.0,785.0,770.0,2009,4
853,16,2009-05-01,Maharashtra,Sholapur,Maize,7.0,761.0,770.0,767.0,2009,5
885,17,2009-06-01,Maharashtra,Sholapur,Maize,8.0,840.0,850.0,845.0,2009,6
948,18,2009-07-01,Maharashtra,Sholapur,Maize,0.3,900.0,900.0,900.0,2009,7
1037,19,2009-08-01,Maharashtra,Sholapur,Maize,2.6,927.0,927.0,927.0,2009,8
1114,20,2009-09-01,Maharashtra,Sholapur,Maize,0.3,925.0,925.0,925.0,2009,9
1182,21,2009-10-01,Maharashtra,Sholapur,Maize,2.7,862.0,921.0,906.0,2009,10
1206,22,2009-11-01,Maharashtra,Sholapur,Maize,137.0,840.0,845.0,841.0,2009,11
1250,23,2009-12-01,Maharashtra,Sholapur,Maize,27.6,851.0,878.0,867.0,2009,12
1338,24,2010-01-01,Maharashtra,Sholapur,Maize,9.3,841.0,895.0,865.0,2010,1
1430,25,2010-02-01,Maharashtra,Sholapur,Maize,12.6,841.0,975.0,858.0,2010,2
1505,26,2010-03-01,Maharashtra,Sholapur,Maize,8.0,840.0,850.0,845.0,2010,3
1581,27,2010-04-01,Maharashtra,Sholapur,Maize,20.2,870.0,881.0,880.0,2010,4
1678,28,2010-05-01,Maharashtra,Sholapur,Maize,1.6,841.0,845.0,845.0,2010,5
1767,29,2010-06-01,Maharashtra,Sholapur,Maize,33.6,942.0,978.0,961.0,2010,6
1851,30,2010-07-01,Maharashtra,Sholapur,Maize,2.6,1002.0,1002.0,1002.0,2010,7
1925,31,2010-08-01,Maharashtra,Sholapur,Maize,1.9,1121.0,1121.0,1121.0,2010,8
1992,32,2010-09-01,Maharashtra,Sholapur,Maize,0.2,1100.0,1100.0,1100.0,2010,9
2064,33,2010-10-01,Maharashtra,Sholapur,Maize,0.5,1000.0,1166.0,1100.0,2010,10
2165,34,2010-11-01,Maharashtra,Sholapur,Maize,19.5,881.0,900.0,891.0,2010,11
2226,35,2010-12-01,Maharashtra,Sholapur,Maize,110.0,850.0,930.0,900.0,2010,12
2293,36,2011-01-01,Maharashtra,Sholapur,Maize,2.1,911.0,911.0,911.0,2011,1
2364,37,2011-02-01,Maharashtra,Sholapur,Maize,4.5,911.0,1011.0,1000.0,2011,2
2433,38,2011-03-01,Maharashtra,Sholapur,Maize,4.5,1040.0,1070.0,1070.0,2011,3
2511,39,2011-04-01,Maharashtra,Sholapur,Maize,2.5,1180.0,1200.0,1180.0,2011,4
2593,40,2011-05-01,Maharashtra,Sholapur,Maize,63.5,1000.0,1241.0,1225.0,2011,5
2677,41,2011-06-01,Maharashtra,Sholapur,Maize,27.1,1050.0,1170.0,1151.0,2011,6
2749,42,2011-07-01,Maharashtra,Sholapur,Maize,4.0,1166.0,1270.0,1250.0,2011,7
2791,43,2011-08-01,Maharashtra,Sholapur,Maize,0.4,2300.0,3400.0,3000.0,2011,8
2835,44,2011-09-01,Maharashtra,Sholapur,Maize,19.6,1125.0,1301.0,1235.0,2011,9
2888,45,2011-10-01,Maharashtra,Sholapur,Maize,5.5,950.0,1085.0,1000.0,2011,10
2928,46,2011-11-01,Maharashtra,Sholapur,Maize,150.0,900.0,1093.0,1051.0,2011,11
2991,47,2011-12-01,Maharashtra,Sholapur,Maize,27.2,1015.0,1030.0,1030.0,2011,12
3063,48,2012-01-01,Maharashtra,Sholapur,Maize,143.0,1026.0,1161.0,1111.0,2012,1
3126,49,2012-02-01,Maharashtra,Sholapur,Maize,8.4,1115.0,1162.0,1150.0,2012,2
3173,50,2012-03-01,Maharashtra,Sholapur,Maize,6.2,1156.0,1201.0,1160.0,2012,3
3226,51,2012-04-01,Maharashtra,Sholapur,Maize,7.0,1151.0,1171.0,1155.0,2012,4
3275,52,2012-05-01,Maharashtra,Sholapur,Maize,0.5,1051.0,1176.0,1100.0,2012,5
3322,53,2012-06-01,Maharashtra,Sholapur,Maize,2.3,1100.0,1150.0,1150.0,2012,6
