,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Orissa,Kalahandi,Maize,7.0,450.0,500.0,450.0,2008,1
1,1,2008-02-01,Orissa,Kalahandi,Maize,6.5,500.0,550.0,500.0,2008,2
13,2,2008-03-01,Orissa,Kalahandi,Maize,20.0,700.0,800.0,700.0,2008,3
18,3,2008-04-01,Orissa,Kalahandi,Maize,16.4,730.0,800.0,730.0,2008,4
28,4,2008-05-01,Orissa,Kalahandi,Maize,14.5,700.0,800.0,700.0,2008,5
32,5,2008-06-01,Orissa,Kalahandi,Maize,33.0,900.0,1100.0,900.0,2008,6
33,6,2008-07-01,Orissa,Kalahandi,Maize,10.0,650.0,750.0,650.0,2008,7
39,7,2008-08-01,Orissa,Kalahandi,Maize,20.0,600.0,700.0,600.0,2008,8
45,8,2008-09-01,Orissa,Kalahandi,Maize,20.0,650.0,750.0,650.0,2008,9
66,9,2008-10-01,Orissa,Kalahandi,Maize,72.83,650.0,750.0,700.0,2008,10
74,10,2008-11-01,Orissa,Kalahandi,Maize,14.11,650.0,750.0,700.0,2008,11
78,11,2008-12-01,Orissa,Kalahandi,Maize,9.6,700.0,800.0,750.0,2008,12
82,12,2009-01-01,Orissa,Kalahandi,Maize,1.0,750.0,850.0,800.0,2009,1
83,13,2009-02-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2009,2
84,14,2009-03-01,Orissa,Kalahandi,Maize,1.9,750.0,850.0,800.0,2009,3
86,15,2009-04-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2009,4
87,16,2009-05-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2009,5
88,17,2009-06-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2009,6
89,18,2009-07-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2009,7
90,19,2009-08-01,Orissa,Kalahandi,Maize,14.5,900.0,1000.0,950.0,2009,8
91,20,2009-09-01,Orissa,Kalahandi,Maize,9.0,900.0,1000.0,950.0,2009,9
98,21,2009-10-01,Orissa,Kalahandi,Maize,9.0,900.0,1000.0,950.0,2009,10
99,22,2009-11-01,Orissa,Kalahandi,Maize,12.0,900.0,1000.0,950.0,2009,11
103,23,2009-12-01,Orissa,Kalahandi,Maize,10.0,800.0,900.0,850.0,2009,12
105,24,2010-01-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2010,1
106,25,2010-02-01,Orissa,Kalahandi,Maize,32.0,800.0,1000.0,900.0,2010,2
107,26,2010-03-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2010,3
108,27,2010-04-01,Orissa,Kalahandi,Maize,5.0,900.0,1000.0,950.0,2010,4
109,28,2010-05-01,Orissa,Kalahandi,Maize,10.0,840.0,1000.0,900.0,2010,5
110,29,2010-06-01,Orissa,Kalahandi,Maize,10.0,850.0,1000.0,900.0,2010,6
112,30,2010-07-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2010,7
113,31,2010-08-01,Orissa,Kalahandi,Maize,16.0,850.0,950.0,900.0,2010,8
116,32,2010-09-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2010,9
117,33,2010-10-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2010,10
118,34,2010-11-01,Orissa,Kalahandi,Maize,44.7,800.0,1200.0,1000.0,2010,11
135,35,2010-12-01,Orissa,Kalahandi,Maize,3.0,840.0,1000.0,950.0,2010,12
139,36,2011-01-01,Orissa,Kalahandi,Maize,10.0,900.0,1000.0,950.0,2011,1
146,37,2011-02-01,Orissa,Kalahandi,Maize,16.0,900.0,1000.0,950.0,2011,2
150,38,2011-03-01,Orissa,Kalahandi,Maize,10.0,900.0,1000.0,950.0,2011,3
152,39,2011-04-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2011,4
153,40,2011-05-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2011,5
154,41,2011-06-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2011,6
155,42,2011-07-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2011,7
156,43,2011-08-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2011,8
157,44,2011-09-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2011,9
158,45,2011-10-01,Orissa,Kalahandi,Maize,10.0,950.0,1050.0,1000.0,2011,10
163,46,2011-11-01,Orissa,Kalahandi,Maize,12.5,900.0,1100.0,1000.0,2011,11
165,47,2011-12-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2011,12
166,48,2012-01-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2012,1
167,49,2012-02-01,Orissa,Kalahandi,Maize,10.0,900.0,1200.0,1000.0,2012,2
169,50,2012-03-01,Orissa,Kalahandi,Maize,14.8,800.0,900.0,850.0,2012,3
171,51,2012-04-01,Orissa,Kalahandi,Maize,10.0,900.0,1200.0,1000.0,2012,4
175,52,2012-05-01,Orissa,Kalahandi,Maize,10.0,950.0,1150.0,1050.0,2012,5
177,53,2012-06-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2012,6
178,54,2012-07-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2012,7
179,55,2012-08-01,Orissa,Kalahandi,Maize,9.0,950.0,1250.0,1100.0,2012,8
182,56,2012-09-01,Orissa,Kalahandi,Maize,3.0,1000.0,1200.0,1100.0,2012,9
186,57,2012-10-01,Orissa,Kalahandi,Maize,2.0,950.0,1200.0,1050.0,2012,10
187,58,2012-11-01,Orissa,Kalahandi,Maize,4.0,1050.0,1200.0,1100.0,2012,11
191,59,2012-12-01,Orissa,Kalahandi,Maize,68.0,1250.0,1250.0,1250.0,2012,12
195,60,2013-01-01,Orissa,Kalahandi,Maize,10.0,1000.0,1200.0,1100.0,2013,1
201,61,2013-02-01,Orissa,Kalahandi,Maize,15.0,1000.0,1200.0,1100.0,2013,2
210,62,2013-03-01,Orissa,Kalahandi,Maize,7.0,950.0,1200.0,1100.0,2013,3
217,63,2013-04-01,Orissa,Kalahandi,Maize,1.5,1300.0,1400.0,1350.0,2013,4
221,64,2013-05-01,Orissa,Kalahandi,Maize,5.0,1200.0,1400.0,1300.0,2013,5
224,65,2013-06-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2013,6
225,66,2013-07-01,Orissa,Kalahandi,Maize,12.0,1300.0,1300.0,1300.0,2013,7
227,67,2013-08-01,Orissa,Kalahandi,Maize,10.0,1250.0,1280.0,1250.0,2013,8
229,68,2013-09-01,Orissa,Kalahandi,Maize,8.0,1200.0,1400.0,1300.0,2013,9
234,69,2013-10-01,Orissa,Kalahandi,Maize,7.0,1400.0,1600.0,1500.0,2013,10
243,70,2013-11-01,Orissa,Kalahandi,Maize,4.0,1250.0,1450.0,1350.0,2013,11
263,71,2013-12-01,Orissa,Kalahandi,Maize,22.0,1200.0,1200.0,1200.0,2013,12
285,72,2014-01-01,Orissa,Kalahandi,Maize,39.0,1200.0,1200.0,1200.0,2014,1
294,73,2014-02-01,Orissa,Kalahandi,Maize,15.5,1300.0,1300.0,1300.0,2014,2
299,74,2014-03-01,Orissa,Kalahandi,Maize,10.5,1200.0,1200.0,1200.0,2014,3
301,75,2014-04-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2014,4
302,76,2014-05-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2014,5
303,77,2014-06-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2014,6
304,78,2014-07-01,Orissa,Kalahandi,Maize,0.8,4000.0,4000.0,4000.0,2014,7
305,79,2014-08-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2014,8
306,80,2014-09-01,Orissa,Kalahandi,Maize,1.0,1400.0,1500.0,1500.0,2014,9
307,81,2014-10-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2014,10
308,82,2014-11-01,Orissa,Kalahandi,Maize,5.0,1250.0,0.0,1350.0,2014,11
314,83,2014-12-01,Orissa,Kalahandi,Maize,10.0,1350.0,1400.0,1400.0,2014,12
317,84,2015-01-01,Orissa,Kalahandi,Maize,0.2,1500.0,1700.0,1700.0,2015,1
318,85,2015-02-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2015,2
319,86,2015-03-01,Orissa,Kalahandi,Maize,0.2,1350.0,1400.0,1400.0,2015,3
322,87,2015-04-01,Orissa,Kalahandi,Maize,0.1,1330.0,1500.0,1500.0,2015,4
323,88,2015-05-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2015,5
324,89,2015-06-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2015,6
325,90,2015-07-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2015,7
326,91,2015-08-01,Orissa,Kalahandi,Maize,2.0,1350.0,1450.0,1450.0,2015,8
328,92,2015-09-01,Orissa,Kalahandi,Maize,1.0,1350.0,1450.0,1450.0,2015,9
331,93,2015-10-01,Orissa,Kalahandi,Maize,1.0,1350.0,1450.0,1450.0,2015,10
336,94,2015-11-01,Orissa,Kalahandi,Maize,7.0,1350.0,1350.0,1350.0,2015,11
346,95,2015-12-01,Orissa,Kalahandi,Maize,0.5,1350.0,1450.0,1450.0,2015,12
353,96,2016-01-01,Orissa,Kalahandi,Maize,0.5,1350.0,1450.0,1400.0,2016,1
354,97,2016-02-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2016,2
355,98,2016-03-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2016,3
356,99,2016-04-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2016,4
357,100,2016-05-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2016,5
358,101,2016-06-01,Orissa,Kalahandi,Maize,11.26027777777778,1067.013888888889,1167.0833333333333,1126.111111111111,2016,6
