,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Orissa,Rayagada,Maize,7.70246913580247,853.7037037037037,1003.0864197530864,950.8024691358024,2008,1
1,1,2008-02-01,Orissa,Rayagada,Maize,7.70246913580247,853.7037037037037,1003.0864197530864,950.8024691358024,2008,2
2,2,2008-03-01,Orissa,Rayagada,Maize,7.70246913580247,853.7037037037037,1003.0864197530864,950.8024691358024,2008,3
3,3,2008-04-01,Orissa,Rayagada,Maize,7.70246913580247,853.7037037037037,1003.0864197530864,950.8024691358024,2008,4
4,4,2008-05-01,Orissa,Rayagada,Maize,150.0,750.0,900.0,800.0,2008,5
5,5,2008-06-01,Orissa,Rayagada,Maize,7.70246913580247,853.7037037037037,1003.0864197530864,950.8024691358024,2008,6
6,6,2008-07-01,Orissa,Rayagada,Maize,4.4,600.0,700.0,650.0,2008,7
7,7,2008-08-01,Orissa,Rayagada,Maize,2.3,300.0,500.0,400.0,2008,8
28,8,2008-09-01,Orissa,Rayagada,Maize,6.6,600.0,700.0,650.0,2008,9
44,9,2008-10-01,Orissa,Rayagada,Maize,2.5,600.0,800.0,700.0,2008,10
70,10,2008-11-01,Orissa,Rayagada,Maize,2.6,600.0,700.0,650.0,2008,11
89,11,2008-12-01,Orissa,Rayagada,Maize,28.0,800.0,850.0,825.0,2008,12
91,12,2009-01-01,Orissa,Rayagada,Maize,18.0,600.0,650.0,625.0,2009,1
92,13,2009-02-01,Orissa,Rayagada,Maize,12.0,600.0,650.0,625.0,2009,2
94,14,2009-03-01,Orissa,Rayagada,Maize,12.0,550.0,600.0,575.0,2009,3
98,15,2009-04-01,Orissa,Rayagada,Maize,1.0,600.0,650.0,650.0,2009,4
99,16,2009-05-01,Orissa,Rayagada,Maize,2.0,600.0,700.0,600.0,2009,5
101,17,2009-06-01,Orissa,Rayagada,Maize,4.0,600.0,700.0,600.0,2009,6
107,18,2009-07-01,Orissa,Rayagada,Maize,3.5,600.0,650.0,650.0,2009,7
114,19,2009-08-01,Orissa,Rayagada,Maize,1.8,600.0,800.0,600.0,2009,8
123,20,2009-09-01,Orissa,Rayagada,Maize,2.0,600.0,700.0,600.0,2009,9
129,21,2009-10-01,Orissa,Rayagada,Maize,8.0,800.0,850.0,825.0,2009,10
132,22,2009-11-01,Orissa,Rayagada,Maize,2.5,800.0,900.0,850.0,2009,11
140,23,2009-12-01,Orissa,Rayagada,Maize,3.0,600.0,700.0,700.0,2009,12
148,24,2010-01-01,Orissa,Rayagada,Maize,3.0,600.0,700.0,700.0,2010,1
156,25,2010-02-01,Orissa,Rayagada,Maize,1.2,600.0,700.0,700.0,2010,2
161,26,2010-03-01,Orissa,Rayagada,Maize,4.0,600.0,800.0,800.0,2010,3
168,27,2010-04-01,Orissa,Rayagada,Maize,18.0,600.0,650.0,650.0,2010,4
183,28,2010-05-01,Orissa,Rayagada,Maize,2.0,600.0,700.0,700.0,2010,5
188,29,2010-06-01,Orissa,Rayagada,Maize,2.5,600.0,700.0,700.0,2010,6
194,30,2010-07-01,Orissa,Rayagada,Maize,6.5,600.0,700.0,700.0,2010,7
204,31,2010-08-01,Orissa,Rayagada,Maize,6.5,700.0,800.0,750.0,2010,8
215,32,2010-09-01,Orissa,Rayagada,Maize,20.0,1200.0,1400.0,1300.0,2010,9
228,33,2010-10-01,Orissa,Rayagada,Maize,4.5,700.0,800.0,800.0,2010,10
237,34,2010-11-01,Orissa,Rayagada,Maize,4.5,700.0,800.0,800.0,2010,11
244,35,2010-12-01,Orissa,Rayagada,Maize,5.0,800.0,1000.0,900.0,2010,12
248,36,2011-01-01,Orissa,Rayagada,Maize,6.5,800.0,1000.0,900.0,2011,1
249,37,2011-02-01,Orissa,Rayagada,Maize,8.5,880.0,1000.0,1000.0,2011,2
257,38,2011-03-01,Orissa,Rayagada,Maize,7.0,800.0,1000.0,900.0,2011,3
260,39,2011-04-01,Orissa,Rayagada,Maize,4.5,880.0,1000.0,900.0,2011,4
261,40,2011-05-01,Orissa,Rayagada,Maize,5.0,800.0,1000.0,900.0,2011,5
264,41,2011-06-01,Orissa,Rayagada,Maize,6.0,800.0,1000.0,1000.0,2011,6
272,42,2011-07-01,Orissa,Rayagada,Maize,6.8,800.0,900.0,900.0,2011,7
282,43,2011-08-01,Orissa,Rayagada,Maize,4.0,800.0,1000.0,900.0,2011,8
292,44,2011-09-01,Orissa,Rayagada,Maize,5.5,800.0,1000.0,900.0,2011,9
302,45,2011-10-01,Orissa,Rayagada,Maize,7.5,800.0,1000.0,900.0,2011,10
312,46,2011-11-01,Orissa,Rayagada,Maize,10.0,800.0,1000.0,900.0,2011,11
321,47,2011-12-01,Orissa,Rayagada,Maize,3.5,800.0,1000.0,900.0,2011,12
323,48,2012-01-01,Orissa,Rayagada,Maize,5.5,880.0,1000.0,950.0,2012,1
331,49,2012-02-01,Orissa,Rayagada,Maize,4.0,800.0,900.0,900.0,2012,2
339,50,2012-03-01,Orissa,Rayagada,Maize,6.5,800.0,1000.0,800.0,2012,3
343,51,2012-04-01,Orissa,Rayagada,Maize,3.2,800.0,900.0,900.0,2012,4
348,52,2012-05-01,Orissa,Rayagada,Maize,4.5,800.0,1000.0,900.0,2012,5
357,53,2012-06-01,Orissa,Rayagada,Maize,4.5,800.0,1000.0,900.0,2012,6
363,54,2012-07-01,Orissa,Rayagada,Maize,4.0,800.0,900.0,900.0,2012,7
366,55,2012-08-01,Orissa,Rayagada,Maize,6.0,800.0,900.0,900.0,2012,8
372,56,2012-09-01,Orissa,Rayagada,Maize,12.0,800.0,900.0,900.0,2012,9
380,57,2012-10-01,Orissa,Rayagada,Maize,4.5,800.0,1000.0,900.0,2012,10
387,58,2012-11-01,Orissa,Rayagada,Maize,6.0,900.0,950.0,950.0,2012,11
392,59,2012-12-01,Orissa,Rayagada,Maize,7.70246913580247,853.7037037037037,1003.0864197530864,950.8024691358024,2012,12
393,60,2013-01-01,Orissa,Rayagada,Maize,5.0,1000.0,1200.0,1200.0,2013,1
394,61,2013-02-01,Orissa,Rayagada,Maize,5.0,1000.0,1200.0,1200.0,2013,2
400,62,2013-03-01,Orissa,Rayagada,Maize,3.5,900.0,1100.0,1000.0,2013,3
406,63,2013-04-01,Orissa,Rayagada,Maize,6.0,1000.0,1200.0,1200.0,2013,4
