,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,1
1,1,2008-02-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,2
2,2,2008-03-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,3
3,3,2008-04-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,4
4,4,2008-05-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,5
5,5,2008-06-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,6
6,6,2008-07-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,7
7,7,2008-08-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,8
8,8,2008-09-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,9
9,9,2008-10-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,10
10,10,2008-11-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,11
11,11,2008-12-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2008,12
12,12,2009-01-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2009,1
13,13,2009-02-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2009,2
14,14,2009-03-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2009,3
15,15,2009-04-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2009,4
16,16,2009-05-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2009,5
17,17,2009-06-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2009,6
18,18,2009-07-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2009,7
19,19,2009-08-01,Punjab,Patiala,Maize,0.1,300.0,300.0,300.0,2009,8
22,20,2009-09-01,Punjab,Patiala,Maize,0.03,500.0,500.0,500.0,2009,9
27,21,2009-10-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2009,10
28,22,2009-11-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2009,11
29,23,2009-12-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2009,12
30,24,2010-01-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,1
31,25,2010-02-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,2
32,26,2010-03-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,3
33,27,2010-04-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,4
34,28,2010-05-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,5
35,29,2010-06-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,6
36,30,2010-07-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,7
37,31,2010-08-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,8
38,32,2010-09-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,9
39,33,2010-10-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,10
40,34,2010-11-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,11
41,35,2010-12-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2010,12
42,36,2011-01-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2011,1
43,37,2011-02-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2011,2
44,38,2011-03-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2011,3
45,39,2011-04-01,Punjab,Patiala,Maize,141.11636363636364,1007.9545454545455,1209.090909090909,1144.5454545454545,2011,4
