,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2008,1
1,1,2008-02-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2008,2
2,2,2008-03-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2008,3
3,3,2008-04-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2008,4
4,4,2008-05-01,Punjab,kapurthala,Maize,15.0,800.0,800.0,800.0,2008,5
5,5,2008-06-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2008,6
6,6,2008-07-01,Punjab,kapurthala,Maize,555.0,700.0,700.0,700.0,2008,7
7,7,2008-08-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2008,8
8,8,2008-09-01,Punjab,kapurthala,Maize,1.0,500.0,600.0,500.0,2008,9
11,9,2008-10-01,Punjab,kapurthala,Maize,2.0,700.0,800.0,700.0,2008,10
12,10,2008-11-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2008,11
13,11,2008-12-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2008,12
14,12,2009-01-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2009,1
15,13,2009-02-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2009,2
16,14,2009-03-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2009,3
17,15,2009-04-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2009,4
18,16,2009-05-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2009,5
19,17,2009-06-01,Punjab,kapurthala,Maize,250.0,700.0,750.0,700.0,2009,6
20,18,2009-07-01,Punjab,kapurthala,Maize,50.0,850.0,850.0,850.0,2009,7
22,19,2009-08-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2009,8
23,20,2009-09-01,Punjab,kapurthala,Maize,8.0,600.0,900.0,750.0,2009,9
29,21,2009-10-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2009,10
30,22,2009-11-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2009,11
31,23,2009-12-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2009,12
32,24,2010-01-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2010,1
33,25,2010-02-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2010,2
34,26,2010-03-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2010,3
35,27,2010-04-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2010,4
36,28,2010-05-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2010,5
37,29,2010-06-01,Punjab,kapurthala,Maize,4.0,550.0,900.0,900.0,2010,6
41,30,2010-07-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2010,7
42,31,2010-08-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2010,8
43,32,2010-09-01,Punjab,kapurthala,Maize,3.0,850.0,900.0,900.0,2010,9
44,33,2010-10-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2010,10
45,34,2010-11-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2010,11
46,35,2010-12-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2010,12
47,36,2011-01-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2011,1
48,37,2011-02-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2011,2
49,38,2011-03-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2011,3
50,39,2011-04-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2011,4
51,40,2011-05-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2011,5
52,41,2011-06-01,Punjab,kapurthala,Maize,9.9,1110.0,1120.0,1110.0,2011,6
67,42,2011-07-01,Punjab,kapurthala,Maize,87.2,850.0,1000.0,1000.0,2011,7
91,43,2011-08-01,Punjab,kapurthala,Maize,90.0,700.0,1000.0,1000.0,2011,8
99,44,2011-09-01,Punjab,kapurthala,Maize,6.0,525.0,600.0,600.0,2011,9
115,45,2011-10-01,Punjab,kapurthala,Maize,10.6,910.0,990.0,950.0,2011,10
118,46,2011-11-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2011,11
119,47,2011-12-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2011,12
120,48,2012-01-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2012,1
121,49,2012-02-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2012,2
122,50,2012-03-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2012,3
123,51,2012-04-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2012,4
124,52,2012-05-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2012,5
125,53,2012-06-01,Punjab,kapurthala,Maize,5.0,570.0,900.0,600.0,2012,6
135,54,2012-07-01,Punjab,kapurthala,Maize,200.0,910.0,950.0,950.0,2012,7
140,55,2012-08-01,Punjab,kapurthala,Maize,50.0,900.0,900.0,900.0,2012,8
142,56,2012-09-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2012,9
143,57,2012-10-01,Punjab,kapurthala,Maize,20.0,800.0,900.0,900.0,2012,10
144,58,2012-11-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2012,11
145,59,2012-12-01,Punjab,kapurthala,Maize,14.0,1200.0,1300.0,1200.0,2012,12
147,60,2013-01-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2013,1
148,61,2013-02-01,Punjab,kapurthala,Maize,17.0,1265.0,1290.0,1290.0,2013,2
150,62,2013-03-01,Punjab,kapurthala,Maize,16.0,1275.0,1275.0,1275.0,2013,3
151,63,2013-04-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2013,4
152,64,2013-05-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2013,5
153,65,2013-06-01,Punjab,kapurthala,Maize,10.0,950.0,1200.0,1200.0,2013,6
158,66,2013-07-01,Punjab,kapurthala,Maize,30.0,1432.0,1436.0,1433.0,2013,7
167,67,2013-08-01,Punjab,kapurthala,Maize,30.0,1200.0,1260.0,1260.0,2013,8
172,68,2013-09-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2013,9
173,69,2013-10-01,Punjab,kapurthala,Maize,1.5,1450.0,1450.0,1450.0,2013,10
176,70,2013-11-01,Punjab,kapurthala,Maize,200.0,4600.0,4600.0,4600.0,2013,11
181,71,2013-12-01,Punjab,kapurthala,Maize,25.0,1600.0,1650.0,1600.0,2013,12
184,72,2014-01-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2014,1
185,73,2014-02-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2014,2
186,74,2014-03-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2014,3
187,75,2014-04-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2014,4
188,76,2014-05-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2014,5
189,77,2014-06-01,Punjab,kapurthala,Maize,0.4,900.0,900.0,900.0,2014,6
220,78,2014-07-01,Punjab,kapurthala,Maize,826.0,650.0,1100.0,690.0,2014,7
242,79,2014-08-01,Punjab,kapurthala,Maize,50.0,1235.0,1235.0,1235.0,2014,8
247,80,2014-09-01,Punjab,kapurthala,Maize,9.0,1085.0,1085.0,1085.0,2014,9
250,81,2014-10-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2014,10
251,82,2014-11-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2014,11
252,83,2014-12-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2014,12
253,84,2015-01-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2015,1
254,85,2015-02-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2015,2
255,86,2015-03-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2015,3
256,87,2015-04-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2015,4
257,88,2015-05-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2015,5
258,89,2015-06-01,Punjab,kapurthala,Maize,12.0,700.0,1100.0,900.0,2015,6
264,90,2015-07-01,Punjab,kapurthala,Maize,626.0,770.0,1140.0,1140.0,2015,7
275,91,2015-08-01,Punjab,kapurthala,Maize,60.0,1205.0,1230.0,1230.0,2015,8
277,92,2015-09-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2015,9
278,93,2015-10-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2015,10
279,94,2015-11-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2015,11
280,95,2015-12-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2015,12
281,96,2016-01-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2016,1
282,97,2016-02-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2016,2
283,98,2016-03-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2016,3
284,99,2016-04-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2016,4
285,100,2016-05-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2016,5
286,101,2016-06-01,Punjab,kapurthala,Maize,4.0,900.0,900.0,900.0,2016,6
304,102,2016-07-01,Punjab,kapurthala,Maize,912.6,1450.0,1505.0,1450.0,2016,7
311,103,2016-08-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2016,8
312,104,2016-09-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2016,9
313,105,2016-10-01,Punjab,kapurthala,Maize,400.0,1400.0,1500.0,1500.0,2016,10
314,106,2016-11-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2016,11
315,107,2016-12-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2016,12
316,108,2017-01-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2017,1
317,109,2017-02-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2017,2
318,110,2017-03-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2017,3
319,111,2017-04-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2017,4
320,112,2017-05-01,Punjab,kapurthala,Maize,121.71578947368421,1046.6315789473683,1150.157894736842,1108.6315789473683,2017,5
321,113,2017-06-01,Punjab,kapurthala,Maize,15.0,980.0,990.0,980.0,2017,6
