,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Rajasthan,Alwar,Maize,6.7,710.0,716.0,716.0,2008,1
14,1,2008-02-01,Rajasthan,Alwar,Maize,5.4,740.0,770.0,750.0,2008,2
20,2,2008-03-01,Rajasthan,Alwar,Maize,3.7,740.0,740.0,740.0,2008,3
35,3,2008-04-01,Rajasthan,Alwar,Maize,0.4,821.0,821.0,821.0,2008,4
44,4,2008-05-01,Rajasthan,Alwar,Maize,0.2,740.0,740.0,740.0,2008,5
51,5,2008-06-01,Rajasthan,Alwar,Maize,8.9,800.0,800.0,800.0,2008,6
52,6,2008-07-01,Rajasthan,Alwar,Maize,3.1,750.0,750.0,750.0,2008,7
57,7,2008-08-01,Rajasthan,Alwar,Maize,4.9,840.0,900.0,860.0,2008,8
61,8,2008-09-01,Rajasthan,Alwar,Maize,0.4,700.0,700.0,700.0,2008,9
66,9,2008-10-01,Rajasthan,Alwar,Maize,2.2,750.0,750.0,750.0,2008,10
91,10,2008-11-01,Rajasthan,Alwar,Maize,11.3,700.0,765.0,760.0,2008,11
116,11,2008-12-01,Rajasthan,Alwar,Maize,3.2,740.0,750.0,750.0,2008,12
131,12,2009-01-01,Rajasthan,Alwar,Maize,1.2,800.0,800.0,800.0,2009,1
149,13,2009-02-01,Rajasthan,Alwar,Maize,1.8,800.0,800.0,800.0,2009,2
161,14,2009-03-01,Rajasthan,Alwar,Maize,0.2,825.0,825.0,825.0,2009,3
172,15,2009-04-01,Rajasthan,Alwar,Maize,0.4,850.0,850.0,850.0,2009,4
175,16,2009-05-01,Rajasthan,Alwar,Maize,0.7,850.0,850.0,850.0,2009,5
177,17,2009-06-01,Rajasthan,Alwar,Maize,7.722549019607839,1231.5294117647059,1283.549019607843,1291.4901960784314,2009,6
178,18,2009-07-01,Rajasthan,Alwar,Maize,7.722549019607839,1231.5294117647059,1283.549019607843,1291.4901960784314,2009,7
179,19,2009-08-01,Rajasthan,Alwar,Maize,0.1,975.0,975.0,975.0,2009,8
180,20,2009-09-01,Rajasthan,Alwar,Maize,13.5,1050.0,1050.0,1050.0,2009,9
181,21,2009-10-01,Rajasthan,Alwar,Maize,5.9,950.0,950.0,950.0,2009,10
192,22,2009-11-01,Rajasthan,Alwar,Maize,8.8,1050.0,1050.0,1050.0,2009,11
210,23,2009-12-01,Rajasthan,Alwar,Maize,0.7,1050.0,1050.0,1050.0,2009,12
222,24,2010-01-01,Rajasthan,Alwar,Maize,1.0,1050.0,1050.0,1050.0,2010,1
228,25,2010-02-01,Rajasthan,Alwar,Maize,1.6,1000.0,1000.0,1000.0,2010,2
241,26,2010-03-01,Rajasthan,Alwar,Maize,7.722549019607839,1231.5294117647059,1283.549019607843,1291.4901960784314,2010,3
242,27,2010-04-01,Rajasthan,Alwar,Maize,4.4,1100.0,1100.0,1100.0,2010,4
249,28,2010-05-01,Rajasthan,Alwar,Maize,0.2,1100.0,1100.0,1100.0,2010,5
257,29,2010-06-01,Rajasthan,Alwar,Maize,0.1,1010.0,1060.0,1035.0,2010,6
266,30,2010-07-01,Rajasthan,Alwar,Maize,0.7,1020.0,1065.0,1040.0,2010,7
270,31,2010-08-01,Rajasthan,Alwar,Maize,0.7,1100.0,1140.0,1120.0,2010,8
277,32,2010-09-01,Rajasthan,Alwar,Maize,20.0,1110.0,1150.0,1130.0,2010,9
281,33,2010-10-01,Rajasthan,Alwar,Maize,23.0,1115.0,1140.0,1125.0,2010,10
290,34,2010-11-01,Rajasthan,Alwar,Maize,12.3,1140.0,1180.0,1150.0,2010,11
307,35,2010-12-01,Rajasthan,Alwar,Maize,1.5,1180.0,1190.0,1180.0,2010,12
324,36,2011-01-01,Rajasthan,Alwar,Maize,6.1,1180.0,1180.0,1180.0,2011,1
337,37,2011-02-01,Rajasthan,Alwar,Maize,3.0,1150.0,1180.0,1160.0,2011,2
345,38,2011-03-01,Rajasthan,Alwar,Maize,5.0,1150.0,1170.0,1160.0,2011,3
352,39,2011-04-01,Rajasthan,Alwar,Maize,7.722549019607839,1231.5294117647059,1283.549019607843,1291.4901960784314,2011,4
353,40,2011-05-01,Rajasthan,Alwar,Maize,7.722549019607839,1231.5294117647059,1283.549019607843,1291.4901960784314,2011,5
354,41,2011-06-01,Rajasthan,Alwar,Maize,7.722549019607839,1231.5294117647059,1283.549019607843,1291.4901960784314,2011,6
355,42,2011-07-01,Rajasthan,Alwar,Maize,1.5,1100.0,1100.0,1100.0,2011,7
356,43,2011-08-01,Rajasthan,Alwar,Maize,7.722549019607839,1231.5294117647059,1283.549019607843,1291.4901960784314,2011,8
357,44,2011-09-01,Rajasthan,Alwar,Maize,5.5,1100.0,1150.0,1125.0,2011,9
360,45,2011-10-01,Rajasthan,Alwar,Maize,3.5,1100.0,1135.0,1130.0,2011,10
383,46,2011-11-01,Rajasthan,Alwar,Maize,3.9,890.0,1050.0,980.0,2011,11
409,47,2011-12-01,Rajasthan,Alwar,Maize,1.0,950.0,1150.0,1000.0,2011,12
