,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Rajasthan,Jodhpur,Maize,60.0,825.0,875.0,850.0,2008,1
3,1,2008-02-01,Rajasthan,Jodhpur,Maize,7.0,800.0,850.0,825.0,2008,2
5,2,2008-03-01,Rajasthan,Jodhpur,Maize,1.6,900.0,950.0,925.0,2008,3
6,3,2008-04-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2008,4
7,4,2008-05-01,Rajasthan,Jodhpur,Maize,2.0,825.0,875.0,850.0,2008,5
9,5,2008-06-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2008,6
10,6,2008-07-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2008,7
11,7,2008-08-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2008,8
12,8,2008-09-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2008,9
13,9,2008-10-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2008,10
14,10,2008-11-01,Rajasthan,Jodhpur,Maize,15.0,800.0,850.0,825.0,2008,11
16,11,2008-12-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2008,12
17,12,2009-01-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2009,1
18,13,2009-02-01,Rajasthan,Jodhpur,Maize,10.4,850.0,900.0,875.0,2009,2
19,14,2009-03-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2009,3
20,15,2009-04-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2009,4
21,16,2009-05-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2009,5
22,17,2009-06-01,Rajasthan,Jodhpur,Maize,8.8,1050.0,1150.0,1100.0,2009,6
23,18,2009-07-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2009,7
24,19,2009-08-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2009,8
25,20,2009-09-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2009,9
26,21,2009-10-01,Rajasthan,Jodhpur,Maize,2.9,1050.0,1150.0,1100.0,2009,10
27,22,2009-11-01,Rajasthan,Jodhpur,Maize,8.0,1050.0,1150.0,1100.0,2009,11
35,23,2009-12-01,Rajasthan,Jodhpur,Maize,13.5,1050.0,1400.0,1200.0,2009,12
37,24,2010-01-01,Rajasthan,Jodhpur,Maize,16.0,1200.0,1400.0,1300.0,2010,1
43,25,2010-02-01,Rajasthan,Jodhpur,Maize,7.7,1050.0,1150.0,1100.0,2010,2
44,26,2010-03-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2010,3
45,27,2010-04-01,Rajasthan,Jodhpur,Maize,10.0,1100.0,1250.0,1150.0,2010,4
46,28,2010-05-01,Rajasthan,Jodhpur,Maize,20.0,1030.0,1215.0,1122.5,2010,5
47,29,2010-06-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2010,6
48,30,2010-07-01,Rajasthan,Jodhpur,Maize,4.8,1050.0,1150.0,1100.0,2010,7
49,31,2010-08-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2010,8
50,32,2010-09-01,Rajasthan,Jodhpur,Maize,2.0,1100.0,1200.0,1150.0,2010,9
51,33,2010-10-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2010,10
52,34,2010-11-01,Rajasthan,Jodhpur,Maize,30.0,1050.0,1100.0,1075.0,2010,11
53,35,2010-12-01,Rajasthan,Jodhpur,Maize,10.2,1150.0,1250.0,1200.0,2010,12
57,36,2011-01-01,Rajasthan,Jodhpur,Maize,8.4,1050.0,1250.0,1150.0,2011,1
58,37,2011-02-01,Rajasthan,Jodhpur,Maize,27.1,1050.0,1300.0,1150.0,2011,2
59,38,2011-03-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2011,3
60,39,2011-04-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2011,4
61,40,2011-05-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2011,5
62,41,2011-06-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2011,6
63,42,2011-07-01,Rajasthan,Jodhpur,Maize,10.007142857142856,1283.8333333333333,1441.0714285714287,1360.0595238095239,2011,7
64,43,2011-08-01,Rajasthan,Jodhpur,Maize,2.0,1100.0,1300.0,1200.0,2011,8
65,44,2011-09-01,Rajasthan,Jodhpur,Maize,13.0,1200.0,1300.0,1250.0,2011,9
