,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2008,1
1,1,2008-02-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2008,2
2,2,2008-03-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2008,3
3,3,2008-04-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2008,4
4,4,2008-05-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2008,5
5,5,2008-06-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2008,6
6,6,2008-07-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2008,7
7,7,2008-08-01,Rajasthan,Sirohi,Maize,3.0,700.0,800.0,750.0,2008,8
8,8,2008-09-01,Rajasthan,Sirohi,Maize,4.0,700.0,800.0,750.0,2008,9
9,9,2008-10-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2008,10
10,10,2008-11-01,Rajasthan,Sirohi,Maize,1.0,800.0,900.0,850.0,2008,11
12,11,2008-12-01,Rajasthan,Sirohi,Maize,1.2,800.0,900.0,850.0,2008,12
15,12,2009-01-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2009,1
16,13,2009-02-01,Rajasthan,Sirohi,Maize,1.0,800.0,900.0,860.0,2009,2
17,14,2009-03-01,Rajasthan,Sirohi,Maize,1.2,800.0,900.0,850.0,2009,3
19,15,2009-04-01,Rajasthan,Sirohi,Maize,4.5,850.0,950.0,900.0,2009,4
21,16,2009-05-01,Rajasthan,Sirohi,Maize,1.8,900.0,1000.0,950.0,2009,5
22,17,2009-06-01,Rajasthan,Sirohi,Maize,2.0,900.0,1000.0,950.0,2009,6
23,18,2009-07-01,Rajasthan,Sirohi,Maize,2.8,900.0,1000.0,950.0,2009,7
24,19,2009-08-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2009,8
25,20,2009-09-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2009,9
26,21,2009-10-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2009,10
27,22,2009-11-01,Rajasthan,Sirohi,Maize,4.8,1000.0,1100.0,1050.0,2009,11
28,23,2009-12-01,Rajasthan,Sirohi,Maize,5.0,1050.0,1150.0,1100.0,2009,12
29,24,2010-01-01,Rajasthan,Sirohi,Maize,31.3,950.0,1050.0,1000.0,2010,1
30,25,2010-02-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2010,2
31,26,2010-03-01,Rajasthan,Sirohi,Maize,3.6,1000.0,1100.0,1050.0,2010,3
34,27,2010-04-01,Rajasthan,Sirohi,Maize,7.0,1000.0,1100.0,1050.0,2010,4
35,28,2010-05-01,Rajasthan,Sirohi,Maize,13.6,997.0,1025.0,1000.0,2010,5
37,29,2010-06-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2010,6
38,30,2010-07-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2010,7
39,31,2010-08-01,Rajasthan,Sirohi,Maize,13.0,1050.0,1100.0,1075.0,2010,8
40,32,2010-09-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2010,9
41,33,2010-10-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2010,10
42,34,2010-11-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2010,11
43,35,2010-12-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2010,12
44,36,2011-01-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2011,1
45,37,2011-02-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2011,2
46,38,2011-03-01,Rajasthan,Sirohi,Maize,18.426923076923075,1089.1153846153845,1164.0384615384614,1126.3461538461538,2011,3
