,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Tamil Nadu,Tuticorin,Maize,20.0,680.0,720.0,700.0,2008,1
4,1,2008-02-01,Tamil Nadu,Tuticorin,Maize,30.0,650.0,700.0,680.0,2008,2
7,2,2008-03-01,Tamil Nadu,Tuticorin,Maize,41.56838235294118,1063.014705882353,1172.9411764705883,1122.7205882352941,2008,3
8,3,2008-04-01,Tamil Nadu,Tuticorin,Maize,35.0,650.0,700.0,680.0,2008,4
9,4,2008-05-01,Tamil Nadu,Tuticorin,Maize,41.56838235294118,1063.014705882353,1172.9411764705883,1122.7205882352941,2008,5
10,5,2008-06-01,Tamil Nadu,Tuticorin,Maize,10.0,750.0,1000.0,900.0,2008,6
13,6,2008-07-01,Tamil Nadu,Tuticorin,Maize,15.0,800.0,900.0,850.0,2008,7
18,7,2008-08-01,Tamil Nadu,Tuticorin,Maize,15.0,1000.0,1200.0,1100.0,2008,8
20,8,2008-09-01,Tamil Nadu,Tuticorin,Maize,20.0,900.0,1000.0,950.0,2008,9
22,9,2008-10-01,Tamil Nadu,Tuticorin,Maize,20.0,800.0,900.0,850.0,2008,10
26,10,2008-11-01,Tamil Nadu,Tuticorin,Maize,20.0,700.0,850.0,800.0,2008,11
32,11,2008-12-01,Tamil Nadu,Tuticorin,Maize,10.0,700.0,850.0,800.0,2008,12
37,12,2009-01-01,Tamil Nadu,Tuticorin,Maize,30.0,700.0,800.0,750.0,2009,1
39,13,2009-02-01,Tamil Nadu,Tuticorin,Maize,25.0,680.0,780.0,710.0,2009,2
42,14,2009-03-01,Tamil Nadu,Tuticorin,Maize,20.0,700.0,800.0,750.0,2009,3
48,15,2009-04-01,Tamil Nadu,Tuticorin,Maize,20.0,700.0,780.0,760.0,2009,4
49,16,2009-05-01,Tamil Nadu,Tuticorin,Maize,41.56838235294118,1063.014705882353,1172.9411764705883,1122.7205882352941,2009,5
50,17,2009-06-01,Tamil Nadu,Tuticorin,Maize,20.0,750.0,950.0,850.0,2009,6
51,18,2009-07-01,Tamil Nadu,Tuticorin,Maize,20.0,800.0,900.0,850.0,2009,7
56,19,2009-08-01,Tamil Nadu,Tuticorin,Maize,20.0,750.0,850.0,780.0,2009,8
63,20,2009-09-01,Tamil Nadu,Tuticorin,Maize,34.0,800.0,900.0,830.0,2009,9
64,21,2009-10-01,Tamil Nadu,Tuticorin,Maize,41.56838235294118,1063.014705882353,1172.9411764705883,1122.7205882352941,2009,10
65,22,2009-11-01,Tamil Nadu,Tuticorin,Maize,20.0,800.0,880.0,850.0,2009,11
68,23,2009-12-01,Tamil Nadu,Tuticorin,Maize,300.0,800.0,900.0,850.0,2009,12
73,24,2010-01-01,Tamil Nadu,Tuticorin,Maize,20.0,800.0,950.0,900.0,2010,1
76,25,2010-02-01,Tamil Nadu,Tuticorin,Maize,10.0,750.0,900.0,850.0,2010,2
89,26,2010-03-01,Tamil Nadu,Tuticorin,Maize,20.0,740.0,850.0,800.0,2010,3
98,27,2010-04-01,Tamil Nadu,Tuticorin,Maize,20.0,750.0,860.0,810.0,2010,4
100,28,2010-05-01,Tamil Nadu,Tuticorin,Maize,27.46,750.0,880.0,850.0,2010,5
