,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2008,1
1,1,2008-02-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2008,2
2,2,2008-03-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2008,3
3,3,2008-04-01,Telangana,Adilabad,Maize,0.01,600.0,650.0,625.0,2008,4
5,4,2008-05-01,Telangana,Adilabad,Maize,0.01,500.0,600.0,550.0,2008,5
13,5,2008-06-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2008,6
14,6,2008-07-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2008,7
15,7,2008-08-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2008,8
16,8,2008-09-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2008,9
17,9,2008-10-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2008,10
18,10,2008-11-01,Telangana,Adilabad,Maize,0.9,700.0,710.0,700.0,2008,11
20,11,2008-12-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2008,12
21,12,2009-01-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2009,1
22,13,2009-02-01,Telangana,Adilabad,Maize,0.5,700.0,707.0,700.0,2009,2
34,14,2009-03-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2009,3
35,15,2009-04-01,Telangana,Adilabad,Maize,0.1,800.0,800.0,800.0,2009,4
36,16,2009-05-01,Telangana,Adilabad,Maize,13.7,840.0,840.0,840.0,2009,5
51,17,2009-06-01,Telangana,Adilabad,Maize,44.7,840.0,840.0,840.0,2009,6
59,18,2009-07-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2009,7
60,19,2009-08-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2009,8
61,20,2009-09-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2009,9
62,21,2009-10-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2009,10
63,22,2009-11-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2009,11
64,23,2009-12-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2009,12
65,24,2010-01-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2010,1
66,25,2010-02-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2010,2
67,26,2010-03-01,Telangana,Adilabad,Maize,0.2,870.0,870.0,870.0,2010,3
74,27,2010-04-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2010,4
75,28,2010-05-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2010,5
76,29,2010-06-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2010,6
77,30,2010-07-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2010,7
78,31,2010-08-01,Telangana,Adilabad,Maize,1.0,855.0,920.0,887.0,2010,8
80,32,2010-09-01,Telangana,Adilabad,Maize,3.0,860.0,900.0,890.0,2010,9
113,33,2010-10-01,Telangana,Adilabad,Maize,3.0,850.0,900.0,890.0,2010,10
159,34,2010-11-01,Telangana,Adilabad,Maize,10.0,860.0,910.0,890.0,2010,11
177,35,2010-12-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2010,12
178,36,2011-01-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2011,1
179,37,2011-02-01,Telangana,Adilabad,Maize,20.79826086956522,1115.0652173913043,1142.5,1128.6521739130435,2011,2
