,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Telangana,Karimnagar,Maize,0.02,620.0,674.0,673.0,2008,1
64,1,2008-02-01,Telangana,Karimnagar,Maize,0.01,621.0,717.0,717.0,2008,2
105,2,2008-03-01,Telangana,Karimnagar,Maize,0.03,710.0,742.0,733.0,2008,3
129,3,2008-04-01,Telangana,Karimnagar,Maize,0.02,650.0,684.0,679.0,2008,4
201,4,2008-05-01,Telangana,Karimnagar,Maize,0.01,640.0,660.0,660.0,2008,5
223,5,2008-06-01,Telangana,Karimnagar,Maize,0.19,783.0,833.0,819.0,2008,6
258,6,2008-07-01,Telangana,Karimnagar,Maize,0.01,820.0,899.0,860.0,2008,7
272,7,2008-08-01,Telangana,Karimnagar,Maize,0.01,1000.0,1080.0,1070.0,2008,8
279,8,2008-09-01,Telangana,Karimnagar,Maize,0.02,910.0,960.0,956.0,2008,9
284,9,2008-10-01,Telangana,Karimnagar,Maize,15.0,822.0,860.0,840.0,2008,10
300,10,2008-11-01,Telangana,Karimnagar,Maize,189.4,820.0,850.0,837.0,2008,11
310,11,2008-12-01,Telangana,Karimnagar,Maize,6.8,792.0,823.0,816.0,2008,12
334,12,2009-01-01,Telangana,Karimnagar,Maize,521.3,840.0,840.0,840.0,2009,1
395,13,2009-02-01,Telangana,Karimnagar,Maize,29.5,840.0,840.0,840.0,2009,2
471,14,2009-03-01,Telangana,Karimnagar,Maize,10.0,840.0,840.0,840.0,2009,3
559,15,2009-04-01,Telangana,Karimnagar,Maize,173.0,720.0,775.0,757.0,2009,4
671,16,2009-05-01,Telangana,Karimnagar,Maize,180.1,750.0,814.0,786.0,2009,5
747,17,2009-06-01,Telangana,Karimnagar,Maize,134.3,793.0,840.0,812.0,2009,6
836,18,2009-07-01,Telangana,Karimnagar,Maize,10.5,810.0,869.0,830.0,2009,7
910,19,2009-08-01,Telangana,Karimnagar,Maize,2.5,845.0,869.0,858.0,2009,8
973,20,2009-09-01,Telangana,Karimnagar,Maize,2.2,682.0,862.0,682.0,2009,9
1025,21,2009-10-01,Telangana,Karimnagar,Maize,0.1,805.0,805.0,805.0,2009,10
1105,22,2009-11-01,Telangana,Karimnagar,Maize,63.0,840.0,840.0,840.0,2009,11
1166,23,2009-12-01,Telangana,Karimnagar,Maize,80.0,900.0,946.0,930.0,2009,12
1232,24,2010-01-01,Telangana,Karimnagar,Maize,0.1,845.0,845.0,845.0,2010,1
1283,25,2010-02-01,Telangana,Karimnagar,Maize,54.6,825.0,850.0,840.0,2010,2
1320,26,2010-03-01,Telangana,Karimnagar,Maize,109.0,836.0,847.0,842.0,2010,3
