,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Telangana,Mahbubnagar,Maize,0.01,672.0,672.0,672.0,2008,1
17,1,2008-02-01,Telangana,Mahbubnagar,Maize,0.04,645.0,714.0,706.0,2008,2
27,2,2008-03-01,Telangana,Mahbubnagar,Maize,0.01,710.0,732.0,729.0,2008,3
36,3,2008-04-01,Telangana,Mahbubnagar,Maize,0.02,633.0,728.0,714.0,2008,4
49,4,2008-05-01,Telangana,Mahbubnagar,Maize,0.01,638.0,678.0,653.0,2008,5
62,5,2008-06-01,Telangana,Mahbubnagar,Maize,0.02,725.0,852.0,825.0,2008,6
67,6,2008-07-01,Telangana,Mahbubnagar,Maize,53.488611111111126,1070.0277777777778,1164.4444444444443,1129.787037037037,2008,7
68,7,2008-08-01,Telangana,Mahbubnagar,Maize,53.488611111111126,1070.0277777777778,1164.4444444444443,1129.787037037037,2008,8
69,8,2008-09-01,Telangana,Mahbubnagar,Maize,2.8,552.0,711.0,631.0,2008,9
71,9,2008-10-01,Telangana,Mahbubnagar,Maize,20.6,622.0,890.0,756.0,2008,10
90,10,2008-11-01,Telangana,Mahbubnagar,Maize,345.6,840.0,859.0,851.0,2008,11
95,11,2008-12-01,Telangana,Mahbubnagar,Maize,218.9,841.0,852.0,846.0,2008,12
133,12,2009-01-01,Telangana,Mahbubnagar,Maize,52.1,808.0,827.0,808.0,2009,1
165,13,2009-02-01,Telangana,Mahbubnagar,Maize,8.8,806.0,839.0,822.0,2009,2
201,14,2009-03-01,Telangana,Mahbubnagar,Maize,2.6,664.0,788.0,752.0,2009,3
233,15,2009-04-01,Telangana,Mahbubnagar,Maize,8.0,681.0,812.0,770.0,2009,4
256,16,2009-05-01,Telangana,Mahbubnagar,Maize,1.1,753.0,753.0,753.0,2009,5
272,17,2009-06-01,Telangana,Mahbubnagar,Maize,33.5,725.0,842.0,780.0,2009,6
294,18,2009-07-01,Telangana,Mahbubnagar,Maize,0.5,905.0,905.0,905.0,2009,7
306,19,2009-08-01,Telangana,Mahbubnagar,Maize,0.8,871.0,871.0,871.0,2009,8
310,20,2009-09-01,Telangana,Mahbubnagar,Maize,1.0,900.0,900.0,900.0,2009,9
313,21,2009-10-01,Telangana,Mahbubnagar,Maize,0.6,460.0,551.0,505.0,2009,10
337,22,2009-11-01,Telangana,Mahbubnagar,Maize,24.8,840.0,845.0,840.0,2009,11
