,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Telangana,Medak,Maize,0.02,625.0,625.0,625.0,2008,1
28,1,2008-02-01,Telangana,Medak,Maize,0.02,666.0,666.0,666.0,2008,2
52,2,2008-03-01,Telangana,Medak,Maize,0.01,701.0,726.0,713.0,2008,3
72,3,2008-04-01,Telangana,Medak,Maize,0.01,810.0,810.0,810.0,2008,4
97,4,2008-05-01,Telangana,Medak,Maize,0.01,750.0,750.0,750.0,2008,5
110,5,2008-06-01,Telangana,Medak,Maize,0.01,700.0,830.0,820.0,2008,6
117,6,2008-07-01,Telangana,Medak,Maize,33.39972972972973,1114.1801801801803,1159.1081081081081,1136.1711711711712,2008,7
118,7,2008-08-01,Telangana,Medak,Maize,33.39972972972973,1114.1801801801803,1159.1081081081081,1136.1711711711712,2008,8
119,8,2008-09-01,Telangana,Medak,Maize,0.01,700.0,700.0,700.0,2008,9
123,9,2008-10-01,Telangana,Medak,Maize,11.0,650.0,650.0,650.0,2008,10
130,10,2008-11-01,Telangana,Medak,Maize,280.6,800.0,863.0,857.0,2008,11
132,11,2008-12-01,Telangana,Medak,Maize,1.6,800.0,804.0,802.0,2008,12
151,12,2009-01-01,Telangana,Medak,Maize,0.4,760.0,760.0,760.0,2009,1
182,13,2009-02-01,Telangana,Medak,Maize,10.9,917.0,917.0,917.0,2009,2
211,14,2009-03-01,Telangana,Medak,Maize,22.0,880.0,890.0,880.0,2009,3
245,15,2009-04-01,Telangana,Medak,Maize,3.0,671.0,729.0,700.0,2009,4
271,16,2009-05-01,Telangana,Medak,Maize,8.0,730.0,762.0,762.0,2009,5
300,17,2009-06-01,Telangana,Medak,Maize,6.2,762.0,809.0,809.0,2009,6
329,18,2009-07-01,Telangana,Medak,Maize,1.7,816.0,876.0,866.0,2009,7
349,19,2009-08-01,Telangana,Medak,Maize,4.8,878.0,887.0,887.0,2009,8
359,20,2009-09-01,Telangana,Medak,Maize,0.4,870.0,890.0,870.0,2009,9
406,21,2009-10-01,Telangana,Medak,Maize,0.1,840.0,840.0,840.0,2009,10
470,22,2009-11-01,Telangana,Medak,Maize,0.1,840.0,840.0,840.0,2009,11
