,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,1
1,1,2008-02-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,2
2,2,2008-03-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,3
3,3,2008-04-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,4
4,4,2008-05-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,5
5,5,2008-06-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,6
6,6,2008-07-01,Uttar Pradesh,Hardoi,Maize,17.5,650.0,700.0,680.0,2008,7
13,7,2008-08-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,8
14,8,2008-09-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,9
15,9,2008-10-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,10
16,10,2008-11-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,11
17,11,2008-12-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2008,12
18,12,2009-01-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2009,1
19,13,2009-02-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2009,2
20,14,2009-03-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2009,3
21,15,2009-04-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2009,4
22,16,2009-05-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2009,5
23,17,2009-06-01,Uttar Pradesh,Hardoi,Maize,49.76119402985075,788.5820895522388,810.4477611940298,1205.6567164179105,2009,6
