,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Uttar Pradesh,Lucknow,Maize,18.0,0.0,0.0,725.0,2008,1
24,1,2008-02-01,Uttar Pradesh,Lucknow,Maize,18.0,0.0,0.0,775.0,2008,2
47,2,2008-03-01,Uttar Pradesh,Lucknow,Maize,19.0,0.0,0.0,780.0,2008,3
72,3,2008-04-01,Uttar Pradesh,Lucknow,Maize,18.0,0.0,0.0,800.0,2008,4
98,4,2008-05-01,Uttar Pradesh,Lucknow,Maize,19.5,0.0,0.0,815.0,2008,5
123,5,2008-06-01,Uttar Pradesh,Lucknow,Maize,13.0,0.0,0.0,1000.0,2008,6
149,6,2008-07-01,Uttar Pradesh,Lucknow,Maize,18.5,0.0,0.0,1080.0,2008,7
175,7,2008-08-01,Uttar Pradesh,Lucknow,Maize,24.0,0.0,0.0,1080.0,2008,8
187,8,2008-09-01,Uttar Pradesh,Lucknow,Maize,36.5,0.0,0.0,1040.0,2008,9
199,9,2008-10-01,Uttar Pradesh,Lucknow,Maize,32.5,0.0,0.0,900.0,2008,10
225,10,2008-11-01,Uttar Pradesh,Lucknow,Maize,56.0,0.0,0.0,825.0,2008,11
250,11,2008-12-01,Uttar Pradesh,Lucknow,Maize,30.0,0.0,0.0,700.0,2008,12
277,12,2009-01-01,Uttar Pradesh,Lucknow,Maize,18.5,0.0,0.0,825.0,2009,1
302,13,2009-02-01,Uttar Pradesh,Lucknow,Maize,22.5,0.0,0.0,850.0,2009,2
326,14,2009-03-01,Uttar Pradesh,Lucknow,Maize,17.0,0.0,0.0,880.0,2009,3
348,15,2009-04-01,Uttar Pradesh,Lucknow,Maize,19.5,0.0,0.0,950.0,2009,4
373,16,2009-05-01,Uttar Pradesh,Lucknow,Maize,15.0,0.0,0.0,985.0,2009,5
393,17,2009-06-01,Uttar Pradesh,Lucknow,Maize,22.0,0.0,0.0,900.0,2009,6
419,18,2009-07-01,Uttar Pradesh,Lucknow,Maize,11.0,0.0,0.0,975.0,2009,7
446,19,2009-08-01,Uttar Pradesh,Lucknow,Maize,25.0,0.0,0.0,950.0,2009,8
461,20,2009-09-01,Uttar Pradesh,Lucknow,Maize,32.5787037037037,758.7592592592592,795.3703703703703,1207.1296296296296,2009,9
462,21,2009-10-01,Uttar Pradesh,Lucknow,Maize,25.0,0.0,0.0,850.0,2009,10
486,22,2009-11-01,Uttar Pradesh,Lucknow,Maize,25.0,0.0,0.0,950.0,2009,11
498,23,2009-12-01,Uttar Pradesh,Lucknow,Maize,32.5787037037037,758.7592592592592,795.3703703703703,1207.1296296296296,2009,12
499,24,2010-01-01,Uttar Pradesh,Lucknow,Maize,25.5,0.0,0.0,975.0,2010,1
520,25,2010-02-01,Uttar Pradesh,Lucknow,Maize,17.5,0.0,0.0,980.0,2010,2
537,26,2010-03-01,Uttar Pradesh,Lucknow,Maize,13.0,0.0,0.0,985.0,2010,3
562,27,2010-04-01,Uttar Pradesh,Lucknow,Maize,17.0,0.0,0.0,1000.0,2010,4
588,28,2010-05-01,Uttar Pradesh,Lucknow,Maize,16.5,0.0,0.0,990.0,2010,5
614,29,2010-06-01,Uttar Pradesh,Lucknow,Maize,19.0,0.0,0.0,990.0,2010,6
627,30,2010-07-01,Uttar Pradesh,Lucknow,Maize,19.5,0.0,0.0,985.0,2010,7
631,31,2010-08-01,Uttar Pradesh,Lucknow,Maize,18.0,0.0,0.0,985.0,2010,8
647,32,2010-09-01,Uttar Pradesh,Lucknow,Maize,20.0,0.0,0.0,980.0,2010,9
