,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,Andhra Pradesh,Cuddapah,Rice,222.427826086956,982,982,982,2008,1
1,2008-02-01,Andhra Pradesh,Cuddapah,Rice,222.427826086956,935,935,935,2008,2
2,2008-03-01,Andhra Pradesh,Cuddapah,Rice,222.427826086956,940,940,940,2008,3
3,2008-04-01,Andhra Pradesh,Cuddapah,Rice,222.427826086956,862,862,862,2008,4
4,2008-05-01,Andhra Pradesh,Cuddapah,Rice,222.427826086956,1200,1300,900,2008,5
5,2008-06-01,Andhra Pradesh,Cuddapah,Rice,520,915,915,915,2008,6
6,2008-07-01,Andhra Pradesh,Cuddapah,Rice,453.333333333333,721,721,721,2008,7
7,2008-08-01,Andhra Pradesh,Cuddapah,Rice,386.666666666667,962,962,962,2008,8
8,2008-09-01,Andhra Pradesh,Cuddapah,Rice,320,1500,1700,1580,2008,9
9,2008-10-01,Andhra Pradesh,Cuddapah,Rice,490,1000,1050,1035,2008,10
10,2008-11-01,Andhra Pradesh,Cuddapah,Rice,478.785185185185,980,982,980,2008,11
11,2008-12-01,Andhra Pradesh,Cuddapah,Rice,467.57037037037,1750,2100,1350,2008,12
12,2009-01-01,Andhra Pradesh,Cuddapah,Rice,456.355555555556,1300,1500,1400,2009,1
13,2009-02-01,Andhra Pradesh,Cuddapah,Rice,445.140740740741,1400,1500,1450,2009,2
14,2009-03-01,Andhra Pradesh,Cuddapah,Rice,433.925925925926,1090,1090,1490,2009,3
15,2009-04-01,Andhra Pradesh,Cuddapah,Rice,422.711111111111,1400,1500,1450,2009,4
16,2009-05-01,Andhra Pradesh,Cuddapah,Rice,411.496296296296,1350,1550,1450,2009,5
17,2009-06-01,Andhra Pradesh,Cuddapah,Rice,400.281481481481,1400,1500,1450,2009,6
18,2009-07-01,Andhra Pradesh,Cuddapah,Rice,389.066666666667,1200,1200,1200,2009,7
19,2009-08-01,Andhra Pradesh,Cuddapah,Rice,377.851851851852,1300,1700,1500,2009,8
20,2009-09-01,Andhra Pradesh,Cuddapah,Rice,366.637037037037,1500,1700,1600,2009,9
21,2009-10-01,Andhra Pradesh,Cuddapah,Rice,355.422222222222,1300,1300,1300,2009,10
22,2009-11-01,Andhra Pradesh,Cuddapah,Rice,344.207407407407,1250,1250,1350,2009,11
23,2009-12-01,Andhra Pradesh,Cuddapah,Rice,332.992592592593,1300,1500,1400,2009,12
24,2010-01-01,Andhra Pradesh,Cuddapah,Rice,321.777777777778,1300,1352,1420,2010,1
25,2010-02-01,Andhra Pradesh,Cuddapah,Rice,310.562962962963,1420,1420,1450,2010,2
26,2010-03-01,Andhra Pradesh,Cuddapah,Rice,299.348148148148,800,900,1420,2010,3
27,2010-04-01,Andhra Pradesh,Cuddapah,Rice,288.133333333333,2000,2300,1430,2010,4
28,2010-05-01,Andhra Pradesh,Cuddapah,Rice,276.918518518519,1300,1371,1405,2010,5
29,2010-06-01,Andhra Pradesh,Cuddapah,Rice,265.703703703704,1536,1536,1500,2010,6
30,2010-07-01,Andhra Pradesh,Cuddapah,Rice,254.488888888889,1380,1380,1428,2010,7
31,2010-08-01,Andhra Pradesh,Cuddapah,Rice,243.274074074074,1800,2000,1430,2010,8
32,2010-09-01,Andhra Pradesh,Cuddapah,Rice,232.059259259259,1500,1550,1420,2010,9
33,2010-10-01,Andhra Pradesh,Cuddapah,Rice,220.844444444444,795,795,1400,2010,10
34,2010-11-01,Andhra Pradesh,Cuddapah,Rice,209.62962962963,1500,1500,1500,2010,11
35,2010-12-01,Andhra Pradesh,Cuddapah,Rice,198.414814814815,1330,1330,1500,2010,12
36,2011-01-01,Andhra Pradesh,Cuddapah,Rice,187.2,1000,1200,1100,2011,1
37,2011-02-01,Andhra Pradesh,Cuddapah,Rice,158.96,1300,1500,1400,2011,2
38,2011-03-01,Andhra Pradesh,Cuddapah,Rice,130.72,1400,1600,1500,2011,3
39,2011-04-01,Andhra Pradesh,Cuddapah,Rice,102.48,1300,1300,1300,2011,4
40,2011-05-01,Andhra Pradesh,Cuddapah,Rice,74.24,1300,1450,1400,2011,5
41,2011-06-01,Andhra Pradesh,Cuddapah,Rice,46,1400,1500,1450,2011,6
45,2011-07-01,Andhra Pradesh,Cuddapah,Rice,90.6666666666667,800,800,800,2011,7
46,2011-08-01,Andhra Pradesh,Cuddapah,Rice,135.333333333333,1300,2520,1428,2011,8
47,2011-09-01,Andhra Pradesh,Cuddapah,Rice,180,1350,1350,1350,2011,9
48,2011-10-01,Andhra Pradesh,Cuddapah,Rice,180,1350,1560,1465,2011,10
49,2011-11-01,Andhra Pradesh,Cuddapah,Rice,180,1540,1540,1540,2011,11
50,2011-12-01,Andhra Pradesh,Cuddapah,Rice,180,1400,1400,1400,2011,12
51,2012-01-01,Andhra Pradesh,Cuddapah,Rice,180,1300,1470,1400,2012,1
52,2012-02-01,Andhra Pradesh,Cuddapah,Rice,180,1353,1600,1490,2012,2
53,2012-03-01,Andhra Pradesh,Cuddapah,Rice,180,1150,1150,1450,2012,3
54,2012-04-01,Andhra Pradesh,Cuddapah,Rice,180,1200,1400,1300,2012,4
55,2012-05-01,Andhra Pradesh,Cuddapah,Rice,180,1400,1600,1560,2012,5
56,2012-06-01,Andhra Pradesh,Cuddapah,Rice,180,1530,1530,1530,2012,6
57,2012-07-01,Andhra Pradesh,Cuddapah,Rice,180,1370,1420,1400,2012,7
58,2012-08-01,Andhra Pradesh,Cuddapah,Rice,180,1565,1565,1565,2012,8
59,2012-09-01,Andhra Pradesh,Cuddapah,Rice,180,1400,1900,1650,2012,9
60,2012-10-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2000,1900,2012,10
61,2012-11-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2000,1900,2012,11
62,2012-12-01,Andhra Pradesh,Cuddapah,Rice,180,1400,1705,1689,2012,12
63,2013-01-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2200,2000,2013,1
64,2013-02-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2000,1900,2013,2
65,2013-03-01,Andhra Pradesh,Cuddapah,Rice,180,1900,1900,1900,2013,3
66,2013-04-01,Andhra Pradesh,Cuddapah,Rice,180,1600,1600,1600,2013,4
67,2013-05-01,Andhra Pradesh,Cuddapah,Rice,180,1600,1600,1600,2013,5
68,2013-06-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2200,1500,2013,6
69,2013-07-01,Andhra Pradesh,Cuddapah,Rice,180,1500,1500,1500,2013,7
70,2013-08-01,Andhra Pradesh,Cuddapah,Rice,180,1830,1830,1830,2013,8
71,2013-09-01,Andhra Pradesh,Cuddapah,Rice,180,1900,1900,1900,2013,9
72,2013-10-01,Andhra Pradesh,Cuddapah,Rice,180,2140,2261,2181,2013,10
73,2013-11-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2400,2300,2013,11
74,2013-12-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2400,2114,2013,12
75,2014-01-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2000,2000,2014,1
76,2014-02-01,Andhra Pradesh,Cuddapah,Rice,180,1900,1900,1900,2014,2
77,2014-03-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2003,1968,2014,3
78,2014-04-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2000,2000,2014,4
79,2014-05-01,Andhra Pradesh,Cuddapah,Rice,180,1650,2000,2000,2014,5
80,2014-06-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2500,2120,2014,6
81,2014-07-01,Andhra Pradesh,Cuddapah,Rice,180,1960,1960,1960,2014,7
82,2014-08-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2165,2123,2014,8
83,2014-09-01,Andhra Pradesh,Cuddapah,Rice,180,2116,2116,2116,2014,9
84,2014-10-01,Andhra Pradesh,Cuddapah,Rice,180,1700,1700,1700,2014,10
85,2014-11-01,Andhra Pradesh,Cuddapah,Rice,180,1800,1800,1800,2014,11
86,2014-12-01,Andhra Pradesh,Cuddapah,Rice,180,1600,1600,1600,2014,12
87,2015-01-01,Andhra Pradesh,Cuddapah,Rice,180,1600,1800,1700,2015,1
88,2015-02-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2500,2250,2015,2
89,2015-03-01,Andhra Pradesh,Cuddapah,Rice,180,2300,2300,2300,2015,3
90,2015-04-01,Andhra Pradesh,Cuddapah,Rice,180,1800,1800,1800,2015,4
91,2015-05-01,Andhra Pradesh,Cuddapah,Rice,180,1800,1975,1927,2015,5
92,2015-06-01,Andhra Pradesh,Cuddapah,Rice,180,1625,1760,1726,2015,6
93,2015-07-01,Andhra Pradesh,Cuddapah,Rice,180,1400,1660,1559,2015,7
94,2015-08-01,Andhra Pradesh,Cuddapah,Rice,180,1630,1630,1630,2015,8
95,2015-09-01,Andhra Pradesh,Cuddapah,Rice,180,1630,1630,1630,2015,9
96,2015-10-01,Andhra Pradesh,Cuddapah,Rice,180,1600,1800,1700,2015,10
97,2015-11-01,Andhra Pradesh,Cuddapah,Rice,180,1900,1920,1920,2015,11
98,2015-12-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2000,1900,2015,12
99,2016-01-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2000,1900,2016,1
100,2016-02-01,Andhra Pradesh,Cuddapah,Rice,180,1800,1800,1800,2016,2
101,2016-03-01,Andhra Pradesh,Cuddapah,Rice,180,1870,1870,1870,2016,3
102,2016-04-01,Andhra Pradesh,Cuddapah,Rice,180,1000,1000,2000,2016,4
103,2016-05-01,Andhra Pradesh,Cuddapah,Rice,180,1800,1800,1800,2016,5
104,2016-06-01,Andhra Pradesh,Cuddapah,Rice,180,1880,1880,1880,2016,6
105,2016-07-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2000,1900,2016,7
106,2016-08-01,Andhra Pradesh,Cuddapah,Rice,180,1600,1800,1700,2016,8
107,2016-09-01,Andhra Pradesh,Cuddapah,Rice,180,1890,1890,1890,2016,9
108,2016-10-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2400,2200,2016,10
109,2016-11-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2400,2200,2016,11
110,2016-12-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2300,2150,2016,12
111,2017-01-01,Andhra Pradesh,Cuddapah,Rice,180,1900,2400,2150,2017,1
112,2017-02-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2400,2100,2017,2
113,2017-03-01,Andhra Pradesh,Cuddapah,Rice,180,4800,5400,2100,2017,3
114,2017-04-01,Andhra Pradesh,Cuddapah,Rice,180,1900,2500,2200,2017,4
115,2017-05-01,Andhra Pradesh,Cuddapah,Rice,180,1800,2200,2210,2017,5
116,2017-06-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2400,2150,2017,6
117,2017-07-01,Andhra Pradesh,Cuddapah,Rice,180,1900,2200,2050,2017,7
118,2017-08-01,Andhra Pradesh,Cuddapah,Rice,180,2100,2400,2100,2017,8
119,2017-09-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2400,2120,2017,9
120,2017-10-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2400,2200,2017,10
121,2017-11-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2800,2400,2017,11
122,2017-12-01,Andhra Pradesh,Cuddapah,Rice,180,2000,2800,2400,2017,12
