,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,Andhra Pradesh,Krishna,Rice,100.0,1000.0,1100.0,1050.0,2008,1
19,2008-02-01,Andhra Pradesh,Krishna,Rice,70.0,1000.0,1100.0,1050.0,2008,2
20,2008-03-01,Andhra Pradesh,Krishna,Rice,40.0,1000.0,1100.0,1050.0,2008,3
21,2008-04-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1100.0,1050.0,2008,4
24,2008-05-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1100.0,1050.0,2008,5
26,2008-06-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1100.0,1050.0,2008,6
28,2008-07-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1100.0,1050.0,2008,7
30,2008-08-01,Andhra Pradesh,Krishna,Rice,10.0,1750.0,1850.0,1800.0,2008,8
31,2008-09-01,Andhra Pradesh,Krishna,Rice,10.0,1775.0,1875.0,1800.0,2008,9
32,2008-10-01,Andhra Pradesh,Krishna,Rice,10.0,1800.0,1900.0,1800.0,2008,10
38,2008-11-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1100.0,1050.0,2008,11
40,2008-12-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1100.0,1050.0,2008,12
41,2009-01-01,Andhra Pradesh,Krishna,Rice,2500.0,1600.0,1650.0,1625.0,2009,1
46,2009-02-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,3000.0,2750.0,2009,2
48,2009-03-01,Andhra Pradesh,Krishna,Rice,2500.0,1600.0,1650.0,1625.0,2009,3
53,2009-04-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,3000.0,2750.0,2009,4
55,2009-05-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,3000.0,2750.0,2009,5
58,2009-06-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,3000.0,2750.0,2009,6
61,2009-07-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,3000.0,2750.0,2009,7
64,2009-08-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,3000.0,2750.0,2009,8
67,2009-09-01,Andhra Pradesh,Krishna,Rice,5000.0,1600.0,1650.0,1625.0,2009,9
104,2009-10-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,3000.0,2750.0,2009,10
122,2009-11-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,3000.0,2750.0,2009,11
142,2009-12-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,3000.0,2750.0,2009,12
164,2010-01-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,2750.0,2242.816890428117,2010,1
195,2010-02-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,2800.0,2242.816890428117,2010,2
205,2010-03-01,Andhra Pradesh,Krishna,Rice,2.0,2350.0,2350.0,2242.816890428117,2010,3
206,2010-04-01,Andhra Pradesh,Krishna,Rice,1.8,2380.0,2390.0,2242.816890428117,2010,4
207,2010-05-01,Andhra Pradesh,Krishna,Rice,1.6,2410.0,2430.0,2242.816890428117,2010,5
208,2010-06-01,Andhra Pradesh,Krishna,Rice,1.4,2440.0,2470.0,2242.816890428117,2010,6
209,2010-07-01,Andhra Pradesh,Krishna,Rice,1.2,2470.0,2510.0,2242.816890428117,2010,7
210,2010-08-01,Andhra Pradesh,Krishna,Rice,1.0,2500.0,2550.0,2242.816890428117,2010,8
229,2010-09-01,Andhra Pradesh,Krishna,Rice,1.0,2500.0,2550.0,2242.816890428117,2010,9
363,2010-10-01,Andhra Pradesh,Krishna,Rice,1.0,1800.0,1800.0,2242.816890428117,2010,10
502,2010-11-01,Andhra Pradesh,Krishna,Rice,1.0,1900.0,1900.0,2242.816890428117,2010,11
