,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month,Min_price
0,2008-01-01,Andhra Pradesh,Kurnool,Rice,0.24214285714285805,,1126,978,2008,1,830
1,2008-02-01,Andhra Pradesh,Kurnool,Rice,0.01,800.0,1176,1028,2008,2,880
2,2008-03-01,Andhra Pradesh,Kurnool,Rice,0.01,1200.0,1174,1026,2008,3,878
3,2008-04-01,Andhra Pradesh,Kurnool,Rice,0.019000000000000003,1100.0,1137,989,2008,4,841
4,2008-05-01,Andhra Pradesh,Kurnool,Rice,0.028000000000000004,1200.0,1077,929,2008,5,781
5,2008-06-01,Andhra Pradesh,Kurnool,Rice,0.037000000000000005,1200.0,1174,1026,2008,6,878
6,2008-07-01,Andhra Pradesh,Kurnool,Rice,0.046000000000000006,,1122,974,2008,7,826
7,2008-08-01,Andhra Pradesh,Kurnool,Rice,0.05500000000000001,,1137,989,2008,8,841
8,2008-09-01,Andhra Pradesh,Kurnool,Rice,0.064,,1122,974,2008,9,826
9,2008-10-01,Andhra Pradesh,Kurnool,Rice,0.073,,1176,1028,2008,10,880
10,2008-11-01,Andhra Pradesh,Kurnool,Rice,0.082,1200.0,1077,929,2008,11,781
11,2008-12-01,Andhra Pradesh,Kurnool,Rice,0.09100000000000001,,1176,1028,2008,12,880
12,2009-01-01,Andhra Pradesh,Kurnool,Rice,0.1,,1176,1028,2009,1,880
14,2009-02-01,Andhra Pradesh,Kurnool,Rice,0.5,2400.0,1226,1078,2009,2,930
16,2009-03-01,Andhra Pradesh,Kurnool,Rice,0.1,2100.0,1224,1076,2009,3,928
18,2009-04-01,Andhra Pradesh,Kurnool,Rice,0.1,1700.0,1187,1039,2009,4,891
19,2009-05-01,Andhra Pradesh,Kurnool,Rice,0.1,,1127,979,2009,5,831
21,2009-06-01,Andhra Pradesh,Kurnool,Rice,0.1,1000.0,1224,1076,2009,6,928
22,2009-07-01,Andhra Pradesh,Kurnool,Rice,0.1,750.0,1172,1024,2009,7,876
24,2009-08-01,Andhra Pradesh,Kurnool,Rice,0.1,1400.0,1187,1039,2009,8,891
25,2009-09-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2009,9,876
35,2009-10-01,Andhra Pradesh,Kurnool,Rice,0.1,1900.0,1226,1078,2009,10,930
50,2009-11-01,Andhra Pradesh,Kurnool,Rice,0.1,2700.0,1127,979,2009,11,831
56,2009-12-01,Andhra Pradesh,Kurnool,Rice,0.1,1410.0,1226,1078,2009,12,930
70,2010-01-01,Andhra Pradesh,Kurnool,Rice,0.1,1900.0,1226,1078,2010,1,930
86,2010-02-01,Andhra Pradesh,Kurnool,Rice,0.1,4600.0,1224,1076,2010,2,928
96,2010-03-01,Andhra Pradesh,Kurnool,Rice,1.0,2560.0,1222,1074,2010,3,926
115,2010-04-01,Andhra Pradesh,Kurnool,Rice,1.0,2627.0,1185,1037,2010,4,889
135,2010-05-01,Andhra Pradesh,Kurnool,Rice,1.0,,1125,977,2010,5,829
148,2010-06-01,Andhra Pradesh,Kurnool,Rice,1.0,,1222,1074,2010,6,926
168,2010-07-01,Andhra Pradesh,Kurnool,Rice,1.0,,1170,1022,2010,7,874
188,2010-08-01,Andhra Pradesh,Kurnool,Rice,1.0,,1185,1037,2010,8,889
210,2010-09-01,Andhra Pradesh,Kurnool,Rice,1.0,,1170,1022,2010,9,874
237,2010-10-01,Andhra Pradesh,Kurnool,Rice,1.0,,1224,1076,2010,10,928
289,2010-11-01,Andhra Pradesh,Kurnool,Rice,1.0,,1125,977,2010,11,829
343,2010-12-01,Andhra Pradesh,Kurnool,Rice,1.0,,1224,1076,2010,12,928
384,2011-01-01,Andhra Pradesh,Kurnool,Rice,1.0,,1224,1076,2011,1,928
390,2011-02-01,Andhra Pradesh,Kurnool,Rice,1.0,,1187,1039,2011,2,891
394,2011-03-01,Andhra Pradesh,Kurnool,Rice,1.0,,1185,1037,2011,3,889
399,2011-04-01,Andhra Pradesh,Kurnool,Rice,1.0,,1148,1000,2011,4,852
405,2011-05-01,Andhra Pradesh,Kurnool,Rice,1.0,,1088,940,2011,5,792
420,2011-06-01,Andhra Pradesh,Kurnool,Rice,0.1,,1185,1037,2011,6,889
430,2011-07-01,Andhra Pradesh,Kurnool,Rice,0.1,,1133,985,2011,7,837
441,2011-08-01,Andhra Pradesh,Kurnool,Rice,1.0,,1148,1000,2011,8,852
450,2011-09-01,Andhra Pradesh,Kurnool,Rice,1.0,,1133,985,2011,9,837
459,2011-10-01,Andhra Pradesh,Kurnool,Rice,1.0,,1187,1039,2011,10,891
467,2011-11-01,Andhra Pradesh,Kurnool,Rice,1.0,,1088,940,2011,11,792
476,2011-12-01,Andhra Pradesh,Kurnool,Rice,0.1,,1187,1039,2011,12,891
491,2012-01-01,Andhra Pradesh,Kurnool,Rice,0.1,,1187,1039,2012,1,891
508,2012-02-01,Andhra Pradesh,Kurnool,Rice,0.1,,1127,979,2012,2,831
525,2012-03-01,Andhra Pradesh,Kurnool,Rice,0.1,,1125,977,2012,3,829
537,2012-04-01,Andhra Pradesh,Kurnool,Rice,0.1,,1088,940,2012,4,792
561,2012-05-01,Andhra Pradesh,Kurnool,Rice,0.1,,1028,880,2012,5,732
585,2012-06-01,Andhra Pradesh,Kurnool,Rice,0.1,,1125,977,2012,6,829
606,2012-07-01,Andhra Pradesh,Kurnool,Rice,0.1,,1073,925,2012,7,777
630,2012-08-01,Andhra Pradesh,Kurnool,Rice,0.1,,1088,940,2012,8,792
654,2012-09-01,Andhra Pradesh,Kurnool,Rice,0.1,,1073,925,2012,9,777
667,2012-10-01,Andhra Pradesh,Kurnool,Rice,0.1,,1127,979,2012,10,831
677,2012-11-01,Andhra Pradesh,Kurnool,Rice,0.1,,1028,880,2012,11,732
701,2012-12-01,Andhra Pradesh,Kurnool,Rice,0.1,,1127,979,2012,12,831
718,2013-01-01,Andhra Pradesh,Kurnool,Rice,0.1,,1127,979,2013,1,831
733,2013-02-01,Andhra Pradesh,Kurnool,Rice,0.1,,1224,1076,2013,2,928
747,2013-03-01,Andhra Pradesh,Kurnool,Rice,0.1,,1222,1074,2013,3,926
754,2013-04-01,Andhra Pradesh,Kurnool,Rice,0.1,,1185,1037,2013,4,889
759,2013-05-01,Andhra Pradesh,Kurnool,Rice,0.1,,1125,977,2013,5,829
764,2013-06-01,Andhra Pradesh,Kurnool,Rice,0.1,,1222,1074,2013,6,926
778,2013-07-01,Andhra Pradesh,Kurnool,Rice,0.1,,1170,1022,2013,7,874
791,2013-08-01,Andhra Pradesh,Kurnool,Rice,0.1,,1185,1037,2013,8,889
799,2013-09-01,Andhra Pradesh,Kurnool,Rice,0.1,,1170,1022,2013,9,874
804,2013-10-01,Andhra Pradesh,Kurnool,Rice,0.1,,1224,1076,2013,10,928
815,2013-11-01,Andhra Pradesh,Kurnool,Rice,0.1,,1125,977,2013,11,829
832,2013-12-01,Andhra Pradesh,Kurnool,Rice,0.1,,1224,1076,2013,12,928
848,2014-01-01,Andhra Pradesh,Kurnool,Rice,0.1,,1224,1076,2014,1,928
865,2014-02-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2014,2,876
881,2014-03-01,Andhra Pradesh,Kurnool,Rice,0.1,,1170,1022,2014,3,874
904,2014-04-01,Andhra Pradesh,Kurnool,Rice,0.1,,1133,985,2014,4,837
922,2014-05-01,Andhra Pradesh,Kurnool,Rice,0.1,,1073,925,2014,5,777
940,2014-06-01,Andhra Pradesh,Kurnool,Rice,0.1,,1170,1022,2014,6,874
956,2014-07-01,Andhra Pradesh,Kurnool,Rice,0.1,,1118,970,2014,7,822
974,2014-08-01,Andhra Pradesh,Kurnool,Rice,0.1,,1133,985,2014,8,837
