,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,4188,Assam,Bangaigaon,Maize,50.0,1300.0,1800.0,1400.0,2008,1
6,2008-02-01,4954,Assam,Bangaigaon,Maize,58.0,1250.0,1900.0,1250.0,2008,2
16,2008-03-01,9912,Assam,Bangaigaon,Maize,78.0,750.0,820.0,800.0,2008,3
33,2008-04-01,5214,Assam,Bangaigaon,Maize,70.0,1250.0,2000.0,1250.0,2008,4
51,2008-05-01,5420,Assam,Bangaigaon,Maize,45.0,1100.0,2000.0,1300.0,2008,5
72,2008-06-01,20496,Assam,Bangaigaon,Maize,6.0,1400.0,1800.0,1600.0,2008,6
87,2008-07-01,30932,Assam,Bangaigaon,Maize,20.0,1150.0,1500.0,1350.0,2008,7
104,2008-08-01,993,Assam,Bangaigaon,Maize,45.0,1100.0,2000.0,1400.0,2008,8
116,2008-09-01,1176,Assam,Bangaigaon,Maize,30.0,1200.0,1800.0,1400.0,2008,9
142,2008-10-01,11094,Assam,Bangaigaon,Maize,41.0,1250.0,1450.0,1350.0,2008,10
165,2008-11-01,1520,Assam,Bangaigaon,Maize,15.0,1300.0,1800.0,1400.0,2008,11
184,2008-12-01,11487,Assam,Bangaigaon,Maize,15.0,800.0,1170.0,850.0,2008,12
202,2009-01-01,60915,Assam,Bangaigaon,Maize,37.0,800.0,1000.0,900.0,2009,1
218,2009-02-01,58188,Assam,Bangaigaon,Maize,26.0,1200.0,1500.0,1250.0,2009,2
226,2009-03-01,63050,Assam,Bangaigaon,Maize,67.5,1150.0,1500.0,1350.0,2009,3
246,2009-04-01,72719,Assam,Bangaigaon,Maize,38.0,1200.0,1400.0,1250.0,2009,4
265,2009-05-01,63406,Assam,Bangaigaon,Maize,25.0,1150.0,1500.0,1300.0,2009,5
291,2009-06-01,58759,Assam,Bangaigaon,Maize,28.0,1150.0,1500.0,1300.0,2009,6
319,2009-07-01,58891,Assam,Bangaigaon,Maize,37.0,800.0,900.0,800.0,2009,7
344,2009-08-01,73305,Assam,Bangaigaon,Maize,41.0,1500.0,2100.0,1700.0,2009,8
373,2009-09-01,59183,Assam,Bangaigaon,Maize,48.5,1150.0,1500.0,1400.0,2009,9
393,2009-10-01,92296,Assam,Bangaigaon,Maize,7.0,1400.0,1550.0,1400.0,2009,10
423,2009-11-01,82631,Assam,Bangaigaon,Maize,22.5,1600.0,2000.0,1800.0,2009,11
446,2009-12-01,59594,Assam,Bangaigaon,Maize,52.0,1150.0,1550.0,1350.0,2009,12
468,2010-01-01,118386,Assam,Bangaigaon,Maize,8.0,1400.0,1500.0,2242.816890428117,2010,1
482,2010-02-01,123951,Assam,Bangaigaon,Maize,7.0,1400.0,1500.0,2242.816890428117,2010,2
496,2010-03-01,130024,Assam,Bangaigaon,Maize,15.0,1400.0,1500.0,2242.816890428117,2010,3
509,2010-04-01,136537,Assam,Bangaigaon,Maize,65.0,1200.0,1250.0,2242.816890428117,2010,4
522,2010-05-01,143614,Assam,Bangaigaon,Maize,6.7,1800.0,1900.0,2242.816890428117,2010,5
541,2010-06-01,149795,Assam,Bangaigaon,Maize,6.5,1700.0,1800.0,2242.816890428117,2010,6
549,2010-07-01,158797,Assam,Bangaigaon,Maize,4.0,2000.0,2000.0,2242.816890428117,2010,7
558,2010-08-01,163481,Assam,Bangaigaon,Maize,2.5,1800.0,1900.0,2242.816890428117,2010,8
569,2010-09-01,171336,Assam,Bangaigaon,Maize,4.0,1850.0,1850.0,2242.816890428117,2010,9
578,2010-10-01,176734,Assam,Bangaigaon,Maize,7.0,2000.0,2100.0,2242.816890428117,2010,10
589,2010-11-01,184214,Assam,Bangaigaon,Maize,4.5,2150.0,2150.0,2242.816890428117,2010,11
600,2010-12-01,189677,Assam,Bangaigaon,Maize,2.0,1700.0,1800.0,2242.816890428117,2010,12
607,2011-01-01,200173,Assam,Bangaigaon,Maize,5.0,2100.0,2200.0,2100.0,2011,1
630,2011-02-01,203934,Assam,Bangaigaon,Maize,5.2,2100.0,2150.0,2100.0,2011,2
644,2011-03-01,204219,Assam,Bangaigaon,Maize,3.0,2050.0,2150.0,2050.0,2011,3
668,2011-04-01,204503,Assam,Bangaigaon,Maize,7.0,2100.0,2400.0,2200.0,2011,4
698,2011-05-01,197412,Assam,Bangaigaon,Maize,2.5,2075.0,2200.0,2100.0,2011,5
718,2011-06-01,197663,Assam,Bangaigaon,Maize,2.0,2075.0,2200.0,2100.0,2011,6
740,2011-07-01,205234,Assam,Bangaigaon,Maize,5.0,2100.0,2400.0,2200.0,2011,7
759,2011-08-01,212547,Assam,Bangaigaon,Maize,5.0,2000.0,2400.0,2200.0,2011,8
776,2011-09-01,205772,Assam,Bangaigaon,Maize,9.0,2100.0,2400.0,2200.0,2011,9
804,2011-10-01,198562,Assam,Bangaigaon,Maize,1.0,1600.0,1800.0,1700.0,2011,10
812,2011-11-01,198829,Assam,Bangaigaon,Maize,1.5,1600.0,1800.0,1700.0,2011,11
825,2011-12-01,199073,Assam,Bangaigaon,Maize,1.0,1600.0,1800.0,1700.0,2011,12
841,2012-01-01,289408,Assam,Bangaigaon,Maize,1.0,1400.0,1600.0,1450.0,2012,1
848,2012-02-01,297301,Assam,Bangaigaon,Maize,2.0,1400.0,1700.0,1600.0,2012,2
855,2012-03-01,285513,Assam,Bangaigaon,Maize,2.5,1650.0,1800.0,1700.0,2012,3
868,2012-04-01,306722,Assam,Bangaigaon,Maize,8.0,1500.0,1700.0,1500.0,2012,4
878,2012-05-01,306980,Assam,Bangaigaon,Maize,4.0,1500.0,1700.0,1500.0,2012,5
891,2012-06-01,299661,Assam,Bangaigaon,Maize,3.5,1500.0,1700.0,1600.0,2012,6
905,2012-07-01,286383,Assam,Bangaigaon,Maize,2.5,1500.0,1700.0,1600.0,2012,7
915,2012-08-01,339525,Assam,Bangaigaon,Maize,5.0,2200.0,2300.0,2200.0,2012,8
929,2012-09-01,286738,Assam,Bangaigaon,Maize,2.1,1500.0,1700.0,1600.0,2012,9
937,2012-10-01,287002,Assam,Bangaigaon,Maize,2.8,1500.0,1650.0,1600.0,2012,10
956,2012-11-01,287278,Assam,Bangaigaon,Maize,1.6,1500.0,1650.0,1600.0,2012,11
974,2012-12-01,308687,Assam,Bangaigaon,Maize,4.0,2000.0,2200.0,2000.0,2012,12
986,2013-01-01,379857,Assam,Bangaigaon,Maize,4.0,2200.0,2250.0,2200.0,2013,1
992,2013-02-01,382384,Assam,Bangaigaon,Maize,6.0,2100.0,2200.0,2150.0,2013,2
1000,2013-03-01,392224,Assam,Bangaigaon,Maize,5.5,2100.0,2300.0,2300.0,2013,3
1020,2013-04-01,400097,Assam,Bangaigaon,Maize,5.5,2200.0,2300.0,2250.0,2013,4
1035,2013-05-01,389992,Assam,Bangaigaon,Maize,6.5,2200.0,2500.0,2400.0,2013,5
1050,2013-06-01,390269,Assam,Bangaigaon,Maize,6.5,2200.0,2500.0,2400.0,2013,6
1070,2013-07-01,376029,Assam,Bangaigaon,Maize,5.0,2100.0,2200.0,2100.0,2013,7
1098,2013-08-01,390809,Assam,Bangaigaon,Maize,0.1,2200.0,2500.0,2400.0,2013,8
1116,2013-09-01,404937,Assam,Bangaigaon,Maize,6.0,2200.0,2300.0,2250.0,2013,9
1126,2013-10-01,412170,Assam,Bangaigaon,Maize,7.0,2200.0,2300.0,2300.0,2013,10
1136,2013-11-01,384518,Assam,Bangaigaon,Maize,11.0,2250.0,2500.0,2400.0,2013,11
1152,2013-12-01,428683,Assam,Bangaigaon,Maize,9.0,2950.0,3000.0,3000.0,2013,12
1156,2014-01-01,462939,Assam,Bangaigaon,Maize,3.5,3100.0,3300.0,3250.0,2014,1
1168,2014-02-01,458704,Assam,Bangaigaon,Maize,10.0,3150.0,3200.0,3150.0,2014,2
1178,2014-03-01,477079,Assam,Bangaigaon,Maize,6.0,3200.0,3300.0,3250.0,2014,3
1192,2014-04-01,495283,Assam,Bangaigaon,Maize,0.1,3200.0,3300.0,3250.0,2014,4
1198,2014-05-01,503231,Assam,Bangaigaon,Maize,6.5,3200.0,3300.0,3250.0,2014,5
1205,2014-06-01,499405,Assam,Bangaigaon,Maize,4.5,3200.0,3300.0,3250.0,2014,6
1227,2014-07-01,473980,Assam,Bangaigaon,Maize,4.5,3200.0,3300.0,3250.0,2014,7
1252,2014-08-01,481752,Assam,Bangaigaon,Maize,5.0,3200.0,3300.0,3250.0,2014,8
1280,2014-09-01,460500,Assam,Bangaigaon,Maize,12.0,3100.0,3150.0,3150.0,2014,9
1313,2014-10-01,460782,Assam,Bangaigaon,Maize,12.0,3100.0,3150.0,3150.0,2014,10
1338,2014-11-01,468110,Assam,Bangaigaon,Maize,4.5,3200.0,3300.0,3250.0,2014,11
1366,2014-12-01,497361,Assam,Bangaigaon,Maize,6.0,3200.0,3300.0,3300.0,2014,12
1408,2015-01-01,545518,Assam,Bangaigaon,Maize,76.0,3300.0,3650.0,3500.0,2015,1
1450,2015-02-01,545794,Assam,Bangaigaon,Maize,125.0,3300.0,3650.0,3500.0,2015,2
1476,2015-03-01,546064,Assam,Bangaigaon,Maize,65.0,3300.0,3700.0,3500.0,2015,3
1524,2015-04-01,546298,Assam,Bangaigaon,Maize,90.0,3300.0,3700.0,3500.0,2015,4
1572,2015-05-01,546461,Assam,Bangaigaon,Maize,60.0,3300.0,3700.0,3350.0,2015,5
1624,2015-06-01,546757,Assam,Bangaigaon,Maize,70.0,3300.0,3700.0,3500.0,2015,6
1674,2015-07-01,547072,Assam,Bangaigaon,Maize,120.0,3300.0,3650.0,3500.0,2015,7
1710,2015-08-01,547363,Assam,Bangaigaon,Maize,75.0,3300.0,3650.0,3500.0,2015,8
1750,2015-09-01,547678,Assam,Bangaigaon,Maize,100.0,3300.0,3700.0,3550.0,2015,9
1802,2015-10-01,547975,Assam,Bangaigaon,Maize,70.0,3300.0,3750.0,3600.0,2015,10
1850,2015-11-01,548206,Assam,Bangaigaon,Maize,70.0,3300.0,3750.0,3600.0,2015,11
1900,2015-12-01,548357,Assam,Bangaigaon,Maize,90.0,3350.0,3750.0,3600.0,2015,12
1931,2016-01-01,635901,Assam,Bangaigaon,Maize,70.0,3000.0,3150.0,3100.0,2016,1
1959,2016-02-01,636153,Assam,Bangaigaon,Maize,130.0,3000.0,3150.0,3100.0,2016,2
1991,2016-03-01,636385,Assam,Bangaigaon,Maize,73.0,3000.0,3250.0,3100.0,2016,3
2032,2016-04-01,636529,Assam,Bangaigaon,Maize,60.0,3000.0,3150.0,3100.0,2016,4
2082,2016-05-01,643702,Assam,Bangaigaon,Maize,90.0,3000.0,3200.0,3100.0,2016,5
2124,2016-06-01,643959,Assam,Bangaigaon,Maize,57.0,3000.0,3200.0,3100.0,2016,6
2164,2016-07-01,644203,Assam,Bangaigaon,Maize,49.0,3100.0,3200.0,3150.0,2016,7
2208,2016-08-01,644336,Assam,Bangaigaon,Maize,76.0,3100.0,3200.0,3150.0,2016,8
2234,2016-09-01,637760,Assam,Bangaigaon,Maize,61.0,3100.0,3250.0,3200.0,2016,9
2258,2016-10-01,637955,Assam,Bangaigaon,Maize,58.0,3100.0,3250.0,3200.0,2016,10
2270,2016-11-01,638109,Assam,Bangaigaon,Maize,49.0,3100.0,3250.0,3200.0,2016,11
2304,2016-12-01,645306,Assam,Bangaigaon,Maize,11.0,3000.0,3200.0,3150.0,2016,12
