,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2964.0,Assam,Golaghat,Maize,45.0,1200.0,1280.0,1250.0,2008,1
3,2008-02-01,30156.0,Assam,Golaghat,Maize,130.0,1490.0,1650.0,1550.0,2008,2
4,2008-03-01,,Assam,Golaghat,Maize,76.55794392523364,1893.177570093458,2118.8598130841124,2083.3736990159746,2008,3
5,2008-04-01,19521.0,Assam,Golaghat,Maize,230.0,1420.0,1530.0,1450.0,2008,4
8,2008-05-01,,Assam,Golaghat,Maize,76.55794392523364,1893.177570093458,2118.8598130841124,2083.3736990159746,2008,5
9,2008-06-01,29788.0,Assam,Golaghat,Maize,120.0,1400.0,1500.0,1450.0,2008,6
12,2008-07-01,32089.0,Assam,Golaghat,Maize,250.0,1400.0,1550.0,1450.0,2008,7
18,2008-08-01,37607.0,Assam,Golaghat,Maize,370.0,1500.0,1600.0,1550.0,2008,8
22,2008-09-01,42363.0,Assam,Golaghat,Maize,210.0,1620.0,1700.0,1650.0,2008,9
27,2008-10-01,47699.0,Assam,Golaghat,Maize,290.0,1600.0,1700.0,1650.0,2008,10
28,2008-11-01,36628.0,Assam,Golaghat,Maize,250.0,1450.0,1550.0,1500.0,2008,11
29,2008-12-01,36766.0,Assam,Golaghat,Maize,300.0,1450.0,1550.0,1500.0,2008,12
31,2009-01-01,,Assam,Golaghat,Maize,76.55794392523364,1893.177570093458,2118.8598130841124,2083.3736990159746,2009,1
32,2009-02-01,,Assam,Golaghat,Maize,76.55794392523364,1893.177570093458,2118.8598130841124,2083.3736990159746,2009,2
33,2009-03-01,106294.0,Assam,Golaghat,Maize,250.0,1400.0,1500.0,1450.0,2009,3
34,2009-04-01,106507.0,Assam,Golaghat,Maize,50.0,1600.0,1750.0,1650.0,2009,4
35,2009-05-01,106722.0,Assam,Golaghat,Maize,80.0,1600.0,1750.0,1650.0,2009,5
36,2009-06-01,106923.0,Assam,Golaghat,Maize,170.0,1600.0,1750.0,1650.0,2009,6
37,2009-07-01,107159.0,Assam,Golaghat,Maize,120.0,1600.0,1750.0,1650.0,2009,7
39,2009-08-01,112975.0,Assam,Golaghat,Maize,90.0,1400.0,1500.0,1450.0,2009,8
40,2009-09-01,,Assam,Golaghat,Maize,76.55794392523364,1893.177570093458,2118.8598130841124,2083.3736990159746,2009,9
41,2009-10-01,104756.0,Assam,Golaghat,Maize,200.0,1450.0,1700.0,1600.0,2009,10
