,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,1
1,2008-02-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,2
2,2008-03-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,3
3,2008-04-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,4
4,2008-05-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,5
5,2008-06-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,6
6,2008-07-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,7
7,2008-08-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,8
8,2008-09-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,9
9,2008-10-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,10
10,2008-11-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,11
11,2008-12-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2008,12
12,2009-01-01,90954.0,Assam,Hailakandi,Maize,30.0,1470.0,1560.0,1530.0,2009,1
15,2009-02-01,106121.0,Assam,Hailakandi,Maize,6.5,1500.0,1650.0,1600.0,2009,2
16,2009-03-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2009,3
17,2009-04-01,91402.0,Assam,Hailakandi,Maize,2.5,1400.0,1500.0,1450.0,2009,4
20,2009-05-01,91577.0,Assam,Hailakandi,Maize,28.0,1400.0,1500.0,1450.0,2009,5
24,2009-06-01,,Assam,Hailakandi,Maize,19.900943396226417,2053.490566037736,2318.6792452830186,2253.2434215579,2009,6
25,2009-07-01,96652.0,Assam,Hailakandi,Maize,3.5,1500.0,1550.0,1525.0,2009,7
27,2009-08-01,94426.0,Assam,Hailakandi,Maize,6.5,1450.0,1650.0,1550.0,2009,8
35,2009-09-01,97021.0,Assam,Hailakandi,Maize,3.0,1400.0,1500.0,1450.0,2009,9
49,2009-10-01,92303.0,Assam,Hailakandi,Maize,4.0,1450.0,1500.0,1475.0,2009,10
67,2009-11-01,92487.0,Assam,Hailakandi,Maize,5.0,1450.0,1500.0,1475.0,2009,11
80,2009-12-01,92670.0,Assam,Hailakandi,Maize,27.5,1500.0,1550.0,1525.0,2009,12
96,2010-01-01,117202.0,Assam,Hailakandi,Maize,55.0,1550.0,1600.0,2242.816890428117,2010,1
115,2010-02-01,123438.0,Assam,Hailakandi,Maize,60.0,1500.0,1550.0,2242.816890428117,2010,2
132,2010-03-01,129775.0,Assam,Hailakandi,Maize,45.0,1500.0,1550.0,2242.816890428117,2010,3
151,2010-04-01,136543.0,Assam,Hailakandi,Maize,35.0,1500.0,1550.0,2242.816890428117,2010,4
165,2010-05-01,143370.0,Assam,Hailakandi,Maize,30.0,1500.0,1550.0,2242.816890428117,2010,5
183,2010-06-01,150558.0,Assam,Hailakandi,Maize,40.0,1600.0,1620.0,2242.816890428117,2010,6
198,2010-07-01,156566.0,Assam,Hailakandi,Maize,42.0,1600.0,1650.0,2242.816890428117,2010,7
221,2010-08-01,163234.0,Assam,Hailakandi,Maize,40.0,1800.0,1850.0,2242.816890428117,2010,8
240,2010-09-01,170068.0,Assam,Hailakandi,Maize,35.0,1750.0,1800.0,2242.816890428117,2010,9
257,2010-10-01,176741.0,Assam,Hailakandi,Maize,20.0,1750.0,1800.0,2242.816890428117,2010,10
273,2010-11-01,183460.0,Assam,Hailakandi,Maize,35.0,1750.0,1800.0,2242.816890428117,2010,11
288,2010-12-01,189681.0,Assam,Hailakandi,Maize,30.0,1750.0,1800.0,2242.816890428117,2010,12
303,2011-01-01,196483.0,Assam,Hailakandi,Maize,15.0,1600.0,1800.0,1700.0,2011,1
328,2011-02-01,207031.0,Assam,Hailakandi,Maize,30.0,1600.0,1750.0,1650.0,2011,2
352,2011-03-01,196879.0,Assam,Hailakandi,Maize,20.0,1600.0,1800.0,1700.0,2011,3
377,2011-04-01,204512.0,Assam,Hailakandi,Maize,15.0,1600.0,1800.0,1700.0,2011,4
397,2011-05-01,219053.0,Assam,Hailakandi,Maize,18.0,1600.0,1800.0,1700.0,2011,5
429,2011-06-01,219317.0,Assam,Hailakandi,Maize,25.0,1600.0,1800.0,1700.0,2011,6
469,2011-07-01,197951.0,Assam,Hailakandi,Maize,15.0,1600.0,1800.0,1700.0,2011,7
505,2011-08-01,205515.0,Assam,Hailakandi,Maize,15.0,1600.0,1750.0,1700.0,2011,8
530,2011-09-01,205781.0,Assam,Hailakandi,Maize,20.0,1600.0,1700.0,1650.0,2011,9
569,2011-10-01,198566.0,Assam,Hailakandi,Maize,18.0,1600.0,1800.0,1700.0,2011,10
604,2011-11-01,198832.0,Assam,Hailakandi,Maize,20.0,1600.0,1800.0,1700.0,2011,11
644,2011-12-01,220804.0,Assam,Hailakandi,Maize,30.0,1600.0,1800.0,1700.0,2011,12
684,2012-01-01,287807.0,Assam,Hailakandi,Maize,25.0,1900.0,2100.0,2000.0,2012,1
720,2012-02-01,285266.0,Assam,Hailakandi,Maize,35.0,1900.0,2100.0,2000.0,2012,2
762,2012-03-01,285518.0,Assam,Hailakandi,Maize,25.0,1900.0,2100.0,2000.0,2012,3
810,2012-04-01,292761.0,Assam,Hailakandi,Maize,20.0,1900.0,2100.0,2000.0,2012,4
854,2012-05-01,299360.0,Assam,Hailakandi,Maize,25.0,1900.0,2100.0,2000.0,2012,5
900,2012-06-01,293113.0,Assam,Hailakandi,Maize,30.0,1900.0,2100.0,2000.0,2012,6
946,2012-07-01,286391.0,Assam,Hailakandi,Maize,25.0,1900.0,2100.0,2000.0,2012,7
987,2012-08-01,293549.0,Assam,Hailakandi,Maize,25.0,1900.0,2100.0,2000.0,2012,8
1016,2012-09-01,286743.0,Assam,Hailakandi,Maize,25.0,1900.0,2100.0,2000.0,2012,9
1052,2012-10-01,287010.0,Assam,Hailakandi,Maize,20.0,1900.0,2100.0,2000.0,2012,10
1108,2012-11-01,287283.0,Assam,Hailakandi,Maize,18.0,1900.0,2100.0,2000.0,2012,11
1146,2012-12-01,287549.0,Assam,Hailakandi,Maize,35.0,1900.0,2100.0,2000.0,2012,12
1193,2013-01-01,374499.0,Assam,Hailakandi,Maize,25.0,2000.0,2200.0,2100.0,2013,1
1236,2013-02-01,374777.0,Assam,Hailakandi,Maize,18.0,2000.0,2200.0,2100.0,2013,2
1290,2013-03-01,375078.0,Assam,Hailakandi,Maize,12.0,2000.0,2200.0,2100.0,2013,3
1337,2013-04-01,375356.0,Assam,Hailakandi,Maize,15.0,2000.0,2200.0,2100.0,2013,4
1366,2013-05-01,375644.0,Assam,Hailakandi,Maize,20.0,2000.0,2200.0,2100.0,2013,5
1394,2013-06-01,383333.0,Assam,Hailakandi,Maize,15.0,2000.0,2200.0,2100.0,2013,6
1442,2013-07-01,376037.0,Assam,Hailakandi,Maize,15.0,2000.0,2200.0,2100.0,2013,7
1494,2013-08-01,376331.0,Assam,Hailakandi,Maize,15.0,2000.0,2200.0,2100.0,2013,8
1546,2013-09-01,376611.0,Assam,Hailakandi,Maize,15.0,2000.0,2200.0,2100.0,2013,9
1603,2013-10-01,376900.0,Assam,Hailakandi,Maize,20.0,2000.0,2200.0,2100.0,2013,10
1654,2013-11-01,377205.0,Assam,Hailakandi,Maize,18.0,2000.0,2200.0,2100.0,2013,11
1717,2013-12-01,384799.0,Assam,Hailakandi,Maize,18.0,2000.0,2200.0,2100.0,2013,12
1779,2014-01-01,458489.0,Assam,Hailakandi,Maize,30.0,2400.0,2800.0,2600.0,2014,1
1837,2014-02-01,458713.0,Assam,Hailakandi,Maize,45.0,2400.0,2800.0,2600.0,2014,2
1888,2014-03-01,458951.0,Assam,Hailakandi,Maize,30.0,2400.0,2800.0,2600.0,2014,3
1937,2014-04-01,459235.0,Assam,Hailakandi,Maize,45.0,2400.0,2800.0,2600.0,2014,4
1990,2014-05-01,466693.0,Assam,Hailakandi,Maize,40.0,2400.0,2800.0,2600.0,2014,5
2055,2014-06-01,459661.0,Assam,Hailakandi,Maize,45.0,2400.0,2800.0,2600.0,2014,6
2093,2014-07-01,459962.0,Assam,Hailakandi,Maize,25.0,2400.0,2800.0,2600.0,2014,7
2159,2014-08-01,460227.0,Assam,Hailakandi,Maize,45.0,2400.0,2800.0,2600.0,2014,8
2213,2014-09-01,460513.0,Assam,Hailakandi,Maize,30.0,2400.0,2800.0,2600.0,2014,9
