,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,1
1,2008-02-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,2
2,2008-03-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,3
3,2008-04-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,4
4,2008-05-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,5
5,2008-06-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,6
6,2008-07-01,34677.0,Assam,Tinsukia,Maize,6.0,1400.0,1600.0,1500.0,2008,7
8,2008-08-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,8
9,2008-09-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,9
10,2008-10-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,10
11,2008-11-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,11
12,2008-12-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2008,12
13,2009-01-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,1
14,2009-02-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,2
15,2009-03-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,3
16,2009-04-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,4
17,2009-05-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,5
18,2009-06-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,6
19,2009-07-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,7
20,2009-08-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,8
21,2009-09-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,9
22,2009-10-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,10
23,2009-11-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,11
24,2009-12-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2009,12
25,2010-01-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2010,1
26,2010-02-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2010,2
27,2010-03-01,134226.0,Assam,Tinsukia,Maize,20.0,1450.0,1600.0,2242.816890428117,2010,3
30,2010-04-01,138068.0,Assam,Tinsukia,Maize,40.0,1350.0,1450.0,2242.816890428117,2010,4
38,2010-05-01,143374.0,Assam,Tinsukia,Maize,20.0,1500.0,1700.0,2242.816890428117,2010,5
41,2010-06-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2010,6
42,2010-07-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2010,7
43,2010-08-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2010,8
44,2010-09-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2010,9
45,2010-10-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2010,10
46,2010-11-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2010,11
47,2010-12-01,194894.0,Assam,Tinsukia,Maize,20.0,1550.0,1650.0,2242.816890428117,2010,12
51,2011-01-01,196484.0,Assam,Tinsukia,Maize,10.0,1600.0,2000.0,1800.0,2011,1
53,2011-02-01,270487.0,Assam,Tinsukia,Maize,1.0,1400.0,1600.0,1500.0,2011,2
54,2011-03-01,278320.0,Assam,Tinsukia,Maize,2.0,1500.0,1800.0,1600.0,2011,3
55,2011-04-01,271065.0,Assam,Tinsukia,Maize,1.5,1400.0,1800.0,1600.0,2011,4
56,2011-05-01,271367.0,Assam,Tinsukia,Maize,1.2,1400.0,1700.0,1600.0,2011,5
58,2011-06-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2011,6
59,2011-07-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2011,7
60,2011-08-01,255824.0,Assam,Tinsukia,Maize,1.0,0.0,1900.0,0.0,2011,8
61,2011-09-01,262444.0,Assam,Tinsukia,Maize,1.0,1700.0,2100.0,1800.0,2011,9
66,2011-10-01,265922.0,Assam,Tinsukia,Maize,1.5,1600.0,1900.0,1800.0,2011,10
70,2011-11-01,273400.0,Assam,Tinsukia,Maize,2.0,1400.0,1800.0,1500.0,2011,11
78,2011-12-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2011,12
79,2012-01-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2012,1
80,2012-02-01,294609.0,Assam,Tinsukia,Maize,2.0,1600.0,2000.0,1800.0,2012,2
85,2012-03-01,285522.0,Assam,Tinsukia,Maize,2.0,1800.0,2200.0,2000.0,2012,3
90,2012-04-01,310970.0,Assam,Tinsukia,Maize,2.0,1550.0,1850.0,1650.0,2012,4
92,2012-05-01,285946.0,Assam,Tinsukia,Maize,1.0,1600.0,1800.0,1700.0,2012,5
97,2012-06-01,324363.0,Assam,Tinsukia,Maize,2.0,1600.0,1800.0,1700.0,2012,6
103,2012-07-01,299945.0,Assam,Tinsukia,Maize,2.0,1800.0,2000.0,1900.0,2012,7
111,2012-08-01,338353.0,Assam,Tinsukia,Maize,5.0,1800.0,2400.0,2000.0,2012,8
113,2012-09-01,286750.0,Assam,Tinsukia,Maize,2.0,1800.0,2200.0,1900.0,2012,9
116,2012-10-01,287019.0,Assam,Tinsukia,Maize,2.0,1600.0,1800.0,1700.0,2012,10
118,2012-11-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2012,11
119,2012-12-01,287557.0,Assam,Tinsukia,Maize,1.0,2000.0,2200.0,2100.0,2012,12
120,2013-01-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2013,1
121,2013-02-01,,Assam,Tinsukia,Maize,14.95875,2095.0,2433.75,2271.515844521406,2013,2
122,2013-03-01,433683.0,Assam,Tinsukia,Maize,20.0,2200.0,2800.0,2500.0,2013,3
124,2013-04-01,440855.0,Assam,Tinsukia,Maize,15.0,2000.0,2500.0,2100.0,2013,4
126,2013-05-01,408899.0,Assam,Tinsukia,Maize,17.5,1600.0,1900.0,1800.0,2013,5
131,2013-06-01,413344.0,Assam,Tinsukia,Maize,25.0,1600.0,2000.0,1800.0,2013,6
136,2013-07-01,421775.0,Assam,Tinsukia,Maize,110.0,1800.0,2100.0,2000.0,2013,7
147,2013-08-01,427974.0,Assam,Tinsukia,Maize,20.0,2300.0,2600.0,2500.0,2013,8
156,2013-09-01,438482.0,Assam,Tinsukia,Maize,20.0,2100.0,2500.0,2200.0,2013,9
158,2013-10-01,420564.0,Assam,Tinsukia,Maize,90.0,2100.0,2500.0,2200.0,2013,10
165,2013-11-01,412485.0,Assam,Tinsukia,Maize,18.0,2000.0,2300.0,2200.0,2013,11
175,2013-12-01,435837.0,Assam,Tinsukia,Maize,20.0,2000.0,2500.0,2200.0,2013,12
180,2014-01-01,462603.0,Assam,Tinsukia,Maize,15.0,2200.0,2500.0,2300.0,2014,1
184,2014-02-01,517319.0,Assam,Tinsukia,Maize,15.0,2200.0,2500.0,2400.0,2014,2
