,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,13,Gujarat,Dahod,Maize,49.8,1500.0,1700.0,1600.0,2008,1
13,2008-02-01,151,Gujarat,Dahod,Maize,1.2,1500.0,1700.0,1600.0,2008,2
27,2008-03-01,296,Gujarat,Dahod,Maize,75.5,1500.0,1700.0,1600.0,2008,3
46,2008-04-01,443,Gujarat,Dahod,Maize,21.2,1500.0,1700.0,1650.0,2008,4
66,2008-05-01,610,Gujarat,Dahod,Maize,18.0,1500.0,1700.0,1550.0,2008,5
83,2008-06-01,5652,Gujarat,Dahod,Maize,10.7,1500.0,1700.0,1600.0,2008,6
101,2008-07-01,826,Gujarat,Dahod,Maize,12.0,1500.0,1700.0,1550.0,2008,7
116,2008-08-01,1003,Gujarat,Dahod,Maize,8.8,1500.0,1700.0,1675.0,2008,8
131,2008-09-01,1184,Gujarat,Dahod,Maize,8.0,1500.0,1700.0,1650.0,2008,9
147,2008-10-01,1360,Gujarat,Dahod,Maize,43.5,1500.0,1700.0,1675.0,2008,10
165,2008-11-01,1528,Gujarat,Dahod,Maize,34.7,1500.0,1700.0,1650.0,2008,11
183,2008-12-01,1718,Gujarat,Dahod,Maize,5.0,1500.0,1700.0,1650.0,2008,12
202,2009-01-01,59805,Gujarat,Dahod,Maize,18.5,2000.0,2200.0,2150.0,2009,1
219,2009-02-01,58199,Gujarat,Dahod,Maize,65.0,2000.0,2200.0,2150.0,2009,2
237,2009-03-01,58393,Gujarat,Dahod,Maize,35.0,2000.0,2200.0,2150.0,2009,3
258,2009-04-01,63221,Gujarat,Dahod,Maize,19.8,2400.0,2600.0,2550.0,2009,4
276,2009-05-01,58633,Gujarat,Dahod,Maize,10.1,2000.0,2200.0,2150.0,2009,5
299,2009-06-01,63612,Gujarat,Dahod,Maize,79.4,2400.0,2600.0,2550.0,2009,6
320,2009-07-01,68420,Gujarat,Dahod,Maize,59.1,2400.0,2600.0,2500.0,2009,7
337,2009-08-01,73311,Gujarat,Dahod,Maize,8.9,2400.0,2600.0,2500.0,2009,8
358,2009-09-01,64054,Gujarat,Dahod,Maize,30.0,2400.0,2600.0,2550.0,2009,9
378,2009-10-01,64229,Gujarat,Dahod,Maize,28.1,1400.0,2600.0,2550.0,2009,10
394,2009-11-01,64415,Gujarat,Dahod,Maize,27.3,2400.0,2600.0,2550.0,2009,11
414,2009-12-01,59612,Gujarat,Dahod,Maize,2.5,2000.0,2200.0,2150.0,2009,12
434,2010-01-01,117205,Gujarat,Dahod,Maize,6.3,2800.0,2900.0,2242.816890428117,2010,1
456,2010-02-01,123187,Gujarat,Dahod,Maize,25.8,2000.0,2400.0,2242.816890428117,2010,2
475,2010-03-01,129565,Gujarat,Dahod,Maize,109.2,2000.0,2400.0,2242.816890428117,2010,3
494,2010-04-01,138069,Gujarat,Dahod,Maize,24.8,2000.0,2350.0,2242.816890428117,2010,4
512,2010-05-01,143375,Gujarat,Dahod,Maize,164.9,2000.0,2400.0,2242.816890428117,2010,5
533,2010-06-01,149804,Gujarat,Dahod,Maize,49.4,2000.0,2400.0,2242.816890428117,2010,6
556,2010-07-01,156570,Gujarat,Dahod,Maize,17.9,2000.0,2350.0,2242.816890428117,2010,7
578,2010-08-01,163239,Gujarat,Dahod,Maize,58.6,2000.0,2425.0,2242.816890428117,2010,8
601,2010-09-01,170519,Gujarat,Dahod,Maize,33.0,2000.0,2400.0,2242.816890428117,2010,9
616,2010-10-01,176742,Gujarat,Dahod,Maize,20.2,2100.0,2500.0,2242.816890428117,2010,10
638,2010-11-01,183461,Gujarat,Dahod,Maize,64.3,2100.0,2100.0,2242.816890428117,2010,11
658,2010-12-01,189685,Gujarat,Dahod,Maize,26.7,2200.0,2250.0,2242.816890428117,2010,12
681,2011-01-01,196485,Gujarat,Dahod,Maize,40.0,2600.0,3000.0,2800.0,2011,1
703,2011-02-01,207036,Gujarat,Dahod,Maize,93.5,2100.0,2250.0,2225.0,2011,2
718,2011-03-01,196883,Gujarat,Dahod,Maize,9.1,2200.0,2300.0,2250.0,2011,3
741,2011-04-01,197149,Gujarat,Dahod,Maize,20.0,2200.0,2300.0,2250.0,2011,4
766,2011-05-01,197420,Gujarat,Dahod,Maize,16.0,2200.0,2250.0,2200.0,2011,5
790,2011-06-01,197671,Gujarat,Dahod,Maize,9.1,2200.0,2250.0,2225.0,2011,6
812,2011-07-01,197952,Gujarat,Dahod,Maize,16.1,2200.0,2250.0,2225.0,2011,7
852,2011-08-01,198224,Gujarat,Dahod,Maize,7.5,2200.0,2250.0,2225.0,2011,8
882,2011-09-01,205787,Gujarat,Dahod,Maize,4.9,2100.0,2250.0,2225.0,2011,9
919,2011-10-01,198570,Gujarat,Dahod,Maize,58.9,2200.0,2250.0,2220.0,2011,10
949,2011-11-01,198837,Gujarat,Dahod,Maize,7.0,2200.0,2250.0,2220.0,2011,11
982,2011-12-01,199080,Gujarat,Dahod,Maize,10.0,2200.0,2250.0,2220.0,2011,12
1018,2012-01-01,287814,Gujarat,Dahod,Maize,13.9,2200.0,2450.0,2350.0,2012,1
1057,2012-02-01,285274,Gujarat,Dahod,Maize,24.0,2100.0,2400.0,2300.0,2012,2
1097,2012-03-01,285523,Gujarat,Dahod,Maize,1.7,2200.0,2450.0,2350.0,2012,3
1146,2012-04-01,285743,Gujarat,Dahod,Maize,61.9,2200.0,2450.0,2350.0,2012,4
1182,2012-05-01,285947,Gujarat,Dahod,Maize,28.2,2200.0,2450.0,2350.0,2012,5
1222,2012-06-01,286159,Gujarat,Dahod,Maize,28.2,2200.0,2450.0,2350.0,2012,6
1253,2012-07-01,286395,Gujarat,Dahod,Maize,23.9,2200.0,2450.0,2350.0,2012,7
1294,2012-08-01,293553,Gujarat,Dahod,Maize,41.4,2300.0,2600.0,2500.0,2012,8
1325,2012-09-01,286752,Gujarat,Dahod,Maize,34.2,2200.0,2450.0,2350.0,2012,9
1352,2012-10-01,294034,Gujarat,Dahod,Maize,16.2,2200.0,2450.0,2350.0,2012,10
1388,2012-11-01,287292,Gujarat,Dahod,Maize,10.0,2200.0,2450.0,2350.0,2012,11
1418,2012-12-01,287559,Gujarat,Dahod,Maize,33.3,2200.0,2450.0,2350.0,2012,12
1456,2013-01-01,374507,Gujarat,Dahod,Maize,12.5,3000.0,3300.0,3200.0,2013,1
1493,2013-02-01,374786,Gujarat,Dahod,Maize,67.5,2600.0,2900.0,2700.0,2013,2
1527,2013-03-01,375083,Gujarat,Dahod,Maize,54.9,2600.0,2900.0,2800.0,2013,3
1567,2013-04-01,375361,Gujarat,Dahod,Maize,63.4,2600.0,2900.0,2800.0,2013,4
1607,2013-05-01,375649,Gujarat,Dahod,Maize,11.3,2600.0,2900.0,2800.0,2013,5
1648,2013-06-01,383335,Gujarat,Dahod,Maize,20.0,2700.0,3000.0,2850.0,2013,6
1682,2013-07-01,376046,Gujarat,Dahod,Maize,121.2,2600.0,2900.0,2800.0,2013,7
1710,2013-08-01,376338,Gujarat,Dahod,Maize,54.7,2600.0,2900.0,2800.0,2013,8
1744,2013-09-01,376619,Gujarat,Dahod,Maize,42.0,2600.0,2900.0,2800.0,2013,9
1781,2013-10-01,376909,Gujarat,Dahod,Maize,31.1,2600.0,2900.0,2750.0,2013,10
1817,2013-11-01,377212,Gujarat,Dahod,Maize,30.1,2600.0,2900.0,2800.0,2013,11
1840,2013-12-01,377479,Gujarat,Dahod,Maize,60.5,2600.0,2900.0,2750.0,2013,12
1883,2014-01-01,458497,Gujarat,Dahod,Maize,0.2,3800.0,4500.0,4200.0,2014,1
1917,2014-02-01,458719,Gujarat,Dahod,Maize,10.0,3800.0,4500.0,4300.0,2014,2
1942,2014-03-01,458957,Gujarat,Dahod,Maize,30.2,3800.0,4500.0,4200.0,2014,3
1977,2014-04-01,459244,Gujarat,Dahod,Maize,24.9,3800.0,4500.0,4300.0,2014,4
2006,2014-05-01,466700,Gujarat,Dahod,Maize,11.2,3800.0,4500.0,4400.0,2014,5
2047,2014-06-01,459670,Gujarat,Dahod,Maize,28.8,3800.0,4500.0,4200.0,2014,6
2075,2014-07-01,459976,Gujarat,Dahod,Maize,30.3,3800.0,4500.0,4300.0,2014,7
2084,2014-08-01,460239,Gujarat,Dahod,Maize,17.4,3800.0,4500.0,4200.0,2014,8
2101,2014-09-01,460527,Gujarat,Dahod,Maize,8.1,3800.0,4500.0,4300.0,2014,9
2120,2014-10-01,460806,Gujarat,Dahod,Maize,35.1,3800.0,4500.0,3950.0,2014,10
2143,2014-11-01,468130,Gujarat,Dahod,Maize,16.5,3800.0,4500.0,4450.0,2014,11
2166,2014-12-01,475199,Gujarat,Dahod,Maize,20.0,3800.0,4500.0,4250.0,2014,12
2184,2015-01-01,545541,Gujarat,Dahod,Maize,19.3,3600.0,4200.0,4000.0,2015,1
2204,2015-02-01,545818,Gujarat,Dahod,Maize,6.0,3600.0,4200.0,4000.0,2015,2
2224,2015-03-01,546093,Gujarat,Dahod,Maize,28.5,3600.0,4400.0,4100.0,2015,3
2245,2015-04-01,554484,Gujarat,Dahod,Maize,16.0,3600.0,4300.0,4225.0,2015,4
2265,2015-05-01,546490,Gujarat,Dahod,Maize,60.3,3600.0,4200.0,4100.0,2015,5
2285,2015-06-01,546788,Gujarat,Dahod,Maize,54.8,3600.0,4400.0,4100.0,2015,6
2308,2015-07-01,547099,Gujarat,Dahod,Maize,2.5,3600.0,4200.0,4100.0,2015,7
2329,2015-08-01,547391,Gujarat,Dahod,Maize,37.8,3600.0,4200.0,3900.0,2015,8
2351,2015-09-01,547704,Gujarat,Dahod,Maize,7.3,3600.0,4200.0,4100.0,2015,9
2373,2015-10-01,547997,Gujarat,Dahod,Maize,29.8,3600.0,4200.0,4100.0,2015,10
2397,2015-11-01,556426,Gujarat,Dahod,Maize,16.1,3600.0,4300.0,4250.0,2015,11
2417,2015-12-01,548382,Gujarat,Dahod,Maize,79.1,3600.0,4200.0,4000.0,2015,12
