,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,1
1,2008-02-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,2
2,2008-03-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,3
3,2008-04-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,4
4,2008-05-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,5
5,2008-06-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,6
6,2008-07-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,7
7,2008-08-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,8
8,2008-09-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,9
9,2008-10-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,10
10,2008-11-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,11
11,2008-12-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2008,12
12,2009-01-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2009,1
13,2009-02-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2009,2
14,2009-03-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2009,3
15,2009-04-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2009,4
16,2009-05-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2009,5
17,2009-06-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2009,6
18,2009-07-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2009,7
19,2009-08-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2009,8
20,2009-09-01,113202.0,Gujarat,Navsari,Maize,1.9,1200.0,3100.0,2875.0,2009,9
21,2009-10-01,113413.0,Gujarat,Navsari,Maize,1.2,1200.0,3150.0,2875.0,2009,10
22,2009-11-01,113608.0,Gujarat,Navsari,Maize,2.2,1500.0,3500.0,2960.0,2009,11
23,2009-12-01,114041.0,Gujarat,Navsari,Maize,1.9,1100.0,3000.0,2850.0,2009,12
34,2010-01-01,117715.0,Gujarat,Navsari,Maize,3.0,1200.0,2350.0,2242.816890428117,2010,1
39,2010-02-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,2
40,2010-03-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,3
41,2010-04-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,4
42,2010-05-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,5
43,2010-06-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,6
44,2010-07-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,7
45,2010-08-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,8
46,2010-09-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,9
47,2010-10-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,10
48,2010-11-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,11
49,2010-12-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2010,12
50,2011-01-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,1
51,2011-02-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,2
52,2011-03-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,3
53,2011-04-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,4
54,2011-05-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,5
55,2011-06-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,6
56,2011-07-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,7
57,2011-08-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,8
58,2011-09-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,9
59,2011-10-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,10
60,2011-11-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,11
61,2011-12-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2011,12
62,2012-01-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,1
63,2012-02-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,2
64,2012-03-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,3
65,2012-04-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,4
66,2012-05-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,5
67,2012-06-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,6
68,2012-07-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,7
69,2012-08-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,8
70,2012-09-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,9
71,2012-10-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,10
72,2012-11-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,11
73,2012-12-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2012,12
74,2013-01-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2013,1
75,2013-02-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2013,2
76,2013-03-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2013,3
77,2013-04-01,,Gujarat,Navsari,Maize,2.04,1240.0,3020.0,2760.5633780856233,2013,4
