,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,1
1,2008-02-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,2
2,2008-03-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,3
3,2008-04-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,4
4,2008-05-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,5
5,2008-06-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,6
6,2008-07-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,7
7,2008-08-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,8
8,2008-09-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,9
9,2008-10-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,10
10,2008-11-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,11
11,2008-12-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2008,12
12,2009-01-01,106024.0,Haryana,Hissar,Maize,181.5,980.0,980.0,0.0,2009,1
13,2009-02-01,106128.0,Haryana,Hissar,Maize,152.5,1010.0,1711.0,0.0,2009,2
16,2009-03-01,106305.0,Haryana,Hissar,Maize,554.0,1005.0,1750.0,0.0,2009,3
18,2009-04-01,106519.0,Haryana,Hissar,Maize,110.5,980.0,1611.0,0.0,2009,4
20,2009-05-01,106734.0,Haryana,Hissar,Maize,354.5,985.0,1760.0,0.0,2009,5
22,2009-06-01,106934.0,Haryana,Hissar,Maize,162.1,985.0,1821.0,0.0,2009,6
24,2009-07-01,107171.0,Haryana,Hissar,Maize,250.1,985.0,1784.0,0.0,2009,7
26,2009-08-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2009,8
27,2009-09-01,107441.0,Haryana,Hissar,Maize,219.5,1013.0,1775.0,0.0,2009,9
29,2009-10-01,103632.0,Haryana,Hissar,Maize,785.6,1001.0,1815.0,0.0,2009,10
52,2009-11-01,107855.0,Haryana,Hissar,Maize,96.5,1015.0,1758.0,0.0,2009,11
54,2009-12-01,108082.0,Haryana,Hissar,Maize,165.5,1085.0,1800.0,0.0,2009,12
56,2010-01-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,1
57,2010-02-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,2
58,2010-03-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,3
59,2010-04-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,4
60,2010-05-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,5
61,2010-06-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,6
62,2010-07-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,7
63,2010-08-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,8
64,2010-09-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,9
65,2010-10-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,10
66,2010-11-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,11
67,2010-12-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2010,12
68,2011-01-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2011,1
69,2011-02-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2011,2
70,2011-03-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2011,3
71,2011-04-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2011,4
72,2011-05-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2011,5
73,2011-06-01,,Haryana,Hissar,Maize,275.66363636363633,1004.0,1687.7272727272727,0.0,2011,6
