,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1838.0,Jharkhand,Dhanbad,Maize,51.2,1200.0,1600.0,1600.0,2008,1
16,2008-02-01,158.0,Jharkhand,Dhanbad,Maize,171.8,1100.0,1500.0,1500.0,2008,2
30,2008-03-01,5138.0,Jharkhand,Dhanbad,Maize,65.6,1200.0,1600.0,1600.0,2008,3
42,2008-04-01,450.0,Jharkhand,Dhanbad,Maize,60.0,1100.0,1500.0,1500.0,2008,4
57,2008-05-01,616.0,Jharkhand,Dhanbad,Maize,55.9,1100.0,1500.0,1500.0,2008,5
60,2008-06-01,746.0,Jharkhand,Dhanbad,Maize,57.0,1100.0,1500.0,1500.0,2008,6
63,2008-07-01,835.0,Jharkhand,Dhanbad,Maize,39.6,1100.0,1500.0,1500.0,2008,7
66,2008-08-01,15886.0,Jharkhand,Dhanbad,Maize,32.5,1400.0,1800.0,1800.0,2008,8
67,2008-09-01,6219.0,Jharkhand,Dhanbad,Maize,47.2,1200.0,1600.0,1600.0,2008,9
69,2008-10-01,6335.0,Jharkhand,Dhanbad,Maize,29.0,1200.0,1600.0,1600.0,2008,10
71,2008-11-01,1536.0,Jharkhand,Dhanbad,Maize,43.5,1200.0,1600.0,1600.0,2008,11
74,2008-12-01,1724.0,Jharkhand,Dhanbad,Maize,39.2,1200.0,1600.0,1600.0,2008,12
78,2009-01-01,59816.0,Jharkhand,Dhanbad,Maize,16.0,1250.0,1600.0,1600.0,2009,1
97,2009-02-01,64812.0,Jharkhand,Dhanbad,Maize,41.5,1300.0,1700.0,1700.0,2009,2
116,2009-03-01,63062.0,Jharkhand,Dhanbad,Maize,40.0,1350.0,1750.0,1550.0,2009,3
135,2009-04-01,63228.0,Jharkhand,Dhanbad,Maize,10.0,1325.0,1750.0,1600.0,2009,4
148,2009-05-01,58641.0,Jharkhand,Dhanbad,Maize,22.0,1300.0,1600.0,1600.0,2009,5
168,2009-06-01,58773.0,Jharkhand,Dhanbad,Maize,37.1,1300.0,1600.0,1600.0,2009,6
190,2009-07-01,68427.0,Jharkhand,Dhanbad,Maize,82.4,1360.0,1850.0,1650.0,2009,7
211,2009-08-01,63972.0,Jharkhand,Dhanbad,Maize,71.4,1300.0,1600.0,1600.0,2009,8
232,2009-09-01,59208.0,Jharkhand,Dhanbad,Maize,66.3,1300.0,1600.0,1600.0,2009,9
253,2009-10-01,59382.0,Jharkhand,Dhanbad,Maize,25.7,1300.0,1600.0,1600.0,2009,10
272,2009-11-01,59515.0,Jharkhand,Dhanbad,Maize,72.2,1300.0,1600.0,1600.0,2009,11
294,2009-12-01,59621.0,Jharkhand,Dhanbad,Maize,7.2,1300.0,1600.0,1600.0,2009,12
319,2010-01-01,117450.0,Jharkhand,Dhanbad,Maize,90.0,1450.0,1850.0,2242.816890428117,2010,1
338,2010-02-01,123197.0,Jharkhand,Dhanbad,Maize,51.0,1600.0,1800.0,2242.816890428117,2010,2
355,2010-03-01,129789.0,Jharkhand,Dhanbad,Maize,57.2,1620.0,1825.0,2242.816890428117,2010,3
374,2010-04-01,136781.0,Jharkhand,Dhanbad,Maize,64.5,1600.0,1800.0,2242.816890428117,2010,4
393,2010-05-01,143257.0,Jharkhand,Dhanbad,Maize,16.7,1600.0,2000.0,2242.816890428117,2010,5
412,2010-06-01,149818.0,Jharkhand,Dhanbad,Maize,62.6,1700.0,2000.0,2242.816890428117,2010,6
434,2010-07-01,156833.0,Jharkhand,Dhanbad,Maize,101.4,1900.0,2200.0,2242.816890428117,2010,7
457,2010-08-01,163122.0,Jharkhand,Dhanbad,Maize,25.5,2000.0,2400.0,2242.816890428117,2010,8
480,2010-09-01,169866.0,Jharkhand,Dhanbad,Maize,37.0,2000.0,2400.0,2242.816890428117,2010,9
497,2010-10-01,176753.0,Jharkhand,Dhanbad,Maize,13.0,2000.0,2500.0,2242.816890428117,2010,10
516,2010-11-01,183475.0,Jharkhand,Dhanbad,Maize,89.2,2000.0,2400.0,2242.816890428117,2010,11
534,2010-12-01,189698.0,Jharkhand,Dhanbad,Maize,46.0,2000.0,2300.0,2242.816890428117,2010,12
554,2011-01-01,196495.0,Jharkhand,Dhanbad,Maize,10.0,1800.0,2500.0,2000.0,2011,1
564,2011-02-01,196735.0,Jharkhand,Dhanbad,Maize,10.0,1800.0,2500.0,2000.0,2011,2
570,2011-03-01,196894.0,Jharkhand,Dhanbad,Maize,40.0,1800.0,2500.0,2000.0,2011,3
578,2011-04-01,197159.0,Jharkhand,Dhanbad,Maize,248.0,1800.0,2500.0,2000.0,2011,4
