,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,27.0,Jharkhand,Gumla,Maize,4.0,800.0,1200.0,1000.0,2008,1
15,2008-02-01,14909.0,Jharkhand,Gumla,Maize,4.0,1400.0,1800.0,1600.0,2008,2
16,2008-03-01,53945.0,Jharkhand,Gumla,Maize,1.0,1600.0,1700.0,1650.0,2008,3
17,2008-04-01,15258.0,Jharkhand,Gumla,Maize,4.0,900.0,1300.0,1050.0,2008,4
18,2008-05-01,621.0,Jharkhand,Gumla,Maize,2.0,800.0,1200.0,1000.0,2008,5
20,2008-06-01,27311.0,Jharkhand,Gumla,Maize,2.0,1500.0,1900.0,1700.0,2008,6
25,2008-07-01,25956.0,Jharkhand,Gumla,Maize,2.0,1500.0,1700.0,1600.0,2008,7
29,2008-08-01,37268.0,Jharkhand,Gumla,Maize,3.0,1200.0,1400.0,1300.0,2008,8
33,2008-09-01,54934.0,Jharkhand,Gumla,Maize,1.0,1600.0,1700.0,1650.0,2008,9
34,2008-10-01,26425.0,Jharkhand,Gumla,Maize,2.0,1500.0,1700.0,1600.0,2008,10
35,2008-11-01,1544.0,Jharkhand,Gumla,Maize,3.0,800.0,1300.0,1050.0,2008,11
41,2008-12-01,26807.0,Jharkhand,Gumla,Maize,2.0,1500.0,1900.0,1700.0,2008,12
46,2009-01-01,58042.0,Jharkhand,Gumla,Maize,1.0,1540.0,1650.0,1605.0,2009,1
56,2009-02-01,62882.0,Jharkhand,Gumla,Maize,1.0,1500.0,1600.0,1500.0,2009,2
60,2009-03-01,69509.0,Jharkhand,Gumla,Maize,1.0,1500.0,1600.0,1550.0,2009,3
65,2009-04-01,67886.0,Jharkhand,Gumla,Maize,1.0,1400.0,1500.0,1450.0,2009,4
74,2009-05-01,63424.0,Jharkhand,Gumla,Maize,1.0,1400.0,1500.0,1450.0,2009,5
83,2009-06-01,68249.0,Jharkhand,Gumla,Maize,1.0,1350.0,1500.0,1400.0,2009,6
93,2009-07-01,68433.0,Jharkhand,Gumla,Maize,1.0,1500.0,1600.0,1550.0,2009,7
104,2009-08-01,,Jharkhand,Gumla,Maize,47.30434782608695,1910.2717391304348,2243.478260869565,2123.4366185247954,2009,8
105,2009-09-01,82290.0,Jharkhand,Gumla,Maize,1.0,1450.0,1800.0,1620.0,2009,9
108,2009-10-01,59386.0,Jharkhand,Gumla,Maize,1.0,1400.0,1500.0,1450.0,2009,10
113,2009-11-01,73829.0,Jharkhand,Gumla,Maize,1.0,1600.0,1800.0,1750.0,2009,11
116,2009-12-01,68936.0,Jharkhand,Gumla,Maize,1.0,1500.0,1600.0,1550.0,2009,12
123,2010-01-01,117458.0,Jharkhand,Gumla,Maize,5.0,1700.0,1750.0,2242.816890428117,2010,1
137,2010-02-01,123467.0,Jharkhand,Gumla,Maize,5.0,1700.0,1800.0,2242.816890428117,2010,2
148,2010-03-01,130064.0,Jharkhand,Gumla,Maize,20.0,1700.0,1800.0,2242.816890428117,2010,3
160,2010-04-01,136958.0,Jharkhand,Gumla,Maize,30.0,1800.0,1900.0,2242.816890428117,2010,4
169,2010-05-01,143089.0,Jharkhand,Gumla,Maize,20.0,1800.0,1900.0,2242.816890428117,2010,5
176,2010-06-01,149827.0,Jharkhand,Gumla,Maize,20.0,1800.0,2000.0,2242.816890428117,2010,6
181,2010-07-01,,Jharkhand,Gumla,Maize,47.30434782608695,1910.2717391304348,2243.478260869565,2123.4366185247954,2010,7
182,2010-08-01,,Jharkhand,Gumla,Maize,47.30434782608695,1910.2717391304348,2243.478260869565,2123.4366185247954,2010,8
183,2010-09-01,170751.0,Jharkhand,Gumla,Maize,20.0,1800.0,2000.0,2242.816890428117,2010,9
190,2010-10-01,177012.0,Jharkhand,Gumla,Maize,4.0,2000.0,2200.0,2242.816890428117,2010,10
195,2010-11-01,183485.0,Jharkhand,Gumla,Maize,20.0,1800.0,2000.0,2242.816890428117,2010,11
200,2010-12-01,189705.0,Jharkhand,Gumla,Maize,10.0,1800.0,2200.0,2242.816890428117,2010,12
202,2011-01-01,201569.0,Jharkhand,Gumla,Maize,100.0,1800.0,2200.0,2000.0,2011,1
203,2011-02-01,207348.0,Jharkhand,Gumla,Maize,200.0,1700.0,2000.0,1900.0,2011,2
209,2011-03-01,215340.0,Jharkhand,Gumla,Maize,200.0,2200.0,2400.0,2300.0,2011,3
214,2011-04-01,197169.0,Jharkhand,Gumla,Maize,20.0,1750.0,2250.0,2000.0,2011,4
219,2011-05-01,204847.0,Jharkhand,Gumla,Maize,400.0,1800.0,2200.0,2000.0,2011,5
226,2011-06-01,236349.0,Jharkhand,Gumla,Maize,100.0,2000.0,2400.0,2200.0,2011,6
230,2011-07-01,234488.0,Jharkhand,Gumla,Maize,300.0,2000.0,2400.0,2200.0,2011,7
235,2011-08-01,205533.0,Jharkhand,Gumla,Maize,300.0,1800.0,2200.0,2000.0,2011,8
240,2011-09-01,198434.0,Jharkhand,Gumla,Maize,150.0,1800.0,2200.0,2000.0,2011,9
247,2011-10-01,227512.0,Jharkhand,Gumla,Maize,200.0,2000.0,2400.0,2200.0,2011,10
252,2011-11-01,265457.0,Jharkhand,Gumla,Maize,200.0,2000.0,2400.0,2200.0,2011,11
255,2011-12-01,199100.0,Jharkhand,Gumla,Maize,100.0,1800.0,2200.0,2000.0,2011,12
259,2012-01-01,288073.0,Jharkhand,Gumla,Maize,200.0,1800.0,2200.0,2000.0,2012,1
263,2012-02-01,295965.0,Jharkhand,Gumla,Maize,40.0,1800.0,2000.0,2000.0,2012,2
267,2012-03-01,285536.0,Jharkhand,Gumla,Maize,200.0,1900.0,2100.0,2000.0,2012,3
273,2012-04-01,292777.0,Jharkhand,Gumla,Maize,200.0,2000.0,2200.0,2100.0,2012,4
278,2012-05-01,317971.0,Jharkhand,Gumla,Maize,100.0,1750.0,2150.0,1850.0,2012,5
280,2012-06-01,324968.0,Jharkhand,Gumla,Maize,20.0,2100.0,2400.0,2250.0,2012,6
283,2012-07-01,293365.0,Jharkhand,Gumla,Maize,50.0,1800.0,2200.0,2000.0,2012,7
289,2012-08-01,339862.0,Jharkhand,Gumla,Maize,110.0,2200.0,2500.0,2350.0,2012,8
292,2012-09-01,323172.0,Jharkhand,Gumla,Maize,30.0,1600.0,2400.0,2000.0,2012,9
296,2012-10-01,287037.0,Jharkhand,Gumla,Maize,60.0,1800.0,2200.0,2000.0,2012,10
302,2012-11-01,347064.0,Jharkhand,Gumla,Maize,70.0,2200.0,2600.0,2400.0,2012,11
306,2012-12-01,316185.0,Jharkhand,Gumla,Maize,80.0,1750.0,2150.0,1850.0,2012,12
309,2013-01-01,374519.0,Jharkhand,Gumla,Maize,25.0,2200.0,2400.0,2300.0,2013,1
312,2013-02-01,386592.0,Jharkhand,Gumla,Maize,25.0,2000.0,2400.0,2200.0,2013,2
316,2013-03-01,393485.0,Jharkhand,Gumla,Maize,30.0,2000.0,2400.0,2200.0,2013,3
320,2013-04-01,399592.0,Jharkhand,Gumla,Maize,20.0,1600.0,2400.0,2000.0,2013,4
323,2013-05-01,383087.0,Jharkhand,Gumla,Maize,30.0,2000.0,2400.0,2200.0,2013,5
330,2013-06-01,414413.0,Jharkhand,Gumla,Maize,15.0,2400.0,2700.0,2500.0,2013,6
332,2013-07-01,404427.0,Jharkhand,Gumla,Maize,10.0,2200.0,2400.0,2300.0,2013,7
335,2013-08-01,429871.0,Jharkhand,Gumla,Maize,15.0,2300.0,2600.0,2500.0,2013,8
337,2013-09-01,398064.0,Jharkhand,Gumla,Maize,15.0,1600.0,2400.0,2000.0,2013,9
340,2013-10-01,428380.0,Jharkhand,Gumla,Maize,15.0,2200.0,2500.0,2400.0,2013,10
343,2013-11-01,412503.0,Jharkhand,Gumla,Maize,10.0,2000.0,2800.0,2500.0,2013,11
345,2013-12-01,377497.0,Jharkhand,Gumla,Maize,30.0,1800.0,2200.0,2000.0,2013,12
352,2014-01-01,502130.0,Jharkhand,Gumla,Maize,25.0,2400.0,2600.0,2500.0,2014,1
354,2014-02-01,510211.0,Jharkhand,Gumla,Maize,25.0,2400.0,3000.0,2800.0,2014,2
358,2014-03-01,487383.0,Jharkhand,Gumla,Maize,10.0,2400.0,2600.0,2500.0,2014,3
360,2014-04-01,459257.0,Jharkhand,Gumla,Maize,23.0,2200.0,2800.0,2700.0,2014,4
363,2014-05-01,491490.0,Jharkhand,Gumla,Maize,25.0,2500.0,2800.0,2700.0,2014,5
365,2014-06-01,497979.0,Jharkhand,Gumla,Maize,30.0,2300.0,2500.0,2400.0,2014,6
370,2014-07-01,506829.0,Jharkhand,Gumla,Maize,25.0,2500.0,3000.0,2700.0,2014,7
373,2014-08-01,503953.0,Jharkhand,Gumla,Maize,30.0,2600.0,3500.0,3000.0,2014,8
378,2014-09-01,512012.0,Jharkhand,Gumla,Maize,25.0,2400.0,3000.0,2800.0,2014,9
388,2014-10-01,489144.0,Jharkhand,Gumla,Maize,15.0,2400.0,2600.0,2500.0,2014,10
397,2014-11-01,461056.0,Jharkhand,Gumla,Maize,26.0,2300.0,2900.0,2800.0,2014,11
409,2014-12-01,540775.0,Jharkhand,Gumla,Maize,18.0,2700.0,3300.0,3000.0,2014,12
416,2015-01-01,548704.0,Jharkhand,Gumla,Maize,20.0,2800.0,3200.0,3000.0,2015,1
424,2015-02-01,545829.0,Jharkhand,Gumla,Maize,16.0,2200.0,2600.0,2400.0,2015,2
431,2015-03-01,554215.0,Jharkhand,Gumla,Maize,21.0,2630.0,2950.0,2790.0,2015,3
442,2015-04-01,572493.0,Jharkhand,Gumla,Maize,24.0,2525.0,2900.0,2713.0,2015,4
