,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2221.0,Jharkhand,Hazaribagh,Maize,18.0,1200.0,1350.0,1250.0,2008,1
15,2008-02-01,162.0,Jharkhand,Hazaribagh,Maize,18.0,1250.0,1450.0,1350.0,2008,2
32,2008-03-01,312.0,Jharkhand,Hazaribagh,Maize,20.0,1100.0,1350.0,1200.0,2008,3
49,2008-04-01,459.0,Jharkhand,Hazaribagh,Maize,18.0,1250.0,1420.0,1300.0,2008,4
70,2008-05-01,5453.0,Jharkhand,Hazaribagh,Maize,15.0,1200.0,1400.0,1300.0,2008,5
92,2008-06-01,5669.0,Jharkhand,Hazaribagh,Maize,18.0,1200.0,1400.0,1300.0,2008,6
110,2008-07-01,842.0,Jharkhand,Hazaribagh,Maize,17.0,1150.0,1400.0,1300.0,2008,7
116,2008-08-01,1019.0,Jharkhand,Hazaribagh,Maize,17.0,1250.0,1450.0,1350.0,2008,8
122,2008-09-01,1201.0,Jharkhand,Hazaribagh,Maize,18.0,1150.0,1400.0,1350.0,2008,9
136,2008-10-01,11122.0,Jharkhand,Hazaribagh,Maize,16.0,1200.0,1400.0,1300.0,2008,10
146,2008-11-01,6422.0,Jharkhand,Hazaribagh,Maize,20.0,1200.0,1400.0,1300.0,2008,11
155,2008-12-01,6616.0,Jharkhand,Hazaribagh,Maize,20.0,1200.0,1400.0,1300.0,2008,12
168,2009-01-01,72199.0,Jharkhand,Hazaribagh,Maize,15.0,1200.0,1600.0,1400.0,2009,1
178,2009-02-01,58215.0,Jharkhand,Hazaribagh,Maize,14.0,1200.0,1600.0,1400.0,2009,2
185,2009-03-01,69510.0,Jharkhand,Hazaribagh,Maize,15.0,1200.0,1600.0,1400.0,2009,3
201,2009-04-01,72746.0,Jharkhand,Hazaribagh,Maize,12.0,1200.0,1600.0,1400.0,2009,4
219,2009-05-01,58650.0,Jharkhand,Hazaribagh,Maize,15.0,1200.0,1600.0,1400.0,2009,5
240,2009-06-01,58782.0,Jharkhand,Hazaribagh,Maize,14.0,1200.0,1600.0,1400.0,2009,6
260,2009-07-01,73192.0,Jharkhand,Hazaribagh,Maize,16.0,1300.0,1600.0,1450.0,2009,7
273,2009-08-01,73324.0,Jharkhand,Hazaribagh,Maize,16.0,1300.0,1600.0,1500.0,2009,8
290,2009-09-01,59217.0,Jharkhand,Hazaribagh,Maize,1200.0,1200.0,1600.0,1400.0,2009,9
306,2009-10-01,59387.0,Jharkhand,Hazaribagh,Maize,14.0,1200.0,1600.0,1400.0,2009,10
329,2009-11-01,73830.0,Jharkhand,Hazaribagh,Maize,18.0,1300.0,1600.0,1450.0,2009,11
356,2009-12-01,59627.0,Jharkhand,Hazaribagh,Maize,10.0,1200.0,1600.0,1400.0,2009,12
387,2010-01-01,117223.0,Jharkhand,Hazaribagh,Maize,18.0,1700.0,1800.0,2242.816890428117,2010,1
428,2010-02-01,123209.0,Jharkhand,Hazaribagh,Maize,15.0,1550.0,1600.0,2242.816890428117,2010,2
459,2010-03-01,129458.0,Jharkhand,Hazaribagh,Maize,12.0,1500.0,1600.0,2242.816890428117,2010,3
504,2010-04-01,136566.0,Jharkhand,Hazaribagh,Maize,15.0,1600.0,1700.0,2242.816890428117,2010,4
539,2010-05-01,143090.0,Jharkhand,Hazaribagh,Maize,13.0,1800.0,2000.0,2242.816890428117,2010,5
577,2010-06-01,149828.0,Jharkhand,Hazaribagh,Maize,15.0,1700.0,1950.0,2242.816890428117,2010,6
