,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,28,Jharkhand,Koderma,Maize,18.0,1350.0,1500.0,1450.0,2008,1
23,2008-02-01,4976,Jharkhand,Koderma,Maize,20.0,1400.0,1600.0,1500.0,2008,2
50,2008-03-01,11923,Jharkhand,Koderma,Maize,12.0,1400.0,1600.0,1500.0,2008,3
70,2008-04-01,460,Jharkhand,Koderma,Maize,14.0,1400.0,1600.0,1500.0,2008,4
100,2008-05-01,20327,Jharkhand,Koderma,Maize,3.0,1500.0,1700.0,1600.0,2008,5
107,2008-06-01,748,Jharkhand,Koderma,Maize,17.0,1400.0,1500.0,1450.0,2008,6
120,2008-07-01,10680,Jharkhand,Koderma,Maize,22.0,1400.0,1600.0,1500.0,2008,7
134,2008-08-01,1020,Jharkhand,Koderma,Maize,17.0,1400.0,1600.0,1500.0,2008,8
155,2008-09-01,21062,Jharkhand,Koderma,Maize,2.5,1200.0,1400.0,1300.0,2008,9
160,2008-10-01,1378,Jharkhand,Koderma,Maize,10.0,1500.0,1700.0,1600.0,2008,10
175,2008-11-01,6425,Jharkhand,Koderma,Maize,1.0,1300.0,1500.0,1400.0,2008,11
192,2008-12-01,1728,Jharkhand,Koderma,Maize,4.0,1350.0,1500.0,1400.0,2008,12
201,2009-01-01,58045,Jharkhand,Koderma,Maize,5.0,1500.0,1600.0,1550.0,2009,1
243,2009-02-01,58218,Jharkhand,Koderma,Maize,5.0,1500.0,1700.0,1600.0,2009,2
277,2009-03-01,58411,Jharkhand,Koderma,Maize,6.0,1500.0,1700.0,1600.0,2009,3
347,2009-04-01,58547,Jharkhand,Koderma,Maize,3.0,1500.0,1700.0,1600.0,2009,4
374,2009-05-01,58653,Jharkhand,Koderma,Maize,4.0,1600.0,1800.0,1700.0,2009,5
417,2009-06-01,81876,Jharkhand,Koderma,Maize,25.0,1800.0,2000.0,1900.0,2009,6
441,2009-07-01,58921,Jharkhand,Koderma,Maize,3.0,1500.0,1700.0,1600.0,2009,7
476,2009-08-01,59081,Jharkhand,Koderma,Maize,7.0,1500.0,1700.0,1600.0,2009,8
530,2009-09-01,59220,Jharkhand,Koderma,Maize,4.0,1300.0,1500.0,1400.0,2009,9
573,2009-10-01,59390,Jharkhand,Koderma,Maize,5.0,1600.0,1800.0,1700.0,2009,10
603,2009-11-01,59519,Jharkhand,Koderma,Maize,4.5,1500.0,1700.0,1600.0,2009,11
617,2009-12-01,59630,Jharkhand,Koderma,Maize,12.0,1600.0,1800.0,1700.0,2009,12
632,2010-01-01,117226,Jharkhand,Koderma,Maize,6.0,2000.0,2100.0,2242.816890428117,2010,1
681,2010-02-01,123213,Jharkhand,Koderma,Maize,21.0,2100.0,2200.0,2242.816890428117,2010,2
714,2010-03-01,129586,Jharkhand,Koderma,Maize,36.0,2100.0,2200.0,2242.816890428117,2010,3
757,2010-04-01,138567,Jharkhand,Koderma,Maize,15.0,2100.0,2200.0,2242.816890428117,2010,4
805,2010-05-01,143094,Jharkhand,Koderma,Maize,12.0,2300.0,2400.0,2242.816890428117,2010,5
877,2010-06-01,149829,Jharkhand,Koderma,Maize,16.0,2200.0,2300.0,2242.816890428117,2010,6
939,2010-07-01,156592,Jharkhand,Koderma,Maize,18.0,2300.0,2400.0,2242.816890428117,2010,7
1005,2010-08-01,163131,Jharkhand,Koderma,Maize,22.0,2300.0,2400.0,2242.816890428117,2010,8
1062,2010-09-01,169880,Jharkhand,Koderma,Maize,15.0,2100.0,2200.0,2242.816890428117,2010,9
1119,2010-10-01,176763,Jharkhand,Koderma,Maize,25.0,2100.0,2300.0,2242.816890428117,2010,10
1188,2010-11-01,183489,Jharkhand,Koderma,Maize,20.0,2200.0,2300.0,2242.816890428117,2010,11
1268,2010-12-01,189709,Jharkhand,Koderma,Maize,24.0,2100.0,2200.0,2242.816890428117,2010,12
1331,2011-01-01,196501,Jharkhand,Koderma,Maize,18.0,2300.0,2500.0,2400.0,2011,1
1403,2011-02-01,196741,Jharkhand,Koderma,Maize,19.0,2200.0,2400.0,2300.0,2011,2
1457,2011-03-01,196902,Jharkhand,Koderma,Maize,21.0,2300.0,2500.0,2400.0,2011,3
1516,2011-04-01,197171,Jharkhand,Koderma,Maize,18.0,2300.0,2500.0,2400.0,2011,4
1572,2011-05-01,197440,Jharkhand,Koderma,Maize,25.0,2300.0,2500.0,2400.0,2011,5
1620,2011-06-01,197698,Jharkhand,Koderma,Maize,23.0,2300.0,2500.0,2400.0,2011,6
1680,2011-07-01,197976,Jharkhand,Koderma,Maize,16.0,2300.0,2500.0,2400.0,2011,7
1746,2011-08-01,198250,Jharkhand,Koderma,Maize,24.0,2200.0,2500.0,2400.0,2011,8
1810,2011-09-01,198438,Jharkhand,Koderma,Maize,24.0,2300.0,2500.0,2400.0,2011,9
1867,2011-10-01,198597,Jharkhand,Koderma,Maize,21.0,2300.0,2500.0,2400.0,2011,10
1927,2011-11-01,198853,Jharkhand,Koderma,Maize,21.0,2300.0,2500.0,2400.0,2011,11
1977,2011-12-01,199102,Jharkhand,Koderma,Maize,23.0,2300.0,2500.0,2400.0,2011,12
2031,2012-01-01,285160,Jharkhand,Koderma,Maize,24.0,2100.0,2300.0,2200.0,2012,1
2080,2012-02-01,285292,Jharkhand,Koderma,Maize,37.0,2100.0,2300.0,2200.0,2012,2
2140,2012-03-01,292543,Jharkhand,Koderma,Maize,31.0,2200.0,2400.0,2300.0,2012,3
2184,2012-04-01,285756,Jharkhand,Koderma,Maize,29.0,2200.0,2400.0,2300.0,2012,4
2232,2012-05-01,285961,Jharkhand,Koderma,Maize,27.0,2200.0,2400.0,2300.0,2012,5
2286,2012-06-01,286173,Jharkhand,Koderma,Maize,37.0,2200.0,2400.0,2300.0,2012,6
2353,2012-07-01,286413,Jharkhand,Koderma,Maize,27.0,2100.0,2300.0,2200.0,2012,7
2410,2012-08-01,286624,Jharkhand,Koderma,Maize,29.0,2100.0,2300.0,2200.0,2012,8
2467,2012-09-01,286768,Jharkhand,Koderma,Maize,31.0,2200.0,2400.0,2300.0,2012,9
2524,2012-10-01,287038,Jharkhand,Koderma,Maize,36.0,2200.0,2400.0,2300.0,2012,10
2587,2012-11-01,287310,Jharkhand,Koderma,Maize,21.0,2200.0,2400.0,2300.0,2012,11
2616,2012-12-01,287580,Jharkhand,Koderma,Maize,25.0,2200.0,2400.0,2300.0,2012,12
2678,2013-01-01,374524,Jharkhand,Koderma,Maize,38.0,2300.0,2500.0,2400.0,2013,1
2733,2013-02-01,374819,Jharkhand,Koderma,Maize,42.0,2300.0,2500.0,2400.0,2013,2
2801,2013-03-01,375102,Jharkhand,Koderma,Maize,39.0,2300.0,2500.0,2400.0,2013,3
2865,2013-04-01,375387,Jharkhand,Koderma,Maize,36.0,2300.0,2500.0,2400.0,2013,4
2935,2013-05-01,375669,Jharkhand,Koderma,Maize,38.0,2300.0,2500.0,2400.0,2013,5
3006,2013-06-01,375905,Jharkhand,Koderma,Maize,39.0,2300.0,2500.0,2400.0,2013,6
3079,2013-07-01,376071,Jharkhand,Koderma,Maize,34.0,2300.0,2500.0,2400.0,2013,7
3159,2013-08-01,376362,Jharkhand,Koderma,Maize,41.0,2300.0,2500.0,2400.0,2013,8
3246,2013-09-01,376644,Jharkhand,Koderma,Maize,32.0,2300.0,2500.0,2400.0,2013,9
3330,2013-10-01,376933,Jharkhand,Koderma,Maize,34.0,2300.0,2500.0,2400.0,2013,10
3416,2013-11-01,377231,Jharkhand,Koderma,Maize,36.0,2300.0,2500.0,2400.0,2013,11
3492,2013-12-01,377504,Jharkhand,Koderma,Maize,36.0,2300.0,2500.0,2400.0,2013,12
3567,2014-01-01,458516,Jharkhand,Koderma,Maize,45.0,2800.0,3000.0,2900.0,2014,1
3629,2014-02-01,458737,Jharkhand,Koderma,Maize,46.0,2800.0,3000.0,2900.0,2014,2
3704,2014-03-01,458976,Jharkhand,Koderma,Maize,43.0,2800.0,3000.0,2900.0,2014,3
3747,2014-04-01,459263,Jharkhand,Koderma,Maize,56.0,2800.0,3000.0,2900.0,2014,4
3798,2014-05-01,459527,Jharkhand,Koderma,Maize,47.0,2800.0,3000.0,2900.0,2014,5
3864,2014-06-01,459687,Jharkhand,Koderma,Maize,47.0,2800.0,3000.0,2900.0,2014,6
3943,2014-07-01,459992,Jharkhand,Koderma,Maize,42.0,2800.0,3000.0,2900.0,2014,7
4021,2014-08-01,460258,Jharkhand,Koderma,Maize,49.0,2800.0,3000.0,2900.0,2014,8
4097,2014-09-01,460544,Jharkhand,Koderma,Maize,42.0,2800.0,3000.0,2900.0,2014,9
4173,2014-10-01,460825,Jharkhand,Koderma,Maize,39.0,2800.0,3000.0,2900.0,2014,10
4238,2014-11-01,461062,Jharkhand,Koderma,Maize,46.0,2800.0,3000.0,2900.0,2014,11
4317,2014-12-01,461252,Jharkhand,Koderma,Maize,36.0,2800.0,3000.0,2900.0,2014,12
4387,2015-01-01,548706,Jharkhand,Koderma,Maize,52.0,3400.0,3600.0,3500.0,2015,1
4465,2015-02-01,545835,Jharkhand,Koderma,Maize,47.0,3400.0,3600.0,3500.0,2015,2
4536,2015-03-01,554217,Jharkhand,Koderma,Maize,39.0,3300.0,3500.0,3400.0,2015,3
4620,2015-04-01,546326,Jharkhand,Koderma,Maize,43.0,3400.0,3600.0,3500.0,2015,4
4671,2015-05-01,546503,Jharkhand,Koderma,Maize,46.0,3300.0,3500.0,3400.0,2015,5
4734,2015-06-01,546806,Jharkhand,Koderma,Maize,47.0,3300.0,3500.0,3400.0,2015,6
4794,2015-07-01,547119,Jharkhand,Koderma,Maize,48.0,3300.0,3500.0,3400.0,2015,7
4854,2015-08-01,547409,Jharkhand,Koderma,Maize,41.0,3300.0,3500.0,3400.0,2015,8
4914,2015-09-01,547722,Jharkhand,Koderma,Maize,48.0,3400.0,3600.0,3500.0,2015,9
4983,2015-10-01,548015,Jharkhand,Koderma,Maize,49.0,3300.0,3600.0,3500.0,2015,10
5034,2015-11-01,548230,Jharkhand,Koderma,Maize,48.0,3400.0,3600.0,3500.0,2015,11
5073,2015-12-01,548402,Jharkhand,Koderma,Maize,47.0,3300.0,3500.0,3400.0,2015,12
5130,2016-01-01,635936,Jharkhand,Koderma,Maize,37.0,3400.0,3600.0,3500.0,2016,1
5175,2016-02-01,646166,Jharkhand,Koderma,Maize,31.0,3400.0,3600.0,3500.0,2016,2
5208,2016-03-01,636406,Jharkhand,Koderma,Maize,36.0,3400.0,3600.0,3500.0,2016,3
5235,2016-04-01,636568,Jharkhand,Koderma,Maize,39.0,3300.0,3500.0,3400.0,2016,4
5268,2016-05-01,662771,Jharkhand,Koderma,Maize,29.0,3300.0,3500.0,3400.0,2016,5
5310,2016-06-01,637069,Jharkhand,Koderma,Maize,49.0,3400.0,3600.0,3500.0,2016,6
5340,2016-07-01,663282,Jharkhand,Koderma,Maize,36.0,3300.0,3500.0,3400.0,2016,7
5391,2016-08-01,637530,Jharkhand,Koderma,Maize,42.0,3400.0,3600.0,3500.0,2016,8
5453,2016-09-01,637795,Jharkhand,Koderma,Maize,37.0,3400.0,3600.0,3500.0,2016,9
5514,2016-10-01,637979,Jharkhand,Koderma,Maize,49.0,3300.0,3600.0,3500.0,2016,10
5595,2016-11-01,638147,Jharkhand,Koderma,Maize,43.0,3300.0,3500.0,3400.0,2016,11
5655,2016-12-01,645337,Jharkhand,Koderma,Maize,49.0,3400.0,3600.0,3500.0,2016,12
5689,2017-01-01,716774,Jharkhand,Koderma,Maize,27.0,3400.0,3600.0,3500.0,2017,1
5729,2017-02-01,716907,Jharkhand,Koderma,Maize,34.0,3500.0,3700.0,3600.0,2017,2
5762,2017-03-01,724045,Jharkhand,Koderma,Maize,27.0,3400.0,3600.0,3500.0,2017,3
5801,2017-04-01,717373,Jharkhand,Koderma,Maize,36.0,3500.0,3700.0,3600.0,2017,4
5822,2017-05-01,737633,Jharkhand,Koderma,Maize,32.0,3400.0,3600.0,3500.0,2017,5
5841,2017-06-01,717872,Jharkhand,Koderma,Maize,30.0,3500.0,3700.0,3600.0,2017,6
5859,2017-07-01,718130,Jharkhand,Koderma,Maize,34.0,3500.0,3700.0,3600.0,2017,7
5868,2017-08-01,725216,Jharkhand,Koderma,Maize,31.0,3400.0,3600.0,3500.0,2017,8
5883,2017-09-01,718503,Jharkhand,Koderma,Maize,32.0,3400.0,3600.0,3500.0,2017,9
5892,2017-10-01,725712,Jharkhand,Koderma,Maize,27.0,3400.0,3600.0,3500.0,2017,10
5898,2017-11-01,732232,Jharkhand,Koderma,Maize,31.0,3400.0,3600.0,3500.0,2017,11
5901,2017-12-01,726132,Jharkhand,Koderma,Maize,36.0,3400.0,3600.0,3500.0,2017,12
