,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1911.0,Jharkhand,Simdega,Maize,25.0,850.0,1000.0,950.0,2008,1
44,2008-02-01,7050.0,Jharkhand,Simdega,Maize,15.0,1225.0,1600.0,1300.0,2008,2
79,2008-03-01,323.0,Jharkhand,Simdega,Maize,100.0,825.0,1000.0,900.0,2008,3
126,2008-04-01,470.0,Jharkhand,Simdega,Maize,20.0,875.0,1000.0,950.0,2008,4
186,2008-05-01,623.0,Jharkhand,Simdega,Maize,20.0,800.0,1000.0,950.0,2008,5
254,2008-06-01,751.0,Jharkhand,Simdega,Maize,20.0,850.0,1000.0,950.0,2008,6
317,2008-07-01,847.0,Jharkhand,Simdega,Maize,25.0,800.0,1000.0,950.0,2008,7
403,2008-08-01,20915.0,Jharkhand,Simdega,Maize,30.0,1100.0,1500.0,1400.0,2008,8
456,2008-09-01,26236.0,Jharkhand,Simdega,Maize,15.0,1100.0,1300.0,1240.0,2008,9
526,2008-10-01,1389.0,Jharkhand,Simdega,Maize,100.0,800.0,1000.0,900.0,2008,10
616,2008-11-01,6432.0,Jharkhand,Simdega,Maize,10.0,1250.0,1600.0,1300.0,2008,11
701,2008-12-01,11535.0,Jharkhand,Simdega,Maize,10.0,1250.0,1500.0,1300.0,2008,12
782,2009-01-01,58058.0,Jharkhand,Simdega,Maize,40.0,1200.0,1400.0,1300.0,2009,1
862,2009-02-01,58232.0,Jharkhand,Simdega,Maize,50.0,1400.0,1600.0,1500.0,2009,2
942,2009-03-01,58424.0,Jharkhand,Simdega,Maize,45.0,1450.0,1600.0,1500.0,2009,3
1030,2009-04-01,58554.0,Jharkhand,Simdega,Maize,40.0,1425.0,1600.0,1500.0,2009,4
1106,2009-05-01,63441.0,Jharkhand,Simdega,Maize,15.0,1325.0,1500.0,1400.0,2009,5
1190,2009-06-01,63635.0,Jharkhand,Simdega,Maize,10.0,1100.0,1300.0,1200.0,2009,6
1282,2009-07-01,58935.0,Jharkhand,Simdega,Maize,40.0,1450.0,1600.0,1500.0,2009,7
1358,2009-08-01,59089.0,Jharkhand,Simdega,Maize,50.0,1425.0,1600.0,1500.0,2009,8
1430,2009-09-01,59228.0,Jharkhand,Simdega,Maize,45.0,1400.0,1600.0,1500.0,2009,9
1490,2009-10-01,59403.0,Jharkhand,Simdega,Maize,40.0,1450.0,1600.0,1500.0,2009,10
1554,2009-11-01,59524.0,Jharkhand,Simdega,Maize,45.0,1425.0,1600.0,1500.0,2009,11
1630,2009-12-01,59641.0,Jharkhand,Simdega,Maize,40.0,1400.0,1600.0,1500.0,2009,12
1698,2010-01-01,117747.0,Jharkhand,Simdega,Maize,10.0,1400.0,1500.0,2242.816890428117,2010,1
1745,2010-02-01,123217.0,Jharkhand,Simdega,Maize,8.0,1400.0,1500.0,2242.816890428117,2010,2
1805,2010-03-01,129811.0,Jharkhand,Simdega,Maize,5.0,1500.0,1600.0,2242.816890428117,2010,3
1885,2010-04-01,136581.0,Jharkhand,Simdega,Maize,2.0,1600.0,1700.0,2242.816890428117,2010,4
1949,2010-05-01,143267.0,Jharkhand,Simdega,Maize,2.0,1550.0,1600.0,2242.816890428117,2010,5
2001,2010-06-01,150338.0,Jharkhand,Simdega,Maize,2.0,1600.0,1700.0,2242.816890428117,2010,6
2053,2010-07-01,157287.0,Jharkhand,Simdega,Maize,1.0,1600.0,1700.0,2242.816890428117,2010,7
2109,2010-08-01,163279.0,Jharkhand,Simdega,Maize,2.0,1700.0,1840.0,2242.816890428117,2010,8
2185,2010-09-01,170093.0,Jharkhand,Simdega,Maize,2.0,1820.0,1850.0,2242.816890428117,2010,9
2253,2010-10-01,177022.0,Jharkhand,Simdega,Maize,1.02,1800.0,1870.0,2242.816890428117,2010,10
2301,2010-11-01,184251.0,Jharkhand,Simdega,Maize,2.58,1800.0,1870.0,2242.816890428117,2010,11
2349,2010-12-01,189722.0,Jharkhand,Simdega,Maize,1.58,1680.0,1800.0,2242.816890428117,2010,12
2429,2011-01-01,196510.0,Jharkhand,Simdega,Maize,2.58,1870.0,1950.0,1900.0,2011,1
2481,2011-02-01,203985.0,Jharkhand,Simdega,Maize,3.0,1870.0,1950.0,1890.0,2011,2
2533,2011-03-01,204264.0,Jharkhand,Simdega,Maize,2.85,1690.0,1780.0,1700.0,2011,3
2577,2011-04-01,218853.0,Jharkhand,Simdega,Maize,3.0,1710.0,1830.0,1740.0,2011,4
2609,2011-05-01,204870.0,Jharkhand,Simdega,Maize,3.25,1690.0,1780.0,1700.0,2011,5
2645,2011-06-01,197711.0,Jharkhand,Simdega,Maize,3.09,1800.0,1950.0,1900.0,2011,6
2705,2011-07-01,197983.0,Jharkhand,Simdega,Maize,2.55,1800.0,1950.0,1900.0,2011,7
2725,2011-08-01,227077.0,Jharkhand,Simdega,Maize,3.5,1980.0,2050.0,2000.0,2011,8
2737,2011-09-01,198441.0,Jharkhand,Simdega,Maize,1.5,1850.0,1980.0,1900.0,2011,9
2749,2011-10-01,206109.0,Jharkhand,Simdega,Maize,5.08,1600.0,1750.0,1700.0,2011,10
2761,2011-11-01,206397.0,Jharkhand,Simdega,Maize,2.0,1670.0,1750.0,1700.0,2011,11
2777,2011-12-01,199111.0,Jharkhand,Simdega,Maize,4.09,1880.0,1930.0,1900.0,2011,12
2793,2012-01-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,1
2794,2012-02-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,2
2795,2012-03-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,3
2796,2012-04-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,4
2797,2012-05-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,5
2798,2012-06-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,6
2799,2012-07-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,7
2800,2012-08-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,8
2801,2012-09-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,9
2802,2012-10-01,355724.0,Jharkhand,Simdega,Maize,205.0,950.0,1100.0,1000.0,2012,10
2806,2012-11-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,11
2807,2012-12-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2012,12
2808,2013-01-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,1
2809,2013-02-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,2
2810,2013-03-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,3
2811,2013-04-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,4
2812,2013-05-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,5
2813,2013-06-01,441301.0,Jharkhand,Simdega,Maize,240.0,2200.0,2400.0,2300.0,2013,6
2817,2013-07-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,7
2818,2013-08-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,8
2819,2013-09-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,9
2820,2013-10-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,10
2821,2013-11-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,11
2822,2013-12-01,,Jharkhand,Simdega,Maize,29.207882352941176,1701.2941176470588,1850.3529411764705,1848.4565021780875,2013,12
2823,2014-01-01,463508.0,Jharkhand,Simdega,Maize,220.0,2000.0,2200.0,2150.0,2014,1
2835,2014-02-01,502420.0,Jharkhand,Simdega,Maize,25.0,1980.0,2100.0,2000.0,2014,2
2847,2014-03-01,510485.0,Jharkhand,Simdega,Maize,20.0,2000.0,2160.0,2100.0,2014,3
2859,2014-04-01,524333.0,Jharkhand,Simdega,Maize,35.0,2130.0,2220.0,2200.0,2014,4
2863,2014-05-01,503278.0,Jharkhand,Simdega,Maize,35.0,1980.0,2100.0,2000.0,2014,5
